"Location","Site","Section","sample","min_depth","max_depth","midpoint","K","K_sd","K_ICP","K_ICP_sd","K_fit2","K_lwr2","K_upr2"
"Bird Island","BI10","BI10.3",95,93,94,93.5,-7.26963804583493,-9.5727459906239,8.05006593280735,6.85211116633858,7.90756304656654,5.99035792997025,9.82476816316283
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-6.8120161003019,-9.11460301069958,8.02113085077993,6.76220271051115,8.17866705110555,6.45316668854638,9.90416741366472
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-7.70149878643565,-10.0044134711261,7.26163413962075,6.42494569973395,7.65172047318719,5.55333122364542,9.75010972272896
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-8.50870928176793,-10.8098279535571,7.44814768922964,6.35307468444632,7.17351351671006,4.73596502781444,9.61106200560567
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-8.65337380441395,-10.9533096770348,6.52682657511811,5.79996538261341,7.08781148299666,4.58942765126602,9.5861953147273
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-8.66461489500334,-10.9648040564605,7.40329878069465,6.38970970851435,7.08115204565123,4.57804046816231,9.58426362314016
"Bird Island","BI10","BI10.4",145,141,142,141.5,-8.58750836533126,-10.8923489772451,8.59651663617452,7.03267109488274,7.12683143051084,4.656147486582,9.59751537443968
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-9.42477198268837,-11.7273570756824,8.62957397296153,7.32150150115351,6.63082042899312,3.80784142233303,9.45379943565321
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-7.47562932263763,-9.77773634723057,7.93895203757743,6.37174855139169,7.78552986921036,5.78193084283308,9.78912889558764
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-7.95616697003843,-10.2601624964749,9.95339305067979,8.31402209366319,7.5008501640219,5.29552012029284,9.70618020775097
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-7.39332909694193,-9.6964733831518,7.1257969650866,6.08156363568521,7.83428609905982,5.86521084780931,9.80336135031034
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-8.43731511267792,-10.7381982974179,9.33589333629291,7.86962469306677,7.21580878976234,4.8082783247092,9.62333925481548
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-8.85128227001571,-11.1552510206984,9.96441690627002,8.44200062770568,6.97056671779137,4.38893589851184,9.5521975370709
"Bird Island","BI10","BI10.5",197,194,195,194.5,-8.6378647698985,-10.9419459183845,8.44295623026687,7.23703299269235,7.09699933206009,4.60513811531863,9.58886054880156
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-8.16855243530583,-10.4726487533151,7.76969406334424,6.21736730809967,7.3750289469629,5.08046778746021,9.6695901064656
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-7.68470807140115,-9.98686916147518,9.97429867813009,8.12459335564772,7.66166761433582,5.57032684943718,9.75300837923447
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-8.07044859345477,-10.3718924604182,8.24544140403268,6.87758654930466,7.43314754168088,5.17980831023706,9.6864867731247
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-8.40710188362258,-10.7109238794982,7.68696428760279,6.33592469684135,7.23370768527404,4.83887944839779,9.62853592215028
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-9.02362846688094,-11.3223051053616,7.86389680277594,6.33802225096023,6.8684655301335,4.21432181489861,9.52260924536838
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-8.66456854237572,-10.9648040564605,7.67796018952221,6.22278017644731,7.08117950583554,4.5780874233647,9.58427158830639
"Bird Island","BI10","BI10.7",271,265,266,265.5,-8.16746280519617,-10.4691214127971,7.66667152621659,6.29932879834657,7.37567446470758,5.08157119693029,9.66977773248487
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,-8.0444028237355,-10.3466545278283,7.57172873989672,6.2010319276469,7.44857755447008,5.20618104226682,9.69097406667335
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,-8.8094657842024,-11.1141493450129,6.46638202796067,5.66595126958262,6.99533960482268,4.43130014602905,9.55937906361632
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,-7.95577902153944,-10.2573094274925,6.49522150919657,5.78407153567457,7.50107999214238,5.29591290391589,9.70624708036888
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-6.87281776410169,-9.17539802877862,7.46461500331814,6.4557126517715,8.14264698104629,6.39169628988528,9.89359767220729
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,-8.12579320163291,-10.4277361966343,6.29797945709271,5.77344619480719,7.40036033588099,5.12376702198375,9.67695364977824
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,-8.15959567318008,-10.4621038401385,7.9025303252964,6.82847381739559,7.38033510437886,5.08953778733337,9.67113242142435
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,-7.70122457815506,-10.0044134711261,6.16077605719492,5.4071954761119,7.65188291942403,5.55360878072243,9.75015705812563
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,-8.06317604272591,-10.3655230121327,6.25299817958083,5.55241401790994,7.43745594001066,5.18717221484857,9.68773966517276
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,-6.96537485796592,-9.26796948481282,7.76448959280701,6.70551385482685,8.08781438606254,6.29810833388611,9.87752043823898
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,-6.71042771100301,-9.01301526676513,6.97624085555011,6.05898241464459,8.23884995846485,6.55585651559273,9.92184340133698
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,-7.80787742969471,-10.1092824655157,7.46150136357903,6.4411178693365,7.58869972764282,5.44564752960654,9.7317519256791
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,-7.33256835775847,-9.63498829950112,7.27743506637325,6.15479789899879,7.87028192459262,5.92668938609433,9.81387446309092
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,-7.36118973821895,-9.66447065206563,7.19595093777587,6.30160987354906,7.85332607067432,5.89773048812051,9.80892165322812
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,-7.68818732847268,-9.99122646684413,8.09022517793601,6.91312381855096,7.65960643581473,5.56680515686673,9.75240771476273
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,-7.07453031167484,-9.3775762913521,7.79969644617826,6.63021333046079,8.02314860482845,6.18771839745588,9.85857881220102
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,-8.73795208828031,-11.0429218357245,8.34106033815079,7.10209427291662,7.03770568785937,4.50374824551548,9.57166313020327
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,-7.41124123744474,-9.7145214530235,7.8804290119637,6.72286395756959,7.82367460398714,5.84708618893321,9.80026301904106
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,-7.73416645934782,-10.0358767405819,7.15388950448401,6.13602072137446,7.63236751812918,5.52026402653374,9.74447100972462
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,-6.79966888191708,-9.10225756511776,8.00617399458286,6.87422039914309,8.18598177974066,6.46564885804473,9.90631470143658
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,-6.75020381694689,-9.05278976417415,7.53540408642729,6.49506965729393,8.2152858315439,6.51565159114982,9.91492007193798
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,-7.40532416290649,-9.70792076899215,7.97141372181757,6.804480572622,7.82717999226262,5.85307351178783,9.80128647273742
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,-7.0053978767597,-9.30795320084318,8.11365554635714,6.95369067694323,8.06410398324063,6.25763496314933,9.87057300333193
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,-6.78753521529234,-9.09011587466981,7.22559484626794,6.26691112639716,8.19316999622332,6.47791485591144,9.9084251365352
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,-6.61201724311612,-8.91460084814667,6.86652508355506,5.8726290916959,8.2971502043187,6.65531374133465,9.93898666730276
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,-6.98606607062178,-9.28830191344589,8.7995353168452,7.63309640421979,8.07555651542385,6.27718463406932,9.87392839677838
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,-5.48977719040823,-7.79236325221568,8.54634210442195,7.29333969322701,8.96198670377635,7.787421001531,10.1365524060217
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,-6.94602948021918,-9.24908120029261,8.61341857647426,7.37996871854754,8.09927495832673,6.31767041520175,9.88087950145171
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,-6.74914939547253,-9.05173107514198,8.7156904174768,7.56857875000475,8.21591049101874,6.51671742129249,9.91510356074498
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,-6.79342620137727,-9.0960121863361,8.72842602742352,7.52600834599864,8.18968006324721,6.47195965756307,9.90740046893134
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,-6.94490174487445,-9.24700435634777,8.69424168200086,7.57998083927673,8.09994305034243,6.31881076332504,9.88107533735981
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,-6.68287004527764,-8.98545433966414,7.83081658748666,6.75376796832608,8.25517564740268,6.58370937379534,9.92664192101001
"Bird Island","BI10","BI10.13",519,491,492,491.5,-7.63040336345977,-9.93394676002084,6.67261526018673,5.72294429177543,7.69383876332012,5.62529219822744,9.76238532841281
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,-7.15350621224209,-9.45624091041301,8.05939654297178,6.9668034560387,7.97636176884986,6.10783746723649,9.84488607046323
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,-6.32884231359764,-8.63142628557766,8.74297608986742,7.5569202382195,8.46490845570258,6.94137494731545,9.98844196408972
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,-6.77337299846541,-9.07595809145946,7.19054530084348,6.08878154871591,8.20155996469491,6.49223116586776,9.91088876352206
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-6.04139666305622,-8.34398385845195,8.60221029700123,5.20001241508824,8.63519676400985,7.23152151066654,10.0388720173532
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-5.85499078749394,-8.1575765784316,8.69546996509277,4.67251539936495,8.74562717458745,7.41952629448991,10.071728054685
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,-5.46377685053564,-7.76636217951674,8.5817542474874,4.62890924750774,8.97738980305434,7.81358472047873,10.14119488563
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,-5.73287107545977,-8.03545555074452,8.55779448958485,4.65075902566774,8.81797323073441,7.5426157363538,10.093330725115
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,-6.21028794374331,-8.5128725388929,8.67213331395159,4.4034353645113,8.53514233486166,7.0610744038287,10.0092102658946
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,-5.94036201091362,-8.24294596369083,8.84748557832654,5.36724498943968,8.69505162687304,7.33343946730378,10.0566637864423
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,-5.73295570524005,-8.03554203375839,8.67672819833176,5.3524918577489,8.81792309443181,7.5425304580022,10.0933157308614
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,-5.12823304691856,-7.43081881478778,9.09065488779916,4.79296940131371,9.17617237838054,8.15081286287247,10.2015318938886
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,-4.90520058619074,-7.20778527421492,8.95497161851489,5.44172473280585,9.30830107945293,8.37441693469094,10.2421852242149
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,-5.85559259572937,-8.15817699036013,9.07178575698292,5.39877965188871,8.74527065186344,7.41891954610309,10.0716217576238
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,-5.9394418987637,-8.24202661203488,8.79457950653749,4.92657338641518,8.69559671893189,7.33436744696023,10.0568259909035
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,-6.06785240854298,-8.37043836504232,8.43793243487255,4.81108837207525,8.61952387372446,7.20482836195853,10.0342193854904
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,-6.20991910893606,-8.51250420193011,8.13610236377273,4.24388198561206,8.5353608396651,7.06144673619645,10.0092749431337
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,-6.12326167301419,-8.42584539695696,8.5013745492099,5.00146119443769,8.58669836429831,7.14891409329604,10.0244826353006
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,-6.39316674385562,-8.69575183684966,8.89203227730215,5.81941895952741,8.42680143132831,6.87641267115737,9.97719019149926
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,-6.4998631185497,-8.80245153680225,8.5970519670984,5.04967207495041,8.3635924555969,6.76863455758817,9.95855035360563
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,-4.9345112698277,-7.23709580680114,9.09889717448333,4.71687054003303,9.2909368691319,8.34506184772948,10.2368118905343
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,-5.35593736925668,-7.65852309783836,9.10239419515358,5.20525980214949,9.04127597701849,7.92205561591813,10.1604963381188
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,-6.00043385132518,-8.30301773350838,8.65195057323379,5.33601303568184,8.65946391816595,7.27284699244464,10.0460808438872
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,-6.59627416378634,-8.89885632733891,8.79402116083778,4.37947133454857,8.30647670601238,6.67122232576003,9.94173108626473
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,-6.54208907781574,-8.84467694575095,8.51900630972338,5.10167954593657,8.33857698865029,6.72597276536453,9.95118121193606
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,-5.20697833404929,-7.50956379212669,8.87840573287032,5.49994783809591,9.12952216221827,8.07175079514805,10.1872935292885
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,-6.73210425413346,-9.03469102495029,8.74207105394296,5.04515942826057,8.22600835918276,6.53394667897723,9.91807003938829
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,-7.02453519293337,-9.32687418823213,8.64064203827458,5.20795398951449,8.05276667063695,6.23828136217843,9.86725197909548
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,-6.95109711229786,-9.25324787298746,8.20197379613994,4.52502291278944,8.09627279603214,6.31254607871325,9.87999951335102
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,-7.40672644530112,-9.70956685989882,8.52711876156682,4.4105285904217,7.82634925331666,5.85165458533071,9.80104392130262
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,-7.35850388181809,-9.66132599538616,8.10464249974519,4.4815507860561,7.85491722344353,5.90044806341244,9.80938638347463
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,-6.30534057193024,-8.60792785487874,8.6991603367472,5.13072703567602,8.47883133755269,6.96510690579325,9.99255576931214
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,-6.03189620115433,-8.33448004463698,8.36538458858422,4.33119394918976,8.64082501958569,7.24110662378031,10.0405434153911
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,-7.08300073056477,-9.38588494449111,6.93202594207653,2.63434045620959,8.01813056645944,6.1791513751512,9.85710975776768
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,-6.87743366096243,-9.18001487343012,8.23136890367995,4.49749208368874,8.13991243534607,6.38702934515036,9.89279552554177
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,-7.0422837399427,-9.34501527530279,8.0681367404927,4.22843439653487,8.04225209148282,6.22033168878752,9.86417249417811
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,-7.22677391963202,-9.5291691734248,8.04737589840883,4.12530255730492,7.93295657582821,6.03372175351819,9.83219139813824
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,-7.0999017424952,-9.40271226462364,7.94685352195746,3.34168333596937,8.00811808331735,6.16205727344464,9.85417889319007
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,-6.24271234903704,-8.54529949903901,8.60470006464399,5.4346144039365,8.51593349619968,7.02834091488518,10.0035260775142
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,-6.82201529320123,-9.12460313969762,7.92157674340748,4.97463463393654,8.17274333773554,6.44305799448466,9.90242868098641
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,-6.95095300999751,-9.25324787298746,7.94751415587729,4.62881799540068,8.09635816499459,6.31269179406353,9.88002453592566
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,-6.57048978564367,-8.8730755923573,8.13844090365999,3.89094516202542,8.32175186542565,6.69727656916333,9.94622716168796
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,-7.14156425426766,-9.44353425914389,7.69364612229368,3.43206564075385,7.98343641345662,6.11991688854505,9.8469559383682
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,-6.66200049916758,-8.96458246371056,7.83411811528486,4.28325995901448,8.26753916619494,6.60480141192564,9.93027692046424
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,-6.63334919375348,-8.93593352672443,8.64773681622937,4.31259376747444,8.28451274822887,6.63375665620567,9.93526884025208
"Isla Hermite","HER42PB","HER42PB_1F",211,238.4,239.5,239,-6.51376036947453,-8.81634748554309,8.62576267556288,4.97994271092795,8.35535945800012,6.75459433540726,9.95612458059299
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,-6.28737182063869,-8.58995745137108,8.45428220847955,4.76939477601955,8.4894763699408,6.98325062320523,9.99570211667636
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,-7.36804306030922,-9.67078978841711,7.43146449214156,4.63294238835574,7.84926603141876,5.89079618824684,9.80773587459067
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,-7.41324682095743,-9.71617845423113,8.38246761312147,4.56575478758087,7.82248645790491,5.84505678477026,9.79991613103956
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,-7.71483740858981,-10.0177766989383,7.57645344123022,4.66873204472117,7.64381841797257,5.53982960618883,9.74780722975631
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,-6.96994136925617,-9.27221577569427,7.4084513680009,4.40670102209818,8.08510909732007,6.29349057568179,9.87672761895835
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,-7.42030739227383,-9.72283405284287,8.00338324130826,4.39146482834283,7.81830364023872,5.83791231335365,9.7986949671238
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,-7.56331962544223,-9.86619176779243,7.82158407958898,3.85299072259182,7.73358045445519,5.69318751984616,9.77397338906421
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,-6.7268806017471,-9.02946152205015,8.05719647027463,3.08096260283602,8.2291029508956,6.53922663834441,9.91897926344679
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,-6.9522684525295,-9.25533773790692,8.2303029355283,3.72044292939298,8.09557887164635,6.31136162542309,9.87979611786961
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,-7.64749733512177,-9.95057916006998,7.6714702690295,3.21472008814362,7.68371196713764,5.60799061786286,9.75943331641242
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,-6.98794308051461,-9.29046641645547,8.0802545321693,4.21702169083687,8.07444453881636,6.27528649819067,9.87360257944205
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,-7.42303915935514,-9.72617853756572,7.67857057240333,3.47217650657443,7.81668528910316,5.83514806805381,9.79822251015252
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,-6.93463019606772,-9.23771156877232,8.05779524765765,3.60104506663497,8.10602811256792,6.32919708909256,9.88285913604329
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,-6.45738946561473,-8.75997200903226,8.50361046056078,2.62547459841225,8.38875466101661,6.81154225529573,9.9659670667375
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,-7.0722667805691,-9.37521501516642,8.10060500590942,3.58161251627648,8.02448956400481,6.19000772445205,9.85897140355756
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,-7.31907951832533,-9.62132066077246,8.196991707968,3.64061168635923,7.87827297140015,5.9403369148069,9.8162090279934
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,-7.31995350373152,-9.62283009502131,7.55511995806723,3.55426573884666,7.87775520570766,5.93945265480915,9.81605775660618
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,-7.74192930156561,-10.0450511168579,7.50891795429663,2.48823232442993,7.62776866173169,5.51240608108675,9.74313124237663
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,-6.03246280716209,-8.33504664993657,8.76289460523067,4.41236663764526,8.64048935133551,7.24053497820429,10.0404437244667
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,-6.00871813795975,-8.31130160310985,8.41090462169387,3.32769863466233,8.65455614810967,7.26448984992392,10.0446224462954
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,-5.5256953705159,-7.82827996138835,8.94116095778241,5.13349796770445,8.94070808600464,7.75127041991858,10.1301457520907
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,-6.02775847547742,-8.33034439804028,8.90991785739896,3.94807272745284,8.64327628751907,7.24528111685117,10.041271458187
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,-7.18317945403842,-9.48609387356269,8.84481295238495,4.40515720486222,7.9587827721318,6.07782173439965,9.83974380986394
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,-7.14363332082765,-9.44606270549725,9.09947117546947,4.41091938056175,7.9822106588014,6.11782402047044,9.84659729713236
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,-7.01317246291225,-9.31570088763401,7.75654111934927,3.48784316986012,8.05949816951128,6.24977258367766,9.8692237553449
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,-5.88230310413512,-8.18488676259314,8.45002949760615,3.68234038215803,8.72944683514583,7.39198825589602,10.0669054143956
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,-6.56698657114046,-8.86957024168874,8.14640663017479,3.89891088851728,8.32382723678808,6.70081633252953,9.94683814104663
"Isla Hermite","HER42PB","HER42PB_1J",353,395.4,396.6,396,-6.26418759903568,-8.5667721666153,8.8316835124824,5.05068876938124,8.50321114682387,7.00665922531902,9.99976306832872
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,-6.78246890832686,-9.08505664805706,8.81720483954739,7.56262313957915,8.19617137349548,6.48303633218291,9.90930641480805
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,-6.02217038294111,-8.32475630088119,9.0443400748384,7.79197662525607,8.6465867805562,7.25091876709153,10.0422547940209
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,-5.31256741796532,-7.61515352531194,8.89159159841191,7.64194238855289,9.06696916674971,7.96565710624948,10.1682812272499
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,-6.48517022371586,-8.78775597206063,7.87794995694527,6.76101186025111,8.3722968078829,6.78347810170972,9.96111551405608
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,-5.58210011790994,-7.8846854765329,8.85780503929723,7.55380347147785,8.90729283343032,7.69448565942349,10.1201000074372
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,-6.58623643195267,-8.88882224999394,8.02244690477591,6.93708151534738,8.31242325058517,6.68136529353983,9.94348120763051
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,-7.53535819433468,-9.83769981199812,7.89171343835699,6.8789203624471,7.750145341738,5.72148570958355,9.77880497389246
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,-8.31386058743282,-10.6168374404136,6.12723871582893,5.60993610386052,7.28894561481872,4.93331367709942,9.64457755253801
"Kerguelen","KER1","CAT1-S1-1A",17,24,25.5,24.7,-7.41980164755396,-9.72283405284287,8.53141646419696,7.36322805361239,7.81860325309639,5.83842406988455,9.79878243630822
"Kerguelen","KER1","CAT1-S1-1A",20,28.6,30,29.3,-8.58453029159225,-10.8869870341037,7.69513773866579,6.49369179375137,7.12859569842749,4.65916412553514,9.59802727131985
