"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Zn","Zn_sd","Zn_ICP","Zn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,134.909090909091,75.5241081317145,316.1883316,1.43334069,99.7470933011332,16.7301106807719,182.764075921495
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,299.636363636364,72.5165811759941,205.2689039,3.657473631,174.456028138471,90.2125592600315,258.69949701691
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,259.333333333333,120.815662239729,206.0678435,1.998237331,156.177352028526,72.3365590814655,240.018144975586
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,321.727272727273,51.7920667845779,100.7202187,1.066310133,184.4749415852,99.9831155127817,268.966767657618
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,62.3,34.9095657059462,130.9239492,1.378555529,66.8166152356908,-16.0176009628241,149.650831434206
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,6.5,15.1867166838775,83.34916521,1.323098068,41.5095820109901,-41.3348892019989,124.354053223979
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,23.8333333333333,26.6793530429034,141.7452321,1.295372249,49.3707870748159,-33.4564599619231,132.198034111555
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,79.3636363636364,46.6053059796258,108.9295808,0.641673601,74.5555043466005,-8.30175098107107,157.412759674272
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,207.363636363636,60.2084258676022,242.3611357,4.004351166,132.607480202545,49.1884788581263,216.026481546963
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,10.0909090909091,24.419068554941,50.4248919,0.745226883,43.1381708222897,-39.7016934317159,125.978035076295
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,159.2,63.7962033004751,199.4152519,1.966916731,110.763775082886,27.6363391555266,193.891211010246
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,63,54.8125993967772,155.6838291,0.659026021,67.134086978653,-15.7008333009227,149.969007258229
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,29.8181818181818,41.8301761455009,106.4331106,0.572822095,52.0851017603152,-30.7391360879857,134.909339608616
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,24.7,25.029094181683,153.3540492,1.292838823,49.7638473280072,-33.0628705497053,132.59056520572
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,5660.04545454545,18.2727272727273,22.9176390978255,63.73190593,0.856844166,46.8488795062634,-35.9825151162222,129.680274128749
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,5698.00833333333,71.4166666666667,33.9958776467044,136.8739771,1.421346544,70.9513067452223,-11.893694225877,153.796307716322
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,5774.45833333333,13.5,27.612579478465,47.14281535,0.412457182,44.684299440612,-38.151693329067,127.520292210291
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,5914.69166666667,50.4166666666667,56.0299568142441,61.90931635,1.442324435,61.4271544563564,-21.3982570568735,144.252565969586
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,6045.02727272727,271.909090909091,70.2345421362659,97.22108231,0.698201201,161.880848709449,77.9214446059662,245.840252812931
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,6127.60909090909,4.81818181818182,10.7871977994119,72.67126101,0.475237559,40.746825225951,-42.0999902743975,123.5936407263
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,6161.61818181818,53.3636363636364,35.2881643820495,70.91847569,0.98294395,62.7636967508618,-20.0633437968212,145.590737298545
