"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ti","Ti_sd","Ti_ICP","Ti_ICP_sd","Ti_fit_OLS","Ti_lwr_OLS","Ti_upr_OLS","Ti_fit_WLS","Ti_lwr_WLS","Ti_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,-0.899189837841593,-0.0449594918920797,1.81301338214452,0.090650669107226,1.84554776019976,1.02734915061695,2.66374636978257,1.89981620168664,0.909022270509037,2.89061013286424
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,-0.587421617353267,-0.0293710808676633,2.3032296788301,0.115161483941505,2.06519599782582,1.24767347758315,2.88271851806849,2.10106455941095,1.19322366227478,3.00890545654713
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,-1.05676172952041,-0.0528380864760203,2.12347153261237,0.106173576630619,1.73453455862185,0.915856621473188,2.55321249577051,1.79810254923609,0.765372743234267,2.83083235523791
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,-0.642360399069617,-0.0321180199534808,1.98206160965994,0.0991030804829968,2.02649029984795,1.20887493000121,2.8441056696947,2.06560122841951,1.14314481432184,2.98805764251719
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,-0.822174843195781,-0.041108742159789,2.2767703593211,0.113838517966055,1.89980668312089,1.08180875418505,2.71780461205672,1.94952986771822,0.979230205636632,2.91982952979981
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,-0.539603301674306,-0.0269801650837153,2.08525768399634,0.104262884199817,2.09888515558757,1.28143428853484,2.91633602264029,2.13193158455053,1.23681108017274,3.02705208892832
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,-0.721980986914861,-0.0360990493457431,2.40081181070168,0.120040590535084,1.97039567361707,1.15262577057423,2.78816557665991,2.01420563550179,1.07056578344358,2.95784548756
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,-0.751955137069045,-0.0375977568534523,2.24820504455554,0.112410252227777,1.94927816123754,1.13144396148867,2.76711236098642,1.99485713204219,1.04324200174801,2.94647226233638
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,-0.635167311871183,-0.0317583655935591,2.16639496186762,0.108319748093381,2.03155800342515,1.21395543057821,2.84916057627209,2.07024441169004,1.14970165214671,2.99078717123337
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,-0.533154924836931,-0.0266577462418465,2.26102552307418,0.113051276153709,2.1034281927376,1.2859863355866,2.9208700498886,2.13609405257397,1.24268885136682,3.02949925378113
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,-0.814185100287058,-0.0407092550143529,1.97870197824375,0.0989350989121873,1.90543564987778,1.08745727612052,2.72341402363505,1.95468729728722,0.986513671597709,2.92286092297672
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,-0.26903572939503,-0.0134517864697515,2.23211796179928,0.111605898089964,2.28950654193933,1.47230037797244,3.10671270590621,2.30658466333249,1.48342257458382,3.12974675208116
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,0.0400913890294418,0.00200456945147209,2.33110010412913,0.116555005206456,2.50729405940344,1.6900329547605,3.32455516404639,2.50612817297415,1.7651371469914,3.2471191989569
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,-0.933689221134138,-0.0466844610567069,2.16464105444449,0.108232052722224,1.82124211183212,1.00294644891112,2.63953777475312,1.87754663162189,0.877571638184775,2.87752162505901
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,-1.05155364072423,-0.0525776820362113,2.26998803818833,0.113499401909416,1.73820378290548,0.919543162933342,2.55686440287762,1.80146440348625,0.770120765183932,2.83280804178857
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,-0.819543557254744,-0.0409771778627372,1.47073023258158,0.0735365116290791,1.90166048758734,1.08366902506376,2.71965195011091,1.95122837943153,0.981628893276742,2.92082786558631
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,-0.755881360862363,-0.0377940680431181,2.02557268312614,0.101278634156307,1.9465120417935,1.12866917208487,2.76435491150213,1.99232272975698,1.03966292164936,2.94498253786459
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,-0.138659831075298,-0.00693299155376492,2.30617241996402,0.115308620998201,2.38135950966641,1.56417368327938,3.19854533605344,2.39074313010175,1.6022433553278,3.1792429048757
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,0.200460435329892,0.0100230217664946,2.323382978661,0.11616914893305,2.62027792393747,1.80284777543513,3.4377080724398,2.60964740642016,1.91126227112492,3.30803254171541
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,-0.23837959100078,-0.011918979550039,2.21454051260411,0.110727025630205,2.31110453149763,1.49390885703647,3.12830020595878,2.32637339451346,1.51136242910737,3.14138435991954
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,-0.690474855001376,-0.0345237427500688,2.28395375098305,0.114197687549152,1.99259250412908,1.17488657531096,2.81029843294721,2.03454304287418,1.09928578835187,2.96980029739649
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,-0.625531253234187,-0.0312765626617093,2.3161944128053,0.115809720640265,2.03834683935578,1.22076110741695,2.8559325712946,2.07646454847176,1.15848534664298,2.99444375030054
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,-0.367928930129552,-0.0183964465064776,2.05942825515696,0.102971412757848,2.21983389467427,1.40256997615761,3.03709781319092,2.24274847692853,1.39328889113503,3.09220806272203
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,-0.250373008416025,-0.0125186504208013,2.08567331308337,0.104283665654169,2.30265487939952,1.48545551906418,3.11985423973486,2.31863156773413,1.50043173983996,3.1368313956283
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,0.104371724752558,0.00521858623762792,2.23467277143992,0.111733638571996,2.5525811076904,1.73526377135344,3.36989844402737,2.54762153614626,1.82371025593763,3.27153281635488
"Isla Hermite","HER42PB","HER42PB_1J",353,395.4,396.6,396,0.184573109738251,0.00922865548691257,2.41714253969,0.1208571269845,2.60908491952756,1.79167580061598,3.42649403843913,2.59939203729068,1.89678686776796,3.30199720681341
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,-1.78139369202427,-0.0890696846012136,3.22982849969757,0.161491424984878,1.22401384794073,0.401947902046387,2.04607979383507,1.33034803538592,0.1047002435388,2.55599582723304
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,0.339220126570407,0.0169610063285204,3.25189099367551,0.162594549683776,2.71803747616757,1.90038363642171,3.53569131591344,2.6992176645329,2.0376817121287,3.36075361693709
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,0.559167107271509,0.0279583553635755,3.49791547271928,0.174895773635964,2.87299543373778,2.05484000780334,3.69115085967223,2.84119483136275,2.23803167470996,3.44435798801555
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,0.0979986434031483,0.00489993217015742,3.1454684997268,0.15727342498634,2.54809111802932,1.73078004553197,3.36540219052668,2.54350767183641,1.81790314074006,3.26911220293275
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,0.621796940660008,0.0310898470330004,3.38384890521726,0.169192445260863,2.91711966328578,2.09878847057756,3.73545085599401,2.88162278484127,2.29507149430532,3.46817407537722
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,0.495058119824682,0.0247529059912341,3.08537291593289,0.154268645796645,2.82782910444793,2.00983848060062,3.64581972829524,2.79981207458647,2.17963993862244,3.4199842105505
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,0.0557400343101554,0.00278700171550777,3.29812860528242,0.164906430264121,2.5183189077724,1.70104553420783,3.33559228133697,2.51622947245368,1.77939665238599,3.25306229252137
