Location,Site,Section,sample,min_depth,max_depth,midpoint,depth,depth_err,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,SH20_mean_95CI,accrate,accrate_err,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,inc_coh,Ln_inc_coh,coh_inc,Ln_coh_inc,Total_scatter,kcps_sd,cps_sd,MSE_sd,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_inc_sd,Mo_coh_sd,inc_coh_sd,Ln_inc_coh_sd,coh_inc_sd,Ln_coh_inc_sd,Total_scatter_sd,Water_Content_pc,Dry_mass_pc,Dry_mass_pc_err,LOI550_pc,LOI550_err,C_org,C_org_err,Ln_C_org,Ln_C_org_err,Volume_cm3,Volume_err_cm3,Wet_density_g_cm3,Dry_density_g_cm3,Dry_density_err_g_cm3,DMAR_g_cm2_yr,DMAR_err_g_cm2_yr-1,DMAR_err_pc
Bird Island,BI10,BI10.1,21,25.5,26.5,26,26,0.53,73,357.1,197.7,200.8,142.1,0.08798,0.06402,21493.90909,51823.27273,1.265454545,15.09090909,154.5454545,34.63636364,30,1612.090909,76.27272727,51.54545455,294.9090909,902.0909091,40179.90909,5923.181818,6.783939831,1.914394226,0.147455496,-1.914394225,46103.09091,631.6995258,1230.83379,0.098626937,12.29190421,27.44945769,19.61771,16.57105911,186.1840243,39.1180033,40.42366544,94.80765217,105.9674049,913.1981663,103.2277271,0.128198259,0.019027739,0.002826117,0.01902774,977.7345708,82.13,17.87,0.89,67.17,3.36,33.58,1.68,3.513930652,0.175801176,5.4653,0.3388,1.1006,0.1967,0.0197,0.0173,0.0028,16.2
Bird Island,BI10,BI10.1,22,26.7,27.8,27.2,27.2,0.53,82,371.9,211.8,214.5,145,0.08802,0.06119,21759.58333,52292.16667,1.33,11.33333333,125.0833333,31.91666667,28.5,1496.25,90.91666667,74.33333333,248.0833333,840.25,40802.66667,6037.25,6.75858272,1.910600997,0.148022999,-1.910600998,46839.91667,587.0123831,1289.586955,0.068090848,9.208033383,20.78224038,13.74083717,8.639233973,127.3064485,60.62471493,79.60394386,60.54368571,91.05954595,1078.149453,98.40650847,0.14503619,0.021547465,0.003202734,0.021547463,1138.107237,80.34,19.66,0.98,72.7,3.63,36.35,1.82,3.593194204,0.179906835,5.6796,0.3578,1.0898,0.2142,0.0214,0.0189,0.0031,16.3
Bird Island,BI10,BI10.1,23,28,29.1,28.5,28.5,0.55,91.6,393.9,226.7,229.2,151.1,0.08802,0.05973,22859.25,55177.83333,1.353333333,19.91666667,135.8333333,52.41666667,33.5,1652.083333,21.25,46.33333333,260.8333333,841.9166667,42946,6484,6.627045993,1.890958987,0.150957104,-1.890958986,49430,508.5650267,1509.042733,0.122573416,9.548520431,26.50843205,21.79014929,18.90406402,146.6005447,26.45794261,53.28368902,105.1214305,70.42011378,1291.916758,264.490591,0.138748781,0.02087893,0.003142962,0.020878931,1528.597039,85.39,14.61,0.73,76.49,3.82,38.25,1.91,3.64414356,0.181968999,6.5302,0.431,0.9996,0.146,0.0146,0.0129,0.0021,16.6
Bird Island,BI10,BI10.1,24,29.3,30.3,29.8,29.8,0.5,98.6,417.4,240.5,244,159.4,0.07362,0.04933,21778.54545,54336.81818,1.336363636,96.45454545,336.3636364,159.5454545,51.90909091,2888.636364,51.54545455,220,502.1818182,927,40334.27273,6168.818182,6.536467796,1.876793904,0.153173145,-1.876793904,46503.09091,916.3778002,1565.802083,0.073928713,90.31983574,229.7377952,132.1085642,22.73523497,1190.144636,40.19543167,120.0483236,323.0500946,130.5779461,2277.775234,212.6037715,0.237195613,0.03649325,0.00562135,0.03649325,2448.204095,85.04,14.96,0.75,80.55,4.03,40.27,2.01,3.695606775,0.184459141,6.9477,0.4829,0.9962,0.1491,0.0149,0.011,0.0019,17
Bird Island,BI10,BI10.1,25,30.5,31.5,31,31,0.5,121.3,426.2,255.9,260.3,152.4,0.07126,0.04287,21658,52923.90909,1.407272727,56.36363636,227.8181818,108.8181818,39.45454545,2073.636364,108.2727273,91,464.7272727,800.9090909,40425.09091,6029.272727,6.709395163,1.903146453,0.149153185,-1.903146453,46454.36364,517.9304973,1459.34276,0.041735095,25.74984554,39.44823997,38.76033586,24.01401106,479.2740913,74.44338911,93.60448707,78.68810699,98.49411611,579.1608506,182.3804216,0.188740824,0.028287239,0.004242479,0.028287239,668.2707943,85.38,14.62,0.73,66.6,3.33,33.3,1.67,3.505557397,0.17580423,5.205,0.3201,1.2702,0.1857,0.0186,0.0132,0.0021,16.2
Bird Island,BI10,BI10.1,26,31.7,32.6,32.2,32.2,0.48,136.9,432.1,272.8,277.2,147.6,0.07129,0.03901,21758.9,53611,1.374,26.5,163.9,39.6,28.1,1740.3,262.5,85.9,329.4,831.3,41206.6,6162.2,6.690620162,1.900431974,0.149545194,-1.900431974,47368.8,337.6060985,951.2504052,0.088090862,11.40419026,44.69514018,12.74711296,21.75852323,239.8207896,54.27348442,63.15844274,116.3903394,115.9789732,568.9624475,171.5503166,0.165055631,0.024719749,0.00370434,0.024719749,667.1526229,80.08,19.92,1,26.98,1.35,13.49,0.67,2.60194867,0.129229474,5.237,0.3273,1.0987,0.2189,0.0219,0.0156,0.0025,16.3
Bird Island,BI10,BI10.1,27,32.8,33.8,33.3,33.3,0.5,150.1,438.7,290.7,292.6,144.3,0.07126,0.03621,20495.27273,50800,1.313636364,34.27272727,203.9090909,79.63636364,34.90909091,2770.090909,108.4545455,97.45454545,429.2727273,815.3636364,37739.72727,5823.818182,6.479820958,1.867883306,0.154576073,-1.867883306,43563.54545,978.2968967,1895.633878,0.085354874,29.70552443,51.48291861,65.96403979,18.43613053,950.7160937,49.97271983,50.53981329,166.9623256,70.01467379,2069.554014,196.0096009,0.272608949,0.042269254,0.006561099,0.042269254,2201.503594,83.36,16.64,0.83,61.38,3.07,30.69,1.53,3.423936869,0.1706948,6.045,0.3959,1.058,0.176,0.0176,0.0125,0.0021,16.6
Bird Island,BI10,BI10.1,28,34.1,35,34.5,34.5,0.45,162.5,446.9,310.5,309.4,142.2,0.07124,0.03367,21817.3,54302.9,1.391,22.8,172.1,62.3,41.7,4523.7,51.9,78.9,369.8,858.3,39076.8,6121.4,6.38809162,1.853792932,0.156745954,-1.853792931,45198.2,513.057729,1195.219129,0.085822815,10.95242236,34.19047951,35.61850331,19.5848581,1464.108986,24.59652189,95.61084318,99.9297531,109.0372515,1026.189261,175.121672,0.237531087,0.038100646,0.006121529,0.038100646,1048.461709,83.23,16.77,0.84,76.32,3.82,38.16,1.91,3.641787847,0.182280262,4.4156,0.2605,1.1805,0.198,0.0198,0.0141,0.0022,15.9
Bird Island,BI10,BI10.1,29,35.2,36.1,35.6,35.6,0.45,172.8,456.5,328,324.9,141.8,0.07129,0.03203,21236.2,53075.7,1.288,20.3,213.1,63.3,47.5,5166,47.4,125.4,538.4,766.4,36994.3,6014.1,6.152758565,1.816685491,0.162598681,-1.816685491,43008.4,247.8071831,1629.348339,0.091018924,11.66238016,30.60301365,27.2602682,13.50102877,880.0104797,41.85212062,85.66627756,81.01741925,96.59215519,842.7229741,145.1324682,0.13441851,0.021866982,0.003558677,0.021866982,932.0340003,81.36,18.64,0.93,73.99,3.7,36.99,1.85,3.610647606,0.180581186,5.1504,0.3245,1.244,0.2319,0.0232,0.0165,0.0027,16.3
Bird Island,BI10,BI10.1,30,36.3,37.2,36.7,36.7,0.48,182.2,467.6,346.8,340.3,142.7,0.07126,0.0308,22119.4,57449,1.346,26.3,217.7,75.3,44.1,7994.7,74.1,47,349.4,793.2,38550.7,6177,6.241044238,1.83104381,0.160262792,-1.83104381,44727.7,229.5663545,1848.955501,0.126156869,22.63748121,27.90877998,27.37821518,17.53377693,1003.562881,26.91323508,37.44922488,106.5574441,107.0252307,967.395593,126.3232186,0.094860109,0.015171435,0.00242683,0.015171434,1070.948806,78.21,21.79,1.09,61.98,3.1,30.99,1.55,3.433664572,0.171738628,4.6609,0.2773,1.3943,0.3038,0.0304,0.0216,0.0035,16
