"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zr","Zr_sd","Zr_ICP","Zr_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,1.35200428230027,0.0676002141150133,-2.02109292749234,-0.101054646374617,-1.74792799206234,-3.90790989993136,0.412053915806684
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,1.18180615938692,0.0590903079693458,-2.42709134949609,-0.121354567474804,-1.79447639295467,-3.95566140277209,0.36670861686275
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,1.46632667742044,0.0733163338710221,-2.39089381275634,-0.119544690637817,-1.71666134476955,-3.87602327878101,0.442700589241907
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,1.45755509955397,0.0728777549776985,-1.5929067240381,-0.0796453362019049,-1.71906033082179,-3.87846447376794,0.44034381212435
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,1.38674460611334,0.0693372303056668,-2.36884304048481,-0.11844215202424,-1.73842667387915,-3.89820418220647,0.421350834448164
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,1.13590379194362,0.056795189597181,-2.03582871003053,-0.101791435501526,-1.80703047854083,-3.96859728344246,0.354536326360804
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,1.55393146801425,0.0776965734007125,-1.40757844430177,-0.0703789222150887,-1.69270183897215,-3.8516911154877,0.466287437543401
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,0.630798810578168,0.0315399405289084,-1.34629792350741,-0.0673148961753706,-1.94517435911279,-4.11254565317964,0.222196934954052
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,1.30611447908024,0.065305723954012,-1.5711040791554,-0.0785552039577702,-1.76047864139143,-3.92075195474469,0.399794671961817
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,1.4035601313852,0.0701780065692599,-1.17934042675592,-0.0589670213377958,-1.73382770534665,-3.89351129409052,0.425855883397223
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,1.34576785828376,0.0672883929141881,-1.41927108134069,-0.0709635540670346,-1.74963362524022,-3.90965370458656,0.410386454106114
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,1.60581568320582,0.0802907841602912,-1.53819464565136,-0.0769097322825681,-1.6785117456422,-3.83732224111592,0.480298749831516
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,1.10989812585158,0.0554949062925792,-2.13685529374584,-0.106842764687292,-1.81414290816111,-3.97593681254146,0.34765099621925
"Bird Island","BI10","BI10.13",519,491,492,491.5,1.26278717696239,0.0631393588481196,-2.83552128969438,-0.141776064484719,-1.77232845849895,-3.93289926051398,0.388242343516092
