depth	min	max	median	mean
25.4	50.93	258.99	186.23	175.02
25.5	52.44	259.55	187.33	176.24
25.6	53.94	259.82	188.55	177.46
25.7	55.42	260.05	189.78	178.67
25.8	56.96	260.53	191.09	179.89
25.9	58.43	260.88	192.41	181.11
26	59.93	261.52	193.61	182.32
26.1	61.54	261.66	194.67	183.54
26.2	62.78	262.46	195.96	184.75
26.3	63.78	262.59	197.13	185.97
26.4	64.34	262.95	198.48	187.19
26.5	65.34	263.57	199.69	188.4
26.6	66.19	263.64	200.85	189.62
26.7	66.49	263.89	202.21	190.83
26.8	67.35	264.1	203.3	192.05
26.9	68.38	264.74	204.67	193.27
27	69.61	265.71	205.93	194.48
27.1	70.47	266.21	206.91	195.7
27.2	71.36	266.65	208.27	196.92
27.3	72.37	267.02	209.56	198.13
27.4	73.08	267.35	210.86	199.35
27.5	73.76	267.75	211.97	200.56
27.6	75.2	268.12	213.18	201.78
27.7	76.53	268.47	214.56	203
27.8	77.05	268.95	215.72	204.21
27.9	77.93	269.54	217.05	205.43
28	78.81	270.1	218.37	206.65
28.1	80.2	270.71	219.55	207.86
28.2	81.32	271.57	220.91	209.08
28.3	82.01	272.03	222.02	210.29
28.4	82.61	273.11	223.18	211.51
28.5	83.62	273.44	224.33	212.73
28.6	84.63	274.91	225.64	213.94
28.7	85.81	276.23	226.91	215.16
28.8	86.28	277.87	228.27	216.37
28.9	87.67	278.69	229.57	217.59
29	88	279.54	230.9	218.81
29.1	89.03	280.99	232.12	220.02
29.2	89.63	281.96	233.43	221.24
29.3	90.48	283.27	234.87	222.46
29.4	91.09	285.29	236.14	223.67
29.5	92.24	286.72	237.27	224.89
29.6	93.74	288.24	238.52	226.1
29.7	94.19	289.58	239.77	227.32
29.8	94.48	291.01	240.93	228.54
29.9	95.16	292.65	242.34	229.75
30	96.13	295.35	243.53	230.97
30.1	99.25	298.96	245.92	233.42
30.2	101.82	301.73	248.59	235.87
30.3	104.08	304.54	250.96	238.32
30.4	105.21	307.37	253.08	240.77
30.5	107.38	310.49	255.27	243.22
30.6	109.3	316.35	257.43	245.67
30.7	110.72	322.1	259.2	248.12
30.8	112.37	325.76	261.05	250.57
30.9	114.22	331.61	263.22	253.02
31	115.59	336.68	265.19	255.47
31.1	117.3	341.05	267.11	257.92
31.2	119.19	347.43	268.92	260.37
31.3	119.78	354.2	271.04	262.82
31.4	121.74	360.59	272.91	265.27
31.5	123.17	367.71	274.96	267.72
31.6	124.94	373.76	276.83	270.17
31.7	126.23	380.64	279.15	272.62
31.8	127.72	387.73	281.01	275.07
31.9	129.19	393.55	282.97	277.52
32	130.01	400.72	284.74	279.97
32.1	130.84	408.16	286.53	282.42
32.2	131.3	413.49	288.23	284.86
32.3	132.11	419.83	290.14	287.31
32.4	133.5	425.46	291.95	289.76
32.5	134.27	430.85	293.75	292.21
32.6	135.41	436.12	295.54	294.66
32.7	136.28	439.61	297.55	297.11
32.8	137.14	445.68	299.4	299.56
32.9	138.35	449.1	301.39	302.01
33	140.05	455.02	303.26	304.46
33.1	140.95	461.05	305.43	306.91
33.2	141.84	466.33	307.21	309.36
33.3	142.31	473.02	309.19	311.81
33.4	143.45	479.14	311.28	314.26
33.5	144.49	483.5	313.15	316.71
33.6	145.53	488.48	314.82	319.16
33.7	146.86	494.21	316.8	321.61
33.8	148.07	500.49	318.76	324.06
33.9	149.12	506.33	320.86	326.51
34	150.18	512.72	322.71	328.96
34.1	151.45	517.19	324.26	331.41
34.2	152.4	523.38	326.14	333.86
34.3	153.5	529.58	327.82	336.31
34.4	154.39	535.47	329.57	338.76
34.5	155.44	541.94	331.4	341.21
34.6	156.45	549.08	333.39	343.66
34.7	157.18	555.57	335.55	346.11
34.8	158.42	562.57	337.13	348.56
34.9	158.92	569.71	338.79	351.01
35	160.35	576.17	340.86	353.46
35.1	162.26	577.53	343.5	355.98
35.2	165.69	578.85	346.01	358.5
35.3	168.72	581.72	348.42	361.02
35.4	171.98	582.75	351.53	363.54
35.5	175.96	584.38	353.96	366.05
35.6	180.01	585.72	356.65	368.57
35.7	182.76	588.27	359.25	371.09
35.8	184.89	588.98	362.23	373.61
35.9	189.65	590.66	365.53	376.13
36	192.2	592.52	368.38	378.65
36.1	195.13	595.39	371.31	381.17
36.2	197.62	599.35	374.19	383.69
36.3	199.27	602.12	376.75	386.21
36.4	201.85	604.23	379.59	388.73
36.5	203.46	605.45	382.51	391.25
36.6	205.28	608.45	385.84	393.77
36.7	208.48	611.08	388.14	396.28
36.8	211.8	614.41	390.65	398.8
36.9	214.17	615.23	393.54	401.32
37	215.95	620.76	396.36	403.84
37.1	217.72	622	399.63	406.36
37.2	219.48	623.46	402.54	408.88
37.3	221.27	626.34	405.14	411.4
37.4	223.3	629.86	407.85	413.92
37.5	224.1	631.36	410.35	416.44
37.6	225.11	632.85	412.95	418.96
37.7	226.85	635.55	415.75	421.48
37.8	227.36	639.38	418.81	424
37.9	228.06	641.88	421.88	426.51
