"depth","SH20_mean_age","surface","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","coh_inc","Total_scatter"
9.6,-15.72,6.34,23427,57046,1.21,32,184,104,72,3471,0,0,242,864,42500,6360,6.682389937,0.149647059,48860
9.7,-14.68,6.33,23105,56362,1.29,27,86,54,0,2922,0,6,0,1052,42333,6475,6.537915058,0.15295396,48808
9.8,-13.65,6.31,23252,56728,1.25,29,124,64,12,3133,0,0,345,1020,42243,6245,6.764291433,0.147835144,48488
9.9,-12.62,6.3,23335,56919,1.29,32,140,88,27,3251,0,0,152,871,42349,6424,6.592310087,0.151691894,48773
10,-11.58,6.3,23486,57516,1.25,40,145,89,8,3205,0,0,108,946,43060,6464,6.661509901,0.150116117,49524
10.1,-10.41,6.32,23280,56815,1.38,42,144,95,29,2917,0,0,87,1162,42924,6291,6.823080591,0.146561364,49215
10.2,-9.23,6.32,23268,56267,1.29,36,162,93,28,3817,8,0,104,911,41571,6377,6.518896033,0.153400207,47948
10.3,-8.05,6.32,22632,56145,1.36,38,190,90,47,4162,0,0,87,752,41217,6160,6.691071429,0.149452896,47377
10.4,-6.88,6.34,22729,56719,1.15,36,186,85,26,3806,0,144,206,959,41534,6103,6.805505489,0.146939857,47637
10.5,-5.7,6.33,23285,57193,1.15,24,146,43,0,3273,0,126,351,952,42319,6513,6.497620144,0.153902502,48832
10.6,-4.53,6.32,23831,58253,1.22,26,131,79,47,3280,0,0,186,1078,43893,6347,6.915550654,0.144601645,50240
10.7,-3.35,6.31,23775,58038,1.25,48,107,71,45,3099,0,0,202,1093,43357,6300,6.882063492,0.145305256,49657
10.8,-2.17,6.32,23268,56480,1.27,21,131,74,46,3105,0,0,198,1098,42433,6190,6.855088853,0.14587703,48623
10.9,-1,6.33,23367,58288,1.26,33,109,60,14,2754,0,24,374,1122,44072,6290,7.006677266,0.142721002,50362
11,0.18,6.34,23443,56628,1.27,19,92,56,16,2848,24,18,226,716,42811,6234,6.867340391,0.145616781,49045
11.1,1.35,6.36,23301,56313,1.31,58,133,32,16,2846,0,0,0,884,43021,6294,6.835239911,0.146300644,49315
11.2,2.53,6.38,23398,58446,1.23,31,121,60,53,3368,0,0,352,988,43221,6438,6.713420317,0.148955369,49659
11.3,3.71,6.4,23694,57695,1.28,21,145,72,76,3386,0,0,257,853,43255,6194,6.983371004,0.143197318,49449
11.4,4.88,6.41,22575,54399,1.47,25,106,60,40,2073,0,119,135,970,41575,6046,6.876447238,0.145423933,47621
11.5,6.06,6.41,22217,54102,1.38,38,114,53,60,2463,0,0,85,1018,41047,6349,6.465112616,0.154676347,47396
11.6,7.23,6.38,22430,54388,1.15,0,79,60,32,2627,0,46,13,1032,41445,5989,6.92018701,0.144504765,47434
11.7,8.41,6.42,21988,53521,1.42,29,103,78,14,2811,0,0,143,694,40154,6003,6.688988839,0.149499427,46157
11.8,9.59,6.41,22104,53975,1.36,25,104,41,24,3366,0,46,160,983,39849,5900,6.754067797,0.148058922,45749
11.9,10.76,6.4,22026,54890,1.35,36,152,84,26,3727,0,0,0,755,40240,6126,6.568723474,0.152236581,46366
12,11.94,6.39,22044,54661,1.38,37,172,82,35,3905,0,0,132,1075,39990,6173,6.478211566,0.154363591,46163
12.1,13.11,6.39,22762,56934,1.32,35,132,99,59,4325,0,0,205,806,41436,6273,6.605451937,0.151390096,47709
12.2,14.29,6.38,23298,58800,1.35,27,169,142,21,5346,0,0,302,698,42065,6500,6.471538462,0.154522762,48565
12.3,15.46,6.38,23507,57776,1.28,19,107,96,19,3873,0,0,218,839,42861,6376,6.722239649,0.148759945,49237
12.4,16.64,6.38,23607,57795,1.41,0,139,71,14,3907,0,0,112,911,42698,6451,6.618818788,0.15108436,49149
12.5,17.82,6.38,23237,55718,1.32,22,123,63,13,3207,0,0,51,945,41967,6045,6.942431762,0.144041747,48012
12.6,18.99,6.38,23062,55307,1.28,6,111,79,18,3183,0,0,0,882,41680,6265,6.6528332,0.1503119,47945
12.7,20.17,6.38,23101,54956,1.38,25,141,31,9,2777,0,0,181,618,41742,6176,6.758743523,0.147956495,47918
12.8,21.34,6.38,23069,55296,1.23,28,135,57,37,2863,0,0,252,848,41886,6301,6.647516267,0.150432125,48187
12.9,22.52,6.38,23144,56553,1.37,42,126,83,24,3166,0,0,171,925,42562,6230,6.831781701,0.1463747,48792
13,23.7,6.38,23536,58105,1.3,39,121,59,18,3484,0,0,246,1006,43342,6379,6.794481894,0.147178257,49721
13.1,24.87,6.38,23189,56284,1.25,15,117,62,35,3088,0,0,173,924,42536,6175,6.888421053,0.145171149,48711
13.2,26.05,6.39,22954,55677,1.46,10,88,75,19,2843,0,13,141,988,42253,6155,6.864825345,0.14567013,48408
13.3,27.22,6.4,22472,54981,1.28,11,121,93,16,2753,0,0,215,836,41855,6103,6.858102573,0.145812926,47958
13.4,28.4,6.4,21036,50990,1.64,23,114,51,56,2425,0,0,58,981,38535,5814,6.627966976,0.150875827,44349
13.5,29.58,6.39,20815,50646,1.2,26,140,56,0,2778,0,47,70,768,38032,5567,6.831686725,0.146376735,43599
13.6,30.75,6.39,21169,51569,1.3,18,119,14,38,2957,0,0,57,923,38929,5668,6.868207481,0.145598397,44597
13.7,31.93,6.4,21197,51575,1.32,7,101,60,36,2133,14,8,66,871,39788,5797,6.863550112,0.145697195,45585
13.8,33.1,6.41,21734,52931,1.18,7,70,16,21,1754,0,0,106,913,40733,6183,6.587902313,0.151793386,46916
13.9,34.28,6.42,22314,53547,1.54,25,97,79,39,1834,0,0,48,860,41480,6130,6.766721044,0.147782064,47610
14,35.46,6.44,22447,54639,1.38,10,98,44,50,2129,0,0,47,719,42129,6275,6.713784861,0.148947281,48404
14.1,36.63,6.48,22560,54961,1.23,9,79,20,23,2018,0,0,180,854,42038,6525,6.442605364,0.155216709,48563
14.2,37.81,6.5,22582,54710,1.37,0,61,78,25,2331,20,0,41,1066,42040,6284,6.690006365,0.149476689,48324
14.3,38.98,6.52,22651,54301,1.46,19,98,92,33,2223,0,0,50,1106,41823,6117,6.837175086,0.146259235,47940
14.4,40.16,6.54,22431,54059,1.34,8,94,80,22,2257,0,0,128,932,41367,6138,6.739491691,0.148379143,47505
14.5,41.34,6.55,22334,54238,1.29,6,90,69,20,2621,0,0,132,896,41377,6161,6.715955202,0.148899147,47538
14.6,42.51,6.56,21774,52905,1.33,6,79,86,0,2568,0,0,139,1050,40789,5863,6.957018591,0.143739734,46652
14.7,43.69,6.57,21978,55008,1.31,0,69,73,31,3849,18,78,85,806,40892,6130,6.670799347,0.149907072,47022
14.8,44.86,6.57,22516,58646,1.45,0,67,87,9,7804,0,0,182,914,40774,5894,6.917882592,0.144552901,46668
14.9,46.04,6.58,21735,53388,1.21,0,111,66,23,2227,0,0,0,1011,40691,6082,6.690397895,0.149467941,46773
15,47.22,6.58,21734,53635,1.19,13,123,131,0,2368,5,0,83,928,40836,5977,6.832190062,0.146365952,46813
15.1,48.41,6.6,21818,54187,1.34,27,114,105,36,2661,21,0,184,1013,41157,5866,7.016195022,0.142527395,47023
15.2,49.61,6.59,22240,54518,1.24,16,89,62,15,3076,0,0,157,854,41040,6227,6.590653605,0.151730019,47267
15.3,50.81,6.6,22050,54094,1.24,13,128,87,41,2701,0,0,167,987,41173,5999,6.863310552,0.145702281,47172
15.4,52.01,6.59,22106,55019,1.23,8,122,80,41,2643,0,164,205,959,41484,6089,6.81294137,0.146779481,47573
15.5,53.21,6.58,22885,56084,1.29,0,98,58,0,2862,0,40,203,870,42924,6193,6.931051187,0.144278259,49117
15.6,54.41,6.57,23247,56229,1.26,26,125,113,48,2564,0,0,176,992,43113,6381,6.756464504,0.148006402,49494
15.7,55.61,6.57,22384,53351,1.27,20,109,50,46,1922,0,146,79,884,41193,5972,6.897689216,0.144976088,47165
15.8,56.81,6.55,22440,53777,1.39,19,116,99,29,1816,0,0,149,887,41924,6164,6.801427644,0.147027955,48088
15.9,58.01,6.52,22779,54522,1.29,17,117,95,57,1936,0,0,60,1036,42651,6090,7.003448276,0.142786805,48741
16,59.21,6.5,22840,55595,1.38,30,102,52,8,1927,0,103,88,1064,42811,6563,6.523083956,0.153301722,49374
16.1,60.41,6.49,22530,54836,1.25,12,126,84,28,2263,0,0,151,775,41798,6197,6.744876553,0.148260682,47995
16.2,61.61,6.48,22225,55486,1.25,18,134,130,20,2901,0,37,170,1036,41478,6151,6.743293773,0.148295482,47629
16.3,62.81,6.47,22443,57362,1.4,36,133,107,14,5713,0,115,123,927,41031,5930,6.919224283,0.144524871,46961
16.4,64.01,6.46,22461,60555,1.42,13,125,157,25,8203,0,0,53,1056,41146,6428,6.401057872,0.156224177,47574
16.5,65.2,6.47,22425,62410,1.28,11,145,161,33,10754,0,11,160,952,40743,6217,6.553482387,0.152590629,46960
16.6,66.4,6.47,22613,60595,1.49,21,139,121,14,9220,0,68,223,768,40888,6033,6.777391016,0.147549403,46921
16.7,67.6,6.46,22000,55539,1.21,13,118,84,22,4193,0,0,81,933,41290,6027,6.850837896,0.145967547,47317
16.8,68.8,6.46,22394,57137,1.45,29,166,171,5,4578,0,57,29,955,41907,6117,6.850907308,0.145966068,48024
16.9,70,6.45,22653,56679,1.37,47,170,124,48,4361,0,20,95,703,42023,6086,6.904863621,0.144825453,48109
17,71.2,6.43,22467,56634,1.39,34,143,132,0,4417,7,62,127,1009,41855,5898,7.096473381,0.140915064,47753
17.1,72.4,6.43,22157,55166,1.31,20,96,113,31,4084,0,0,29,1019,40846,6030,6.773797678,0.147627675,46876
17.2,73.6,6.41,21821,55241,1.35,9,130,96,6,4398,8,30,175,955,40578,6042,6.715988083,0.148898418,46620
17.3,74.8,6.39,21668,54792,1.25,15,123,120,14,3969,0,0,41,974,40918,6000,6.819666667,0.146634733,46918
17.4,76,6.39,22200,54559,1.47,12,79,91,21,2491,0,18,52,861,42150,6128,6.878263708,0.145385528,48278
17.5,77.2,6.41,23467,58184,1.39,14,112,171,29,4171,0,92,30,939,43183,6192,6.973998708,0.14338976,49375
17.6,78.4,6.43,23452,59469,1.27,21,119,118,26,5203,0,0,73,830,43070,6397,6.73284352,0.148525656,49467
17.7,79.6,6.45,22677,58650,1.31,27,148,171,45,5081,0,112,139,976,42469,6335,6.703867403,0.149167628,48804
17.8,80.8,6.47,22473,56980,1.24,35,106,110,26,4852,0,0,0,1043,41725,6076,6.867182357,0.145620132,47801
17.9,81.99,6.47,21834,56059,1.3,23,128,70,45,4361,0,0,136,1010,41415,6040,6.856788079,0.145840879,47455
18,83.19,6.47,21757,55045,1.35,30,98,94,0,3153,0,0,0,1035,41648,6207,6.709843725,0.149034768,47855
18.1,84.39,6.47,22234,55228,1.3,0,88,83,20,2878,45,226,194,1074,41764,5977,6.987451899,0.143113686,47741
18.2,85.59,6.46,22018,54686,1.48,19,87,115,57,3089,6,0,5,1032,41618,5945,7.000504626,0.142846845,47563
18.3,86.79,6.46,21466,54156,1.37,20,152,133,21,3302,0,58,142,905,40634,5898,6.889454052,0.145149382,46532
18.4,87.99,6.45,21100,53222,1.41,19,123,166,0,3456,0,0,0,935,40077,5782,6.931338637,0.144272276,45859
18.5,89.19,6.43,21189,53895,1.26,0,123,129,35,4330,0,69,13,878,39866,5836,6.831048663,0.146390408,45702
18.6,90.39,6.41,21752,55335,1.51,16,71,73,21,4075,0,94,5,1083,41199,5819,7.080082488,0.141241292,47018
18.7,91.59,6.4,21902,53767,1.37,0,113,85,18,3973,0,31,18,881,40124,5666,7.081539005,0.141212242,45790
18.8,92.79,6.41,22235,56100,1.27,18,130,116,22,4642,0,60,175,1040,40741,6213,6.557379688,0.152499939,46954
18.9,93.99,6.41,21875,54640,1.18,22,150,138,42,3765,0,20,84,947,40658,5942,6.84247728,0.1461459,46600
19,95.19,6.41,21682,54367,1.21,27,145,151,35,3526,10,41,90,1125,40531,5970,6.789112228,0.147294663,46501
19.1,96.39,6.42,21666,53977,1.24,32,153,197,11,3952,0,16,0,889,40013,5947,6.728266353,0.148626696,45960
19.2,97.59,6.42,21785,54169,1.48,21,176,205,38,3749,0,28,87,999,40556,5427,7.473005344,0.133814972,45983
19.3,98.78,6.42,21687,54834,1.4,8,149,139,31,3553,0,27,262,932,40614,6052,6.710839392,0.149012656,46666
19.4,99.98,6.41,21492,54567,1.16,22,178,149,28,4119,0,0,305,900,39846,5656,7.044908062,0.141946494,45502
19.5,101.18,6.42,21150,52554,1.25,10,117,180,0,3830,0,0,0,1028,38967,5755,6.770981755,0.14768907,44722
19.6,102.38,6.42,21012,53166,1.27,16,131,153,10,4320,16,0,134,879,39322,5718,6.876880028,0.145414781,45040
19.7,103.58,6.41,20768,51456,1.36,18,85,109,0,2723,0,142,57,1030,38898,5674,6.855481142,0.145868682,44572
19.8,104.78,6.41,21850,58693,1.2,0,96,110,23,9111,0,103,21,812,39442,5882,6.705542333,0.149130369,45324
19.9,105.98,6.43,21419,55043,1.15,22,93,105,24,6221,42,7,127,960,38809,5818,6.670505328,0.14991368,44627
20,107.18,6.45,21184,58265,1.31,4,108,172,21,9770,19,77,78,934,38567,5843,6.600547664,0.15150258,44410
20.1,108.32,6.47,21255,57010,1.18,14,100,122,0,8114,0,18,118,775,38730,5869,6.599079911,0.151536277,44599
20.2,109.46,6.47,21701,53334,1.25,6,160,163,28,4216,17,88,92,828,39229,5979,6.561130624,0.152412756,45208
20.3,110.6,6.47,20897,52503,1.31,29,160,166,20,3772,11,0,37,1012,38842,5873,6.613655713,0.151202307,44715
20.4,111.74,6.47,21302,57540,1.28,0,141,185,8,8998,0,0,50,882,38538,5860,6.576450512,0.152057709,44398
20.5,112.88,6.48,21212,52844,1.21,33,159,146,14,4048,0,0,219,846,39041,5775,6.76034632,0.147921416,44816
20.6,114.02,6.49,21626,56805,1.29,19,96,106,52,7668,0,0,221,768,39359,5883,6.690294068,0.149470261,45242
20.7,115.16,6.5,21948,57067,1.31,27,140,140,26,7704,0,0,165,839,39373,5874,6.702928158,0.14918853,45247
20.8,116.3,6.52,21830,57585,1.23,0,100,172,40,7590,0,0,364,920,39420,6055,6.510322048,0.153602232,45475
20.9,117.44,6.54,21131,53263,1.22,0,69,107,8,4826,30,28,48,754,38977,5774,6.750432975,0.148138646,44751
21,118.57,6.56,20990,53310,1.23,20,55,131,41,5730,0,0,116,736,37778,5919,6.382497043,0.15667849,43697
21.1,119.71,6.58,20927,52647,1.25,13,81,116,26,3817,11,57,128,873,38914,5828,6.677076184,0.149766151,44742
21.2,120.85,6.59,21071,50688,1.24,9,59,98,43,2355,0,53,56,878,38924,5710,6.816812609,0.146696126,44634
21.3,121.99,6.6,21166,51526,1.26,0,49,113,30,2442,0,11,212,773,39307,5816,6.758425034,0.147963467,45123
21.4,123.13,6.61,20952,52073,1.19,6,137,149,9,3099,0,26,40,1010,39057,5905,6.614225233,0.151189287,44962
21.5,124.27,6.62,20795,50787,1.33,16,89,79,19,2005,0,4,78,715,39395,5655,6.966401415,0.143546135,45050
21.6,125.41,6.63,21023,52143,1.14,15,121,131,41,2845,0,0,149,999,39362,5807,6.778370932,0.147528073,45169
21.7,126.55,6.64,20797,50745,1.39,20,160,171,64,1606,0,0,205,983,39149,5914,6.619715928,0.151063884,45063
21.8,127.69,6.65,20687,51144,1.36,14,125,171,16,1714,0,103,229,962,38901,6034,6.446967186,0.155111694,44935
21.9,128.83,6.66,21001,50929,1.34,0,137,208,9,1957,0,44,109,956,39199,5625,6.968711111,0.143498559,44824
22,129.97,6.68,20667,50122,1.21,4,112,195,32,1988,70,0,148,931,38387,5572,6.889267767,0.145153307,43959
22.1,131.11,6.69,20564,51390,1.26,11,120,186,52,3103,0,114,187,751,38322,5624,6.81401138,0.146756432,43946
22.2,132.25,6.7,20489,48866,1.23,15,82,185,13,1721,0,0,9,1002,37975,5332,7.122093023,0.140408163,43307
22.3,133.39,6.71,20417,49362,1.3,12,99,142,15,1590,0,0,168,817,38356,5364,7.150633855,0.139847742,43720
22.4,134.53,6.72,20095,48416,1.31,17,78,138,8,1185,0,21,124,760,38093,5435,7.008831647,0.142677132,43528
22.5,135.67,6.73,20240,48491,1.36,13,83,105,17,1139,0,0,211,937,37935,5715,6.637795276,0.150652432,43650
22.6,136.81,6.74,20318,49235,1.32,4,67,97,34,1016,0,0,173,842,38449,5970,6.440368509,0.155270618,44419
22.7,137.95,6.75,20631,50299,1.62,24,127,166,27,1996,0,0,317,783,38601,5629,6.857523539,0.145825238,44230
22.8,139.09,6.76,20247,49717,1.33,11,102,170,31,1283,34,115,140,848,38818,5583,6.95289271,0.14382503,44401
22.9,140.22,6.78,20226,49475,1.25,0,86,145,0,1193,0,0,219,869,38705,5779,6.697525523,0.149308875,44484
23,141.36,6.79,20502,50197,1.19,29,111,137,21,1119,6,0,59,831,39378,5775,6.818701299,0.146655493,45153
23.1,142.5,6.79,20663,50274,1.24,20,120,173,14,1452,0,0,48,757,39032,5852,6.669856459,0.149928264,44884
23.2,143.64,6.8,20735,50451,1.32,17,150,154,38,1399,0,47,85,729,39381,5877,6.70086779,0.149234402,45258
23.3,144.78,6.82,20541,51332,1.31,12,111,150,36,1713,28,0,371,805,39318,5784,6.797717842,0.147108195,45102
23.4,145.92,6.83,20774,51844,1.23,16,126,115,0,3756,0,11,96,681,38537,5695,6.766812994,0.147780056,44232
23.5,147.06,6.84,21105,55509,1.29,11,88,117,41,6432,0,0,62,881,39006,5878,6.635930589,0.150694765,44884
23.6,148.2,6.84,21057,55557,1.23,15,105,97,25,7030,45,15,114,1015,39047,5767,6.770764696,0.147693805,44814
23.7,149.34,6.85,21730,57975,1.29,14,95,106,10,8619,61,21,196,896,39353,5871,6.702946687,0.149188118,45224
23.8,150.48,6.86,21940,58532,1.37,0,115,100,0,9049,19,108,211,978,39771,5662,7.024196397,0.14236504,45433
23.9,151.62,6.86,21750,53767,1.17,0,112,95,36,3867,0,19,138,793,40174,6023,6.670097958,0.149922836,46197
24,152.76,6.87,21382,51303,1.26,0,107,86,34,1363,0,59,100,1048,40297,5884,6.8485724,0.146015832,46181
24.1,153.9,6.87,21594,51855,1.19,0,99,58,10,1533,0,26,278,1002,40505,5588,7.248568361,0.137958277,46093
24.2,155.04,6.88,22059,53832,1.25,13,101,101,31,2787,0,0,140,992,40935,5940,6.891414141,0.145108098,46875
24.3,156.18,6.88,21744,52102,1.39,11,79,109,0,1965,0,63,0,880,40376,6031,6.694743824,0.149370913,46407
24.4,157.32,6.9,21130,51177,1.56,6,90,119,21,1406,0,0,149,1014,39428,5908,6.67366283,0.149842751,45336
24.5,158.46,6.9,21440,52464,1.36,7,122,115,12,3781,0,0,50,1119,39157,5727,6.837262092,0.146257374,44884
24.6,159.6,6.9,22175,60965,1.51,15,107,141,0,13321,0,0,112,889,38321,5606,6.835711737,0.146290546,43927
24.7,160.73,6.91,21134,50533,1.38,19,85,98,14,1871,0,0,91,834,39128,5712,6.850140056,0.145982417,44840
24.8,161.87,6.91,20916,50240,1.33,0,110,94,25,1562,0,22,218,987,38907,5791,6.718528752,0.148842111,44698
24.9,163.01,6.91,21065,51066,1.46,8,86,132,44,1952,0,145,269,975,38905,6064,6.41573219,0.155866855,44969
25,164.15,6.91,21630,52456,1.23,11,131,141,59,1747,0,0,296,906,40657,5963,6.818212309,0.146666011,46620
25.1,165.44,6.92,21643,52750,1.24,0,105,126,53,1948,0,0,65,945,40642,6001,6.77253791,0.147655135,46643
25.2,166.73,6.92,22102,53406,1.38,10,138,135,24,2241,0,0,74,871,41334,5871,7.04036791,0.142038032,47205
25.3,168.02,6.92,22371,55219,1.53,18,154,189,27,2212,0,0,253,984,41721,6395,6.524003127,0.153280123,48116
25.4,169.31,6.91,22362,54260,1.27,17,143,193,26,1713,0,0,211,1069,42027,6027,6.973120956,0.143407809,48054
25.5,170.6,6.92,22325,53277,1.38,10,131,145,14,1240,38,0,279,799,41826,5937,7.044972208,0.141945202,47763
25.6,171.89,6.92,22562,52948,1.31,21,159,118,46,811,0,0,0,780,42048,6044,6.956982131,0.143740487,48092
25.7,173.18,6.91,22610,54352,1.24,14,140,168,23,1319,0,0,81,1012,42564,6262,6.797189396,0.147119632,48826
25.8,174.47,6.91,22547,54110,1.49,0,136,167,24,850,0,58,227,953,42515,5974,7.116672246,0.140515112,48489
25.9,175.76,6.92,22565,53891,1.34,0,133,123,49,1110,0,0,105,1071,42121,6140,6.86009772,0.145770518,48261
26,177.05,6.92,22606,54114,1.41,20,97,105,0,894,0,0,210,1062,42458,6202,6.845856175,0.146073767,48660
26.1,178.34,6.92,22511,53238,1.24,0,93,103,4,1020,17,0,130,884,41928,6170,6.795461912,0.147157031,48098
26.2,179.63,6.92,22420,54358,1.31,7,136,155,17,1731,0,0,210,997,42395,5910,7.173434856,0.139403232,48305
26.3,180.92,6.92,22276,54236,1.39,19,137,83,10,2398,0,110,69,960,41768,5862,7.125213238,0.140346677,47630
26.4,182.21,6.92,22198,53452,1.22,0,128,107,50,2279,0,42,157,898,41536,5876,7.068754255,0.141467643,47412
26.5,183.5,6.92,22317,53222,1.25,11,84,95,38,2107,0,23,58,1081,41348,5828,7.094715168,0.140949985,47176
26.6,184.79,6.92,22425,53710,1.26,10,124,111,27,1657,0,0,165,917,41791,6047,6.911030263,0.144696226,47838
26.7,186.08,6.92,22495,53815,1.37,13,143,153,35,1935,0,0,217,946,41336,6005,6.883597002,0.145272886,47341
26.8,187.37,6.92,22395,53458,1.38,0,125,115,14,1247,0,0,211,845,42034,5936,7.081199461,0.141219013,47970
26.9,188.66,6.92,22535,53648,1.48,22,136,116,17,1917,0,0,90,962,41292,6058,6.816110928,0.146711227,47350
27,189.95,6.93,22325,52903,1.32,11,122,136,51,984,0,56,133,869,41715,6147,6.786237189,0.147357066,47862
27.1,191.24,6.94,22307,53261,1.55,14,152,109,0,955,0,0,164,998,41944,5876,7.138189244,0.140091551,47820
