"Element","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm","AIC","BIC","mean_obs_ppm","RMSE_log_pc","RMSE_ppm_pc","RMSEP_ppm_pc"
"Ti","Bayes",0.769067236846491,0.591446999353038,0.623668660505259,1783.30513592537,NA,495.052856787575,523.780752631662,3392.06646739343,8.13964971656281,145.1547914418,NA
"Ti","RF",0.758515868218349,0.604807761433501,0.609044942817076,1540.05877513209,NA,NA,NA,3392.06646739343,8.31040737521444,127.985158031214,NA
"Ti","PLS_LOO",0.754035431978301,0.610392701137588,0.641872967170071,2029.36926987965,NA,NA,NA,3392.06646739343,8.40035634529776,170.474250231858,NA
"Ti","PLS_kfold",0.754035431978301,0.610392701137588,0.641872967170071,2029.36926987965,NA,NA,NA,3392.06646739343,8.40035634529776,170.474250231858,NA
"Fe","OLS",0.711860213839782,0.612416695598065,0.619207902382141,19046.317786508,NA,503.727552589756,514.500513531289,21584.5758201723,6.52672883183217,1243.10151437439,NA
"Fe","WLS",0.711426381771426,0.612877558837851,NA,19118.97376675,NA,491.391320242748,502.164281184281,21584.5758201723,6.53030010588338,1248.52636413389,NA
"Fe","OLS_weighted",0.705011398870254,0.619652240442579,NA,19165.0781241486,NA,522.979148483121,533.752109424654,21584.5758201723,6.6620416902927,1276.78549460795,NA
"Fe","WLS_weighted",0.711404682307114,0.612900601250386,NA,19121.2837499281,NA,491.44106706079,502.214028002323,21584.5758201723,6.53047909518848,1248.71143802073,NA
"Fe","Bayes",0.782666025570093,0.531874559979908,0.553367126639677,13054.643263387,NA,438.148736470006,466.876632314093,21584.5758201723,5.66838416419403,739.987331433851,NA
"Fe","RF",0.80053438105373,0.509541347860933,0.516653413340178,18195.5344182785,NA,NA,NA,21584.5758201723,5.43392984194671,988.73257465652,NA
"Fe","PLS_LOO",0.769588412151896,0.547643031052147,0.558876405734737,12699.4253247054,NA,NA,NA,21584.5758201723,5.83641430093516,741.191075787688,NA
"Fe","PLS_kfold",0.769588412151896,0.547643031052147,0.558876405734737,12699.4253247054,NA,NA,NA,21584.5758201723,5.83641430093516,741.191075787688,NA
"Mn","OLS",0.642325781154841,0.576119639333299,0.578466614037536,111.776118917736,NA,470.979249882013,481.752210823546,197.778804797106,11.9179538676928,13.3214262877132,NA
"Mn","WLS",0.64171449487873,0.57661174033931,NA,108.962939644912,NA,449.383505423298,460.15646636483,197.778804797106,11.9216071388441,12.9901335914022,NA
"Mn","OLS_weighted",0.621575234052913,0.592595892589243,NA,115.442539169045,NA,464.263343905446,475.036304846979,197.778804797106,12.6077701046542,14.5547299414087,NA
"Mn","WLS_weighted",0.642027836746649,0.576359544649593,NA,109.653909631702,NA,452.112021258381,462.884982199914,197.778804797106,11.9193763579275,13.0700621801843,NA
"Mn","Bayes",0.675458563365959,0.54878715622519,0.563291283780317,106.167683499791,NA,454.927144861597,483.655040705684,197.778804797106,11.3525920752897,12.0527840235159,NA
"Mn","RF",0.698151148146781,0.529253362135368,0.538666849894129,99.3730994626993,NA,NA,NA,197.778804797106,10.9308396118326,10.8623141195745,NA
"Mn","PLS_LOO",0.652472643614871,0.567888873609633,0.583845224423336,106.37886834467,NA,NA,NA,197.778804797106,11.7476873475235,12.4970568569655,NA
"Mn","PLS_kfold",0.652472643614871,0.567888873609633,0.583845224423336,106.37886834467,NA,NA,NA,197.778804797106,11.7476873475235,12.4970568569655,NA
"Sr","OLS",0.605940022011523,0.388440903375382,0.391554198151312,59.7735590156883,NA,259.701823511304,270.474784452837,163.852330174044,7.91599508300363,4.73167199261816,NA
"Sr","WLS",0.605899324973479,0.388460961218056,NA,59.3656290640811,NA,259.48152064019,270.254481581722,163.852330174044,7.9164456866427,4.69964778139175,NA
"Sr","OLS_weighted",0.588442221601662,0.396971381054182,NA,68.563181097856,NA,330.646390635536,341.419351577069,163.852330174044,8.21821901552606,5.63467238663357,NA
"Sr","WLS_weighted",0.605197017350042,0.38880693583257,NA,61.616501941787,NA,262.010925381086,272.783886322619,163.852330174044,7.9241960725617,4.88261242692099,NA
"Sr","Bayes",0.719033486991341,0.327997906598047,0.346202462486856,49.7050467588939,NA,179.046097421121,207.773993265208,163.852330174044,6.6842619538624,3.32241552965426,NA
"Sr","RF",0.721982836872426,0.326271842029504,0.327736832283875,43.1095883838837,NA,NA,NA,163.852330174044,6.6428959547371,2.86372510285682,NA
"Sr","PLS_LOO",0.681443929954195,0.349250256346248,0.359641666342418,60.5526521980026,NA,NA,NA,163.852330174044,7.11733313343403,4.30973397806151,NA
"Sr","PLS_kfold",0.681443929954195,0.349250256346248,0.359641666342418,60.5526521980026,NA,NA,NA,163.852330174044,7.11733313343403,4.30973397806151,NA
"Zr","OLS",0.608456680906178,0.822327315016661,0.829368800202076,148.16046066862,NA,661.700465220814,672.473426162346,65.4747233406631,24.9401894861566,36.9514996343163,NA
"Zr","WLS",0.608323185716187,0.822467487738816,NA,159.077231156446,NA,661.726819498081,672.499780439613,65.4747233406631,24.9432156773829,39.6789768609613,NA
"Zr","OLS_weighted",0.401191970178938,1.01694769214115,NA,153.784821913486,NA,788.726977570257,799.499938511789,65.4747233406631,37.3991921049437,57.51428097567,NA
"Zr","WLS_weighted",0.608229412035276,0.822565937768544,NA,162.575252795128,NA,661.816062941063,672.589023882596,65.4747233406631,24.9453367350013,40.5549442575243,NA
"Zr","Bayes",0.723503699572672,0.691034085621477,0.73294668717106,78.0488237943269,NA,578.463608938088,607.191504782175,65.4747233406631,20.9583134637289,16.3577171455685,NA
"Zr","RF",0.76427923472626,0.638048553639218,0.656891235581288,43.5303797063521,NA,NA,NA,65.4747233406631,19.3407959944962,8.41912193463513,NA
"Zr","PLS_LOO",0.697291605179832,0.723047851394819,0.762985283258762,93.2499291193699,NA,NA,NA,65.4747233406631,21.9291638402889,20.4489297375399,NA
"Zr","PLS_kfold",0.697291605179832,0.723047851394819,0.762985283258762,93.2499291193699,NA,NA,NA,65.4747233406631,21.9291638402889,20.4489297375399,NA
