"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,41.0833333333333,11.4531324284775,70.96066682,1.987543814,121.121501507,-118.884684580334,361.127687594333
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,31.0833333333333,17.8857908729672,272.5348429,4.718080418,101.387467673228,-138.687405538051,341.462340884507
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,29.1818181818182,18.3892260947446,48.26462876,0.742906646,97.6350112396849,-142.45466915223,337.7246916316
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,31.2727272727273,14.1002901324115,71.25145017,1.139627929,101.761218314019,-138.312210625445,341.834647253483
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,36.7272727272727,22.0095020801967,63.1732016,1.032756436,112.525236768804,-127.508972396566,352.559445934173
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,52.2,10.9015799058872,70.44102514,1.552356955,143.059169118876,-96.8887843691751,383.007122606928
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,38.45,20.1506823705799,100.6908119,1.179209481,115.92487259744,-124.097903857684,355.947649052564
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,51.9090909090909,23.4027970356304,69.28334701,0.809799887,142.485088134621,-97.4641459525767,382.434322221819
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,40.9,20.1077652219789,70.46152124,0.555145222,120.759710886714,-119.247595549379,360.767017322807
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,5660.04545454545,32.4545454545455,19.3719572390796,97.8957421,1.441879782,104.093422312556,-135.971119387353,344.157964012465
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,5698.00833333333,49.5833333333333,15.6986295483704,81.91402797,0.649961199,137.895430265706,-102.06451213022,377.855372661631
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,5774.45833333333,61.0833333333333,24.0924670736928,274.0987451,7.474758189,160.589569174544,-79.3255771496432,400.504715498731
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,5914.69166666667,54.1666666666667,15.4321584735096,78.69369569,2.21352713,146.940195772852,-92.9994433881331,386.879834933836
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,6045.02727272727,39,21.4149480503689,60.23512043,1.406740407,117.010244458297,-123.008978463068,357.029467379663
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,6127.60909090909,62.4545454545455,19.6894064733482,321.8666456,8.368333361,163.295523813872,-76.6156452267262,403.20669285447
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,6161.61818181818,62,17.3954016912516,107.9334325,2.989644718,162.398522275973,-77.5139329935335,402.310977545479
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,6233.21818181818,52.9090909090909,15.5977853905902,98.07001331,1.92257992,144.458491517998,-95.4863952975815,384.403378333578
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,6633.50909090909,48.7272727272727,21.9275667099243,53.48002201,1.120701616,136.20607736933,-103.758016951039,376.170171689699
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,6779.31666666667,55.1666666666667,18.1350155191218,46.9486511,0.918027483,148.913599156229,-91.0220416187077,388.849239931165
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,6996.89090909091,65.2727272727273,19.2618322549591,68.97052291,1.256631377,168.856933348844,-71.046974040258,408.760840737945
