"Location","Site","Section","sample","min_depth","max_depth","midpoint","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","fit","lwr","upr"
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,0.0165000342411901,0.000825001712059506,-1.57677942538642,-0.0788389712693208,-1.94697558514064,-3.30550294703554,-0.588448223245749
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,0.149902421568043,0.00749512107840217,-1.15148901765915,-0.0575744508829577,-1.91398005853794,-3.27270733747946,-0.55525277959643
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,-0.0810113077234121,-0.00405056538617061,-2.11016921425228,-0.105508460712614,-1.97109387974038,-3.32958103633646,-0.612606723144303
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,-0.0463091356705023,-0.00231545678352511,-1.63866120826319,-0.0819330604131594,-1.96251070170221,-3.32100191173328,-0.604019491671146
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,0.263924029594236,0.0131962014797118,-1.48129407207,-0.0740647036034999,-1.88577814194336,-3.24480895831158,-0.526747325575137
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,0.106157305462873,0.00530786527314365,-0.803665934256154,-0.0401832967128077,-1.92479990345309,-3.28344317826672,-0.566156628639455
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,0.263950049938901,0.0131975024969451,-1.49340773450956,-0.0746703867254779,-1.8857717061142,-3.24480260570016,-0.526740806528227
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,-0.241223027736211,-0.0120611513868105,-2.01692449666566,-0.100846224833283,-2.01072038250149,-3.36933574286019,-0.652105022142796
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,-0.387328486313917,-0.0193664243156959,-1.87207060455042,-0.0936035302275211,-2.04685786580971,-3.40580064499639,-0.687915086623029
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,-1.06187069462002,-0.053093534731001,-1.93424580275696,-0.0967122901378483,-2.21369802380684,-3.57674964471277,-0.850646402900914
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,-0.589917020124452,-0.0294958510062226,-1.82353009821283,-0.0911765049106415,-2.09696577984853,-3.45669452551701,-0.73723703418005
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,-0.0355656878888255,-0.00177828439444127,-1.88346933580061,-0.0941734667900304,-1.95985343503564,-3.31834819711084,-0.601358672960446
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,-0.207694853085263,-0.0103847426542632,-1.82695101685855,-0.0913475508429273,-2.0024275790457,-3.3609961279145,-0.643859030176906
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,-0.194762530720018,-0.0097381265360009,-1.26480808520215,-0.0632404042601073,-1.99922891974741,-3.35778223908166,-0.640675600413165
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,-0.726621778979851,-0.0363310889489926,-1.65431542622622,-0.0827157713113111,-2.13077810958201,-3.49125488887778,-0.770301330286238
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,-0.137034085901181,-0.00685170429505903,-1.71427225007869,-0.0857136125039344,-1.98495046135607,-3.34345498766185,-0.626445935050282
"Isla Hermite","HER42PB","HER42PB_1J",353,395.4,396.6,396,-0.415665647978288,-0.0207832823989144,-2.11874496203396,-0.105937248101698,-2.05386673266942,-3.4128962540596,-0.694837211279244
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,-0.968445311651706,-0.0484222655825853,-2.55513425267696,-0.127756712633848,-2.19059034357061,-3.5528189102757,-0.828361776865525
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,-0.975177076631655,-0.0487588538315828,-2.69253338059978,-0.134626669029989,-2.19225536722521,-3.55454051756401,-0.829970216886411
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,-1.21548521359251,-0.0607742606796253,-2.60414993998564,-0.130207496999282,-2.25169278573639,-3.61627439439058,-0.887111177082207
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,-0.539558621706125,-0.0269779310853062,-2.37051628637278,-0.118525814318639,-2.08451021658631,-3.44400759212153,-0.725012841051076
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,-0.654661446109051,-0.0327330723054525,-2.51796971580554,-0.125898485790277,-2.11297955945741,-3.47304073596036,-0.752918382954465
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,-0.4042139242677,-0.020210696213385,-2.00352617009061,-0.10017630850453,-2.051034282202,-3.41002784021967,-0.692040724184327
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,-0.264804046831037,-0.0132402023415519,-2.40995790397159,-0.120497895198579,-2.01655287289731,-3.37520749107255,-0.65789825472206
