Location,Site,Section,sample,min_depth,max_depth,depth,SH20_age,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,K_ICP,Ca_ICP,Ti_ICP,Mn_ICP,Fe_ICP,Co_ICP,Ni_ICP,Cu_ICP,Zn_ICP,Rb_ICP,Sr_ICP,Zr_ICP,K_ICP_sd,Ca_ICP_sd,Ti_ICP_sd,Mn_ICP_sd,Fe_ICP_sd,Co_ICP_sd,Ni_ICP_sd,Cu_ICP_sd,Zn_ICP_sd,Rb_ICP_sd,Sr_ICP_sd,Zr_ICP_sd,Mo_inc,Mo_coh,Mo_inc_sd,Mo_coh_sd,coh_inc,coh_inc_sd,dry_mass_pc,dry_mass_err
Bird Island,BI10,BI10.2,67,70.1,71.2,70.6,1100.566667,23119.33333,56701.33333,1.278333333,-1.822195238,0.929554967,-1.335910723,-1.30935145,2.601097737,-0.860487026,0.367518977,0.016696242,-0.234541713,-1.204192568,1.076002161,1.775808633,-0.091109762,0.046477748,-0.066795536,-0.065467572,0.130054887,-0.043024351,0.018375949,0.000834812,-0.011727086,-0.060209628,0.053800108,0.088790432,3.717974309,3.874763273,2.034172616,-0.757053093,3.499596495,-3.836251958,-3.454510608,-1.639819141,0.327338358,-1.8264105,-0.115409782,-1.82438997,0.185898715,0.193738164,0.101708631,-0.037852655,0.174979825,-0.191812598,-0.17272553,-0.081990957,0.016366918,-0.091320525,-0.005770489,-0.091219498,42998.16667,6520.5,738.9956124,154.9589388,0.151652695,0.002941087,22.9846784,2.29846784
Bird Island,BI10,BI10.2,71,74.7,75.8,75.2,1174.816667,22181.16667,53873,1.321666667,-1.899977937,0.70743989,-1.035229969,-1.101233302,2.833889702,-0.215687577,0.632363863,0.4818475,-2.464344328,-1.167336657,1.230351512,1.997917304,-0.094998897,0.035371994,-0.051761498,-0.055061665,0.141694485,-0.010784379,0.031618193,0.024092375,-0.123217216,-0.058366833,0.061517576,0.099895865,2.958381114,4.169739525,1.506289449,-0.78963984,3.58559083,-3.91553437,-2.73083618,-1.100845992,0.315867058,-2.575544727,0.115839187,-1.539306054,0.147919056,0.208486976,0.075314472,-0.039481992,0.179279542,-0.195776718,-0.136541809,-0.0550423,0.015793353,-0.128777236,0.005791959,-0.076965303,41187.16667,6174.333333,748.5769327,163.8199307,0.149898092,0.00220137,23.15568582,2.315568582
Bird Island,BI10,BI10.2,81,86.5,87.5,87,1349.672727,22325.90909,53674.81818,1.295454545,-2.33270431,0.526781732,-1.509682048,-1.09570625,2.570676273,-0.561842958,0.508633946,0.29005831,-0.559361567,-0.879365446,1.124325925,1.918186393,-0.116635215,0.026339087,-0.075484102,-0.054785312,0.128533814,-0.028092148,0.025431697,0.014502915,-0.027968078,-0.043968272,0.056216296,0.09590932,4.271033614,3.899712141,2.393850738,-0.468778543,3.444711168,-4.409324442,-3.449888786,-1.622044398,-1.088758748,-1.384789405,0.045471755,-1.631195093,0.213551681,0.194985607,0.119692537,-0.023438927,0.172235558,-0.220466222,-0.172494439,-0.08110222,-0.054437937,-0.06923947,0.002273588,-0.081559755,41158.81818,6136.545455,1029.405345,242.7893588,0.149104333,0.004918526,24.17673458,2.417673458
Bird Island,BI10,BI10.3,88,84.8,85.8,85.3,1324,21329.45455,51592.63636,1.240909091,-3.24094639,0.877684198,-1.376866259,-1.465994039,2.472786415,-0.53623509,0.842926872,0.327176863,-0.935864417,-0.65130442,1.40752272,2.279113547,-0.16204732,0.04388421,-0.068843313,-0.073299702,0.123639321,-0.026811755,0.042146344,0.016358843,-0.046793221,-0.032565221,0.070376136,0.113955677,3.360978837,4.202408858,1.677260579,-0.629762596,3.553766075,-3.720746508,-2.899721059,-1.065517959,-0.5018295,-2.088792334,0.198157304,-2.086201697,0.168048942,0.210120443,0.083863029,-0.03148813,0.177688304,-0.186037325,-0.144986053,-0.053275898,-0.025091475,-0.104439617,0.009907865,-0.104310085,40259.81818,6034.909091,896.363522,199.4965937,0.149911105,0.004174895,16.6231038,1.66231038
Bird Island,BI10,BI10.3,95,93,94,93.5,1444.545455,21085,51886,1.319090909,-1.62698889,0.579671499,-0.295947512,-0.951053839,3.149176148,-0.81340766,0.391321288,-0.313228524,-3.281809809,-0.234739599,1.579385913,1.817620984,-0.081349445,0.028983575,-0.014797376,-0.047552692,0.157458807,-0.040670383,0.019566064,-0.015661426,-0.16409049,-0.01173698,0.078969296,0.090881049,3.243456551,4.00811031,1.600309956,-0.707282013,4.533947801,-3.058276394,-2.843690584,-1.579646064,-0.530321058,-2.476010236,-0.020224368,-2.170373901,0.162172828,0.200405515,0.080015498,-0.035364101,0.22669739,-0.15291382,-0.142184529,-0.078982303,-0.026516053,-0.123800512,-0.001011218,-0.108518695,38250.63636,5976.090909,2260.375291,279.3658728,0.156443694,0.006363537,15.49312409,1.549312409
Bird Island,BI10,BI10.3,98,96.3,97.3,96.8,1492.281818,20358.09091,49648.18182,1.288181818,-1.375169824,0.289344173,-0.678603837,-1.0587938,2.949234953,-0.5586742,0.281099388,-0.515232029,-2.629074997,0.127892344,1.47297315,1.695004678,-0.068758491,0.014467209,-0.033930192,-0.05293969,0.147461748,-0.02793371,0.014054969,-0.025761601,-0.13145375,0.006394617,0.073648657,0.084750234,3.413361438,4.187868213,1.725017539,-0.618439671,4.256323233,-3.317649928,-2.839975529,-1.673154929,-0.874900625,-2.336224731,0.114352066,-2.036577077,0.170668072,0.209393411,0.086250877,-0.030921984,0.212816162,-0.165882496,-0.141998776,-0.083657746,-0.043745031,-0.116811237,0.005717603,-0.101828854,36182.81818,5897.909091,2511.390484,285.0955821,0.163261797,0.004797626,27.34117399,2.734117399
Bird Island,BI10,BI10.3,104,103.2,104.2,103.7,1595.6,23485.90909,56468.36364,1.455454545,-1.90267718,0.658347105,-0.738369632,-0.957187294,2.503985606,-0.715511494,0.495638879,-0.241807094,-1.672153522,-0.793320352,1.42488695,1.938168029,-0.095133859,0.032917355,-0.036918482,-0.047859365,0.12519928,-0.035775575,0.024781944,-0.012090355,-0.083607676,-0.039666018,0.071244348,0.096908401,2.976634872,4.581385363,1.804254421,-0.426211194,3.309509097,-3.956208023,-2.765812805,-1.320026896,-0.462279231,-2.449781195,0.560287783,-1.851752192,0.148831744,0.229069268,0.090212721,-0.02131056,0.165475455,-0.197810401,-0.13829064,-0.066001345,-0.023113962,-0.12248906,0.028014389,-0.09258761,43429,6444.272727,552.6917767,162.0747302,0.148378059,0.002752184,16.82974775,1.682974775
Bird Island,BI10,BI10.3,114,114.9,115.9,115.4,1769.918182,23787.45455,60059.36364,1.378181818,-2.397925715,0.77256412,-1.121137566,-1.044066629,4.314642624,0.362622729,0.872775178,0.355870508,-4.108007153,-1.077589321,0.849061884,2.221189341,-0.119896286,0.038628206,-0.056056878,-0.052203331,0.215732131,0.018131136,0.043638759,0.017793525,-0.205400358,-0.053879466,0.042453094,0.111059467,3.012342575,4.192269369,1.435454424,-0.777042562,5.237812568,-4.001546536,-2.680687936,-0.695703771,-0.85779641,-2.637768277,0.111828562,-2.339162005,0.150617129,0.209613468,0.071772721,-0.038852128,0.261890628,-0.200077327,-0.134034397,-0.034785189,-0.04288982,-0.131888414,0.005591428,-0.1169581,42366.36364,6354.727273,428.9103106,141.9909088,0.149992787,0.002882752,13.84436494,1.384436494
Bird Island,BI10,BI10.3,120,121.8,122.7,122.3,1872.71,23463.2,55879.5,1.243,-2.503226874,0.691462704,-1.735044507,-1.282511888,2.749930097,-0.6344262,0.892326907,0.585451513,-0.823584702,-0.667015642,0.419795052,2.30684354,-0.125161344,0.034573135,-0.086752225,-0.064125594,0.137496505,-0.03172131,0.044616345,0.029272576,-0.041179235,-0.033350782,0.020989753,0.115342177,2.393801242,4.451850016,1.12947681,-0.663538721,4.218824524,-4.431671982,-2.255891242,0.007930313,0.333205891,-3.180346186,0.386017632,-2.389658296,0.119690062,0.222592501,0.05647384,-0.033176936,0.210941226,-0.221583599,-0.112794562,0.000396516,0.016660295,-0.159017309,0.019300882,-0.119482915,44116.7,6464.9,1115.395301,212.4897122,0.146557429,0.003832888,12.21081609,1.221081609
Bird Island,BI10,BI10.4,135,129.4,130.4,129.9,1986.590909,23205.09091,65119.72727,1.433636364,-3.06128811,0.449853859,-1.258330316,-1.150745105,4.688476941,0.226508512,0.324932817,0.11676572,-0.470683164,-2.194869208,0.60780223,1.721575824,-0.153064406,0.022492693,-0.062916516,-0.057537255,0.234423847,0.011325426,0.016246641,0.005838286,-0.023534158,-0.10974346,0.030390112,0.086078791,2.90038608,4.136013976,1.492357474,-0.877847223,3.509895836,-4.500993984,-2.254826489,-0.154838744,0.334532171,-2.563469568,0.110203675,-2.131413202,0.145019304,0.206800699,0.074617874,-0.043892361,0.175494792,-0.225049699,-0.112741324,-0.007741937,0.016726609,-0.128173478,0.005510184,-0.10657066,38979.18182,6136.454545,780.3019695,161.467869,0.157428366,0.002657515,16.79692387,1.679692387
Bird Island,BI10,BI10.4,145,141,142,141.5,2162.972727,23972.81818,57889.27273,1.315454545,-2.723471316,0.485578614,-1.632294006,-1.424188332,3.066760649,-0.669347583,0.627601678,0.288790259,0.463340348,-1.682017441,1.153730174,2.045516955,-0.136173566,0.024278931,-0.0816147,-0.071209417,0.153338032,-0.033467379,0.031380084,0.014439513,0.023167017,-0.084100872,0.057686509,0.102275848,3.796435072,3.810282395,1.459552506,-0.852461113,5.712103941,-3.473260402,-2.832207015,-1.095121887,-1.189263882,-2.519021153,-0.286457725,-2.530580738,0.189821754,0.19051412,0.072977625,-0.042623056,0.285605197,-0.17366302,-0.141610351,-0.054756094,-0.059463194,-0.125951058,-0.014322886,-0.126529037,43889.09091,6543,498.626003,178.5463525,0.149073162,0.003382222,14.8081316,1.48081316
Bird Island,BI10,BI10.4,155,152.7,153.8,153.2,2335.408333,23105.16667,59388.66667,1.445,-3.728093319,0.165765716,-1.844818741,-1.318898491,3.988623573,0.55411298,0.482551699,0.33836604,0.88479699,-1.792955267,0.411861755,1.858687065,-0.186404666,0.008288286,-0.092240937,-0.065944925,0.199431179,0.027705649,0.024127585,0.016918302,0.04423985,-0.089647763,0.020593088,0.092934353,3.568978834,3.709104227,1.986467041,-0.644164395,3.651310992,-4.836988221,-3.217310201,-0.847155394,-0.0828511,-2.025018363,-0.264678149,-0.997695272,0.178448942,0.185455211,0.099323352,-0.03220822,0.18256555,-0.241849411,-0.16086551,-0.04235777,-0.004142555,-0.101250918,-0.013233907,-0.049884764,41299.08333,6409.916667,461.5002134,152.3157357,0.155222517,0.003991243,16.33050513,1.633050513
Bird Island,BI10,BI10.4,165,164.8,165.8,165.3,2517.272727,22003.36364,55622.63636,1.340909091,-1.957045328,0.635049434,-0.72067617,-1.241786694,3.573318926,-0.485095523,0.327491695,-0.028119482,-0.388260048,-2.154109167,0.767933935,1.671298423,-0.097852266,0.031752472,-0.036033808,-0.062089335,0.178665946,-0.024254776,0.016374585,-0.001405974,-0.019413002,-0.107705458,0.038396697,0.083564921,3.034312199,3.73351633,0.631718832,-1.147265727,5.895944773,-2.085337219,-2.11919506,-0.840453531,0.093235248,-3.455337069,-0.457328249,-3.283810527,0.15171561,0.186675816,0.031585942,-0.057363286,0.294797239,-0.104266861,-0.105959753,-0.042022677,0.004661762,-0.172766853,-0.022866412,-0.164190526,39460.90909,6059.454545,1155.963361,195.2973956,0.153574041,0.003237462,15.40632226,1.540632226
Bird Island,BI10,BI10.4,168,168.4,170,169.2,2576.011765,23517.94118,58045.35294,1.348823529,-2.308980111,0.40332768,-1.024718476,-1.034735254,3.61772189,-0.454558881,0.41257844,-0.144278726,-0.764827666,-1.127252916,0.729045074,1.696678946,-0.115449006,0.020166384,-0.051235924,-0.051736763,0.180886094,-0.022727944,0.020628922,-0.007213936,-0.038241383,-0.056362646,0.036452254,0.084833947,4.335227723,3.1613924,1.743562029,-0.227138916,5.239001742,-2.967484587,-3.109271929,-2.091513058,-0.619586956,-1.853110202,-0.820632363,-2.790445883,0.216761386,0.15806962,0.087178101,-0.011356946,0.261950087,-0.148374229,-0.155463596,-0.104575653,-0.030979348,-0.09265551,-0.041031618,-0.139522294,41957.52941,6396.058824,646.1320606,215.9295228,0.152447822,0.004793828,18.59519446,1.859519446
Bird Island,BI10,BI10.5,181,174.6,175.6,175.1,2667,23704.54545,59517.81818,1.359090909,-1.865986383,0.347263552,-1.027848892,-1.57830431,3.721235713,-0.174870439,0.368745008,-0.042810717,-0.432930255,-1.687810523,0.693218191,1.680099055,-0.093299319,0.017363178,-0.051392445,-0.078915216,0.186061786,-0.008743522,0.01843725,-0.002140536,-0.021646513,-0.084390526,0.03466091,0.084004953,2.595922114,4.198697608,0.897476815,-0.812097283,5.907980741,-2.617163603,-2.385742745,-1.083192655,-0.251623598,-3.58810118,0.027370245,-2.889526459,0.129796106,0.20993488,0.044873841,-0.040604864,0.295399037,-0.13085818,-0.119287137,-0.054159633,-0.01258118,-0.179405059,0.001368512,-0.144476323,41661.81818,6516.909091,698.4810403,165.7784392,0.156416456,0.00248921,14.38022471,1.438022471
Bird Island,BI10,BI10.5,191,186.6,187.6,187.1,2847.454545,21510,58730.81818,1.32,-2.783639679,0.545719879,-1.118939088,-1.284625584,4.516886844,0.510090592,0.366080923,0.220579208,-1.858299112,-2.008703066,1.152632382,1.7422167,-0.139181984,0.027285994,-0.055946954,-0.064231279,0.225844342,0.02550453,0.018304046,0.01102896,-0.092914956,-0.100435153,0.057631619,0.087110835,4.166521056,3.54553266,1.650161162,-0.362185612,5.109635607,-3.453338826,-3.442397006,-1.802984478,-0.629099536,-1.989712959,-0.388948083,-2.403183985,0.208326053,0.177276633,0.082508058,-0.018109281,0.25548178,-0.172666941,-0.17211985,-0.090149224,-0.031454977,-0.099485648,-0.019447404,-0.120159199,36929.18182,5825.272727,652.108552,199.2370904,0.157757844,0.005194461,20.19056256,2.019056256
Bird Island,BI10,BI10.5,194,190.3,191.3,190.8,2903.109091,21500.09091,61427.81818,1.414545455,-2.992571837,0.594907503,-1.131819496,-1.300895826,5.08663121,0.851860375,0.568880008,0.338356349,-2.575272271,-2.069163637,0.697646007,1.931441615,-0.149628592,0.029745375,-0.056590975,-0.065044791,0.254331561,0.042593019,0.028444,0.016917817,-0.128763614,-0.103458182,0.0348823,0.096572081,4.508735722,3.723922797,2.23914703,0.040011378,4.664734841,-4.086220508,-3.851858372,-2.162421904,-1.135015734,-1.379727463,-0.655489741,-1.905818048,0.225436786,0.18619614,0.111957351,0.002000569,0.233236742,-0.204311025,-0.192592919,-0.108121095,-0.056750787,-0.068986373,-0.032774487,-0.095290902,35551.54545,5773.636364,762.2013335,147.2387671,0.162441652,0.004380893,35.50400774,3.550400774
Bird Island,BI10,BI10.5,197,194,195,194.5,2954.418182,21368,63253.63636,1.329090909,-3.064462912,0.473935591,-1.270255461,-1.61064735,4.960221173,0.401272991,0.391575385,0.077404812,-1.315263057,-1.265377403,0.644074984,1.577521247,-0.153223146,0.02369678,-0.063512773,-0.080532368,0.248011059,0.02006365,0.019578769,0.003870241,-0.065763153,-0.06326887,0.032203749,0.078876062,3.404914878,3.856033813,1.455691786,-0.821628242,5.167605482,-3.288419568,-3.126811859,-1.19367513,-0.164578661,-2.498525515,-0.259786017,-2.530820968,0.170245744,0.192801691,0.072784589,-0.041081412,0.258380274,-0.164420978,-0.156340593,-0.059683757,-0.008228933,-0.124926276,-0.012989301,-0.126541048,34873.36364,5607.636364,692.400646,152.3169542,0.160814896,0.003733565,15.3832195,1.53832195
Bird Island,BI10,BI10.5,202,199.9,200.8,200.3,3041.911111,20677.77778,62829.77778,1.47,-2.822605275,0.551055949,-1.101162304,-1.191188456,4.961179284,0.277375786,0.221329101,-0.091771338,-1.923749605,-0.980684839,0.695002459,1.405219238,-0.141130264,0.027552797,-0.055058115,-0.059559423,0.248058964,0.013868789,0.011066455,-0.004588567,-0.09618748,-0.049034242,0.034750123,0.070260962,3.028614012,3.935950447,0.718005351,-0.997711151,6.419927266,-2.821730477,-2.35393223,-0.520200355,-0.238185594,-3.803575483,-0.289101892,-3.078059895,0.151430701,0.196797522,0.035900268,-0.049885558,0.320996363,-0.141086524,-0.117696612,-0.026010018,-0.01190928,-0.190178774,-0.014455095,-0.153902995,31754.11111,5380.777778,1836.138301,193.7335656,0.169655698,0.004830661,16.86311015,1.686311015
Bird Island,BI10,BI10.6,218,209.5,210.5,210,3183,22777.27273,67689.90909,1.406363636,-2.53487531,0.285325489,-1.481214409,-1.609831787,4.627228252,-0.185071145,-0.060092999,-0.460253055,1.009105405,-1.312393539,0.509385451,1.212687646,-0.126743765,0.014266274,-0.07406072,-0.080491589,0.231361413,-0.009253557,-0.00300465,-0.023012653,0.05045527,-0.065619677,0.025469273,0.060634382,4.372865802,3.218011946,1.563464979,-0.522962128,5.981535197,-3.129154507,-3.329042232,-2.061520706,-0.057883391,-2.354693686,-0.889844506,-2.790776767,0.21864329,0.160900597,0.078173249,-0.026148106,0.29907676,-0.156457725,-0.166452112,-0.103076035,-0.00289417,-0.117734684,-0.044492225,-0.139538838,35983.63636,5795.545455,1415.962943,168.6542995,0.161179198,0.004940452,20.94043551,2.094043551
Bird Island,BI10,BI10.6,228,221.4,222.4,221.9,3362.6,22133.63636,59188.27273,1.385454545,-2.72879432,0.291063191,-1.550735804,-1.56274075,4.108862826,-0.344379208,0.084616397,-0.197808202,1.27373524,-1.51556219,0.696149869,1.44559295,-0.136439716,0.01455316,-0.07753679,-0.078137038,0.205443141,-0.01721896,0.00423082,-0.00989041,0.063686762,-0.075778109,0.034807493,0.072279648,3.094776209,3.892090215,0.914088219,-0.851523241,5.589244643,-2.779999912,-3.027069368,-1.052952255,0.838469398,-3.334322956,-0.236840025,-3.045960926,0.15473881,0.194604511,0.045704411,-0.042576162,0.279462232,-0.138999996,-0.151353468,-0.052647613,0.04192347,-0.166716148,-0.011842001,-0.152298046,37510.09091,5808.454545,931.7696555,111.8931308,0.15488026,0.002108052,15.01857475,1.501857475
