"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Ca","Ca_sd","Ca_ICP","Ca_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,215.916666666667,22.8053356329902,6725.623999,76.79365852,8895.65281522018,510.931483861534,17280.3741465788
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,237.090909090909,33.4707470650254,5960.306307,73.5430348,9555.12338740661,1172.55561483785,17937.6911599754
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,371.1,50.7355890869516,6654.679504,148.2965685,13728.8288777538,5339.28156432319,22118.3761911844
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,244.083333333333,29.6753902734031,6154.781584,212.2812892,9772.90204147747,1390.85032347259,18154.9537594823
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,180.25,30.2778797144054,4314.171561,119.5885434,7784.8165168825,-605.539038174156,16175.1720719392
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,195.363636363636,32.6566156460608,3366.405358,43.51758987,8255.52985910501,-132.130956493578,16643.1906747036
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,188,38.7788602204861,6376.14109,151.4025643,8026.18982469886,-362.727499483994,16415.1071488817
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,257.818181818182,36.5234669269449,6975.754499,274.4419208,10200.6731138832,1819.3529082664,18581.9933195
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,355.9,78.9408357921016,6849.57438,146.3509218,13255.4257450043,4868.4587431359,21642.3927468727
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,244.55,24.8161131864805,7954.492393,112.904805,9787.4363481847,1405.41562158109,18169.4570747883
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,249.090909090909,39.6294197420415,6910.359074,99.46866164,9928.86270273517,1547.12100255084,18310.6044029195
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,245.3,23.7161454615955,6023.226846,96.77731334,9810.79505539274,1428.82323206783,18192.7668787176
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,5660.04545454545,219.909090909091,41.8125687932577,8005.462824,147.2086058,9019.9966404589,635.749304688723,17404.2439762291
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,5698.00833333333,277.25,34.3143887127146,8103.945816,176.7489113,10805.875982455,2424.95182423089,19186.8001406792
