"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ca","Ca_sd","Ca_ICP","Ca_ICP_sd","Ca_fit_OLS","Ca_lwr_OLS","Ca_upr_OLS","Ca_fit_WLS","Ca_lwr_WLS","Ca_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,0.963961461966309,0.0481980730983155,4.79990735381515,0.239995367690757,4.58272516575123,3.85476304456229,5.31068728694018,4.58188468970104,3.86447299069797,5.29929638870411
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,0.857233319830564,0.0428616659915282,4.73907351678072,0.236953675839036,4.49157964811168,3.76410660432464,5.21905269189872,4.49106498324887,3.77003940065778,5.21209056583996
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,1.09670247384256,0.0548351236921279,4.58108687560037,0.229054343780019,4.69608559719274,3.9671931953941,5.42497799899138,4.69483989993445,3.98158496831881,5.4080948315501
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,1.07732839902115,0.0538664199510574,4.62259272720031,0.231129636360015,4.67954019461149,3.9508057770597,5.40827461216328,4.67835364098857,3.96451559253943,5.39219168943772
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,0.650598457677189,0.0325299228838594,4.78165422187227,0.239082711093614,4.31511408714096,3.58793032292885,5.04229785135308,4.31523022075779,3.58653391390034,5.04392652761524
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,1.00178485539662,0.0500892427698309,4.65103387589276,0.232551693794638,4.61502623184405,3.88683535920658,5.34321710448152,4.61407029154537,3.89788144272579,5.33025914036495
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,1.1415750303117,0.0570787515155848,4.70546405730714,0.235273202865357,4.73440662766648,4.005119224673,5.46369403065996,4.73302394703519,4.02108839475333,5.44495949931706
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,1.18602477883957,0.0593012389419785,5.11143902483219,0.255571951241609,4.77236658140921,4.04264788712765,5.50208527569078,4.77084820811939,4.06017646247888,5.4815199537599
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,1.04940356870487,0.0524701784352436,4.67888002565562,0.233944001282781,4.65569247213416,3.92717242287497,5.38421252139336,4.6545911652132,3.93989840867676,5.36928392174964
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,1.16062315305496,0.058031157652748,4.72054891900137,0.236027445950069,4.75067366813729,4.02120631531377,5.4801410209608,4.74923283891122,4.03784413878652,5.46062153903592
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,1.03016888269043,0.0515084441345214,4.66667497148088,0.233333748574044,4.6392661071817,3.91088454569282,5.36764766867058,4.63822351838103,3.92293229038917,5.3535147463729
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,0.873052260357552,0.0436526130178776,4.44579902979981,0.22228995148999,4.505088976523,3.77755803452955,5.23261991851644,4.50452602085616,3.78405120900043,5.2250008327119
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,0.936149577678257,0.0468074788839128,4.46928420968178,0.223464210484089,4.55897389884787,3.83116148524761,5.28678631244813,4.55821832470698,3.83988805950507,5.27654858990889
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,0.887039250946982,0.0443519625473491,4.61824420260415,0.230912210130207,4.51703382510728,3.78944745803768,5.24462019217688,4.51642817106754,3.79643597617721,5.23642036595788
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,0.912644434343982,0.0456322217171991,4.48879789418632,0.224439894709316,4.53890057597798,3.81120245779742,5.26659869415855,4.53821675646999,3.81909740498099,5.257336107959
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,0.906954702970132,0.0453477351485066,4.58231157663618,0.229115578831809,4.53404156221721,3.80636942593412,5.2617136985003,4.53337511186882,3.81406299870452,5.25268722503312
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,1.14427890651185,0.0572139453255926,4.78486746783472,0.239243373391736,4.73671572994227,4.00740322835649,5.46602823152804,4.73532479513267,4.02346734900203,5.44718224126331
