Site,Site_Section,Sample_ID,Core_section,Sample,Radius_1_cm,Radius_2_cm,Thickness_cm,Depth_T_field_cm,Depth_B_field_cm,Depth_field_cm,Depth_T_cm,Depth_B_cm,Depth_cm,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,sedrate_cm_yr-1,Wet_bag_g,Dry_bag_g,Wet_mass_g,Dry_mass_g,Ash_Mass ,Water_Content_pc,Dry_mass,LOI550,C_content,Volume_cm3,Wet_density_g_cm3,Dry_density_g_cm3,DMAR_g_cm2_yr
HER42PB,HER42PB1A,HER42PB1A_11,A,11,2.7,2.2,1.1,13.63,14.73,14.18,13.63,14.73,14.18,-50.17,106.81,-0.36,7.56,0.0853,7.7239,3.2141,4.5098,2.0665,NA,68.6,31.4,NA,NA,5.2,1.27,0.4,1.0712
HER42PB,HER42PB1A,HER42PB1A_12,A,12,2.5,2.1,1.2,14.94,16.14,15.54,14.94,16.14,15.54,-47.99,149.42,13.86,23.48,0.0859,8.1105,3.1547,4.9558,2.0071,NA,71.2,28.8,NA,NA,5,1.4,0.4,0.9895
HER42PB,HER42PB1A,HER42PB1A_13,A,13,2.5,2.2,1.2,16.34,17.54,16.94,16.34,17.54,16.94,-45.86,192.41,27.12,39.87,0.0853,7.5396,2.9431,4.5965,1.7955,NA,71.9,28.1,NA,NA,5.2,1.23,0.35,0.8386
HER42PB,HER42PB1A,HER42PB1A_14,A,14,2.6,2.2,1.2,17.75,18.95,18.35,17.75,18.95,18.35,-43.50,240.06,40.98,56.38,0.0856,7.9927,2.8803,5.1124,1.7327,NA,74.7,25.3,NA,NA,5.3,1.29,0.33,0.7148
HER42PB,HER42PB1A,HER42PB1A_15,A,15,2.5,2.1,1.2,19.16,20.31,19.73,19.16,20.31,19.73,-41.70,286.38,54.56,72.53,0.0869,7.6837,3.0596,4.6241,1.912,NA,70.7,29.3,NA,NA,4.7,1.4,0.41,1.0441
HER42PB,HER42PB1A,HER42PB1A_16,A,16,2.1,2.2,1.1,20.52,21.64,21.08,20.52,21.64,21.08,-28.73,300.22,70.21,87.98,0.0885,8.4329,3.5419,4.891,2.3943,NA,67.1,32.9,NA,NA,4,1.84,0.6,1.7464
HER42PB,HER42PB1A,HER42PB1A_17,A,17,2.5,2.1,1.2,21.84,23.04,22.44,21.84,23.04,22.44,-18.35,310.65,86.53,103.44,0.0878,8.4495,3.5275,4.922,2.3799,NA,67.4,32.6,NA,NA,5,1.47,0.48,1.3734
HER42PB,HER42PB1A,HER42PB1A_18,A,18,2.4,2.2,1.2,23.25,24.45,23.85,23.25,24.45,23.85,-10.14,323.37,105.33,119.48,0.0878,8.3395,3.5202,4.8193,2.3726,NA,67,33,NA,NA,4.9,1.48,0.49,1.4192
HER42PB,HER42PB1A,HER42PB1A_19,A,19,2.5,2.1,1.2,24.66,25.86,25.26,24.66,25.86,25.26,-2.75,338.51,125.20,135.52,0.0881,8.0766,3.242,4.8346,2.0944,NA,69.8,30.2,NA,NA,4.8,1.45,0.44,1.1709
HER42PB,HER42PB1A,HER42PB1A_20,A,20,2.3,2.1,1.3,26.07,27.32,26.69,26.07,27.32,26.69,2.23,355.48,143.79,151.78,0.0875,7.701,3.2106,4.4904,2.063,NA,68.5,31.5,NA,NA,4.7,1.38,0.43,1.1848
HER42PB,HER42PB1A,HER42PB1A_21,A,21,2.3,2.1,1.2,27.53,28.73,28.13,27.53,28.73,28.13,7.27,371.79,160.60,168.16,0.0884,7.5656,3.2391,4.3265,2.0915,NA,67.4,32.6,NA,NA,4.5,1.44,0.47,1.3544
HER42PB,HER42PB1A,HER42PB1A_22,A,22,2.4,2.1,1.1,28.93,30.03,29.48,28.93,30.03,29.48,12.82,394.89,176.81,183.52,0.0865,7.7953,3.5581,4.2372,2.4105,NA,63.7,36.3,NA,NA,4.3,1.56,0.56,1.7580
HER42PB,HER42PB1A,HER42PB1A_23,A,23,2.4,2.1,1.2,30.24,31.44,30.84,30.24,31.44,30.84,26.07,408.96,192.66,199.22,0.0856,8.1833,3.7684,4.4149,2.6208,NA,62.8,37.2,NA,NA,4.7,1.51,0.56,1.7839
HER42PB,HER42PB1A,HER42PB1A_24,A,24,2.3,2.2,1.2,31.65,32.85,32.25,31.65,32.85,32.25,44.59,413.91,210.00,215.66,0.0860,8.2321,3.9808,4.2513,2.8332,NA,60,40,NA,NA,4.8,1.49,0.59,2.0293
HER42PB,HER42PB1A,HER42PB1A_25,A,25,2.3,2.1,1.1,33.06,34.11,33.58,33.06,34.11,33.58,56.13,419.28,226.30,231.16,0.0859,8.753,4.2258,4.5272,3.0782,NA,59.5,40.5,NA,NA,4,1.91,0.77,2.6797
HER42PB,HER42PB1A,HER42PB1A_26,A,26,2.2,2.2,1.2,34.31,35.51,34.91,34.31,35.51,34.91,67.68,429.01,243.83,246.67,0.0857,8.7449,4.265,4.4799,3.1174,NA,59,41,NA,NA,4.6,1.67,0.68,2.3889
HER42PB,HER42PB1A,HER42PB1A_27,A,27,2.3,2.1,1.2,35.72,36.92,36.32,35.72,36.92,36.32,77.96,436.64,261.76,263.10,0.0857,8.3165,4.0226,4.2939,2.875,NA,59.9,40.1,NA,NA,4.5,1.61,0.65,2.2328
HER42PB,HER42PB1A,HER42PB1A_28,A,28,2.2,2.1,1.1,37.13,38.23,37.68,37.13,38.23,37.68,89.12,447.08,279.58,278.95,0.0859,7.3726,3.4396,3.933,2.292,NA,63.2,36.8,NA,NA,3.9,1.6,0.59,1.8657
HER42PB,HER42PB1A,HER42PB1A_29,A,29,2.3,2.1,1.2,38.44,39.59,39.01,38.44,39.59,39.01,96.63,463.05,295.58,294.46,0.0834,7.7604,3.9721,3.7883,2.8245,NA,57.3,42.7,NA,NA,4.3,1.55,0.66,2.3490
HER42PB,HER42PB1A,HER42PB1A_30,A,30,2.1,2.1,1.2,39.80,40.95,40.37,39.80,40.95,40.37,112.62,478.55,313.44,310.75,0.0780,7.3094,3.5679,3.7415,2.4203,NA,60.7,39.3,NA,NA,3.9,1.59,0.62,1.9002
HER42PB,HER42PB1A,HER42PB1A_31,A,31,2.1,2.1,1.1,41.15,42.25,41.70,41.15,42.25,41.70,154.25,482.22,329.27,327.84,0.0777,7.6669,3.8449,3.822,2.6973,NA,58.6,41.4,NA,NA,3.6,1.8,0.74,2.3810
HER42PB,HER42PB1A,HER42PB1A_32,A,32,2.1,2.2,1.2,42.46,43.66,43.06,42.46,43.66,43.06,190.15,486.28,345.59,345.31,0.0780,7.3429,2.8962,4.4467,1.7486,NA,71.8,28.2,NA,NA,4.2,1.49,0.42,0.9237
HER42PB,HER42PB1A,HER42PB1A_33,A,33,2.1,2.3,1.2,43.87,45.02,44.44,43.87,45.02,44.44,226.38,491.08,365.96,363.04,0.0777,7.2577,2.778,4.4797,1.6304,NA,73.3,26.7,NA,NA,4.2,1.46,0.39,0.8093
HER42PB,HER42PB1A,HER42PB1A_34,A,34,2,2.1,1.2,45.23,46.38,45.80,45.23,46.38,45.80,253.14,496.14,387.73,380.51,0.0772,6.682,2.4898,4.1922,1.3422,NA,75.7,24.3,NA,NA,3.7,1.5,0.36,0.6753
HER42PB,HER42PB1B,HER42PB1B_42,B,42,2.1,2,1.2,45.72,46.87,46.30,45.72,46.87,46.30,262.27,498.88,396.77,386.93,0.0779,7.1204,2.9192,4.2012,1.7716,NA,70.3,29.7,NA,NA,3.7,1.61,0.48,1.1099
HER42PB,HER42PB1B,HER42PB1B_43,B,43,2.1,2.2,1.1,47.08,48.18,47.63,47.08,48.18,47.63,284.47,507.68,420.44,404.02,0.0782,7.0745,2.8174,4.2571,1.6698,NA,71.8,28.2,NA,NA,4,1.48,0.42,0.9259
HER42PB,HER42PB1B,HER42PB1B_44,B,44,2.2,2.3,1.2,48.38,49.58,48.98,48.38,49.58,48.98,304.23,519.08,443.41,421.36,0.0838,7.6652,2.8266,4.8386,1.679,NA,74.2,25.8,NA,NA,4.7,1.4,0.36,0.7780
HER42PB,HER42PB1B,HER42PB1B_45,B,45,2.1,2.1,1.2,49.79,50.99,50.39,49.79,50.99,50.39,322.41,535.69,461.06,438.14,0.1066,7.3351,2.5991,4.736,1.4515,NA,76.5,23.5,NA,NA,4,1.56,0.37,0.9266
HER42PB,HER42PB1B,HER42PB1B_46,B,46,2.3,2.1,1.2,51.19,52.39,51.79,51.19,52.39,51.79,333.68,549.71,474.40,451.33,0.1055,7.751,2.8612,4.8898,1.7136,NA,74.1,25.9,NA,NA,4.6,1.45,0.38,1.0380
HER42PB,HER42PB1B,HER42PB1B_47,B,47,2.2,2.2,1.2,52.60,53.75,53.18,52.60,53.75,53.18,339.61,571.51,483.52,464.42,0.1066,7.5294,2.766,4.7634,1.6184,NA,74.6,25.4,NA,NA,4.3,1.49,0.38,1.0286
HER42PB,HER42PB1B,HER42PB1B_48,B,48,2.1,2.1,1.2,53.96,55.11,54.53,53.96,55.11,54.53,345.31,599.32,493.60,477.14,0.1058,7.2276,2.6249,4.6027,1.4773,NA,75.7,24.3,NA,NA,4,1.53,0.37,0.9514
HER42PB,HER42PB1B,HER42PB1B_49,B,49,2.2,2.1,1.2,55.31,56.46,55.89,55.31,56.46,55.89,349.02,627.84,502.26,489.95,0.1066,7.8671,2.9532,4.9139,1.8056,NA,73.1,26.9,NA,NA,4.1,1.65,0.44,1.2613
HER42PB,HER42PB1B,HER42PB1B_50,B,50,2.2,2.1,1.2,56.67,57.82,57.24,56.67,57.82,57.24,352.86,657.92,510.62,502.67,0.1062,7.9596,3.2601,4.6995,2.1125,NA,69,31,NA,NA,4,1.71,0.53,1.7447
HER42PB,HER42PB1B,HER42PB1B_51,B,51,2.2,2.1,1.1,58.02,59.12,58.57,58.02,59.12,58.57,355.65,689.74,519.21,515.20,0.1058,7.7332,2.9452,4.788,1.7976,NA,72.7,27.3,NA,NA,3.9,1.69,0.46,1.3286
HER42PB,HER42PB1B,HER42PB1B_52,B,52,2.2,2.1,1.1,59.33,60.43,59.88,59.33,60.43,59.88,358.08,724.22,527.99,527.54,0.0915,7.8707,2.8452,5.0255,1.6976,NA,74.8,25.2,NA,NA,3.9,1.72,0.44,1.0144
HER42PB,HER42PB1B,HER42PB1B_53,B,53,2.1,2.1,1.1,60.63,61.73,61.18,60.63,61.73,61.18,374.05,736.00,542.25,541.81,0.0895,7.6072,2.7906,4.8166,1.643,NA,74.6,25.4,NA,NA,3.7,1.74,0.44,1.0000
HER42PB,HER42PB1B,HER42PB1B_54,B,54,2.2,2.2,1.2,61.94,63.14,62.54,61.94,63.14,62.54,384.64,749.30,557.81,556.96,0.0901,8.2725,3.0913,5.1812,1.9437,NA,72.7,27.3,NA,NA,4.5,1.6,0.44,1.0826
HER42PB,HER42PB1B,HER42PB1B_55,B,55,2.2,2,1.1,63.34,64.44,63.89,63.34,64.44,63.89,393.05,767.64,572.21,572.00,0.0895,6.9412,2.4824,4.4588,1.3348,NA,77,23,NA,NA,3.8,1.52,0.35,0.7203
HER42PB,HER42PB1B,HER42PB1B_56,B,56,2,2.3,1.1,64.65,65.75,65.20,64.65,65.75,65.20,400.63,788.40,586.13,586.59,0.0894,7.1786,2.3474,4.8312,1.1998,NA,80.1,19.9,NA,NA,3.8,1.58,0.32,0.5694
HER42PB,HER42PB1B,HER42PB1B_57,B,57,2.1,2.1,1.1,65.96,67.06,66.51,65.96,67.06,66.51,406.30,819.86,598.96,601.19,0.0899,7.5427,2.7458,4.7969,1.5982,NA,75,25,NA,NA,3.6,1.76,0.44,0.9885
HER42PB,HER42PB1B,HER42PB1B_58,B,58,2.1,2.2,1.1,67.26,68.31,67.79,67.26,68.31,67.79,412.32,852.04,610.29,615.44,0.0901,7.1545,2.704,4.4505,1.5564,NA,74.1,25.9,NA,NA,3.8,1.58,0.41,0.9568
HER42PB,HER42PB1B,HER42PB1B_59,B,59,2.2,2.2,1.2,68.52,69.67,69.09,68.52,69.67,69.09,417.65,885.54,622.27,629.93,0.0920,8.0565,2.9897,5.0668,1.8421,NA,73.3,26.7,NA,NA,4.3,1.62,0.43,1.0563
HER42PB,HER42PB1B,HER42PB1B_60,B,60,2.2,2.1,1.1,69.87,70.92,70.40,69.87,70.92,70.40,425.71,912.66,634.11,644.12,0.0984,7.754,3.1857,4.5683,2.0381,NA,69.1,30.9,NA,NA,3.7,1.77,0.55,1.6728
HER42PB,HER42PB1B,HER42PB1B_61,B,61,2.2,2.2,1.1,71.13,72.23,71.68,71.13,72.23,71.68,438.26,920.50,647.47,657.13,0.0985,7.8203,3.1071,4.7132,1.9595,NA,70.6,29.4,NA,NA,4.1,1.63,0.48,1.3901
HER42PB,HER42PB1B,HER42PB1B_62,B,62,2.1,2.1,1.1,72.43,73.48,72.96,72.43,73.48,72.96,451.93,929.16,660.58,670.13,0.0989,7.4977,2.9865,4.5112,1.8389,NA,71,29,NA,NA,3.6,1.75,0.51,1.4628
HER42PB,HER42PB1B,HER42PB1B_63,B,63,2.2,2.1,1.2,73.69,74.84,74.26,73.69,74.84,74.26,463.29,938.83,675.30,683.33,0.0985,7.2075,2.7871,4.4204,1.6395,NA,72.9,27.1,NA,NA,4.1,1.49,0.4,1.0678
HER42PB,HER42PB1B,HER42PB1B_64,B,64,2.2,2,1,75.04,76.04,75.54,75.04,76.04,75.54,472.50,952.78,689.33,696.33,0.0981,7.2623,2.9707,4.2916,1.8231,NA,70.2,29.8,NA,NA,3.5,1.77,0.53,1.5492
HER42PB,HER42PB1B,HER42PB1B_65,B,65,2.2,2.1,1.1,76.25,77.35,76.80,76.25,77.35,76.80,479.52,963.64,702.66,709.13,0.0985,7.1291,3.0757,4.0534,1.9281,NA,67.8,32.2,NA,NA,3.8,1.57,0.51,1.6176
HER42PB,HER42PB1B,HER42PB1B_66,B,66,2.1,2,1.1,77.56,78.61,78.08,77.56,78.61,78.08,488.60,977.11,716.23,722.13,0.0985,7.4965,3.3537,4.1428,2.2061,NA,65.3,34.7,NA,NA,3.5,1.83,0.64,2.1876
HER42PB,HER42PB1B,HER42PB1B_67,B,67,2.1,1.9,1.1,78.81,79.91,79.36,78.81,79.91,79.36,495.69,995.62,730.15,735.13,0.0997,6.7795,3.0251,3.7544,1.8775,NA,66.7,33.3,NA,NA,3.5,1.63,0.54,1.7922
HER42PB,HER42PB1B,HER42PB1B_68,B,68,2.2,2,1.2,80.12,81.27,80.69,80.12,81.27,80.69,506.41,1011.35,743.13,748.48,0.1004,7.9915,3.8703,4.1212,2.7227,NA,60.2,39.8,NA,NA,3.9,1.76,0.7,2.7979
HER42PB,HER42PB1B,HER42PB1B_69,B,69,2.1,2.1,1.1,81.47,82.52,82.00,81.47,82.52,82.00,522.44,1021.63,756.38,761.48,0.1008,7.7294,4.0376,3.6918,2.89,NA,56.1,43.9,NA,NA,3.6,1.81,0.8,3.5384
HER42PB,HER42PB1B,HER42PB1B_70,B,70,2.2,2.1,1.1,82.73,83.83,83.28,82.73,83.83,83.28,536.86,1034.85,770.53,774.19,0.1012,8.0513,4.4399,3.6114,3.2923,NA,52.3,47.7,NA,NA,3.8,1.81,0.86,4.1517
HER42PB,HER42PB1B,HER42PB1B_71,B,71,2.2,2.2,1.1,84.03,85.13,84.58,84.03,85.13,84.58,550.62,1045.38,783.69,787.09,0.1004,7.7963,4.0457,3.7506,2.8981,NA,56.4,43.6,NA,NA,4.1,1.63,0.71,3.1088
HER42PB,HER42PB1B,HER42PB1B_72,B,72,2.2,2.1,1.1,85.34,86.44,85.89,85.34,86.44,85.89,560.22,1056.95,797.42,800.09,0.1005,8.0437,4.1009,3.9428,2.9533,NA,57.2,42.8,NA,NA,3.9,1.77,0.76,3.2701
HER42PB,HER42PB1C,HER42PB1C_80,C,80,2.4,2.1,1.3,86.54,87.79,87.17,86.54,87.79,87.17,569.94,1069.25,809.84,812.80,0.1010,7.8846,4.6198,3.2648,3.4722,NA,48.5,51.5,NA,NA,5,1.36,0.7,3.6414
HER42PB,HER42PB1C,HER42PB1C_81,C,81,2.5,2.4,1.3,87.95,89.25,88.60,87.95,89.25,88.60,581.45,1092.78,824.26,826.99,0.1007,8.0081,3.4167,4.5914,2.2691,NA,66.9,33.1,NA,NA,6,1.14,0.38,1.2662
HER42PB,HER42PB1C,HER42PB1C_82,C,82,2.4,2.3,1.2,89.41,90.61,90.01,89.41,90.61,90.01,588.10,1117.05,838.41,840.98,0.1008,7.3806,2.8392,4.5414,1.6916,NA,72.9,27.1,NA,NA,5.1,1.22,0.33,0.9018
HER42PB,HER42PB1C,HER42PB1C_83,C,83,2.4,2.2,1.2,90.77,91.97,91.37,90.77,91.97,91.37,605.09,1128.65,852.40,854.45,0.1009,7.3727,2.6994,4.6733,1.5518,NA,75.1,24.9,NA,NA,5,1.25,0.31,0.7790
HER42PB,HER42PB1C,HER42PB1C_84,C,84,2.4,2.3,1.2,92.13,93.33,92.73,92.13,93.33,92.73,617.47,1138.08,866.51,867.91,0.1012,7.4288,2.777,4.6518,1.6294,NA,74.1,25.9,NA,NA,5.1,1.23,0.32,0.8391
HER42PB,HER42PB1C,HER42PB1C_85,C,85,2.3,2.2,1.2,93.48,94.63,94.06,93.48,94.63,94.06,631.69,1154.13,879.80,881.08,0.1008,6.8537,2.4742,4.3795,1.3266,NA,76.8,23.2,NA,NA,4.6,1.25,0.29,0.6785
HER42PB,HER42PB1C,HER42PB1C_86,C,86,2.4,2.2,1.3,94.79,96.04,95.42,94.79,96.04,95.42,641.90,1168.02,893.67,894.55,0.1013,7.0295,2.4859,4.5436,1.3383,NA,77.2,22.8,NA,NA,5,1.18,0.27,0.6234
HER42PB,HER42PB1C,HER42PB1C_87,C,87,2.3,2.2,1.2,96.20,97.40,96.80,96.20,97.40,96.80,649.44,1180.64,908.83,908.21,0.1009,6.9388,2.635,4.3038,1.4874,NA,74.3,25.7,NA,NA,4.7,1.24,0.32,0.8296
HER42PB,HER42PB1C,HER42PB1C_88,C,88,2.2,2.3,1.1,97.56,98.66,98.11,97.56,98.66,98.11,655.48,1192.44,921.43,921.18,0.1009,7.1141,2.8217,4.2924,1.6741,NA,71.9,28.1,NA,NA,4.4,1.36,0.38,1.0771
HER42PB,HER42PB1C,HER42PB1C_89,C,89,2.3,2.3,1.2,98.82,100.02,99.42,98.82,100.02,99.42,664.07,1203.41,934.39,934.15,0.0993,7.1264,2.7218,4.4046,1.5742,NA,73.7,26.3,NA,NA,5,1.2,0.32,0.8358
HER42PB,HER42PB1C,HER42PB1C_90,C,90,2.1,2.3,1.3,100.18,101.43,100.80,100.18,101.43,100.80,679.30,1214.02,948.27,948.08,0.0980,7.3873,2.9595,4.4278,1.8119,NA,71,29,NA,NA,4.6,1.34,0.39,1.1081
HER42PB,HER42PB1C,HER42PB1C_91,C,91,2.3,2.1,1.5,101.58,103.08,102.33,101.58,103.08,102.33,702.86,1223.43,965.30,963.73,0.0977,6.661,2.4255,4.2355,1.2779,NA,76.8,23.2,NA,NA,5.7,0.97,0.22,0.4985
HER42PB,HER42PB1C,HER42PB1C_92,C,92,2.1,2.4,1.1,103.24,104.34,103.79,103.24,104.34,103.79,719.32,1234.01,979.49,978.66,0.0973,7.3065,2.4868,4.8197,1.3392,NA,78.3,21.7,NA,NA,4.4,1.41,0.31,0.6545
HER42PB,HER42PB1C,HER42PB1C_93,C,93,2.2,2.4,1.2,104.50,105.65,105.08,104.50,105.65,105.08,735.82,1244.57,992.84,991.85,0.0980,7.4754,2.5409,4.9345,1.3933,NA,78,22,NA,NA,4.8,1.33,0.29,0.6250
HER42PB,HER42PB1C,HER42PB1C_94,C,94,2.1,2.4,1.2,105.81,107.01,106.41,105.81,107.01,106.41,746.81,1257.92,1005.55,1005.46,0.0977,7.5871,2.5179,5.0692,1.3703,NA,78.7,21.3,NA,NA,4.7,1.38,0.29,0.6032
HER42PB,HER42PB1C,HER42PB1C_95,C,95,2.1,2.4,1.2,107.17,108.37,107.77,107.17,108.37,107.77,760.92,1270.35,1018.66,1019.37,0.0980,7.2235,2.6516,4.5719,1.504,NA,75.2,24.8,NA,NA,4.8,1.27,0.32,0.7780
HER42PB,HER42PB1C,HER42PB1C_96,C,96,2.4,2.1,1.2,108.53,109.68,109.10,108.53,109.68,109.10,773.92,1285.56,1031.88,1032.97,0.0936,7.7635,3.3344,4.4291,2.1868,NA,66.9,33.1,NA,NA,4.5,1.48,0.49,1.5179
HER42PB,HER42PB1C,HER42PB1C_97,C,97,1.8,2.2,1.2,109.83,110.98,110.41,109.83,110.98,110.41,788.56,1301.19,1046.15,1046.95,0.0862,7.1325,3.3128,3.8197,2.1652,NA,63.8,36.2,NA,NA,3.6,1.66,0.6,1.8720
HER42PB,HER42PB1C,HER42PB1C_98,C,98,1.9,2.5,1.2,111.14,112.34,111.74,111.14,112.34,111.74,809.69,1307.41,1062.05,1062.42,0.0859,7.3088,3.7817,3.5271,2.6341,NA,57.2,42.8,NA,NA,4.6,1.35,0.58,2.1314
HER42PB,HER42PB1C,HER42PB1C_99,C,99,2.1,2.3,1.2,112.50,113.70,113.10,112.50,113.70,113.10,829.30,1316.14,1078.04,1078.24,0.0862,7.0774,2.8175,4.2599,1.6699,NA,71.8,28.2,NA,NA,4.6,1.3,0.37,0.8993
HER42PB,HER42PB1C,HER42PB1C_100,C,100,2,2.3,1.2,113.86,115.01,114.43,113.86,115.01,114.43,848.36,1324.03,1093.36,1093.71,0.0855,6.8664,2.8379,4.0285,1.6903,NA,70.4,29.6,NA,NA,4.2,1.37,0.41,1.0379
HER42PB,HER42PB1C,HER42PB1C_101,C,101,2.1,2.2,1.2,115.17,116.37,115.77,115.17,116.37,115.77,863.86,1333.93,1111.57,1109.30,0.0859,7.2331,2.9012,4.3319,1.7536,NA,71.2,28.8,NA,NA,4.4,1.4,0.4,0.9891
HER42PB,HER42PB1C,HER42PB1C_102,C,102,2.4,2.2,1.2,116.53,117.73,117.13,116.53,117.73,117.13,876.70,1344.02,1129.76,1125.12,0.0865,7.6485,3.165,4.4835,2.0174,NA,69,31,NA,NA,5,1.3,0.4,1.0728
HER42PB,HER42PB1C,HER42PB1C_103,C,103,2.1,2.2,1.2,117.88,119.08,118.48,117.88,119.08,118.48,891.73,1357.75,1146.62,1140.82,0.0858,6.8315,2.5009,4.3306,1.3533,NA,76.2,23.8,NA,NA,4.4,1.31,0.31,0.6334
HER42PB,HER42PB1C,HER42PB1C_104,C,104,1.9,2.5,1.1,119.24,120.34,119.79,119.24,120.34,119.79,901.65,1374.18,1163.69,1156.06,0.1045,6.5251,2.3934,4.1317,1.2458,NA,76.8,23.2,NA,NA,4.2,1.29,0.3,0.7274
HER42PB,HER42PB1C,HER42PB1C_105,C,105,2,2.1,1.1,120.50,121.60,121.05,120.50,121.60,121.05,916.37,1382.06,1176.13,1168.10,0.1093,6.4771,2.21,4.2671,1.0624,NA,80.1,19.9,NA,NA,3.6,1.47,0.29,0.6308
HER42PB,HER42PB1C,HER42PB1C_106,C,106,2.1,2.1,1.2,121.76,122.96,122.36,121.76,122.96,122.36,934.19,1389.04,1188.52,1180.07,0.1094,6.8175,2.3096,4.5079,1.162,NA,79.5,20.5,NA,NA,4.2,1.36,0.28,0.6279
HER42PB,HER42PB1C,HER42PB1C_107,C,107,2.2,2,1.1,123.12,124.22,123.67,123.12,124.22,123.67,949.89,1393.48,1201.24,1192.03,0.1097,7.238,2.5993,4.6387,1.4517,NA,76.2,23.8,NA,NA,3.8,1.6,0.38,0.9924
HER42PB,HER42PB1C,HER42PB1C_108,C,108,1.9,2.2,1.1,124.38,125.43,124.90,124.38,125.43,124.90,966.70,1401.11,1213.65,1203.27,0.1097,6.1371,2.2655,3.8716,1.1179,NA,77.6,22.4,NA,NA,3.4,1.48,0.33,0.8111
HER42PB,HER42PB1C,HER42PB1C_109,C,109,2.1,2.1,1.1,125.58,126.68,126.13,125.58,126.68,126.13,977.53,1409.65,1224.56,1214.51,0.1098,7.1982,2.686,4.5122,1.5384,NA,74.6,25.4,NA,NA,3.8,1.59,0.4,1.1152
HER42PB,HER42PB1D,HER42PB1D_117,D,117,2.1,2.4,1.2,126.01,127.21,126.61,126.01,127.21,126.61,981.35,1412.94,1229.11,1218.89,0.1088,7.2245,2.3769,4.8476,1.2293,NA,79.8,20.2,NA,NA,4.7,1.3,0.26,0.5713
