"Site","depth","SH20_age","Ti","Ti_ppm","Ti_lower_RMSE","Ti_upper_RMSE"
"HER42PB",338.3,3838.51,-7.69567773695336,345.121288542577,221.336886964349,538.133094030884
"HER42PB",338.4,3839.52,-6.45007539942523,795.085361928433,509.912673377293,1239.74312810445
"HER42PB",338.5,3840.52,-6.4092725225005,817.121182394195,524.044922141761,1274.10265514732
"HER42PB",338.6,3841.52,-6.91325364871814,582.960863945507,373.870714822123,908.986329816656
"HER42PB",338.7,3842.52,-6.17605146851428,955.319191042001,612.675551529909,1489.58899126007
"HER42PB",338.8,3843.53,-6.54816793485487,744.510893248694,477.477712599531,1160.88448850987
"HER42PB",338.9,3844.53,-6.76043988095206,645.809959241415,414.177770814138,1006.98427787559
"HER42PB",339,3845.53,-7.27919111333768,456.204855916025,292.578192011517,711.34102350721
"HER42PB",339.1,3846.54,-7.24330872629877,467.305469158605,299.697356375105,728.649742349492
"HER42PB",339.2,3847.54,-6.83480048781341,614.423035105913,394.048371932733,958.043968604968
"HER42PB",339.3,3848.54,-7.1605954244848,493.933585378061,316.774785514954,770.169842804327
"HER42PB",339.4,3849.54,NA,NA,NA,NA
"HER42PB",339.5,3850.55,-6.48568586611012,776.339923259029,497.890647563157,1210.51415485643
"HER42PB",339.6,3851.55,-6.64511550486724,697.688418829925,447.449021029728,1087.87617559021
"HER42PB",339.7,3852.55,-6.2703664097689,896.819401309228,575.157838837655,1398.37273223996
"HER42PB",339.8,3853.55,-6.70114102961914,671.984658167853,430.964409511716,1047.79738383638
"HER42PB",339.9,3854.56,-6.46126323732236,789.147801548818,506.104733461049,1230.48494020311
"HER42PB",340,3855.56,-6.49697948393674,770.487742214712,494.137464038109,1201.38909535776
"HER42PB",340.1,3857.53,-7.56958377628466,375.545212427955,240.848684195017,585.571837558229
"HER42PB",340.2,3859.5,-7.32675796876128,441.89493974071,283.400803064169,689.028173728327
"HER42PB",340.3,3861.47,-7.16607290530401,492.124214658897,315.614380475799,767.348567224763
"HER42PB",340.4,3863.43,-7.01973169903913,542.821079332462,348.127837565293,846.398053739082
"HER42PB",340.5,3865.4,-7.85469645005506,310.242229693203,198.967874787303,483.747646135851
"HER42PB",340.6,3867.37,-7.98660208252145,284.000672100832,182.13835757288,442.830290272333
"HER42PB",340.7,3869.34,-6.86280545851676,603.001897081134,386.723645177481,940.23546896537
"HER42PB",340.8,3871.31,-7.08266850938544,520.407468872599,333.753300469167,811.449454665103
"HER42PB",340.9,3873.28,NA,NA,NA,NA
"HER42PB",341,3875.25,-6.69553740145522,674.512320109431,432.585476782906,1051.73866067569
"HER42PB",341.1,3877.21,-6.96091682709637,564.638512694164,362.120027969495,880.417058965695
"HER42PB",341.2,3879.18,-7.41688346291193,416.001172950155,266.7943347776,648.65311341849
"HER42PB",341.3,3881.15,-8.1706100110443,251.059833851122,161.012385822552,391.467028150355
"HER42PB",341.4,3883.12,-7.0303316132108,538.979652185318,345.664212299405,840.408278130291
"HER42PB",341.5,3885.09,-6.44212992985245,799.329256807284,512.634413566244,1246.36045470155
"HER42PB",341.6,3887.06,-6.60508042194422,716.656120882298,459.6135911809,1117.45171477298
"HER42PB",341.7,3889.03,-7.91481255061076,297.994667214161,191.113136635795,464.65053764099
