Site,depth,SH20_age,Ti,Ca,Sr,Ti_ICP_clr_ppm,Ti_ICP_clr_lower_ppm,Ti_ICP_clr_upper_ppm,Ca_ICP_clr_ppm,Ca_ICP_clr_lower_ppm,Ca_ICP_clr_upper_ppm,Sr_ICP_clr_ppm,Sr_ICP_clr_lower_ppm,Sr_ICP_clr_upper_ppm
HER42PB,310.7,3570.81,87,287,615,1785.665421,1538.585734,2066.910209,15011.8209,15273.62459,14715.25428,199.7730482,185.0490481,215.0948793
HER42PB,310.8,3571.76,103,377,833,1611.878022,1386.705928,1869.038566,15176.19441,15417.08278,14902.59316,209.1869407,193.47066,225.6276453
HER42PB,310.9,3572.7,150,395,861,2109.358138,1822.770132,2433.550962,14701.22056,15001.0652,14363.37142,186.6806744,173.4240357,200.3369868
HER42PB,311,3573.65,69,368,633,1159.071967,993.1847751,1350.16752,15601.53959,15786.07761,15390.67215,236.6478069,217.9969823,256.4197023
HER42PB,311.1,3574.6,71,368,550,1158.945413,993.0848797,1350.007786,15599.83614,15784.48983,15388.85133,238.4778175,219.6846555,258.4002529
HER42PB,311.2,3575.54,108,322,730,1924.789076,1660.530161,2224.784232,14877.92895,15156.30123,14563.31047,194.5413474,180.4279809,209.1646681
HER42PB,311.3,3576.49,102,411,711,1407.101856,1208.354231,1634.970806,15368.15848,15583.95503,15122.34606,221.9990274,204.9501069,239.9425067
HER42PB,311.4,3577.43,81,417,695,1211.251911,1038.346691,1410.241934,15557.29106,15748.13066,15339.31624,228.7163969,210.7820165,247.7011958
HER42PB,311.5,3578.38,81,411,554,1163.234598,996.7939907,1354.950673,15596.52708,15781.6762,15384.98059,237.4976916,218.7891794,257.3281041
HER42PB,311.6,3579.32,90,402,639,1290.34041,1106.944817,1501.076668,15478.03059,15679.2216,15248.50098,228.888366,211.0929542,247.6817163
HER42PB,311.7,3580.27,123,469,717,1514.680921,1301.95202,1758.086159,15270.03251,15498.90125,15009.69394,212.5459363,196.4061023,229.4792699
HER42PB,311.8,3581.22,109,396,670,1592.002312,1369.362602,1846.36817,15195.39596,15433.8372,14924.49027,209.8610976,194.0595658,226.4009288
HER42PB,311.9,3582.16,115,410,517,1572.49814,1352.337856,1824.129236,15215.84542,15451.77151,14947.70184,208.9158123,193.1500049,225.4282965
HER42PB,312,3583.11,68,388,505,1017.378225,870.7011843,1186.79661,15731.27503,15897.82622,15540.7029,248.6061167,228.7319609,269.7598567
HER42PB,312.1,3584.05,94,422,643,1314.028776,1127.492248,1528.280223,15457.31168,15661.371,15224.56724,225.918915,208.39612,244.4119097
HER42PB,312.2,3585,136,469,587,1544.472536,1327.927158,1792.098529,15239.42045,15472.11337,14974.86858,213.3663804,197.2188396,230.2922573
HER42PB,312.3,3585.94,120,389,717,1766.943141,1522.201097,2045.626723,15029.52477,15289.09677,14735.40028,200.791458,185.961498,216.2323662
HER42PB,312.4,3586.89,109,463,565,1280.988159,1098.833988,1490.334441,15486.36329,15686.40909,15258.11701,229.9079156,212.0162942,248.8079198
HER42PB,312.5,3587.84,137,448,711,1687.908595,1453.087591,1955.701395,15105.16993,15355.20467,14821.4984,204.1808412,188.9671028,220.0595716
HER42PB,312.6,3588.78,108,346,610,1745.211295,1503.197963,2020.899783,15049.02311,15306.06655,14757.67515,203.024968,187.9948537,218.6844318
HER42PB,312.7,3589.73,107,351,754,1742.032732,1500.426288,2017.272035,15050.982,15307.71312,14759.98338,204.2446419,189.1199621,220.0039523
HER42PB,312.8,3590.67,175,423,804,2186.45334,1890.710127,2520.504388,14626.16352,14934.89886,14278.76163,184.6425113,171.6503848,197.9933464
HER42PB,312.9,3591.62,82,344,778,1437.793824,1235.043284,1670.116813,15339.60341,15559.18415,15089.58309,219.862138,203.031937,237.5594629
HER42PB,313,3592.56,67,379,852,1137.967645,974.9292947,1325.854185,15619.57756,15801.54727,15411.60994,239.7141655,220.7828072,259.7952473
HER42PB,313.1,3593.51,103,346,872,1804.726485,1555.259873,2088.588407,14995.3045,15259.27813,14696.35505,197.2283868,182.7213705,212.3159138
HER42PB,313.2,3594.46,116,415,730,1637.825739,1409.351826,1898.628134,15151.80305,15395.8323,14874.74098,207.6305764,192.0752409,223.8902511
HER42PB,313.3,3595.4,94,398,649,1389.66322,1193.182057,1615.012446,15386.62884,15600.11331,15143.37451,220.9673079,203.9640005,238.8724084
HER42PB,313.4,3596.35,84,290,613,1702.773443,1466.085579,1972.616321,15090.10987,15342.00007,14804.4075,204.3760525,189.1737211,220.2355452
HER42PB,313.5,3597.29,109,385,799,1736.338527,1495.413148,2010.841262,15060.49999,15316.28037,14770.51547,200.4208557,185.5658483,215.9026396
HER42PB,313.6,3598.24,96,354,630,1547.179212,1330.289937,1795.184552,15236.33985,15469.39968,14971.38599,213.7403033,197.5697508,230.6888244
HER42PB,313.7,3599.18,160,376,551,2160.583578,1867.894661,2491.352053,14652.06718,14957.78671,14307.89709,184.6086064,171.5779996,198.0102301
