"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ni","Ni_sd","Ni_ICP","Ni_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,0.892326907296078,0.0446163453648039,-2.25589124231759,-0.112794562115879,-2.57447300823017,-3.62856428876056,-1.52038172769977
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,0.32493281725508,0.016246640862754,-2.2548264894846,-0.11274132447423,-2.66467033247536,-3.71768561230951,-1.61165505264121
"Bird Island","BI10","BI10.4",145,141,142,141.5,0.627601678401752,0.0313800839200876,-2.83220701451176,-0.141610350725588,-2.61655576468739,-3.66997163128306,-1.56313989809172
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,0.482551699105743,0.0241275849552872,-3.21731020108871,-0.160865510054435,-2.63961402391842,-3.69278840485615,-1.58643964298069
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,0.327491694534847,0.0163745847267423,-2.11919505981825,-0.105959752990913,-2.66426355368129,-3.71728055692887,-1.61124655043371
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,0.412578439774293,0.0206289219887147,-3.10927192863728,-0.155463596431864,-2.65073751087606,-3.70382797620312,-1.59764704554901
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,0.368745007281827,0.0184372503640914,-2.3857427452032,-0.11928713726016,-2.6577056101085,-3.71075431328447,-1.60465690693252
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,0.366080923243847,0.0183040461621924,-3.44239700632826,-0.172119850316413,-2.65812911337722,-3.71117554669714,-1.60508268005731
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,0.568880007810088,0.0284440003905044,-3.85185837181402,-0.192592918590701,-2.625890612645,-3.67919774257924,-1.57258348271075
"Bird Island","BI10","BI10.5",197,194,195,194.5,0.391575385289149,0.0195787692644575,-3.12681185855307,-0.156340592927653,-2.65407631779842,-3.70714573382681,-1.60100690177003
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,0.221329100645561,0.011066455032278,-2.35393223017144,-0.117696611508572,-2.68113997532864,-3.73410930831378,-1.62817064234349
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-0.0600929988711905,-0.00300464994355953,-3.32904223209048,-0.166452111604524,-2.72587699463393,-3.7789562998741,-1.67279768939377
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,0.084616397372346,0.0042308198686173,-3.02706936783235,-0.151353468391617,-2.70287287710186,-3.75585276855086,-1.64989298565287
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,0.223751124795973,0.0111875562397986,-2.73249094070519,-0.136624547035259,-2.68075495175955,-3.73372482788706,-1.62778507563205
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,0.590013634866327,0.0295006817433164,-2.47544087226108,-0.123772043613054,-2.62253104890345,-3.67587559323249,-1.56918650457441
