"Location","Site","label","ID","section_depth","field_depth","depth","SH20_age","surface","validity","qc","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_coh","Total_scatter","inc_coh","coh_inc"
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10847",11,331,330,3755.28,6.9,1,TRUE,21807,54685,1.34,0.498844949946832,0.779407350034542,-0.251951102568984,0.46531464747877,-1.4161895702922,-0.902775148889393,0.476379311731847,0.449359004551106,0.1258240295625,0.600962473721153,46252,6.4902024291498,0.154078399081768
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10848",11.1,331.1,330.1,3756.29,6.9,1,TRUE,21586,53708,1.2,0.291398148227369,0.881153926717658,-0.819669766866398,-0.799905270235746,-1.28866115212594,0.262918230153843,-0.0349084910353593,0.81929298226661,0.217479660493545,0.570376785578638,45567,6.40445238869028,0.156141374673331
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10849",11.2,331.2,330.2,3757.29,6.9,1,TRUE,21747,54495,1.35,0.516041728338517,0.860745405901558,-0.32736996788341,0.0507665019770749,-1.34311142379964,-0.846567295494348,0.375028568155711,0.772071350646277,0.0961416966076021,0.717479380930732,45777,6.31846522781775,0.158266282070745
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10850",11.3,331.3,330.3,3758.29,6.9,1,TRUE,21462,53990,1.36,0.466405723001972,1.34119807449325,-1.31262615119168,-2.8027287329472,-0.66966988274216,-0.66408718356596,1.29724599983377,0.791993470271058,0.224342140384208,0.399970808784628,44805,6.42173264866656,0.155721213371853
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10851",11.4,331.4,330.4,3759.29,6.88,1,TRUE,21520,53647,1.32,0.558893885606122,0.401510019065711,-0.16420730691799,-0.291592367070953,-1.1761607774977,-0.831428937716453,0.452417287115785,0.802844529630745,0.0780720208444191,0.375210966002593,45144,6.49900332225914,0.153869747469584
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10852",11.5,331.5,330.5,3760.3,6.89,1,TRUE,21489,53735,1.3,0.557582397322252,0.475795513622167,-1.36388132539334,-0.942172645141203,-1.2365931585445,0.483428141772667,0.216356717919474,0.568334536008241,0.142924553299742,0.471337414450496,44925,6.38169569503779,0.15669816421638
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10853",11.6,331.6,330.6,3761.3,6.9,1,TRUE,21404,53710,1.23,0.220421981233804,0.0208747338069715,-1.25059797923877,-0.526795944809437,-1.27731929341492,0.904279588514918,0.268232350409602,0.47560399362074,-0.294186857948169,0.399970808784628,44779,6.41742587377837,0.155825718858087
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10854",11.7,331.7,330.7,3762.3,6.92,1,TRUE,21352,53366,1.34,0.83133707301854,0.795345224438259,-1.4652094138647,0.0563056030455838,-0.59419043263954,-0.748143867791457,0.4906782634965,0.366766100076453,0.300671499023259,0.260150520133133,44108,6.42433933681198,0.155658029187518
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10855",11.8,331.8,330.8,3763.3,6.92,1,TRUE,21127,54011,1.44,0.315259659904782,1.15310783990162,-0.505635630100129,0.914277658251763,-0.262268079970856,0.655397962819704,-1.59015282107737,0.543334168284634,0.230066428588061,0.410166038165466,43832,6.25215089344805,0.15994495607071
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10856",11.9,331.9,330.9,3764.31,6.92,1,TRUE,20861,54826,1.34,0.272222973338281,-0.0420941117394766,-0.787646665358063,-0.334509755948469,-1.1743074202315,0.848031204462782,0.307914624367943,0.0723875733078397,-0.525756147363068,0.194609759827744,43464,6.37177747625509,0.156942078364566
