"Location","Site","Section","sample","min_depth","max_depth","midpoint","Co","Co_sd","Co_ICP","Co_ICP_sd","Co_fit_OLS","Co_lwr_OLS","Co_upr_OLS","Co_fit_WLS","Co_lwr_WLS","Co_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,-1.10828105947551,-0.0554140529737755,-3.46063041899538,-0.173031520949769,-3.91309276732132,-5.25915111916549,-2.56703441547715,-3.8910451063153,-4.87945803533428,-2.90263217729632
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,-0.407907791440683,-0.0203953895720341,-3.39549140517013,-0.169774570258506,-3.54683864919409,-4.88578402355907,-2.20789327482911,-3.54599568989646,-4.8581899128284,-2.23380146696451
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,-0.456165236419332,-0.0228082618209666,-3.6166484412035,-0.180832422060175,-3.5720744609539,-4.9111268894076,-2.23302203250019,-3.56977044542713,-4.85915371092859,-2.28038717992567
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,-0.962821532179773,-0.0481410766089886,-3.40190953988402,-0.170095476994201,-3.83702597076526,-5.18062808472058,-2.49342385680995,-3.8193822840794,-4.87346789536397,-2.76529667279483
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,-0.259243976890277,-0.0129621988445138,-3.34095402685825,-0.167047701342913,-3.46909619844584,-4.80806930880129,-2.13012308809039,-3.47275422738726,-4.85555316629625,-2.08995528847826
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,-0.396628902251167,-0.0198314451125584,-3.5943469938873,-0.179717349694365,-3.54094045204394,-4.87986900553111,-2.20201189855678,-3.54043897562663,-4.85797265125085,-2.22290530000241
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,-0.823316441989228,-0.0411658220994614,-3.52954873915254,-0.176477436957627,-3.76407299538206,-5.10579980061708,-2.42234619014704,-3.75065300477271,-4.86863000439484,-2.63267600515059
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,-0.567976005344482,-0.0283988002672241,-3.43755078456823,-0.171877539228412,-3.63054493154269,-4.97006387716811,-2.29102598591727,-3.62485570114401,-4.86161397782714,-2.38809742446087
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,-0.841401053838983,-0.0420700526919492,-3.34781432069237,-0.167390716034619,-3.77353018609308,-5.1154734848043,-2.43158688738186,-3.75956266059442,-4.86921255495031,-2.64991276623854
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,-0.99031784116895,-0.0495158920584475,-3.37912934616296,-0.168956467308148,-3.85140492675946,-5.19543222495797,-2.50737762856094,-3.83292875394541,-4.87452081749276,-2.79133669039805
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,-0.199768246471144,-0.00998841232355719,-3.52190399777587,-0.176095199888793,-3.43799388174013,-4.77712926657779,-2.09885849690247,-3.44345261493453,-4.85462670274037,-2.03227852712869
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,-0.674117300083748,-0.0337058650041874,-3.46149268404218,-0.173074634202109,-3.68605059984252,-5.02629455165488,-2.34580664803017,-3.67714780519659,-4.86427411317432,-2.49002149721886
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,-0.487970599775299,-0.0243985299887649,-3.55192144437775,-0.177596072218888,-3.58870679950722,-4.92786087588634,-2.2495527231281,-3.58543983568778,-4.85982029442195,-2.31105937695361
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,-1.28757636712811,-0.0643788183564057,-3.42741022526262,-0.171370511263131,-4.00685369136816,-5.35663909682133,-2.65706828591499,-3.97937763426251,-4.88847614130418,-3.07027912722085
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,0.0688406124977322,0.00344203062488661,-3.36259757325158,-0.168129878662579,-3.29752721167597,-4.63847036837382,-1.95658405497811,-3.31111842363651,-4.85122153453881,-1.7710153127342
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,-0.0740378677548632,-0.00370189338774316,-3.61820532156622,-0.180910266078311,-3.37224427209591,-4.71200689241908,-2.03248165177275,-3.381509654256,-4.8528835934011,-1.91013571511091
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,-0.632244234567921,-0.031612211728396,-3.68449243765987,-0.184224621882994,-3.66415344387766,-5.00407858256575,-2.32422830518956,-3.65651841015922,-4.86318433667434,-2.4498524836441
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,0.201462462805902,0.0100731231402951,-3.61646627389668,-0.180823313694834,-3.22817376681176,-4.57065692383159,-1.88569060979192,-3.24578027590619,-4.84994576753807,-1.64161478427431
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,-0.442386355165271,-0.0221193177582636,-3.57644886843999,-0.178822443421999,-3.56486891466478,-4.90388497506851,-2.22585285426104,-3.56298207249428,-4.85887276429759,-2.26709138069097
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,-0.935918566259809,-0.0467959283129904,-3.6311468530616,-0.18155734265308,-3.82295729837622,-5.16616109048446,-2.47975350626798,-3.80612813359381,-4.87247089420323,-2.73978537298439
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,-0.0152625376628044,-0.00076312688314022,-3.60097506457036,-0.180048753228518,-3.34150822365862,-4.6816962870201,-2.00132016029714,-3.35255310455074,-4.85216124435399,-1.85294496474749
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,-0.692171868946605,-0.0346085934473303,-3.42991887203272,-0.171495943601636,-3.69549207983445,-5.03588667226769,-2.35509748740122,-3.68604265988929,-4.8647610151904,-2.50732430458819
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,0.328716007791709,0.0164358003895855,-3.71220674652785,-0.185610337326392,-3.16162763059483,-4.50598911939395,-1.81726614179571,-3.18308690447329,-4.84893506837225,-1.51723874057434
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,-0.698409611507871,-0.0349204805753936,-3.27513552187488,-0.163756776093744,-3.69875405313519,-5.03920253563649,-2.3583055706339,-3.68911577750924,-4.86493168283909,-2.51329987217939
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,-0.528981514228126,-0.0264490757114063,-3.60570616963348,-0.180285308481674,-3.61015310106105,-4.94947469664244,-2.27083150547965,-3.60564447904668,-4.86071826813163,-2.35057068996173
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,-0.470635888919428,-0.0235317944459714,-3.54120663266223,-0.177060331633112,-3.57964176300844,-4.91873737641924,-2.24054614959764,-3.57689962986098,-4.85945382869425,-2.29434543102771
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,-1.00450182057863,-0.0502250910289317,-3.78168201317453,-0.189084100658727,-3.85882231561098,-5.2030760845548,-2.51456854666717,-3.83991670457285,-4.87507778292247,-2.80475562622322
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,-0.444619248010738,-0.0222309624005369,-3.60991529228501,-0.18049576461425,-3.56603658658676,-4.90505822571436,-2.22701494745915,-3.56408214071278,-4.85891797573742,-2.26924630568814
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,-0.47589649069486,-0.023794824534743,-3.34011469929337,-0.167005734964668,-3.58239274902121,-4.92150532892901,-2.2432801691134,-3.57949134438732,-4.85956423455271,-2.29941845422192
