Site,depth,SH20_age,Ti,Ti_convert_WLS,Ti_ppm_WLS,Ti_lower_RMSE_WLS,Ti_upper_RMSE_WLS
BI10,4.3,-23.57,NA,NA,NA,NA,NA
BI10,4.4,-22.56,-8.782125584,5.028154603,152.6510508,98.45057079,236.6907893
BI10,4.5,-21.55,-8.165319888,5.447582476,232.1961471,149.7522821,360.0282412
BI10,4.6,-20.54,NA,NA,NA,NA,NA
BI10,4.7,-19.53,-7.786901457,5.704907009,300.3375501,193.6993102,465.6838681
BI10,4.8,-18.52,NA,NA,NA,NA,NA
BI10,4.9,-17.51,NA,NA,NA,NA,NA
BI10,5,-16.5,-7.939247941,5.6013114,270.7812773,174.6373259,419.8558341
BI10,5.1,-15.49,-8.504062921,5.217237214,184.4239556,118.9421468,285.9557886
BI10,5.2,-14.48,NA,NA,NA,NA,NA
BI10,5.3,-13.47,-9.094974413,4.815417399,123.3983079,79.58434472,191.3333891
BI10,5.4,-12.46,NA,NA,NA,NA,NA
BI10,5.5,-11.45,-8.000170628,5.559883973,259.7926916,167.5503617,402.8176479
BI10,5.6,-10.44,NA,NA,NA,NA,NA
BI10,5.7,-9.43,-8.26178468,5.381986418,217.4538007,140.2443723,337.1697179
BI10,5.8,-8.42,NA,NA,NA,NA,NA
BI10,5.9,-7.41,NA,NA,NA,NA,NA
BI10,6,-6.4,-7.485987902,5.909528227,368.5322507,237.680712,571.4221347
BI10,6.1,-5.39,NA,NA,NA,NA,NA
BI10,6.2,-4.38,-7.30251966,6.034286631,417.5008713,269.2624706,647.3496923
BI10,6.3,-3.37,-7.497854084,5.901459223,365.5705277,235.7705822,566.8298797
BI10,6.4,-2.36,-8.503815215,5.217405654,184.4550226,118.9621831,286.0039591
BI10,6.5,-1.35,-8.385694018,5.297728068,199.882175,128.9117508,309.924298
BI10,6.6,-0.34,-7.503611152,5.897544417,364.1421876,234.8493904,564.6151884
BI10,6.7,0.67,-8.87626526,4.964139623,143.1853039,92.34574429,222.013818
BI10,6.8,1.68,NA,NA,NA,NA,NA
BI10,6.9,2.69,NA,NA,NA,NA,NA
BI10,7,3.7,NA,NA,NA,NA,NA
BI10,7.1,4.71,-7.51874293,5.887254808,360.4145179,232.4452719,558.8353062
BI10,7.2,5.72,-7.939871576,5.600887328,270.6664709,174.5632828,419.6778228
BI10,7.3,6.73,-8.208627908,5.418133023,225.4578047,145.4064643,349.5802058
BI10,7.4,7.74,NA,NA,NA,NA,NA
BI10,7.5,8.75,NA,NA,NA,NA,NA
BI10,7.6,9.76,NA,NA,NA,NA,NA
BI10,7.7,10.77,NA,NA,NA,NA,NA
BI10,7.8,11.78,NA,NA,NA,NA,NA
BI10,7.9,12.79,-7.641701597,5.803642914,331.5050072,213.8004095,514.0100995
BI10,8,13.8,-8.014973289,5.549818163,257.190785,165.8722914,398.7833008
BI10,8.1,14.81,-7.850785308,5.661465991,287.5699085,185.4649639,445.8871935
BI10,8.2,15.82,-8.2321017,5.402170844,221.8875771,143.1038863,344.0444431
BI10,8.3,16.83,-7.191720776,6.109629872,450.1720632,290.3333868,698.0075172
BI10,8.4,17.84,NA,NA,NA,NA,NA
BI10,8.5,18.85,NA,NA,NA,NA,NA
BI10,8.6,19.86,-8.046495988,5.528382728,251.7364553,162.3545831,390.326172
BI10,8.7,20.87,-7.445497205,5.937061901,378.8202812,244.315861,587.3740856
BI10,8.8,21.88,-8.183498911,5.435220741,229.3434681,147.912479,355.6050627
BI10,8.9,22.88,-7.301747416,6.034811757,417.7201694,269.4039045,647.6897217
BI10,9,23.89,-6.705614115,6.440182402,626.521068,404.0676853,971.4428124
BI10,9.1,24.9,-6.992990958,6.244766149,515.3087052,332.3425282,799.004157
BI10,9.2,25.91,-6.794878665,6.379482508,589.6225036,380.2703731,914.2302988
BI10,9.3,26.92,-7.632304223,5.810033128,333.6301781,215.1710145,517.3052513
BI10,9.5,28.94,NA,NA,NA,NA,NA
BI10,9.6,29.95,NA,NA,NA,NA,NA
BI10,9.7,30.96,-7.742570796,5.735051859,309.5290221,199.6272462,479.9355666
BI10,9.8,31.97,-9.022419166,4.864754967,129.6391689,83.60931749,201.0100621
BI10,9.9,32.98,NA,NA,NA,NA,NA
BI10,10,33.99,-7.171656823,6.12327336,456.3560701,294.3216922,707.5960361
BI10,10.1,34.97,NA,NA,NA,NA,NA
BI10,10.2,35.95,NA,NA,NA,NA,NA
BI10,10.3,36.93,NA,NA,NA,NA,NA
BI10,10.4,37.91,-8.740153869,5.056695369,157.0705974,101.3009074,243.5434507
BI10,10.5,38.89,NA,NA,NA,NA,NA
BI10,10.6,39.87,-9.298557272,4.676981055,107.4452113,69.29557526,166.5975552
BI10,10.7,40.85,-6.654658651,6.474832117,648.610328,418.3139041,1005.692982
BI10,10.8,41.83,-9.302258441,4.67446426,107.1751337,69.12139179,166.1787905
BI10,10.9,42.81,NA,NA,NA,NA,NA
BI10,11,43.78,-8.380479598,5.301273873,200.5921763,129.3696581,311.0251799
BI10,11.1,44.76,-6.924308,6.29147056,539.9467697,348.2325696,837.2063371
BI10,11.2,45.74,-7.740229525,5.736643923,310.0222047,199.9453188,480.7002635
BI10,11.3,46.72,-6.932076162,6.28618821,537.1021016,346.3979331,832.79558
BI10,11.4,47.7,-7.897807494,5.629490904,278.520288,179.6285134,431.8554406
BI10,11.5,48.68,-7.701961632,5.76266609,318.1955371,205.2166171,493.3733009
BI10,11.6,49.66,-6.47824559,6.594792999,731.2774957,471.62916,1133.871315
BI10,11.7,50.64,-7.871692664,5.647248988,283.5104515,182.846863,439.5928636
BI10,11.8,51.62,-7.28829154,6.043961753,421.5598469,271.8802611,653.6432758
BI10,11.9,52.6,NA,NA,NA,NA,NA
BI10,12,53.58,-7.633876597,5.808963914,333.2736466,214.9410735,516.7524367
BI10,12.1,54.56,-8.126586381,5.473921261,238.3931642,153.7489782,369.6369327
BI10,12.2,55.54,-8.286567171,5.365134324,213.8199538,137.9007638,331.5353113
BI10,12.3,56.51,-8.364997266,5.311801859,202.7151637,130.7388548,314.316946
BI10,12.4,57.49,-8.046426194,5.528430188,251.748403,162.3622887,390.3446973
BI10,12.5,58.47,-7.715742898,5.753294829,315.2275722,203.3024617,488.7713677
BI10,12.6,59.45,-8.833341236,4.99332796,147.4262366,95.08088587,228.5895322
BI10,12.7,60.43,-8.677804588,5.09909288,163.8731872,105.6881609,254.0911041
BI10,12.8,61.41,-8.816556769,5.004741397,149.1185157,96.17230218,231.2134702
BI10,12.9,62.39,NA,NA,NA,NA,NA
BI10,13,63.37,-7.198617772,6.104939915,448.0657186,288.9749237,694.7415563
BI10,13.1,64.35,-7.384610383,5.97846494,394.833809,254.6436049,612.20362
BI10,13.2,65.33,-7.012257532,6.231664878,508.6015386,328.0168169,788.604461
BI10,13.3,66.31,-6.809207254,6.369739067,583.905449,376.5832232,905.3658058
BI10,13.4,67.29,-7.580092182,5.845537316,345.6882358,222.9477226,536.0016912
BI10,13.5,68.27,NA,NA,NA,NA,NA
BI10,13.6,69.24,-9.049584593,4.846282477,127.2663936,82.07902287,197.3309911
BI10,13.7,70.22,-7.837716844,5.670352546,290.136803,187.1204535,449.8672531
BI10,13.8,71.2,-8.470800152,5.239855897,188.6429164,121.6631179,292.4974348
BI10,13.9,72.18,-7.276118317,6.052239544,425.0639144,274.1401699,659.076455
BI10,14,73.16,-7.312070301,6.027792195,414.7982242,267.519429,643.1591436
BI10,14.1,74.14,-8.093133188,5.496669432,243.8783248,157.2865706,378.141866
BI10,14.2,75.12,-8.359228581,5.315724565,203.5119173,131.2527121,315.5523404
BI10,14.3,76.1,NA,NA,NA,NA,NA
BI10,14.4,77.08,NA,NA,NA,NA,NA
BI10,14.5,78.06,NA,NA,NA,NA,NA
BI10,14.6,79.04,-7.731687028,5.742452821,311.8283328,201.1101607,483.5007282
BI10,14.7,80.02,-7.849616287,5.662260925,287.7985985,185.612455,446.2417854
BI10,14.8,80.99,-8.688213028,5.092015141,162.7174305,104.9427686,252.2990628
BI10,14.9,81.97,-7.16326921,6.128976937,458.966369,296.005175,711.6433957
BI10,15,82.95,-8.450079506,5.253945936,191.3197163,123.3894898,296.6479066
BI10,15.1,83.93,-7.265126647,6.05971388,428.2528876,276.1968621,664.0210694
BI10,15.2,84.91,-6.866085057,6.331062161,561.7529493,362.2962188,871.0175808
BI10,15.3,85.89,-7.183633585,6.115129162,452.6545094,291.9344125,701.8566369
BI10,15.4,86.87,-6.676406863,6.460043333,639.0887497,412.1730697,990.9294422
BI10,15.5,87.85,-6.143885621,6.822157778,917.9636361,592.0302773,1423.3347
BI10,15.6,88.83,-7.049780105,6.206149529,495.7885516,319.7532257,768.7374768
BI10,15.7,89.81,-8.269221223,5.376929568,216.3569453,139.5369678,335.4690052
BI10,15.8,90.79,NA,NA,NA,NA,NA
BI10,15.9,91.77,-7.836671851,5.671063141,290.3430461,187.2534677,450.1870402
BI10,16,92.75,-7.700890675,5.763394341,318.4273476,205.3661207,493.7327313
BI10,16.1,93.72,-7.050474068,6.205677634,495.5546467,319.6023714,768.3747991
BI10,16.2,94.7,-8.020810385,5.545848938,256.1719601,165.2152118,397.2035772
BI10,16.3,95.68,-7.107027595,6.167221235,476.8591839,307.5449438,739.3868306
BI10,16.4,96.66,-7.716601454,5.752711011,315.0435903,203.1838047,488.4860974
BI10,16.5,97.64,-6.755745639,6.406092965,605.5232532,390.5253818,938.8849667
BI10,16.6,98.62,-7.386149534,5.977418317,394.4207831,254.3772285,611.563209
BI10,16.7,99.6,-6.93184376,6.286346243,537.1869884,346.4526798,832.9271998
BI10,16.8,100.58,NA,NA,NA,NA,NA
BI10,16.9,101.56,-7.726026902,5.746301707,313.0308371,201.8857022,485.3652531
BI10,17,102.54,-6.941028856,6.280100378,533.8422471,344.2955267,827.7410616
BI10,17.1,103.52,NA,NA,NA,NA,NA
BI10,17.2,104.5,-7.115672383,6.16134278,474.0642114,305.7423579,735.053128
BI10,17.3,105.48,-7.750002814,5.729998086,307.9686791,198.6209206,477.5162002
BI10,17.4,106.45,NA,NA,NA,NA,NA
BI10,17.5,107.43,-7.981277654,5.572731195,263.1518377,169.716805,408.0261214
BI10,17.6,108.41,-7.343911234,6.006140361,405.9136129,261.7893993,629.3832432
BI10,17.7,109.39,-6.734311842,6.420667947,614.4133729,396.2589642,952.6694081
BI10,17.8,110.37,-8.857633734,4.976809061,145.0109216,93.52315577,224.844502
BI10,17.9,111.35,-6.634560352,6.488498961,657.5356352,424.0701801,1019.531983
BI10,18,112.33,-7.226717971,6.08583178,439.5852988,283.5055727,681.592369
BI10,18.1,113.31,-6.489478948,6.587154315,725.712779,468.0402588,1125.243027
BI10,18.2,114.29,-6.082387125,6.863976755,957.1659233,617.3133496,1484.119216
BI10,18.3,115.27,-7.13312665,6.149473878,468.4708491,302.1349821,726.3804243
BI10,18.4,116.25,-6.914997285,6.297801846,543.376172,350.4443239,842.5237453
BI10,18.5,117.23,-6.60087867,6.511402504,672.7693182,433.8949718,1043.152341
BI10,18.6,118.2,-6.370359107,6.668155807,786.9429909,507.5299923,1220.18261
BI10,18.7,119.18,-7.755100757,5.726531485,306.9029228,197.9335731,475.8637079
BI10,18.8,120.16,-6.972077431,6.258987347,522.689369,337.102604,810.4481343
BI10,18.9,121.14,NA,NA,NA,NA,NA
BI10,19,122.12,-6.866036565,6.331095136,561.7714732,362.3081656,871.0463027
BI10,19.1,123.1,-7.966910382,5.58250094,265.7353637,171.3830209,412.0319687
BI10,19.2,124.08,-7.491668712,5.905665276,367.1113749,236.7643342,569.2190171
BI10,19.3,125.06,-6.73571015,6.419717098,613.829436,395.8823606,951.7639934
BI10,19.4,126.04,-6.969485172,6.260750083,523.611545,337.697351,811.8780004
BI10,19.5,127.02,-6.557187556,6.541112462,693.057149,446.9793792,1074.609331
BI10,19.6,128,-7.095135448,6.175307895,480.731016,310.0420382,745.3902415
BI10,19.7,128.98,-6.913334922,6.298932253,543.9907554,350.8406925,843.4766784
BI10,19.8,129.96,-6.584410295,6.522600999,680.3456647,438.7812509,1054.899731
BI10,19.9,130.93,-6.298140096,6.717264735,826.5535734,533.07639,1281.600203
BI10,20,131.91,-6.325494165,6.698663968,811.3211496,523.2524103,1257.981798
BI10,20.1,132.99,-7.594205082,5.835940544,342.3866124,220.8183779,530.8824087
BI10,20.2,134.07,-6.009167741,6.913765936,1006.028757,648.8268825,1559.882748
BI10,20.3,135.16,-5.609496545,7.185542349,1320.205057,851.4513376,2047.024081
BI10,20.4,136.24,-6.043208498,6.890618221,983.0089465,633.9805155,1524.189727
BI10,20.5,137.32,-8.099904615,5.492064862,242.7579513,156.5639984,376.4046877
BI10,20.6,138.4,-7.785951774,5.705552794,300.5315661,193.8244386,465.9846966
BI10,20.7,139.48,-7.241366283,6.075870928,435.2283899,280.6956335,674.8368295
BI10,20.8,140.56,NA,NA,NA,NA,NA
BI10,20.9,141.64,-7.35258354,6.000243193,403.5269164,260.2501263,625.6825869
BI10,21,142.72,-6.813748505,6.366651017,582.1051006,375.4221089,902.5743026
BI10,21.1,143.8,-6.812942801,6.367198895,582.4241109,375.627851,903.0689394
BI10,21.2,144.88,-7.198400698,6.105087525,448.1318626,289.0175825,694.8441149
BI10,21.3,145.96,-6.67575184,6.460488749,639.3734732,412.3566989,991.3709159
BI10,21.4,147.04,-8.011141867,5.55242353,257.861735,166.3050131,399.8236322
BI10,21.5,148.12,-7.026677267,6.221859458,503.6388574,324.8161917,780.9096502
BI10,21.6,149.2,-6.420637012,6.633966832,760.4929427,490.4713325,1179.170886
BI10,21.7,150.29,-6.907112215,6.303163694,546.2974971,352.3283995,847.053362
BI10,21.8,151.37,-7.806959691,5.69126741,296.268877,191.0752654,459.3752481
BI10,21.9,152.45,-6.553115733,6.543881302,694.9787722,448.2187083,1077.588875
BI10,22,153.53,-7.24514875,6.07329885,434.1103871,279.9745903,673.1033271
BI10,22.1,154.61,-5.683020483,7.135546072,1255.822571,809.9285805,1947.196786
BI10,22.2,155.69,-7.03859386,6.213756175,499.5742198,322.1947496,774.6072876
BI10,22.3,156.77,-7.12625276,6.154148123,470.6657224,303.5505408,729.7836521
BI10,22.4,157.85,-7.670358557,5.784156181,325.1075925,209.6744692,504.0906844
BI10,22.5,158.93,-7.396099306,5.970652472,391.7612006,252.6619608,607.4394333
BI10,22.6,160.01,-7.950243912,5.59383414,268.764126,173.336387,416.7281705
BI10,22.7,161.09,NA,NA,NA,NA,NA
BI10,22.8,162.17,-6.599321357,6.512461477,673.48214,434.3546982,1044.257596
BI10,22.9,163.25,-6.704101926,6.44121069,627.1656437,404.4833972,972.4422496
BI10,23,164.33,-6.559370995,6.539627723,692.0289039,446.3162241,1073.015001
BI10,23.1,165.41,-6.435980385,6.623533338,752.5995936,485.3806062,1166.931973
BI10,23.2,166.5,-6.641810538,6.483568834,654.3018793,421.9846058,1014.517931
BI10,23.3,167.58,-7.878912912,5.64233922,282.1218923,181.9513275,437.439854
BI10,23.4,168.66,-6.926385531,6.290057839,539.184514,347.7409614,836.0244332
BI10,23.5,169.74,-7.316471507,6.024799375,413.5586636,266.7199883,641.2371615
BI10,23.6,170.82,-6.845986253,6.344729348,569.4832371,367.2817806,883.0036621
BI10,23.7,171.9,-7.08694061,6.180880385,483.4173626,311.7745671,749.5555158
BI10,23.8,172.98,-6.672134206,6.46294874,640.9482625,413.3723414,993.8126817
BI10,23.9,174.06,-8.972768227,4.898517606,134.0908568,86.48038331,207.9125598
BI10,24,175.14,-7.835356802,5.671957375,290.6027966,187.4209909,450.5897925
BI10,24.1,176.22,-7.118188087,6.159632101,473.2539331,305.219778,733.7967632
BI10,24.2,177.3,-6.344474332,6.685757454,800.9171065,516.5424403,1241.849965
BI10,24.3,178.38,-7.307972071,6.030578992,415.9557946,268.2659909,644.953997
BI10,24.4,179.46,-7.908999717,5.621880192,276.4085963,178.2666018,428.5811889
BI10,24.5,180.54,-6.848474231,6.343037523,568.5205856,366.6609294,881.5110374
BI10,24.6,181.62,-6.677319579,6.459422686,638.6922243,411.9173351,990.3146157
BI10,24.7,182.71,-6.71551513,6.433449712,622.3170637,401.3563603,964.9243569
BI10,24.8,183.79,-7.405394341,5.964331848,389.2928344,251.0700159,603.6121453
BI10,24.9,184.87,-7.657729028,5.792744261,327.9116659,211.4829247,508.4384983
BI10,25,185.95,-7.458762692,5.928041369,375.4184871,242.1219124,582.0994849
BI10,25.1,187.03,-6.829872838,6.35568647,575.7574453,371.3282603,892.7320413
BI10,25.2,188.11,-6.897066781,6.309994589,550.0419725,354.7433566,852.8593019
BI10,25.3,189.19,-6.62905836,6.492240315,660.0003169,425.6597487,1023.353558
BI10,25.4,190.27,-6.437276537,6.622651955,751.9365571,484.9529883,1165.903911
BI10,25.5,191.35,-6.78462919,6.386452151,593.7463161,382.9299793,920.6244141
BI10,25.6,192.43,-6.438026612,6.622141904,751.5531289,484.7057006,1165.309393
BI10,25.7,193.51,-6.366001734,6.671118821,789.2781716,509.0360407,1223.80339
BI10,25.8,194.59,-7.267861367,6.05785427,427.4572445,275.6837211,662.7873969
BI10,25.9,195.67,-8.50671347,5.21543484,184.0918542,118.7279617,285.4408538
BI10,26,196.75,-8.044749665,5.529570228,252.0355699,162.5474937,390.7899596
BI10,26.1,197.84,-6.984570111,6.250492325,518.2679179,334.251039,803.5925198
BI10,26.2,198.92,-7.067246773,6.194272194,489.9347379,315.9778747,759.6609341
BI10,26.3,200,-8.312626026,5.347414302,210.0644319,135.4786824,325.7122433
BI10,26.4,201.08,-7.05865988,6.200111282,492.803878,317.8282942,764.1096361
BI10,26.5,202.16,-6.946803393,6.276173693,531.7501269,342.9462375,824.4971561
BI10,26.6,203.24,-7.403451021,5.965653306,389.8076084,251.4020136,604.4103204
BI10,26.7,204.32,-8.000756618,5.5594855,259.6891918,167.4836107,402.6571678
BI10,26.8,205.4,-6.777978733,6.390974462,596.437502,384.6656293,924.797192
BI10,26.9,206.48,-7.473471469,5.918039401,371.6822792,239.7122873,576.3063639
BI10,27,207.56,-6.661641589,6.470083719,645.5377688,416.3322917,1000.928872
BI10,27.1,208.64,-6.915771841,6.297275148,543.0900522,350.2597941,842.0801065
BI10,27.2,209.72,-6.965229432,6.263643986,525.1290208,338.6760298,814.2308996
BI10,27.3,210.8,-8.292423318,5.361152144,212.9701774,137.3527101,330.2177032
BI10,27.4,211.88,-7.153102116,6.135890561,462.1504841,298.058734,716.5804774
BI10,27.5,212.96,-6.974453628,6.257371533,521.8454822,336.5583487,809.1396583
BI10,27.6,214.05,-7.262152631,6.061736211,429.119833,276.7559887,665.3652985
BI10,27.7,215.13,-7.761168854,5.722405179,305.6391566,197.1185214,473.9041942
BI10,27.8,216.21,-6.901123582,6.307235964,548.5267041,353.7661014,850.5098254
BI10,27.9,217.29,-8.675295238,5.100799238,164.1530523,105.8686567,254.5250446
BI10,28,218.37,-6.363520593,6.672805997,790.6109466,509.8955989,1225.869904
BI10,28.1,219.45,-6.032868191,6.89764963,989.9452416,638.4540007,1534.944695
BI10,28.2,220.53,-6.895224717,6.311247192,550.7313887,355.1879878,853.9282659
BI10,28.3,221.61,-7.049677049,6.206219607,495.8232967,319.7756342,768.7913503
BI10,28.4,222.69,-6.63596999,6.487540407,656.9056539,423.6638808,1018.555175
BI10,28.5,223.77,-7.778281265,5.71076874,302.1032178,194.8380576,468.4215975
BI10,28.6,224.85,-6.609070368,6.50583215,669.0321727,431.4847421,1037.357766
BI10,28.7,225.93,-6.563855527,6.536578242,689.9217888,444.957264,1069.747846
BI10,28.8,227.01,-6.435593768,6.623796238,752.7974777,485.5082293,1167.238799
BI10,28.9,228.09,-7.260499929,6.062860048,429.602365,277.0671923,666.1134812
BI10,29,229.17,-7.025948487,6.222355029,503.8885078,324.9772009,781.2967419
BI10,29.1,230.26,-6.880475434,6.321276705,556.2827482,358.7682744,862.5358428
BI10,29.2,231.34,-7.615925411,5.821170721,337.3667847,217.5808968,523.0989905
BI10,29.3,232.42,-6.711334798,6.436292337,624.0885949,402.4988893,967.6711779
BI10,29.4,233.5,-7.537476363,5.874516073,355.8524125,229.5029935,551.7616023
BI10,29.5,234.58,-8.085392006,5.501933436,245.1654861,158.1167107,380.1376545
BI10,29.6,235.66,-6.158470554,6.812240023,908.9044956,586.187687,1409.288186
BI10,29.7,236.74,-6.436225486,6.62336667,752.4741693,485.2997152,1166.737498
BI10,29.8,237.82,-5.73884069,7.097588331,1209.047732,779.7616771,1874.670765
BI10,29.9,238.9,-4.642141297,7.843343918,2548.713288,1643.763844,3951.86903
BI10,30,239.98,-4.635307662,7.84799079,2560.584393,1651.419979,3970.275592
BI10,30.1,241.39,-4.831439282,7.714621288,2240.874092,1445.226431,3474.553596
BI10,30.2,242.8,-5.313898473,7.386549038,1614.126203,1041.012461,2502.75909
BI10,30.3,244.21,-5.542292427,7.23124115,1381.93663,891.2644187,2142.741043
BI10,30.4,245.62,-5.855565823,7.01821524,1116.791633,720.2621481,1731.624459
BI10,30.5,247.04,-6.066767294,6.87459824,967.3866303,623.9050792,1499.96678
BI10,30.6,248.45,-5.285081114,7.406144842,1646.068247,1061.613121,2552.286345
BI10,30.7,249.86,-5.902382638,6.986379806,1081.79806,697.6934383,1677.3657
BI10,30.8,251.27,-5.944580584,6.957685203,1051.19743,677.9579076,1629.918354
BI10,30.9,252.68,-5.956503321,6.949577742,1042.709343,672.4836115,1616.757278
BI10,31,254.09,-5.804942179,7.052639318,1155.905523,745.4882093,1792.271911
BI10,31.1,255.5,-5.790283333,7.062607334,1167.485224,752.9564069,1810.226643
BI10,31.2,256.91,-6.392881067,6.652840874,774.9828301,499.8164217,1201.637963
BI10,31.3,258.32,-6.309170801,6.709763855,820.3768889,529.0928072,1272.023038
BI10,31.4,259.73,-5.860910085,7.014581142,1112.740469,717.6493952,1725.342986
BI10,31.5,261.14,-6.322365739,6.700791297,813.0489343,524.3667256,1260.660788
BI10,31.6,262.55,-5.795739041,7.058897452,1163.162017,750.1682031,1803.523359
BI10,31.7,263.96,-6.546463784,6.548404627,698.1295078,450.2507397,1082.474201
BI10,31.8,265.37,-7.24845502,6.071050586,433.1354889,279.3458406,671.5917133
BI10,31.9,266.79,-7.120230359,6.158243356,472.5971602,304.7961998,732.7784139
BI10,32,268.2,-6.696886089,6.446117459,630.2505631,406.472981,977.2255249
BI10,32.1,269.61,-7.253031015,6.06793891,431.7898061,278.4779577,669.5051851
BI10,32.2,271.02,-6.521248662,6.56555091,710.2030463,458.0374319,1101.194644
BI10,32.3,272.43,-7.05365775,6.20351273,494.4829791,318.9112114,766.7131409
BI10,32.4,273.84,-6.95533042,6.270375314,528.6757603,340.9634594,819.7302432
BI10,32.5,275.25,-7.042844485,6.21086575,498.1323228,321.2648145,772.3715759
BI10,32.6,276.66,-7.488828639,5.907596525,367.8210437,237.222027,570.3193833
BI10,32.7,278.07,-7.246245183,6.072553276,433.7868462,279.7659262,672.6016655
BI10,32.8,279.48,-6.432420542,6.625954031,754.4236132,486.556987,1169.760179
BI10,32.9,280.89,-6.589201543,6.519342951,678.1326724,437.3540065,1051.468409
BI10,33,282.3,-7.646931924,5.800086292,330.3280632,213.0413528,512.1852068
BI10,33.1,283.71,-6.636075208,6.487468859,656.8586551,423.6335694,1018.482302
BI10,33.2,285.12,-7.243952753,6.074112128,434.4635832,280.20238,673.6509699
BI10,33.3,286.54,-6.188469441,6.79184078,890.5513632,574.3510416,1380.831013
BI10,33.4,287.95,-6.396095974,6.650654738,773.2904622,498.7249482,1199.013888
BI10,33.5,289.36,-6.608055707,6.506522119,669.4939438,431.7825561,1038.073758
BI10,33.6,290.77,-4.925128467,7.650912642,2102.563603,1356.024644,3260.098349
BI10,33.7,292.18,-5.659957238,7.151229078,1275.672894,822.7308222,1977.975406
BI10,33.8,293.59,-6.059251564,6.879708936,972.3433049,627.1018305,1507.652277
BI10,33.9,295,-5.948008346,6.955354325,1048.75007,676.3795106,1626.123637
BI10,34,296.41,-7.797907353,5.697423,298.0982112,192.2550738,462.2116948
BI10,34.1,297.82,-6.968901228,6.261147165,523.8195029,337.8314711,812.2004465
BI10,34.2,299.23,-6.493123283,6.584676168,723.916582,466.8818219,1122.457961
BI10,34.3,300.64,-6.727082362,6.425583994,617.4412942,398.2117878,957.3643058
BI10,34.4,302.05,-6.685061626,6.454158094,635.3386058,409.7544568,985.114713
BI10,34.5,303.46,-7.414146083,5.958380664,386.982961,249.5802891,600.0306058
BI10,34.6,304.87,-6.49001514,6.586789705,725.4482247,467.8696375,1124.832826
