"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","K","K_sd","K_ICP","K_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,7672.18333333333,0.0738751071226803,0.0389882278389776,6097.843222,1936.386236,4669.71086042199,-7244.11213291018,16583.5338537542
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,7821.06363636364,0.0676740502161622,0.0269205556171465,6175.999603,1855.683454,4527.43187990967,-7386.58119347801,16441.4449532974
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,8011.50909090909,0.0683191999755828,0.0246636420093123,5968.444872,1958.591437,4542.23439687281,-7371.75483348405,16456.2236272297
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,7881.69166666667,0.0695349809187131,0.0281508135542278,2516.983872,857.2828993,4570.12965339482,-7343.81721221072,16484.0765190004
"Bird Island","BI10","BI10.13",519,491,492,491.5,8384.23636363636,0.0280432394006721,0.0174959545407736,790.4601626,305.8039749,3618.13021654685,-8299.15835162758,15535.4187847213
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,8490.03636363636,0.0417522975680204,0.0225211551987996,3163.380594,1060.826347,3932.67511578558,-7983.07730572987,15848.427537301
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,8597.97,0.0731794630926505,0.0323021340837192,6266.517708,1913.941942,4653.74978719138,-7260.09018372124,16567.589758104
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,8738.44,0.0493878449361482,0.0234717696733354,1326.826528,440.8838882,4107.86749211239,-7807.21418274954,16022.9491669743
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-30.6269230769231,0.145033857239193,0.0324582038184752,5443.67845,181.2744924,6302.39938009452,-5615.48853701669,18220.2872972057
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-1.38846153846154,0.159139978316018,0.0312386031413958,5975.780316,106.9664677,6626.05461436343,-5294.0031932468,18546.1124219737
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,27.85,0.182287068449079,0.0670620479637933,5333.453521,102.4023076,7157.14865778317,-4767.44661644072,19081.7439320071
