"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Ni","Ni_sd","Ni_ICP","Ni_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.00527295415699107,0.00079006335387098,7.120078834,0.066671523,12.3089300675433,-10.2578728088857,34.8757329439724
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.00579622029681869,0.00077378611717582,5.857915852,0.041156676,13.9299792714587,-8.6385880092559,36.4985465521732
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.00497355186010778,0.00042887168419887,4.568507031,0.022190259,11.3813985151043,-11.1866779591238,33.9494749893325
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.00531075167201174,0.00070796340589257,5.784125479,0.017909738,12.4260246528234,-10.1407355822407,34.9927848878875
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.00519923439724554,0.00063326229930995,6.534750001,0.055133377,12.0805503793646,-10.4864118707063,34.6475126294355
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.00509574144888844,0.00110019337400068,9.469595678,0.030083547,11.7599350198453,-10.8074209749583,34.3272910146488
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.00532198891285663,0.0009492571310937,7.155451754,0.030710634,12.4608369957964,-10.1059156697352,35.027589661328
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.0054406661617564,0.00106216622687001,6.317256008,0.021906999,12.8284924682396,-9.7383231757258,35.3953081122049
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.00557189996482978,0.00085114946166919,16.20702482,0.031666011,13.2350474424807,-9.3321418589966,35.802236743958
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.00532364525859839,0.00083224937347195,12.29132094,0.371333453,12.4659682621668,-10.1007834855995,35.0327200099331
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.00575002338863367,0.00063950843288051,8.534630865,0.135962996,13.786863836431,-8.78134339391489,36.3550710667769
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,0.00504301722202058,0.00111279664982981,5.623618255,0.058556283,11.5965983169978,-10.9710346146944,34.1642312486899
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,0.0050337783815529,0.00104030135725135,4.972003175,0.041494084,11.5679769065045,-10.9997098587906,34.1356636717996
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,0.00561669454114672,0.00067292612038305,6.761396788,0.051811841,13.3738185318965,-9.19357140177501,35.9412084655681
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,0.00596139019450635,0.000568357916617,10.88241106,0.042866217,14.4416663667589,-8.12851174674726,37.011844480265
