"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","kcps","cps","cps_acf_sum","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","coh_inc_sd","water_content_pc","water_content_err","dry_mass_pc","dry_mass_err","density_gcm3","density_gcm3_err","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,382.52,20091.0833333333,59727.9166666667,58828,1.35,0.14105434106084,0.76828912363319,0.309635089529783,0.213499957911943,26.4579907238451,0.243448758981535,0.333703210113475,0.266487987594921,0.00781635635777447,0.227635787747215,1.16741971304018,1.16830806657919,53.6693676111535,9.54524010942374,0.177930938083333,0.0478442166015877,0.142112882831591,0.0944542128719296,0.0467648115933808,3.1498808497566,0.100801960683269,0.0395295833665857,0.077996316377515,0.0204238620148032,0.138182895360747,0.158849292340416,0.189445393105557,2.71005491247638,0.44912125810931,0.00451591526698096,73.26248768,3.663124384,26.73751232,2.673751232,0.377380815,0.037738081,1598.916078,36.45528657,6598.380417,137.9061507,19881.77207,65.60984782,2488.325779,20.15543881,425.6460716,6.895466359,27170.31131,309.741549,6.251857157,0.096903786,8.651530736,0.255220157,40.88974473,0.249427443,38.26194334,0.566276761,3.722237356,0.115017134,22.88497366,0.157906318,217.7898692,1.350297189,15.7899099,0.203689838,7.571533241,0.196102711,2.209085785,0.028276298
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,493.1425,17799.3333333333,47476.5833333333,46619.6666666667,1.31666666666667,0.146705212461712,0.862492717854811,0.348678291254955,0.240449870579817,14.0708884877253,0.150483220352918,0.348004829617734,0.223421468778221,0.0125137732799294,0.255967479949975,1.77049070745281,1.42104940350479,63.2864691769821,11.3178075590003,0.178880946666667,0.0344229491341433,0.0680292349122436,0.0904095356728827,0.0453079683376601,0.693560605905748,0.0755617452548543,0.0622490805213818,0.122948152498265,0.02897613157677,0.123512078151071,0.229007452468336,0.205631077045967,0.937493614185269,0.307888186268432,0.00590696245974207,75.70263466,3.785131733,24.29736534,2.429736534,0.371069084,0.037106908,1482.982594,20.02026502,4618.995032,122.8652679,16479.65741,75.80642407,1575.735639,15.59978283,285.4554922,3.882194694,13872.977,234.4533113,5.871694204,0.029358471,11.09571628,0.335090632,27.8525667,0.35929811,30.62449678,0.275620471,3.358299908,0.053732799,17.215285,0.129114638,199.578966,1.576673831,9.92564195,0.11116719,5.775742778,0.041007774,1.748714738,0.016437919
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,520.634166666667,17684.75,46879.25,45986.0833333333,1.33333333333333,0.12831162917258,0.758848707636646,0.296255592969599,0.219801233806955,12.5513295189018,0.353766341248496,0.392390572143705,0.313069150753589,0.0313804839316454,0.252807704841902,2.03624587441605,1.55098127199787,63.8478577399733,11.6999346750005,0.183302172416667,0.031761774512703,0.103282428352123,0.067074083276807,0.0406726163215238,1.37867508744179,0.0956716600048104,0.0843494604437998,0.0663473110678298,0.0471332312859742,0.132532108731623,0.292978031990339,0.272691765377671,1.26957408291958,0.450514412735701,0.00767261806353377,68.98881969,3.449440984,31.01118031,3.101118031,0.530621874,0.053062187,746.1273884,12.31110191,3415.579205,69.67781578,10723.74092,15.01323728,1161.29693,11.14845052,213.0614752,1.363593441,10017.06936,131.2236086,4.139917554,0.052576953,5.323592416,0.062818391,16.00316636,0.17603483,21.4504263,0.265985286,1.692478385,0.017094032,12.67297664,0.01647487,119.2508257,0.643954459,6.298210275,0.021413915,3.645247462,0.013122891,1.178669272,0.009782955
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,601.545833333333,17870.5,47524.6666666667,46671.4166666667,1.28416666666667,0.137892409371546,0.807885754177767,0.36748168268383,0.224418356196923,15.1465846850443,0.285069549103974,0.394554737901414,0.251431421440732,0.0186115683450149,0.20545050217662,1.72585416468832,1.30094500413877,62.739272593098,11.3077557587958,0.18033640425,0.0347421915823191,0.0753186791327159,0.104580304546923,0.0485519685645036,1.23975520774438,0.123578232598383,0.0609566370703919,0.0868032712034035,0.0440464476649668,0.165034265021313,0.296056132889247,0.159368520704953,1.36150519806387,0.414293232730946,0.00827238141136432,80.10647259,4.005323629,19.89352741,1.989352741,0.315063631,0.031506363,1306.437254,29.00290704,4921.529077,148.6301781,16718.31854,180.5578402,1911.570392,23.70347286,318.8247,5.61131472,18126.438,242.8942692,5.075843538,0.092380352,8.253068077,0.149380532,36.18123,0.137488674,34.30741154,0.161244834,3.075266769,0.043976315,16.21679654,0.37298632,197.3571738,0.967050152,10.43275985,0.040687763,5.613188538,0.092056292,1.741273362,0.040223415
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,653.46,17555.4545454545,46970.4545454545,46046.0909090909,1.42727272727273,0.103615122091676,0.68876939713714,0.277052513497353,0.241943189314409,16.4046136128415,0.16051186353347,0.386762279715851,0.245469613927839,0.00500092324736875,0.333852696384686,1.93169788345237,1.36912558803331,61.9810165222753,11.0515055811498,0.178287780454545,0.0388671493048754,0.168119569753318,0.11397008509988,0.0776983977300036,2.50146875353979,0.0856855520877927,0.0693252459684711,0.0780617514632273,0.0165861860168878,0.144033201404478,0.235518648768569,0.203320386221211,2.10502419694723,0.498342423519137,0.00458270544758877,69.14989162,3.457494581,30.85010838,3.085010838,0.547574206,0.054757421,1259.896121,32.63130953,7273.786524,336.7763161,20223.29166,202.2329166,2382.409952,38.35680023,443.5927218,9.58160279,18736.05749,219.2118727,6.595896427,0.11081106,10.60653138,0.328802473,35.46679751,0.539095322,37.68347236,0.844109781,3.361097671,0.05747477,25.92994062,0.739003308,220.559147,3.021660314,10.79469099,0.138172045,6.907777422,0.069077774,2.021298155,0.025266227
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,692.363333333333,17671.8333333333,46547.6666666667,45649.3333333333,1.27583333333333,0.0971096803755229,0.701561818699925,0.265777021829133,0.189314503210454,12.5428362192936,0.218609712759615,0.398635877803328,0.327076029865291,0.0120592878442379,0.241912650116801,2.0150070583244,1.5011271441381,64.7305141414671,11.7801548207877,0.182009143666667,0.0250655510743553,0.106921484577429,0.134634538025246,0.0440858734430791,1.77656741350884,0.106647393351744,0.0597212573152545,0.0937920108866497,0.0417745984986354,0.113411846776027,0.314430271128613,0.298243166039028,1.72007264547493,0.341993931396504,0.00358285633533958,72.9454191,3.647270955,27.0545809,2.70545809,0.402178631,0.040217863,1344.416439,10.48644822,5415.67046,155.9713092,17750.4328,209.455107,1894.366875,25.95282619,330.5850441,1.454574194,13972.31801,76.84774904,6.245626149,0.014989503,8.570619866,0.118274554,35.40585383,0.400086148,37.52964617,0.240189735,3.85635977,0.057074125,20.04468741,0.567264654,211.7085625,0.296391987,11.40700042,0.087833903,6.150614387,0.077497741,1.940196079,0.02987902
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,770.521818181818,15943.9090909091,51358.6363636364,50500.2727272727,1.34909090909091,0.31245438819213,1.50343448535361,0.807561501222368,0.512398231476389,35.590101450028,0.256889420060752,0.275792023049618,0.223403873631807,0.0179543677045893,0.396978682529059,2.53028440729814,1.04404161045679,43.4403759546968,9.30737400982495,0.21437147,0.0461007293887611,0.167158204346834,0.14141837463467,0.0501539717440657,1.82032339127283,0.0894007001592639,0.0647672179409843,0.0827868766677753,0.0354008675058854,0.118758047329333,0.197251718293714,0.19842428537326,1.40871663014363,0.374166174467816,0.00904689117844741,56.09126618,2.804563309,43.90873382,4.390873382,0.795053383,0.079505338,1516.768292,13.34756097,8945.422022,111.8177753,26370.11281,58.01424818,3316.178876,18.57060171,654.0897303,4.251583247,29131.62831,367.0585168,11.02836,0.101460912,12.14358742,0.338806089,49.15261573,0.407966711,53.75514157,0.73644544,4.670383596,0.06538537,36.0531191,0.504743667,255.3811775,0.817219768,18.6667827,0.104533983,8.703494382,0.082683197,3.050648539,0.038438172
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,822.286923076923,17513.2307692308,53067,52107,1.37923076923077,0.232695942517169,1.24062879109042,0.551512710120681,0.348928957866417,29.0739504730421,0.207557110040327,0.320017421278882,0.265160990588011,0.0253554559596201,0.368354791742358,2.2887173482907,1.23004865150573,49.5439723040093,9.91725265964563,0.200281993230769,0.070701389537126,0.201383737362282,0.200115126355211,0.0516695161201461,4.27133896959227,0.135196985392861,0.0544532855361223,0.0879580434463291,0.0538444487935449,0.121701548698516,0.473623570198589,0.33594886068745,3.48732112836611,0.699623458860607,0.00739941947063828,48.46093102,2.423046551,51.53906898,5.153906898,0.698967031,0.069896703,1197.776996,14.97221245,8976.759109,182.2282099,26667.54291,424.0139323,2867.600154,48.17568258,567.7982591,8.346634409,22528.01628,74.34245371,9.134399757,0.033797279,7.820727692,0.171273936,39.76047449,0.397604745,44.16857409,0.295929446,3.406789555,0.121281708,32.92937976,0.625658215,253.6262866,2.967427554,14.95542664,0.216853686,8.387066316,0.132515648,2.620337879,0.018080331
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,906.45,19630.1538461538,52476.3076923077,51578.7692307692,1.31846153846154,0.154142809250872,0.853609659111703,0.342087538372631,0.27201902874025,15.6221993127664,0.253310354001838,0.368803554153502,0.228016507508322,0,0.227722753546108,1.64800742585851,1.41790281331352,62.3126408238233,11.0893655288739,0.178004605923077,0.0262134408229321,0.0996515245297108,0.0764077296969761,0.0495789657469551,1.29032961035859,0.122162942602967,0.0751597037986815,0.0770413505594361,0,0.123180140204359,0.227235443246611,0.151588742633149,1.15559505106176,0.248123775150613,0.00454971204769889,77.24749825,3.862374912,22.75250175,2.275250175,0.269401567,0.026940157,1488.067168,33.33270455,5721.295663,207.6830326,19173.11646,243.4985791,1937.934236,25.58073192,360.8953237,6.820921619,16524.5867,115.6721069,5.668266146,0.064051407,7.733471223,0.12373554,34.52810771,0.252055186,29.23988643,0.245615046,3.435134265,0.059084309,20.28673632,0.730322508,218.7762183,2.472171267,9.993117862,0.109924296,6.148477883,0.045498736,2.101736522,0.025010665
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,961.955384615385,18939.2307692308,47732.7692307692,46848,1.34538461538462,0.0939282262212202,0.606594809323661,0.326634604465286,0.177054638586352,9.11834912645039,0.126054590600125,0.387709252001147,0.272523363554197,0,0.140983448372698,1.50811012499947,1.54169619921831,68.5106114544789,11.6807625603868,0.170673390230769,0.0304657266729656,0.122613577379021,0.38640403265236,0.0813854043773759,2.33451131452308,0.0728140964758743,0.0680135458502006,0.0556570938954358,0,0.0927036809109943,0.350509802898163,0.216142129158031,2.76601993603339,0.331272804050238,0.00650999420347503,70.96204823,3.548102411,29.03795177,2.903795177,0.390327941,0.039032794,1561.45067,15.30221656,6594.697268,79.79583695,20274.4736,85.15278913,2422.968415,22.04901258,431.4287933,3.580858984,17616.22911,348.8013364,7.144032067,0.087157191,7.374484715,0.076694641,40.65077512,0.219514186,32.82610384,0.403761077,3.738156314,0.027288541,24.33687143,0.484303741,219.7339196,1.186563166,20.92027695,0.115061523,7.387883124,0.098997634,2.602507106,0.04762588
