"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.0557958051161695,0.0216395096922015,38.81328375,0.081961578,111.49408215271,-112.367560601983,335.355724907403
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.0475522623863731,0.0356400079244027,32.12024806,0.26750503,105.571936680917,-118.324605438479,329.468478800313
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.0708502219327559,0.0324647747693257,37.52718028,0.316767608,122.309146658723,-101.498095563821,346.116388881267
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.052679576898239,0.030921372184517,51.81193098,0.049962394,109.25538970763,-114.619020696202,333.129800111461
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.0636108849697212,0.031675528435819,82.80022216,1.100044802,117.108420706342,-106.723475661148,340.940317073831
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.0835747890853328,0.0313175198429309,42.83579617,0.699855742,131.450451582245,-92.3202204213156,355.221123585806
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.092109411402357,0.0262777731915046,219.4284939,1.571294805,137.581708077773,-86.1692686334393,361.332684788985
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.058573928471432,0.0258320673869568,41.17278862,0.168930879,113.489880705313,-110.360815350989,337.340576761615
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,0.0614278043422154,0.038016712411314,122.3868181,1.392426748,115.54009972148,-108.299778857411,339.379978300371
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,0.0452120469096206,0.0233181329567952,243.6402038,1.438405031,103.890730318199,-120.016377960556,327.797838596954
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,0.0421382940451296,0.0307883018407282,67.78989286,0.637151851,101.68255208652,-122.238876787757,325.603980960797
