Location,Site,Section,sample,min_depth,max_depth,depth,SH20_age,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_inc_sd,Mo_coh_sd,coh_inc_sd,water_content_pc,water_content_err,dry_mass_pc,dry_mass_err,density_gcm3,density_gcm3_err,P_ICP,P_ICP_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,As_ICP,As_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,Pb_ICP,Pb_ICP_sd,Th_ICP,Th_ICP_sd
Bird Island,BI10,BI10.2,67,70.1,71.2,70.6,1100.566667,23119.33333,56701.33333,1.278333333,0.000576167,0.009016476,0.000933612,0.000961526,0.047945165,0.001509774,0.005142242,0.003618265,0.002809767,0.001078956,0.010447671,0.021051747,1,0.151652695,0.151652695,0.000359252,0.001492405,0.000344054,0.000449649,0.008297913,0.000781927,0.0006421,0.000870809,0.001329022,0.001227407,0.001981908,0.003449476,0,0.002941088,0.002941087,77.0153216,3.85076608,22.9846784,2.29846784,0.313261892,0.031326189,3712.228887,74.17879973,7766.606331,2010.436754,9084.977882,46.04204392,1442.000824,11.02828725,88.46094721,0.148073757,6242.966621,15.13819392,4.068857773,0.02443965,5.960197779,0.068926753,36.59073739,0.331067449,261.6355831,2.462160119,8.072382999,0.070931291,30.36236272,0.256345549,168.0404108,1.955006557,30.42377281,3.299014819,4.487970407,0.077593013,2.556674805,0.045766663
Bird Island,BI10,BI10.2,71,74.7,75.8,75.2,1174.816667,22181.16667,53873,1.321666667,0.000427548,0.005783138,0.001009861,0.000948971,0.048489221,0.002298967,0.005372712,0.0046229,0.000278835,0.000904903,0.00977149,0.021045712,1,0.149898092,0.149898092,0.000263537,0.000993955,0.000357014,0.000286814,0.005532971,0.000912453,0.000748311,0.001062236,0.000477018,0.001267107,0.002587569,0.003142761,0,0.00220137,0.00220137,76.84431418,3.842215709,23.15568582,2.315568582,0.303477386,0.030347739,3558.613952,53.10499408,1973.319538,728.4065428,6626.492173,12.55357407,461.9149499,4.1315028,46.49996193,0.203261185,3694.801697,28.74082309,2.041238975,0.011991471,6.674238754,0.048794576,34.06414422,0.025144385,140.4650062,0.492872097,10.75975255,0.084324463,7.795499709,0.115748702,114.9998151,1.529219743,21.97235957,0.521915705,4.288871292,0.045808063,1.233894651,0.01690507
Bird Island,BI10,BI10.2,81,86.5,87.5,87,1349.672727,22325.90909,53674.81818,1.295454545,0.000313061,0.00528311,0.000692284,0.001046261,0.040734474,0.001793519,0.005172442,0.004172064,0.001768387,0.001313634,0.009608124,0.021231681,1,0.149104333,0.149104333,0.000279034,0.000684422,0.000374775,0.000354565,0.006910566,0.001255071,0.001018517,0.001200176,0.001045776,0.00094093,0.002517834,0.002329974,0,0.004918526,0.004918526,75.82326542,3.791163271,24.17673458,2.417673458,0.301310001,0.030131,3474.148775,97.58287489,14359.67839,3663.807136,9905.624178,61.39912548,2197.326275,24.940646,125.5077224,1.234445563,6284.597012,38.94604963,2.439569014,0.01043611,6.367819135,0.01977015,39.61078518,0.154761353,67.51751759,0.138761249,5.520887153,0.016892471,50.21714125,0.70380336,209.897137,2.629036009,39.24997232,1.135258391,4.871746851,0.049115691,3.886857404,0.030253524
Bird Island,BI10,BI10.3,88,84.8,85.8,85.3,1324,21329.45455,51592.63636,1.240909091,0.000102825,0.00554632,0.000587404,0.000535943,0.027342055,0.00135985,0.005366216,0.0031973,0.00093059,0.001215656,0.009402453,0.022541282,1,0.149911105,0.149911105,0.000110346,0.000576222,0.000436879,0.00037078,0.002585794,0.000873885,0.000449721,0.000850708,0.000983911,0.001686162,0.002018826,0.001320935,0,0.004174895,0.004174895,83.3768962,4.16884481,16.6231038,1.66231038,0.184247026,0.018424703,3858.056048,77.55997105,3095.570446,982.5430133,7180.738417,69.86799065,574.7925663,2.379383359,57.22472424,0.585720892,3753.765384,11.81590071,2.601276107,0.027240957,5.912256586,0.047824043,37.01157435,0.426171368,65.03458094,0.286572998,8.662126972,0.092756516,13.30255749,0.023181323,130.9618352,0.711514938,13.33706426,0.180364254,3.755055231,0.044804774,1.35530674,0.018758598
Bird Island,BI10,BI10.3,95,93,94,93.5,1444.545455,21085,51886,1.319090909,0.000709214,0.006374178,0.002705506,0.001402546,0.08272168,0.001576241,0.005272954,0.002619217,0.000159784,0.002866702,0.017609483,0.021927451,1,0.156443695,0.156443694,0.000464285,0.00121152,0.002021141,0.000658308,0.018074755,0.00102219,0.000790063,0.001821418,0.000236329,0.002275697,0.009048276,0.002966512,0,0.006363537,0.006363537,84.50687591,4.225343795,15.49312409,1.549312409,0.169763258,0.016976326,3318.93706,140.159263,3134.001598,945.8757012,6732.62029,14.01324671,606.0238476,2.682720915,60.2997145,0.569052976,11390.75321,93.133272,5.745017677,0.069473871,7.120078834,0.066671523,25.20300712,0.083140624,71.97280393,0.774294779,7.32730259,0.127147154,10.28410137,0.050822268,119.867266,2.07053159,13.96054981,0.385854347,4.655602184,0.05117785,1.122462139,0.002027459
Bird Island,BI10,BI10.3,98,96.3,97.3,96.8,1492.281818,20358.09091,49648.18182,1.288181818,0.001071661,0.005794709,0.002182565,0.001525072,0.083203994,0.002539458,0.00579622,0.002603067,0.000335496,0.005111127,0.019112762,0.023813486,1,0.163261797,0.163261797,0.000638648,0.001056638,0.000559417,0.000483564,0.008549612,0.001153643,0.000773786,0.001069998,0.000864906,0.00321301,0.004134852,0.00283556,0,0.004797626,0.004797626,72.65882601,3.6329413,27.34117399,2.734117399,0.345133732,0.034513373,3046.497536,93.59658386,3044.618396,864.5444411,6605.365982,65.89419971,562.7226914,3.077677491,54.01867077,0.421691157,7073.372392,64.24483976,3.633220643,0.018650539,5.857915852,0.041156676,18.81424853,0.085012501,41.79884834,0.244174097,5.049060535,0.052888463,9.694363956,0.203712654,112.4064678,0.932757371,13.08141258,0.324463031,4.214972855,0.00900571,0.992804532,0.005060371
Bird Island,BI10,BI10.3,104,103.2,104.2,103.7,1595.6,23485.90909,56468.36364,1.455454545,0.00045582,0.005852731,0.001453244,0.001163264,0.037132909,0.001483251,0.004973552,0.002379095,0.000586608,0.001369609,0.012599549,0.021044821,1,0.14837806,0.148378059,0.000424334,0.001276552,0.001787949,0.000216942,0.013080804,0.000675798,0.000428872,0.000968867,0.00068365,0.001635979,0.003156009,0.002317531,0,0.002752184,0.002752184,83.17025225,4.158512612,16.82974775,1.682974775,0.191025979,0.019102598,3335.981766,60.0124919,1424.582603,617.0473108,7089.603048,60.94161611,441.0920959,6.868091078,47.40786167,0.811856875,1987.252608,27.50554815,1.389287804,0.01419095,4.568507031,0.022190259,19.39416739,0.073912797,45.72842227,0.254790732,4.628095976,0.048659815,6.266500548,0.095875453,127.1397723,0.326624311,11.39582517,0.228978244,4.732409551,0.019576414,0.984439937,0.012776705
Bird Island,BI10,BI10.3,114,114.9,115.9,115.4,1769.918182,23787.45455,60059.36364,1.378181818,0.000212304,0.004801622,0.000726147,0.000779976,0.166037982,0.003184846,0.005310752,0.003170856,7.55582E-05,0.000771159,0.0051829,0.020455599,1,0.149992787,0.149992787,0.000204443,0.000709538,0.000505425,0.000304683,0.020055641,0.001203635,0.000707963,0.001092917,0.000105925,0.001040166,0.002033371,0.001946844,0,0.002882752,0.002882752,86.15563506,4.307781753,13.84436494,1.384436494,0.27542932,0.027542932,4610.248256,169.7864944,1716.680373,574.2556523,5586.311354,64.02588147,354.6954517,1.783713254,38.81328375,0.081961578,15892.74003,5.384076861,1.543818014,0.018208205,5.784125479,0.017909738,42.10225675,0.101834918,35.80217711,0.124414396,5.434072792,0.066823231,6.037782671,0.042295483,94.40874214,1.478332239,8.138802933,0.19067742,3.83135941,0.031914034,0.865875823,0.005713133
Bird Island,BI10,BI10.3,120,121.8,122.7,122.3,1872.71,23463.2,55879.5,1.243,0.000190114,0.00425606,0.000379288,0.000603083,0.033227508,0.001131902,0.005199234,0.003832498,0.000949869,0.001118604,0.003264484,0.021425203,1,0.146557429,0.146557429,0.00020747,0.00047562,0.000276337,0.00043185,0.012437901,0.000849107,0.000633262,0.000919037,0.000688541,0.001454825,0.001326981,0.00117784,0,0.003832887,0.003832888,87.78918391,4.389459195,12.21081609,1.221081609,0.151943562,0.015194356,4492.936701,91.25578968,683.2265993,330.288126,5350.125775,88.24884284,192.9637106,2.274240107,32.12024806,0.26750503,4238.013215,41.30378848,0.741821487,0.012050585,6.534750001,0.055133377,62.86286744,0.567434644,87.02811474,1.036590908,13.1076901,0.161700542,2.592646444,0.02182641,91.74775016,0.40610632,5.71655892,0.108668636,5.092746285,0.020391728,0.664291765,0.003592713
Bird Island,BI10,BI10.4,135,129.4,130.4,129.9,1986.590909,23205.09091,65119.72727,1.433636364,0.000185711,0.005777717,0.001052188,0.001165849,0.400309087,0.004616797,0.005095741,0.004138714,0.00229754,0.000424463,0.006770108,0.020598012,1,0.157428366,0.157428366,0.000204088,0.000730434,0.00066221,0.000528934,0.038614011,0.001652244,0.001100193,0.001011381,0.001314644,0.00057616,0.002425662,0.002038993,0,0.002657515,0.002657515,83.20307613,4.160153806,16.79692387,1.679692387,0.198138286,0.019813829,2888.301683,68.23238158,1641.390095,595.6836327,5647.265231,93.13022455,401.5251511,5.219646629,37.52718028,0.316767608,3019.385269,15.63993365,1.001920559,0.002420104,9.469595678,0.030083547,77.32937965,0.189230748,126.1466188,1.544773235,11.39866575,0.123110885,6.954876946,0.093655521,100.7977844,1.025597866,10.71344504,0.348935486,3.961646879,0.031813072,0.860069661,0.003042513
Bird Island,BI10,BI10.4,145,141,142,141.5,2162.972727,23972.81818,57889.27273,1.315454545,0.00019479,0.0046132,0.000564224,0.000689248,0.060988348,0.001467033,0.005321989,0.003789236,0.004511608,0.000542948,0.009002764,0.021962523,1,0.149073162,0.149073162,0.000156591,0.000650247,0.000460657,0.000395028,0.009799351,0.001415238,0.000949257,0.000901908,0.001109438,0.00076302,0.002053908,0.001772478,0,0.003382222,0.003382222,85.1918684,4.25959342,14.8081316,1.48081316,0.272975891,0.027297589,3582.990472,78.58668299,5412.77206,1133.053064,5488.24581,18.21293292,523.0275133,1.869875762,51.81193098,0.049962394,36760.73258,176.9107347,3.769043144,0.04959872,7.155451754,0.030710634,40.6484082,0.139015902,36.99629166,0.295665893,7.711571305,0.048823252,9.787053209,0.059603308,91.25190224,0.699750267,9.674570314,0.181126451,4.402169903,0.038260027,0.858893791,0.005791892
Bird Island,BI10,BI10.4,155,152.7,153.8,153.2,2335.408333,23105.16667,59388.66667,1.445,0.000101282,0.003965063,0.000538629,0.000903399,0.181083286,0.005837303,0.005440666,0.004703009,0.008134496,0.000580257,0.005072724,0.021533896,1,0.155222516,0.155222517,0.000178608,0.000550062,0.000321031,0.000442572,0.042767824,0.001749852,0.001062166,0.001136408,0.002124321,0.000880744,0.002299475,0.002664822,0,0.003991243,0.003991243,83.66949487,4.183474744,16.33050513,1.633050513,0.185787318,0.018578732,3079.887722,69.393988,5594.694254,1512.473246,6436.237221,74.4489504,1149.476822,20.0568356,82.80022216,1.100044802,6074.810846,90.83067827,1.250579343,0.003346293,6.317256008,0.021906999,67.58862806,0.371106986,145.146567,1.516565475,5.364596712,0.048444676,20.81297886,0.274237825,121.0153008,1.039947828,58.14267286,6.463462839,2.650531649,0.028355943,1.955638501,0.006912781
Bird Island,BI10,BI10.4,165,164.8,165.8,165.3,2517.272727,22003.36364,55622.63636,1.340909091,0.000570851,0.007572546,0.001947127,0.001159238,0.144729321,0.002469963,0.0055719,0.003884697,0.002709919,0.000476604,0.008642812,0.021326762,1,0.153574041,0.153574041,0.0007396,0.000997328,0.001525936,0.000453742,0.078035509,0.001364548,0.000851149,0.001513336,0.001763617,0.000745553,0.001682112,0.002881048,0,0.003237462,0.003237462,84.59367774,4.229683887,15.40632226,1.540632226,0.216122062,0.021612206,1967.834735,47.21852826,2804.420041,585.0799774,5642.915643,47.45052762,253.7523195,4.53576382,42.83579617,0.699855742,49049.46764,602.4649613,16.76515491,0.107585917,16.20702482,0.031666011,58.21751812,0.419583377,148.0981288,0.616201008,23.90463007,0.06260096,4.260143181,0.051289903,85.39705279,1.57965392,5.057282645,0.115798204,3.146538486,0.012418503,0.570044874,0.002471594
Bird Island,BI10,BI10.4,168,168.4,170,169.2,2576.011765,23517.94118,58045.35294,1.348823529,0.000355181,0.005282863,0.001271983,0.001252616,0.131410262,0.002238132,0.005323645,0.0030483,0.001641567,0.001157351,0.007326955,0.019254472,1,0.152447822,0.152447822,0.000243073,0.000744354,0.000900645,0.000355356,0.009920883,0.001374977,0.000832249,0.001063677,0.00114328,0.001139392,0.002556675,0.002410477,0,0.004793828,0.004793828,81.40480554,4.070240277,18.59519446,1.859519446,0.204376401,0.02043764,1694.735519,33.88377561,21023.43508,4080.69295,6500.001765,157.0216455,1574.554031,8.965107785,219.4284939,1.571294805,51904.82693,633.5042142,14.16367715,0.137185591,12.29132094,0.371333453,34.00992075,0.690963856,148.2023206,1.199008089,15.12156246,0.095879915,43.16608535,0.550658986,121.2110164,1.417347214,16.90685979,0.392208159,2.340809011,0.027559605,2.295847112,0.022916539
Bird Island,BI10,BI10.5,181,174.6,175.6,175.1,2667,23704.54545,59517.81818,1.359090909,0.000619888,0.005632073,0.001427066,0.000821637,0.164416048,0.003341181,0.005750023,0.003811709,0.002585813,0.000748195,0.007975256,0.021359281,1,0.156416456,0.156416456,0.000634768,0.001126554,0.000933964,0.000359086,0.022182123,0.001096744,0.000639508,0.000818597,0.001144991,0.00076458,0.002890333,0.002795751,0,0.00248921,0.00248921,85.61977529,4.280988764,14.38022471,1.438022471,0.155714357,0.015571436,2752.727597,75.0445044,1243.638909,437.7130837,6176.904031,61.73924486,227.5458294,2.628673775,41.17278862,0.168930879,34127.39087,180.3909133,6.771422937,0.061270999,8.534630865,0.135962996,31.39605337,0.356175262,72.11422012,0.027502016,12.77033613,0.179389774,2.564526013,0.044583218,95.32051892,1.284724348,5.156965844,0.162421667,1.427389453,0.026999745,0.435568334,0.001231962
Bird Island,BI10,BI10.5,191,186.6,187.6,187.1,2847.454545,21510,58730.81818,1.32,0.00022752,0.006048684,0.001145774,0.000976098,0.320331638,0.005819822,0.005043017,0.00435467,0.000570115,0.000497721,0.011095954,0.020003553,1,0.157757844,0.157757844,0.000232309,0.001320585,0.000501603,0.00058603,0.052115538,0.001703055,0.001112797,0.001580264,0.000663074,0.001347426,0.0021459,0.002334104,0,0.00519446,0.005194461,79.80943744,3.990471872,20.19056256,2.019056256,0.281645054,0.028164505,1749.918156,38.72164841,11337.75217,2616.583382,6093.055388,99.46457719,915.5577505,17.12303214,122.3868181,1.392426748,29114.97389,241.7735926,5.562421054,0.040340228,5.623618255,0.058556283,28.97367916,0.196486418,93.7163573,0.254401542,5.880620616,0.031702243,24.03856275,0.33159449,119.1548845,2.957478603,15.8979202,0.224859279,2.455216785,0.026686848,1.603626604,0.009780705
Bird Island,BI10,BI10.5,194,190.3,191.3,190.8,2903.109091,21500.09091,61427.81818,1.414545455,0.00015311,0.005176662,0.000927187,0.000773961,0.4614354,0.006695101,0.005033778,0.004001621,0.000243303,0.000378043,0.005741485,0.019675842,1,0.162441652,0.162441652,0.000133681,0.00109175,0.000512035,0.000405534,0.051440518,0.001313182,0.001040301,0.001207637,0.000332261,0.000663907,0.002075426,0.002295957,0,0.004380893,0.004380893,64.49599226,3.224799613,35.50400774,3.550400774,0.424637677,0.042463768,2718.898178,69.33850126,21256.47654,4637.824269,9697.311696,71.12002695,2196.956371,20.5861252,243.6402038,1.438405031,24845.10488,215.0112593,3.933228837,0.026102701,4.972003175,0.041494084,26.9304948,0.044764677,75.23867924,0.271229161,6.036863844,0.03305887,58.90663431,0.829134942,121.5336821,2.37450858,34.80855314,1.065068086,3.035214228,0.002861817,3.482291497,0.029947165
Bird Island,BI10,BI10.5,197,194,195,194.5,2954.418182,21368,63253.63636,1.329090909,0.000186476,0.006110838,0.001065365,0.000760319,0.541551596,0.005654447,0.005616695,0.004107668,0.001038824,0.001070809,0.007226812,0.018407758,1,0.160814896,0.160814896,0.000210807,0.001455578,0.000416191,0.000553944,0.081382061,0.002177985,0.000672926,0.001526407,0.000812506,0.001163745,0.002640483,0.00337625,0,0.003733565,0.003733565,84.6167805,4.230839025,15.3832195,1.53832195,0.178709685,0.017870968,3664.07192,100.1547698,4642.258304,1389.963814,7288.66125,112.260405,660.9863166,4.425975943,67.78989286,0.637151851,27055.53366,347.4235335,5.752426608,0.069152067,6.761396788,0.051811841,46.72905914,0.124522427,130.7729603,0.867339372,9.314588371,0.068044927,12.67353344,0.313961187,118.8967341,1.10170535,12.27077458,0.312493156,4.000698932,0.018011777,1.094034563,0.005286327
