Isla Hermite,HER42PB,HER42PB_1J,340,376.7,377.9,377.3,0.6,4688.32,318.315,4337.36,4988.5,4690.75,4684.26,4346.67,5005.8,4712.77,4703.67,4354.08,4990.71,4709.27,4699.41,20284.84615,53917.76923,1.326923077,26.92307692,302.4615385,59.46153846,42.46153846,7026.230769,134.7692308,200.3076923,114.4615385,1.769230769,35.46153846,383.4615385,721.6153846,35460.07692,5710.230769,0.161036549,14.09173244,43.98790626,19.62827631,19.72568286,715.7655754,43.99650336,31.26335612,43.99737754,6.379052257,37.01939893,77.66446569,84.25312898,591.2898981,133.3698828,0.22555752,0.002867878,6938.306145,1248.895106,20268.84804,2634.950245,2279.040838,319.0657173,412.4972905,49.49967486,23564.0081,4241.521458,6.815172626,0.477062084,14.36379274,7.75644808,35.30719832,4.943007765,38.30523184,3.447470866,23.87451872,3.819922995,229.7243184,4.594486368,10.85448743,0.542724372,0.061823802,0.001795225,2.903775956,0.023477616,0.003029499,12.90377582
Isla Hermite,HER42PB,HER42PB_1J,342,379.6,380.9,380.3,0.65,4734.72,321.925,4365.72,5039.29,4736.55,4727.98,4398.82,5051.36,4761.51,4750.31,4392.66,5036.51,4756.04,4745.46,19990.78571,51979.64286,1.347142857,28.07142857,312.5,68.85714286,46.92857143,4996.142857,82,184.7857143,104.5714286,3.928571429,70.57142857,456.2142857,728.2857143,35539,5621.071429,0.158320473,9.587365771,55.50433109,16.68650834,23.49292622,960.8948439,54.62036814,35.85908011,41.69986955,8.156774303,65.08540459,136.7463562,94.8484042,1432.435043,151.5232728,0.105780205,0.00539907,8950.558177,1611.100472,24808.64122,3225.123359,2482.192492,347.5069489,468.1176464,56.17411757,19367.63702,3486.174664,6.870330497,0.480923135,8.283716354,4.473206831,39.39945912,5.515924277,38.04452155,3.42400694,26.1051305,4.17682088,258.8993453,5.177986906,16.12641381,0.806320691,0.058217644,0.001896039,3.256811155,0.03389392,0.004493253,13.2568111
Isla Hermite,HER42PB,HER42PB_1J,346,385.3,386.5,385.9,0.6,4823.66,284.225,4495.88,5088.87,4822.64,4815.28,4523.27,5103.22,4846.69,4838.27,4522.19,5090.64,4837.93,4829.57,19331.53846,49434.84615,1.31,30.84615385,298.6923077,83,67.30769231,4004.076923,75.61538462,177,98.69230769,0.615384615,108.8461538,625.2307692,775.3076923,34275.46154,5567.153846,0.16256244,20.46071909,51.81599595,24.02429326,31.78674938,955.7426834,51.58898213,25.72288216,42.55855694,2.218800785,61.31047512,90.00014245,116.2112908,1602.876353,203.9484601,0.127239047,0.005062272,2336.807871,420.6254168,10578.61869,1375.22043,931.8953279,130.4653459,132.2391605,15.86869926,28458.15526,5122.467947,4.4576731,0.312037117,6.187784978,3.341403888,33.54823181,4.696752453,28.66381491,2.579743342,6.326605247,1.01225684,150.1829657,3.003659314,3.63246372,0.181623186,0.052196607,0.001975829,3.785359107,0.009561797,0.001318128,13.78535927
Isla Hermite,HER42PB,HER42PB_1J,349,389.6,390.9,390.2,0.65,4891.85,287.1,4555.04,5147.27,4890.12,4881.22,4608.76,5158.96,4915.29,4906.43,4585.69,5159.89,4903.85,4894.09,16727.71429,44950.35714,1.342142857,79.5,467.2142857,146.8571429,103,5749.5,55.85714286,133.6428571,91.21428571,10.71428571,145.2857143,877.8571429,675.5,28511.42857,5051.714286,0.177546195,18.11820164,85.16154655,44.39136635,15.8113883,1412.63288,50.97338241,35.5107939,28.99649467,17.75659605,54.9691222,159.219663,69.43480617,1798.259574,181.3243709,0.100833258,0.007212745,4675.210641,841.5379154,15306.70025,1989.871033,1260.681432,176.4954005,253.2933803,30.39520564,22717.61164,4089.170095,4.917649378,0.344235456,6.573395751,3.549633706,29.94669397,4.192537156,23.73971131,2.136574018,14.32868034,2.292588854,171.0846086,3.421692172,7.44121623,0.372060812,0.051566839,0.002152603,4.174393959,0.015124515,0.002143808,14.1743941
Isla Hermite,HER42PB,HER42PB_1J,352,394,395.2,394.6,0.6,4959.47,229.705,4699.65,5182.84,4949.9,4948.63,4741.53,5190.35,4969.37,4969.42,4728.84,5188.25,4958.62,4959.02,18842.07692,51003,1.31,45.07692308,405.8461538,143.4615385,88,7555.615385,78.15384615,171.5384615,112.6923077,0,86,732.6923077,719.1538462,32059.76923,5382.692308,0.168199263,14.65981775,65.37309099,38.06707979,23.77673933,1697.093031,67.08681708,41.07435409,27.26837184,0,52.89612462,134.0754667,94.12655147,1291.963438,113.1012707,0.087542161,0.00880845,3450.956197,621.1721155,14483.51439,1882.856871,1130.676773,158.2947482,183.982931,22.07795172,10907.12191,1963.281944,2.854988022,0.199849162,7.039017163,3.801069268,21.79382396,3.051135354,16.6275996,1.496483964,11.48762934,1.838020694,184.4496706,3.688993412,5.635881127,0.281794056,0.057720058,0.002445486,4.236804565,0.013296212,0.001892956,14.23680461
Isla Hermite,HER42PB,HER42PB_1J,353,395.4,396.6,396,0.6,4980.99,217.395,4742.69,5195.63,4970.86,4970.08,4779.63,5203.51,4989.88,4989.93,4764.24,5199.03,4978.44,4979.68,18627,49940.46154,1.296923077,59.92307692,477.7692308,169.0769231,101.8461538,7157.461538,103,188,92.76923077,0,97.23076923,759.2307692,700.3076923,31484.46154,5340.615385,0.169681713,21.5269658,48.13549253,91.06541746,27.85631632,736.8787344,32.1065933,38.85013942,25.03049422,0,58.3426,140.5418999,85.51645516,546.3954025,130.3952571,0.238646329,0.005357364,6847.805483,1232.604987,20434.06435,2656.428366,2039.268789,285.4976305,341.6514086,40.99816903,13769.49752,2478.509554,4.926755175,0.344872862,7.826063409,4.226074241,21.85564158,3.059789821,27.36166731,2.462550058,19.78681817,3.165890907,233.8952637,4.677905274,9.132377618,0.456618881,0.060453401,0.002604054,4.307538735,0.028634718,0.004096923,14.30753876
Kerguelen,KER1,CAT1-S1-1A,1,0,1.4,0.7,0.7,-43.6,12.77,-68.87,-63.15,-65.99,-66.01,-64.78,-17.65,-48.93,-47.23,-65.18,-39.64,-56.27,-54.6,21128.75,48795.75,1.3875,41,153,27.5,719.5,2054.5,76.25,187,62,47,115.5,471.25,623.5,36172,5541.5,0.153299754,11.48912529,48.54551129,14.84362939,410.8726486,636.5105393,54.75019026,36.98648402,58.29808459,31.6227766,92.14662229,123.4298046,202.7716285,2850.288757,382.2220123,0.1340994,0.002238014,6749.372655,1214.887078,20764.4876,2699.383388,8034.582758,1124.841586,614.0518172,73.68621806,32678.58936,5882.146085,16.33205694,1.143243986,26.27212126,14.18694548,24.69368632,3.457116085,74.45665889,6.7010993,4.612179656,0.737948745,138.036883,2.76073766,93.81158408,4.690579204,0.074547391,0.027333073,36.66536509,0.015229532,0.007106917,46.66536524
Kerguelen,KER1,CAT1-S1-1A,3,3.1,4.7,3.9,0.8,3.970588235,68.91,-61.13,57.31,-17.67,-13.84,-60.44,97.74,-8.87,-3,-58.06,79.76,-12.34,-2.39,14967.41176,49334,1.342352941,48.88235294,371.0588235,342.4705882,164.7647059,20505.05882,265.8235294,148.4117647,92,16.47058824,86.29411765,724.8235294,566.1176471,20162.64706,4087.058824,0.203875802,41.30206162,168.250732,157.8199598,90.91722156,5465.091576,60.77749922,36.69989582,37.49166574,22.00601522,45.41167898,137.044808,120.6616563,2676.600408,397.1135654,0.148364905,0.012290366,8470.459825,1524.682769,24349.44729,3165.428148,10205.77283,1428.808196,553.5802331,66.42962797,48738.7654,8772.977772,18.68861595,1.308203117,39.93389191,21.56430163,26.74331214,3.7440637,81.89432683,7.370489415,6.928285046,1.108525607,172.0332159,3.440664318,130.2830932,6.51415466,0.147601476,0.010071127,6.823188771,0.047852355,0.008050292,16.82318862
Kerguelen,KER1,CAT1-S1-1A,5,6.4,7.8,7.1,0.7,59.76,90.695,-40.91,154.79,28.04,36.72,-30.55,146.52,35.46,41.77,-25.21,156.18,56.32,63.02,17856.53333,63331.26667,1.379333333,111.1333333,543.2666667,533.2,158.8,31088.13333,248.5333333,185.5333333,90.4,23.06666667,90.53333333,775.2666667,600,22545.66667,4478.466667,0.201586507,45.29879637,257.6920828,252.8207157,60.9440024,7546.575409,92.1829444,31.90357496,43.18200683,24.78325087,69.77501258,271.1176515,110.691334,3398.159495,280.7120708,0.082607091,0.022091369,7270.581826,1308.704729,18719.29689,2433.508596,11837.89698,1657.305577,433.6021987,52.03226384,40886.55616,7359.580109,15.75984242,1.103188969,28.84382633,15.57566622,26.49605516,3.709447722,74.54857758,6.709371982,8.457485532,1.353197685,154.8814977,3.097629954,132.8980564,6.64490282,0.277227723,0.007469455,2.69433922,0.267060723,0.033901594,12.69433921
Kerguelen,KER1,CAT1-S1-1A,7,9.3,10.6,9.9,0.65,108.4857143,116.895,-18.59,210,65.7,75.24,-8.02,214.73,70.67,83.69,-7.28,226.51,128.58,126.29,21546.35714,63213.71429,1.381428571,52.14285714,244.4285714,192.4285714,74.07142857,19220.28571,201.5,225.3571429,101.7142857,3.785714286,54.92857143,312.5,758.8571429,34171.85714,5453.285714,0.159645525,45.36155123,100.1903683,82.75795503,28.59925842,7409.844984,97.13966947,22.76842329,51.99619597,7.76757136,51.75305905,78.28326278,100.0975349,670.8881435,180.0591478,0.268389223,0.006319067,2638.458059,474.9224506,7892.84278,1026.069561,3166.073488,443.2502883,145.6542648,17.47851178,18707.63044,3367.373479,5.990333136,0.41932332,14.90398608,8.048152483,12.73383553,1.782736974,27.27598299,2.454838469,2.597921886,0.415667502,65.34606485,1.306921297,43.42615035,2.171307518,0.153846154,0.005571747,3.621635522,0.026498795,0.003609569,13.62163575
Kerguelen,KER1,CAT1-S1-1A,8,10.7,12,11.4,0.65,130.2071429,104.64,-3.96,225.59,86,98.44,9.4,227.02,90.03,106.81,26.91,236.19,169.47,154.74,18073.14286,50747.71429,1.393571429,104.5,485,433.1428571,104.9285714,12891.42857,143.4285714,200.9285714,120.8571429,8.642857143,64.64285714,646.5714286,670.8571429,27758.21429,5068,0.185652935,100.2939909,249.8818182,239.1120938,40.17933699,3830.01325,71.6752444,36.13961024,50.85856277,13.80973538,69.96219544,243.7892262,118.8469327,4996.428512,479.4193603,0.095952411,0.020160458,7029.037339,1265.226721,23057.20465,2997.436605,9442.994519,1322.019233,372.8583737,44.74300484,35630.07615,6413.413707,14.56260068,1.019382048,31.14535059,16.81848932,25.82156005,3.615018407,65.36111894,5.882500705,4.555799076,0.728927852,143.4502871,2.869005742,114.5251759,5.726258795,0.155316607,0.005628193,3.623690363,0.048640372,0.006626614,13.62369049
Kerguelen,KER1,CAT1-S1-1A,9,12.1,13.6,12.8,0.75,153.175,97.12,8.62,234.13,111.83,126.25,20.04,246.29,116.69,133.24,51.36,245.6,207.61,180.92,20860.6875,54932.3125,1.32875,49.375,320.6875,307.6875,74.6875,9088,77.25,227.6875,125.1875,12.5,63.375,385.125,852.4375,35799.1875,5683.0625,0.160042134,59.03544133,347.5542584,290.9542275,40.70989847,5483.486348,56.51135579,27.98265832,45.20061762,31.63331577,61.51300675,258.4089459,111.0771316,4346.571756,412.5288626,0.094909019,0.013361597,3048.627916,548.7530249,8068.846686,1048.950069,3112.020149,435.6828209,137.6502423,16.51802908,13008.32214,2341.497985,5.221829427,0.36552806,13.60485991,7.346624351,19.18499137,2.685898792,28.74841778,2.5873576,4.22647584,0.676236134,73.24363877,1.464872775,41.3224873,2.066124365,0.214592275,0.006311272,2.94105272,0.03934184,0.005091248,12.94105294
Kerguelen,KER1,CAT1-S1-1A,11,15.1,16.5,15.8,0.7,212.5266667,101.075,27.19,300.65,166.41,186.88,89.36,323.98,179.04,197.41,106.45,308.6,268.6,241.87,21094.13333,53044.6,1.298,20.2,153.2,143.6666667,45.2,4948.333333,86.8,212.8,104.2666667,9.333333333,83.86666667,300.3333333,879.7333333,37836.93333,5968.2,0.157802914,8.929885618,39.87874479,63.92033733,18.70905052,1018.377818,49.87441371,28.09727999,52.57439174,18.99498681,71.53407446,109.9335297,95.80446356,1429.231985,208.73914,0.146049866,0.004309572,2675.023484,481.5042271,7023.833905,913.0984077,3257.609478,456.0653269,116.7959682,14.01551618,9929.222192,1787.259995,4.215243411,0.295067039,10.86332373,5.866194814,10.81206248,1.513688747,28.98839799,2.608955819,2.954910964,0.472785754,66.66000584,1.333200117,46.13258291,2.306629146,0.132953466,0.00471714,3.547963206,0.03032397,0.00410828,13.54796334
Kerguelen,KER1,CAT1-S1-1A,13,18,19.4,18.7,0.7,308.48,110.425,51.9,397.92,304.42,274.9,131.24,426.71,276.74,276.76,195.89,416.74,311.42,313.64,23650.53333,61225.33333,1.335333333,10.33333333,162.3333333,84.73333333,46.46666667,8375.6,92.73333333,242.2,116.5333333,4.333333333,40.86666667,125.2666667,936.3333333,42160.4,6328.666667,0.150175611,8.682220475,78.84402928,40.10783085,18.38037255,3817.866285,61.37876164,34.96978287,41.75073424,10.92615909,52.57357656,87.9402936,122.2787604,1503.870758,213.7139833,0.142109275,0.004295984,458.1692768,82.47046982,1842.298409,239.4987932,338.8842864,47.4438001,22.55582026,2.706698431,4020.387316,723.6697169,1.572869736,0.110100882,7.487431173,4.043212833,3.298222114,0.461751096,11.6740324,1.050662916,0.811121884,0.129779501,28.31046928,0.566209386,11.60409855,0.580204928,0.752688172,0.003735226,0.496251434,0.120576946,0.012656059,10.49625112
Kerguelen,KER1,CAT1-S1-1A,17,24,25.5,24.7,0.75,466.2125,63.48,392.71,513.74,458.53,457.34,422.22,533.65,495.86,491.73,394.08,521.04,474.95,469.15,21313.25,55199.625,1.315625,21.6875,220.25,287,69,8722.1875,178.4375,217.1875,108.375,0.9375,58.25,486.3125,894.4375,36190,5810.9375,0.160899843,17.04393832,74.42177101,110.0327224,20.17919721,1065.458225,64.83617175,30.77058931,48.66466891,2.568235451,56.41926385,136.0787609,63.23814118,2959.502886,340.313085,0.114989949,0.00513953,5071.624524,912.8924143,15295.91562,1988.469031,6877.170886,962.803924,213.3189091,25.59826909,18207.37633,3277.327739,6.986589224,0.489061246,16.48989021,8.904540713,22.07333655,3.090267117,44.32511103,3.989259993,3.976518253,0.63624292,114.3906738,2.287813476,97.8771987,4.893859935,0.043617331,0.010642827,24.40045409,0.013712298,0.004717093,34.40045413
Kerguelen,KER1,CAT1-S1-1A,20,28.6,30,29.3,0.7,587.28,74.7,522.03,607.36,555.04,558.51,529.6,742.74,589.36,599.46,525.33,674.73,579.85,585.2,22599.8,56713.06667,1.3,7.466666667,118.2,102.4666667,41,6654.933333,96.6,235.8,125.8666667,2.666666667,28.33333333,198.1333333,911.6,39933.73333,6159,0.154267967,8.4504156,28.52367438,33.68947836,13.26111394,1094.213447,62.8806125,32.9874435,43.98841839,10.32795559,51.43465572,115.0893235,124.1161898,953.2722192,174.0824928,0.18261572,0.004276096,2197.636489,395.574568,5707.668952,741.9969638,2119.195067,296.6873094,70.00844714,8.401013657,11359.78762,2044.761772,5.66932153,0.396852507,15.34618164,8.286938086,18.88934963,2.644508948,29.368275,2.64314475,3.67902566,0.588644106,64.93648567,1.298729713,51.11187666,2.555593833,0.034188034,0.006343165,18.55375833,0.006496956,0.001855125,28.55375859
Kerguelen,KER1,CAT1-S1-1A,23,33,34.4,33.7,0.7,665.7466667,109.9,547.41,755.64,634.02,637.83,565.34,805.78,673.77,675.77,562.86,782.66,654.5,660.96,16717.46667,50758.26667,1.342,88.93333333,637.4,732.4666667,136.0666667,17414.86667,175.5333333,189.8666667,117.7333333,36.6,108.7333333,1101.8,707.0666667,23130.73333,4665.066667,0.204718977,86.81463559,313.1386731,385.0808573,58.45323731,4863.549378,53.37584615,24.63698343,51.95529214,43.0328778,70.3800567,374.9495585,73.21735417,3777.320242,365.484701,0.096757669,0.022146714,12528.03678,2255.04662,27130.75859,3526.998617,12890.21714,1804.6304,417.5692893,50.10831472,33851.35179,6093.243322,18.88507004,1.321954903,39.37891077,21.26461182,37.94363653,5.312109114,93.54908632,8.419417769,7.20558062,1.152892899,171.3250337,3.426500674,160.3937624,8.01968812,0.036900369,0.005418586,14.68436738,0.019670212,0.004855467,24.68436734
Kerguelen,KER1,CAT1-S1-1A,25,35.9,37.2,36.6,0.65,716.1928571,124.7,568.78,840.64,683.81,688.25,603.42,850.87,722.85,722.24,597.73,847.13,701.64,710.45,16771.35714,52420.35714,1.327142857,94.42857143,645.8571429,819.3571429,132.2857143,18397.85714,159.5714286,182.2857143,100.7142857,31.85714286,102.3571429,1007.928571,712.4285714,23955,4661.785714,0.195298392,64.41776426,209.7191738,292.0272925,40.23092682,3910.224327,65.30721987,30.56752568,36.13953423,52.20500586,75.25812723,199.567403,91.43447783,2201.814287,287.885976,0.130749436,0.010733828,3483.960682,627.1129228,10116.20827,1315.107075,4855.040059,679.7056083,141.6979167,17.00375,14577.34124,2623.921423,7.044092268,0.493086459,18.00861913,9.72465433,18.73001453,2.622202034,40.14643479,3.613179131,2.109290233,0.337486437,69.55534929,1.391106986,63.51816441,3.175908221,0.038246543,0.004608458,12.04934595,0.016214854,0.003575269,22.04934588
Kerguelen,KER1,CAT1-S1-1A,26,37.3,38.7,38,0.7,744.4133333,127.2,583.85,861.46,709.69,712.95,621.42,878.13,746.79,746.83,615.24,869.64,731.31,735.89,17734.86667,51774.86667,1.346,46.2,449.6666667,543.2666667,109.6,16626.73333,186.9333333,196.2666667,118.6,22.66666667,71.8,896.1333333,721.8666667,25354.33333,4805.866667,0.190547723,22.77592714,106.9864255,132.246235,32.05530934,2634.83354,59.29643047,30.41725701,60.51658568,27.7480158,79.29618978,151.9411854,112.0662219,2464.787608,306.5927654,0.124389122,0.014773897,11659.94441,2098.789994,21714.33708,2822.86382,10403.61788,1456.506503,371.3797605,44.56557126,29657.04588,5338.268258,14.92378146,1.044664702,32.14134367,17.35632558,34.08990898,4.772587257,81.59730828,7.343757745,3.963633199,0.634181312,130.2536735,2.60507347,121.174026,6.0587013,0.041322314,0.004757374,11.51284491,0.025439199,0.005472695,21.51284491
Kerguelen,KER1,CAT1-S1-1A,27,38.8,40.1,39.4,0.65,772.55,133.19,593.6,889.74,740.33,739.41,636.34,917.53,767.84,770.13,627.19,893.57,759.34,761.32,15955.78571,48824.78571,1.318571429,71.35714286,459.0714286,587.0714286,110.5714286,17408.78571,193.3571429,173.6428571,123.3571429,13.42857143,106,1016.285714,722.4285714,22037.28571,4461.571429,0.203191631,33.9289011,148.3190243,209.0055076,30.1118793,4565.243631,82.81825063,28.179663,42.37126592,25.00065933,64.40377438,191.0684245,68.79927804,1741.735449,187.5595144,0.107685421,0.012095968,7647.184074,1376.493133,20341.20911,2644.357184,9675.703494,1354.598489,341.5130418,40.98156502,27516.05179,4952.889322,16.64731905,1.165312334,38.36122731,20.71506275,29.17767688,4.084874763,79.93730908,7.194357817,4.206801091,0.673088175,131.8879867,2.637759734,116.499276,5.8249638,0.042317708,0.004013213,9.483530392,0.020618504,0.004017212,19.48353037
Kerguelen,KER1,CAT1-S1-1A,28,40.2,41.6,40.9,0.7,799.7333333,129.18,605.83,922.45,768.16,764.56,671.49,926.86,798.74,800.01,659.4,917.76,786.83,789.82,16688.2,50340.73333,1.355333333,44.2,415,478.8,109.8,16520.4,233.2,186.6666667,140.8,21.6,112,937.3333333,715.1333333,24122.2,4729.866667,0.199006737,33.67958262,154.2794311,129.0659853,44.07493619,2635.316538,64.43512795,36.79803307,36.39309197,29.20322878,66.50134263,217.1627654,128.4099833,4143.115015,428.4151636,0.10340412,0.019218049,5002.720293,900.4896527,12514.93162,1626.941111,8232.043472,1152.486086,241.2793604,28.95352325,18335.53114,3300.395605,10.18252838,0.712776987,22.13806966,11.95455762,20.22360626,2.831304876,53.3476494,4.801288446,1.945757248,0.31132116,87.98899619,1.759779924,91.14020217,4.557010109,0.039492243,0.004360963,11.04258169,0.032994799,0.006942958,21.04258164
Kerguelen,KER1,CAT1-S1-1B,36,45.1,46.2,45.6,0.55,888.225,117.67,690.6,983.08,873.76,862.56,780.74,1011.68,895.73,895,765.53,1000.87,888.68,883.03,15616.08333,49393.83333,1.421666667,77,524.6666667,610.25,144.5,19037.33333,316,185.6666667,122.25,17.91666667,137.8333333,1089,685.5833333,20472.41667,4455,0.218104392,54.69419115,226.4313395,259.22371,34.12943278,3587.529064,95.43298458,34.97098364,31.04871539,26.52086086,46.91352457,101.2826827,94.56451221,1778.473219,287.7574736,0.161800285,0.009289858,9110.578774,1639.904179,26333.16952,3423.312038,13294.3136,1861.203904,477.955413,57.35464956,37854.28444,6813.771199,19.97407233,1.398185063,43.41924078,23.44639002,37.92341421,5.309277989,105.4949459,9.494545131,5.765444277,0.922471084,183.5186364,3.670372728,153.3915035,7.669575175,0.033908755,0.003425937,10.10340102,0.042232533,0.008490175,20.10340105
Kerguelen,KER1,CAT1-S1-1B,40,50.7,52.1,51.4,0.7,1089.453333,155.3,955.51,1179.64,1032.68,1043.17,983.5,1389.09,1125.43,1145.71,975.91,1286.51,1067.31,1091.43,17542.06667,52529.06667,1.407333333,54.26666667,416.1333333,529.4666667,127.4666667,17317.93333,233.3333333,185.4,146.3333333,42.13333333,81.33333333,924.0666667,761,24853.13333,4822.2,0.194959698,28.52684617,118.3172893,147.2713078,35.31666273,2596.03171,39.487189,40.39766613,61.40924391,40.25963357,63.82640146,206.4061415,103.1011986,2421.379857,265.281037,0.109557795,0.011529893,9163.233327,1649.381999,20694.032,2690.22416,10841.15992,1517.762389,375.4268958,45.0512275,31170.92403,5610.766325,19.40135717,1.358095002,37.71061641,20.36373286,31.57899132,4.421058785,88.37360202,7.953624182,2.362468842,0.377995015,127.4096231,2.548192462,135.8916128,6.79458064,0.013653209,0.003228931,23.64961483,0.006785524,0.002283303,33.64961479
Kerguelen,KER1,CAT1-S1-1B,41,52.3,53.6,53,0.65,1213.321429,331,977.92,1612.52,1155.13,1183.98,1000.81,1672.63,1226.07,1263.15,992.63,1654.63,1158.97,1220.51,15258.5,51210.85714,1.39,84.07142857,590.7857143,774,163.9285714,22231.78571,275.5714286,184.6428571,131.2857143,27.42857143,129.3571429,1241.357143,677.0714286,18871.42857,4335.5,0.231535365,47.79678825,163.7433163,288.1207012,29.06084939,3933.363313,78.72709854,26.03136316,45.26575981,28.17995547,91.69817307,184.94931,79.9773663,2082.372896,231.4963864,0.111169516,0.019715073,12647.00276,2276.460497,27857.81305,3621.515697,11278.11655,1578.936317,457.3151082,54.87781298,33869.91213,6096.584183,16.69197316,1.168438121,33.88638281,18.29864672,33.08146631,4.631405283,81.69604829,7.352644346,14.53891486,2.326226378,171.3204442,3.426408884,150.100816,7.5050408,0.016420361,0.001871284,11.39612212,0.012639912,0.002704451,21.39612215
Kerguelen,KER1,CAT1-S1-1B,46,59.9,61.2,60.5,0.65,1808.842857,625.52,1220.83,2511.27,1719.73,1766.96,1325.52,2576.67,1765.43,1818.23,1350.63,2601.67,1992.06,1999.99,20697.5,57365.5,1.327142857,27.28571429,227.5714286,318.2857143,79,12460.35714,165.5,209.2142857,144.8571429,10.5,39,286.2857143,939.5714286,34586.57143,5638.642857,0.163122271,14.15533915,31.84509209,43.27271048,24.53568829,1835.183605,50.73877292,32.43260129,24.7692649,22.12464689,47.30262637,136.0584877,93.52804128,1183.50605,130.2628155,0.110065188,0.003918103,3713.686646,668.4635963,7587.711479,986.4024923,3746.441884,524.5018638,143.4324445,17.21189334,12808.45152,2305.521274,6.554846441,0.458839251,13.83972022,7.473448919,14.52619027,2.033666638,30.18599746,2.716739771,7.56864323,1.210982917,76.14964032,1.522992806,105.1968675,5.259843375,0.025355959,0.000958815,3.781419637,0.005944272,0.000819205,13.78141964
Kerguelen,KER1,CAT1-S1-1B,49,64.4,65.8,65.1,0.7,2110.626667,581.535,1457.8,2841.99,2188.32,2177.31,1738.19,2871.44,2243.94,2259.87,1690.5,2853.57,2342.17,2309.85,18806.46667,52188.2,1.295333333,83,217.8666667,268.3333333,131.0666667,10805.73333,153.4,183.8666667,91.33333333,31.6,239.9333333,145.8666667,1402.333333,31054.26667,5426,0.176164448,31.29810583,47.07875873,56.76853589,50.8393361,1570.158839,60.10799804,29.3351731,31.73251299,33.92175871,123.9847149,98.35567139,197.1245678,3604.98499,249.476595,0.069203227,0.014053807,15479.98661,2786.39759,4034.917626,524.5392914,2161.427163,302.5998028,346.3897576,41.56677091,14380.32761,2588.45897,1.249641147,0.08747488,9.064108327,4.894618497,4.195291116,0.587340756,64.2076509,5.778688581,36.56109383,5.849775013,34.6500895,0.69300179,338.8652331,16.94326166,0.016957364,0.000990351,5.840242212,0.00530029,0.000839579,15.84024234
Kerguelen,KER1,CAT1-S1-1B,51,67.6,68.9,68.3,0.65,2364.321429,523.15,1847.77,2981.02,2505.05,2475.66,2108.11,3002.97,2620.57,2601.33,1936.15,2982.45,2548.72,2511.35,23322.57143,61836.21429,1.356428571,105.5,181,199.2857143,110.7142857,9963,148.3571429,241,122.1428571,9.928571429,29.42857143,138.4285714,1065.071429,40818.78571,6144.214286,0.150520749,33.14942858,25.27692776,29.16907892,30.39845282,658.3052834,61.33590634,25.04150401,47.67172544,20.82699537,45.11474991,76.865231,106.7682352,454.0540765,133.0275729,0.292977378,0.002587245,1332.507255,239.8513059,3370.327372,438.1425584,1321.532644,185.0145702,59.66146775,7.15937613,4883.677754,879.0619957,1.332416753,0.093269173,11.80880582,6.376755143,2.938278701,0.411359018,10.51247544,0.94612279,2.802966071,0.448474571,47.97809994,0.959561999,48.56850259,2.42842513,0.010344553,0.001125346,10.87863573,0.001844084,0.00038502,20.87863568
Kerguelen,KER1,CAT1-S1-1B,57,76.5,77.9,77.2,0.7,3056.76,134.415,2911.24,3243.03,3099.92,3093.15,3047.24,3300.3,3167.83,3160.19,3007.51,3276.34,3141.03,3133.53,23107.93333,57691.73333,1.326666667,14.06666667,157.6666667,87.2,46.73333333,5039.933333,94.93333333,232.8666667,114.8,0,26.6,63.06666667,906.7333333,42678,6341.6,0.148592771,10.56589302,30.93002856,29.51803323,17.62087507,412.7132292,52.46286669,38.79960726,49.35758735,0,35.84450546,67.65507759,80.41807425,515.9241362,166.7310923,0.323169785,0.003488414,442.9078563,79.72341413,5249.86072,682.4818936,498.7916112,69.83082557,76.30468085,9.156561702,8920.913751,1605.764475,3.179077437,0.222535421,9.288903341,5.016007804,5.504167322,0.770583425,11.403039,1.02627351,1.221309035,0.195409446,70.88337203,1.417667441,20.51940777,1.025970389,0.020883055,0.003598417,17.23127538,0.002967841,0.000808181,27.23127552
Kerguelen,KER1,CAT1-S1-1C,69,86.1,87.5,86.8,0.7,3452.746667,243.53,3206.97,3748.19,3429.48,3442.22,3233.25,3792.96,3446.12,3461.72,3233.31,3720.37,3429.64,3444.57,23417.13333,58329,1.412,15.33333333,162.4666667,75.8,44.66666667,5143.2,40.4,237.2666667,101.6,0,44.73333333,125.4,917.6666667,43233.86667,6307.533333,0.145892131,6.443897076,28.17766762,39.83394102,21.16488556,684.5140299,40.33927544,33.39261395,44.16656783,0,51.56336832,79.43263093,122.1759075,483.1422249,133.5439289,0.276407074,0.00256107,323.9790116,58.31622209,3883.986282,504.9182167,291.56336,40.8188704,55.46225053,6.655470064,6816.274673,1226.929441,2.133265234,0.149328566,4.959823644,2.678304768,4.052348853,0.567328839,8.987606637,0.808884597,0.934094849,0.149455176,56.90823166,1.138164633,13.72149586,0.686074793,0.071794872,0.002389119,3.327701838,0.008212714,0.001094566,13.32770201
