Location,Site,Section,Sample_ID,field_min_depth,field_max_depth,field_depth_mid,strat_min_depth,strat_max_depth,strat_depth_mid,depth,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,accrate_cmyr-1,kcps,cps,MSE,K,K_sd,Ca,Ca_sd,Ti,Ti_sd,Mn,Mn_sd,Fe,Fe_sd,Co,Co_sd,Ni,Ni_sd,Cu,Cu_sd,Zn,Zn_sd,Rb,Rb_sd,Sr,Sr_sd,Zr,Zr_sd,Mo_inc,Mo_coh,coh_inc,Mo_inc_sd,Mo_coh_sd,coh_inc_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,dry_mass_pc,dry_mass_err
Bird Island,BI10,BI10.2,67,70.1,71.2,70.6,64.1,65.2,64.6,64.6,722.58,1159.87,914.50,919.39,0.03856,23119.33333,56701.33333,1.278333333,24.75,2.475,387.8333333,38.78333333,40.25,4.025,41.33333333,4.133333333,2063.416667,206.3416667,64.75,6.475,221.0833333,22.10833333,155.6666667,15.56666667,121.0833333,12.10833333,45.91666667,4.591666667,449,44.9,904,90.4,42998.16667,6520.5,0.151652695,738.9956124,154.9589388,0.002941087,7766.606331,1397.98914,9084.977882,1181.047125,1442.000824,201.8801154,88.46094721,10.61531367,6242.966621,1123.733992,4.068857773,0.284820044,5.960197779,3.218506801,36.59073739,5.122703235,261.6355831,23.54720248,30.36236272,4.857978035,168.0404108,3.360808216,30.42377281,1.521188641,22.9846784,2.29846784
Bird Island,BI10,BI10.2,71,74.7,75.8,75.2,68.7,69.8,69.2,69.2,829.12,1211.96,1039.95,1038.69,0.06164,22181.16667,53873,1.321666667,17.58333333,1.758333333,238.5,23.85,41.75,4.175,39.08333333,3.908333333,1999.833333,199.9833333,94.75,9.475,221.25,22.125,190.3333333,19.03333333,10,1,36.58333333,3.658333333,402.3333333,40.23333333,866.8333333,86.68333333,41187.16667,6174.333333,0.149898092,748.5769327,163.8199307,0.00220137,1973.319538,355.1975168,6626.492173,861.4439825,461.9149499,64.66809299,46.49996193,5.579995432,3694.801697,665.0643055,2.041238975,0.142886728,6.674238754,3.604088927,34.06414422,4.768980191,140.4650062,12.64185056,7.795499709,1.247279953,114.9998151,2.299996302,21.97235957,1.098617979,23.15568582,2.315568582
Bird Island,BI10,BI10.2,81,86.5,87.5,87,80.5,81.5,81,81,1095.67,1392.25,1228.83,1230.11,0.11575,22325.90909,53674.81818,1.295454545,12.45454545,1.245454545,217.3636364,21.73636364,28.36363636,2.836363636,42.90909091,4.290909091,1678.181818,167.8181818,73.18181818,7.318181818,213.4545455,21.34545455,171.5454545,17.15454545,73.36363636,7.336363636,53.27272727,5.327272727,395.0909091,39.50909091,873.9090909,87.39090909,41158.81818,6136.545455,0.149104333,1029.405345,242.7893588,0.004918526,14359.67839,2584.74211,9905.624178,1287.731143,2197.326275,307.6256785,125.5077224,15.06092669,6284.597012,1131.227462,2.439569014,0.170769831,6.367819135,3.438622333,39.61078518,5.545509925,67.51751759,6.076576583,50.21714125,8.0347426,209.897137,4.19794274,39.24997232,1.962498616,24.17673458,2.417673458
Bird Island,BI10,BI10.3,88,84.8,85.8,85.3,84.8,85.8,85.3,85.3,1129.45,1419.76,1266.44,1267.26,0.11201,21329.45455,51592.63636,1.240909091,3.636363636,0.363636364,223.5454545,22.35454545,23.45454545,2.345454545,21.45454545,2.145454545,1101.818182,110.1818182,54.36363636,5.436363636,215.9090909,21.59090909,128.9090909,12.89090909,36.45454545,3.645454545,48.45454545,4.845454545,379.7272727,37.97272727,907.8181818,90.78181818,40259.81818,6034.909091,0.149911105,896.363522,199.4965937,0.004174895,3095.570446,557.2026803,7180.738417,933.4959942,574.7925663,80.47095928,57.22472424,6.866966909,3753.765384,675.6777691,2.601276107,0.182089327,5.912256586,3.192618556,37.01157435,5.181620409,65.03458094,5.853112285,13.30255749,2.128409198,130.9618352,2.619236704,13.33706426,0.666853213,16.6231038,1.66231038
Bird Island,BI10,BI10.3,95,93,94,93.5,93,94,93.5,93.5,1223.24,1494.83,1333.10,1340.47,0.10732,21085,51886,1.319090909,26.63636364,2.663636364,242,24.2,100.8181818,10.08181818,52.36363636,5.236363636,3160.363636,316.0363636,60.09090909,6.009090909,200.4545455,20.04545455,99.09090909,9.909090909,5.090909091,0.509090909,107.1818182,10.71818182,657.6363636,65.76363636,834.5454545,83.45454545,38250.63636,5976.090909,0.156443694,2260.375291,279.3658728,0.006363537,3134.001598,564.1202876,6732.62029,875.2406377,606.0238476,84.84333866,60.2997145,7.23596574,11390.75321,2050.335578,5.745017677,0.402151237,7.120078834,3.84484257,25.20300712,3.528420997,71.97280393,6.477552354,10.28410137,1.645456219,119.867266,2.39734532,13.96054981,0.698027491,15.49312409,1.549312409
Bird Island,BI10,BI10.3,98,96.3,97.3,96.8,96.3,97.3,96.8,96.8,1276.33,1510.84,1359.14,1371.22,0.06605,20358.09091,49648.18182,1.288181818,39.81818182,3.981818182,210.3636364,21.03636364,79.90909091,7.990909091,54.63636364,5.463636364,3007.090909,300.7090909,90.09090909,9.009090909,208.6363636,20.86363636,94.09090909,9.409090909,11.36363636,1.136363636,179,17.9,687.0909091,68.70909091,857.9090909,85.79090909,36182.81818,5897.909091,0.163261797,2511.390484,285.0955821,0.004797626,3044.618396,548.0313113,6605.365982,858.6975777,562.7226914,78.7811768,54.01867077,6.482240492,7073.372392,1273.207031,3.633220643,0.254325445,5.857915852,3.16327456,18.81424853,2.633994794,41.79884834,3.761896351,9.694363956,1.551098233,112.4064678,2.248129356,13.08141258,0.654070629,27.34117399,2.734117399
Bird Island,BI10,BI10.3,104,103.2,104.2,103.7,103.2,104.2,103.7,103.7,1350.84,1634.01,1469.17,1475.69,0.04215,23485.90909,56468.36364,1.455454545,19.63636364,1.963636364,254.2727273,25.42727273,62.90909091,6.290909091,50.54545455,5.054545455,1610.090909,161.0090909,64.36363636,6.436363636,216.0909091,21.60909091,103.3636364,10.33636364,24.72727273,2.472727273,59.54545455,5.954545455,547.2727273,54.72727273,914.3636364,91.43636364,43429,6444.272727,0.148378059,552.6917767,162.0747302,0.002752184,1424.582603,256.4248685,7089.603048,921.6483962,441.0920959,61.75289343,47.40786167,5.6889434,1987.252608,357.7054694,1.389287804,0.097250146,4.568507031,2.466993797,19.39416739,2.715183435,45.72842227,4.115558004,6.266500548,1.002640088,127.1397723,2.542795446,11.39582517,0.569791259,16.82974775,1.682974775
Bird Island,BI10,BI10.3,114,114.9,115.9,115.4,114.9,115.9,115.4,115.4,1513.06,1991.98,1755.77,1753.24,0.03588,23787.45455,60059.36364,1.378181818,8.545454545,0.854545455,203.5454545,20.35454545,30.63636364,3.063636364,33.09090909,3.309090909,7030.181818,703.0181818,135.0909091,13.50909091,225,22.5,134.1818182,13.41818182,1.545454545,0.154545455,32,3.2,219.7272727,21.97272727,866.5454545,86.65454545,42366.36364,6354.727273,0.149992787,428.9103106,141.9909088,0.002882752,1716.680373,309.0024671,5586.311354,726.220476,354.6954517,49.65736324,38.81328375,4.65759405,15892.74003,2860.693205,1.543818014,0.108067261,5.784125479,3.123427759,42.10225675,5.894315945,35.80217711,3.22219594,6.037782671,0.966045227,94.40874214,1.888174843,8.138802933,0.406940147,13.84436494,1.384436494
Bird Island,BI10,BI10.4,135,129.4,130.4,129.9,120.4,121.4,120.9,120.9,1623.52,2178.55,1912.21,1906.53,0.03579,23205.09091,65119.72727,1.433636364,6.727272727,0.672727273,225.2727273,22.52727273,40.81818182,4.081818182,45.45454545,4.545454545,15614.18182,1561.418182,180.1818182,18.01818182,198.8181818,19.88181818,161.4545455,16.14545455,89.72727273,8.972727273,16,1.6,263.8181818,26.38181818,803.5454545,80.35454545,38979.18182,6136.454545,0.157428366,780.3019695,161.467869,0.002657515,1641.390095,295.4502171,5647.265231,734.14448,401.5251511,56.21352115,37.52718028,4.503261634,3019.385269,543.4893484,1.001920559,0.070134439,9.469595678,5.113581666,77.32937965,10.82611315,126.1466188,11.35319569,6.954876946,1.112780311,100.7977844,2.015955688,10.71344504,0.535672252,16.79692387,1.679692387
Bird Island,BI10,BI10.3,120,121.8,122.7,122.3,121.8,122.7,122.3,122.3,1695.64,2192.11,1949.40,1945.65,0.04080,23463.2,55879.5,1.243,7.7,0.77,187.9,18.79,16.6,1.66,26.1,2.61,1472,147.2,49.9,4.99,229.7,22.97,169,16.9,41.3,4.13,48.3,4.83,143.2,14.32,945.1,94.51,44116.7,6464.9,0.146557429,1115.395301,212.4897122,0.003832888,683.2265993,122.9807879,5350.125775,695.5163508,192.9637106,27.01491948,32.12024806,3.854429767,4238.013215,762.8423787,0.741821487,0.051927504,6.534750001,3.528765001,62.86286744,8.800801442,87.02811474,7.832530327,2.592646444,0.414823431,91.74775016,1.834955003,5.71655892,0.285827946,12.21081609,1.221081609
