"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ni","Ni_sd","Ni_ICP","Ni_ICP_sd","Ni_fit_OLS","Ni_lwr_OLS","Ni_upr_OLS","Ni_fit_WLS","Ni_lwr_WLS","Ni_upr_WLS"
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,-0.0386055248405594,-0.00193027624202797,-2.31389819524843,-0.115694909762422,-2.81186846558009,-3.66868070351452,-1.95505622764566,-2.83702412455259,-3.75283262840189,-1.92121562070329
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,-0.0636888577450268,-0.00318444288725134,-2.28766460205534,-0.114383230102767,-2.81752037235273,-3.67440879706684,-1.96063194763861,-2.84424972448747,-3.7647516620018,-1.92374778697315
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-0.164222293423072,-0.00821111467115359,-2.70032413138217,-0.135016206569109,-2.84017308792881,-3.69741854253573,-1.98292763332188,-2.87320976696092,-3.81256184105805,-1.93385769286378
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,0.457747115758044,0.0228873557879022,-2.46526709458231,-0.123263354729115,-2.70002771213241,-3.55639311129059,-1.84366231297423,-2.69404290187185,-3.51788794156288,-1.87019786218083
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,0.318005205476296,0.0159002602738148,-2.94025724076606,-0.147012862038303,-2.7315150847296,-3.58780193092259,-1.87522823853661,-2.73429748612818,-3.58384368727184,-1.88475128498452
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,-0.109080874465423,-0.00545404372327116,-1.78145164252356,-0.089072582126178,-2.82774833718111,-3.68478772602191,-1.97070894834032,-2.85732552084629,-3.78633090252242,-1.92832013917015
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,0.0669285823139679,0.0033464291156984,-2.19145461242822,-0.109572730621411,-2.78808897274944,-3.64463711790894,-1.93154082758993,-2.80662356970256,-3.70272978105382,-1.9105173583513
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,0.0134307683729653,0.00067153841864826,-2.81508020013128,-0.140754010006564,-2.80014337788315,-3.65681399500227,-1.94347276076404,-2.82203435272732,-3.72811899107243,-1.91594971438221
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,-0.281869268669178,-0.0140934634334589,-1.90388730022592,-0.0951943650112958,-2.86668191507335,-3.72445009570458,-2.00891373444212,-2.9070996004976,-3.86858604746446,-1.94561315353074
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,0.0362162977785919,0.0018108148889296,-2.47053484797546,-0.123526742398773,-2.79500922412232,-3.65162481146091,-1.93839363678373,-2.81547066677631,-3.71730300723265,-1.91363832631996
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,-0.0530600749747038,-0.00265300374873519,-2.35007559750051,-0.117503779875025,-2.81512543984702,-3.67198095234334,-1.9582699273507,-2.84118795704271,-3.75970061964095,-1.92267529444446
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,0.0363191645550385,0.00181595822775193,-2.337301562759,-0.11686507813795,-2.79498604564629,-3.6516013941949,-1.93837069709768,-2.81544103458285,-3.71725418556494,-1.91362788360076
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,0.164220848214054,0.0082110424107027,-2.88783019552372,-0.144391509776186,-2.766166574372,-3.6225521148107,-1.90978103393329,-2.77859719087843,-3.65660669610129,-1.90058768565557
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,-0.0767064224135447,-0.00383532112067724,-2.73517869299072,-0.136758934649536,-2.82045355759543,-3.67738355134694,-1.96352356384392,-2.84799961349861,-3.77093887218124,-1.92506035481598
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,0.752421042537001,0.03762105212685,-3.38720918101404,-0.169360459050702,-2.63363025335673,-3.49068602833907,-1.77657447837438,-2.60915801379676,-3.37938732894695,-1.83892869864657
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,0.0190240751904286,0.00095120375952142,-2.81016164424419,-0.140508082212209,-2.7988830649573,-3.65553977964192,-1.94222635027267,-2.8204231235685,-3.72546360603303,-1.91538264110398
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,0.00108767382697229,0.00005438369134861,-2.41700055360255,-0.120850027680127,-2.80292458801681,-3.65962679133832,-1.9462223846953,-2.82558995131892,-3.73397951877019,-1.91720038386765
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,0.0518113799253279,0.0025905689962664,-3.01281573847008,-0.150640786923504,-2.79149525926204,-3.64807563481362,-1.93491488371046,-2.81097828831236,-3.70990222245896,-1.91205435416577
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,-0.125911946874514,-0.0062955973437257,-2.56113003029056,-0.128056501514528,-2.83154080178308,-3.68864045199862,-1.97444115156755,-2.86217394334924,-3.79433555778338,-1.9300123289151
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,0.0584383096592177,0.00292191548296089,-2.65812641136494,-0.132906320568247,-2.79000204505533,-3.64656806120992,-1.93343602890074,-2.80906930981911,-3.70675784842472,-1.91138077121351
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,0.197081468032479,0.00985407340162395,-2.84774788820206,-0.142387394410103,-2.75876224894155,-3.61511040397888,-1.90241409390423,-2.76913123620149,-3.64104378028448,-1.89721869211851
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,0.0704755120947738,0.00352377560473869,-2.44461541760234,-0.122230770880117,-2.78728976011982,-3.64383061438293,-1.93074890585671,-2.80560182766809,-3.70104714454373,-1.91015651079244
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,-0.139900301580402,-0.0069950150790201,-3.31198262259165,-0.165599131129583,-2.83469273047619,-3.6918442273995,-1.97754123355288,-2.86620348181755,-3.80098955174938,-1.93141741188573
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,0.109994495899768,0.00549972479498841,-3.79818127222492,-0.189909063611246,-2.77838513755368,-3.63485173368143,-1.92191854142593,-2.79421783942794,-3.6823054735583,-1.90613020529759
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,-0.873714791240801,-0.0436857395620401,-3.46803866708922,-0.173401933354461,-3.00003962037178,-3.86214508479724,-2.13793415594633,-3.0775888646493,-4.15148465172322,-2.00369307757538
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,-0.00537426794854811,-0.0002687133974274,-3.66686342764081,-0.18334317138204,-2.80438062628033,-3.66109986354069,-1.94766138901996,-2.82745140275563,-3.73704805905975,-1.91785474645151
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,0.0186068753588572,0.00093034376794285,-3.70536605712528,-0.185268302856264,-2.79897707058895,-3.655634813398,-1.9423193277799,-2.82054330373305,-3.7256616617581,-1.915424945708
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,-0.0523102493200911,-0.00261551246600456,-3.13959832909983,-0.156979916454992,-2.81495648523832,-3.67180971081084,-1.95810325966581,-2.84097195942302,-3.75934431206361,-1.92259960678243
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,0.175420864821576,0.0087710432410788,-2.86413794149919,-0.14320689707496,-2.76364292849293,-3.62001473192502,-1.90727112506083,-2.77537087164971,-3.65130144139822,-1.89944030190121
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,-0.255342826029321,-0.012767141301466,-2.87111157959329,-0.143555578979664,-2.86070483932424,-3.71834528759147,-2.00306439105701,-2.89945829290338,-3.8559471585653,-1.94296942724146
"Bird Island","BI10","BI10.13",519,491,492,491.5,-0.0542411259471713,-0.00271205629735857,-2.11988556722862,-0.105994278361431,-2.81539156038273,-3.67225068434971,-1.95853243641576,-2.84152817506167,-3.76026184717194,-1.9227945029514
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,-0.143109140086887,-0.00715545700434434,-2.61106473270411,-0.130553236635206,-2.83541576262491,-3.69257937852066,-1.97825214672916,-2.86712783199828,-3.80251610051658,-1.93173956347998
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,-0.53696662167744,-0.026848331083872,-3.04281374311353,-0.152140687155676,-2.92416177481288,-3.78345104622834,-2.06487250339742,-2.98058391074878,-3.99031970728596,-1.9708481142116
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-0.164418635916,-0.0082209317958,-3.53636085674284,-0.176818042837142,-2.84021732883849,-3.69746356161287,-1.98297109606411,-2.87326632612351,-3.81265527414951,-1.93387737809751
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-0.239757479771321,-0.0119878739885661,-3.50431590044438,-0.175215795022219,-2.85719306820495,-3.71476114777522,-1.99962498863468,-2.89496871899644,-3.84852313405666,-1.94141430393622
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,-0.336906612679136,-0.0168453306339568,-3.54891974738168,-0.177445987369084,-2.8790832151136,-3.73713473071545,-2.02103169951174,-2.92295386638838,-3.89482161764944,-1.95108611512733
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,-0.0164490755791103,-0.00082245377895551,-3.45741576482618,-0.172870788241309,-2.80687605942277,-3.66362528572488,-1.95012683312067,-2.83064165381194,-3.74230771082165,-1.91897559680223
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,0.101692648789879,0.00508463243949394,-3.3534028831918,-0.16767014415959,-2.78025575283772,-3.63673688632405,-1.92377461935139,-2.79660930096797,-3.68624168615795,-1.90697691577798
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,-0.0304463446907279,-0.0015223172345364,-3.44283608662239,-0.172141804331119,-2.81002999675605,-3.66681856283598,-1.95324143067612,-2.83467376019775,-3.74895642984944,-1.92039109054605
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,-0.254549438164585,-0.0127274719082293,-3.25043047997647,-0.162521523998823,-2.86052606905224,-3.71816278540402,-2.00288935270045,-2.89922974658836,-3.85556919819649,-1.94289029498022
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,-0.632024600668992,-0.0316012300334496,-3.30570634270954,-0.165285317135477,-2.94558073206635,-3.80557207422819,-2.08558938990452,-3.00796667241875,-4.03576332190235,-1.98017002293515
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,-0.713828345588973,-0.0356914172794486,-3.37405288151421,-0.168702644075711,-2.96401317649872,-3.82466728329758,-2.10335906969986,-3.03153136919243,-4.07490323139538,-1.98815950698947
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,-0.168719072268806,-0.0084359536134403,-3.36640623843503,-0.168320311921752,-2.84118632548021,-3.69844968129709,-1.98392296966334,-2.87450512611668,-3.81470177074374,-1.93430848148962
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,-0.139729026558538,-0.00698645132792689,-3.29179073694596,-0.164589536847298,-2.83465413789921,-3.69180499032742,-1.977503285471,-2.86615414368567,-3.80090807238525,-1.9314002149861
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,-0.123016894864307,-0.00615084474321536,-2.7654936397537,-0.138274681987685,-2.8308884736365,-3.68797759348123,-1.97379935379177,-2.86133998369579,-3.79295858375928,-1.9297213836323
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,-0.15470388995245,-0.00773519449762251,-3.08948155837507,-0.154474077918754,-2.83802835185066,-3.69523646003816,-1.98082024366317,-2.87046785958523,-3.80803261134626,-1.9329031078242
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,-0.0690800652353826,-0.00345400326176913,-3.10825470005275,-0.155412735002638,-2.81873514720914,-3.67564061940921,-1.96182967500908,-2.84580273614823,-3.76731395876163,-1.92429151353483
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,0.0593281334347435,0.00296640667173717,-3.05452646204218,-0.152726323102109,-2.78980154534332,-3.646365660813,-1.93323742987365,-2.80881298381017,-3.70633566358481,-1.91129030403553
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,0.0325285528449198,0.00162642764224599,-3.12109212742193,-0.156054606371097,-2.79584016595313,-3.65246437111586,-1.9392159607904,-2.81653297255737,-3.7190532967796,-1.91401264833513
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,-0.77502598489411,-0.0387512992447055,-3.25148321140234,-0.162574160570117,-2.97780254625175,-3.8389878279561,-2.1166172645474,-3.04916019309164,-4.10420281707577,-1.99411756910752
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,-0.529401428524568,-0.0264700714262284,-3.53439922031727,-0.176719961015863,-2.92245714622226,-3.78169369216554,-2.06322060027898,-2.97840465253931,-3.98670488782759,-1.97010441725104
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,0.17418877168284,0.00870943858414199,-3.2112294539891,-0.160561472699455,-2.7639205501145,-3.62029381437031,-1.90754728585869,-2.77572579306853,-3.65188501814359,-1.89956656799347
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,0.45500218793664,0.022750109396832,-3.42974398563574,-0.171487199281787,-2.7006462135175,-3.55700852744101,-1.84428389959399,-2.69483361618255,-3.51918190734381,-1.87048532502129
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,0.152254179330304,0.0076127089665152,-3.20305996500177,-0.160152998250088,-2.76886296632148,-3.62526432079515,-1.91246161184782,-2.78204435486722,-3.66227610117447,-1.90181260855998
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,-0.568793201101797,-0.0284396600550898,-3.51380385845092,-0.175690192922546,-2.93133310489423,-3.79084927867524,-2.07181693111323,-2.98975199583109,-4.00553012429442,-1.97397386736777
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,0.502105919406674,0.0251052959703337,-3.26022072811987,-0.163011036405994,-2.69003255623656,-3.54645638118093,-1.83360873129218,-2.68126473678607,-3.49698630547791,-1.86554316809422
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,0.773939386639043,0.0386969693319521,-3.22787563753013,-0.161393781876507,-2.6287816283662,-3.4859156764323,-1.77164758030011,-2.60295935804656,-3.36930761478555,-1.83661110130757
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,0.507567335929202,0.0253783667964601,-2.97282181131011,-0.148641090565506,-2.68880196151657,-3.54523409536,-1.83236982767315,-2.67969150044543,-3.4944141286103,-1.86496887228056
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,0.679989099341752,0.0339994549670876,-3.09544014504774,-0.154772007252387,-2.64995099477732,-3.50677114094232,-1.79313084861231,-2.63002303384926,-3.41335216209341,-1.8466939056051
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,0.806358562773968,0.0403179281386984,-2.99550555342084,-0.149775277671042,-2.62147677131798,-3.47873589500464,-1.76421764763131,-2.59362056731003,-3.35413120249539,-1.83310993212468
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,0.37094399935395,0.0185471999676975,-3.28703304935037,-0.164351652467518,-2.71958664089832,-3.57588439838223,-1.86328888341441,-2.71904773654139,-3.55883839961151,-1.87925707347127
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,-0.218405117242271,-0.0109202558621135,-3.08818478763326,-0.154409239381663,-2.85238184304403,-3.70985399613844,-1.99490968994962,-2.88881787652717,-3.83835423653834,-1.93928151651601
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,0.553086930241376,0.0276543465120688,-2.79031415582063,-0.139515707791031,-2.67854525024298,-3.53505614978123,-1.82203435070473,-2.66657895360205,-3.47298623067102,-1.86017167653307
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,0.47807396470968,0.023903698235484,-1.83536202485556,-0.0917681012427782,-2.69544756101399,-3.55183773010869,-1.83905739191929,-2.68818747273009,-3.50830787151786,-1.86806707394232
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,0.817508046523162,0.0408754023261581,-2.91689598377817,-0.145844799188909,-2.61896451176485,-3.47626863690337,-1.76166038662633,-2.59040880476799,-3.34891447103113,-1.83190313850485
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,0.478785601595614,0.0239392800797807,-3.19657319937595,-0.159828659968798,-2.69528721129688,-3.55167830896913,-1.83889611362464,-2.68798247591184,-3.50797254215435,-1.86799240966933
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,0.547280927383211,0.0273640463691606,-2.94405057011672,-0.147202528505836,-2.67985348894479,-3.53635339683169,-1.82335358105788,-2.66825145278841,-3.475718287198,-1.86078461837882
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,-0.127555037077859,-0.00637775185389296,-3.20138032964749,-0.160069016482374,-2.83191103139666,-3.68901668863464,-1.97480537415867,-2.86264725814004,-3.79511708351929,-1.9301774327608
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,0.42330395253108,0.021165197626554,-2.8299513637472,-0.14149756818736,-2.70778862445833,-3.56411978748591,-1.85145746143075,-2.70396473000043,-3.53412926480332,-1.87380019519754
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,0.491824189930897,0.0245912094965449,-2.74361544514925,-0.137180772257463,-2.69234928889246,-3.54875813502076,-1.83594044276415,-2.68422653074358,-3.50182944480629,-1.86662361668086
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,0.40443803498995,0.0202219017494975,-2.958167510958,-0.1479083755479,-2.71203959092793,-3.56835612592427,-1.85572305593159,-2.70939931770358,-3.54302960558013,-1.87576902982703
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,0.456140697560437,0.0228070348780219,-2.79349003485607,-0.139674501742803,-2.70038967861929,-3.55675326470129,-1.8440260925373,-2.69450565278571,-3.51864520310167,-1.87036610246974
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,0.320631386961641,0.016031569348082,-3.07731862427499,-0.15386593121375,-2.73092333988534,-3.58721018540758,-1.8746364943631,-2.73354097833706,-3.58260269503075,-1.88447926164337
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,0.227746196269069,0.0113873098134534,-3.24936888705824,-0.162468444352912,-2.75185271320077,-3.60817396943412,-1.89553145696742,-2.7602978383754,-3.62652802327602,-1.89406765347477
"Isla Hermite","HER42PB","HER42PB_1F",211,238.4,239.5,239,0.208515665889037,0.0104257832944518,-3.31863638126197,-0.165931819063098,-2.75618583612786,-3.61252305944025,-1.89984861281548,-2.7658374578347,-3.6356303583809,-1.8960445572885
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,0.428946663805028,0.0214473331902514,-3.189928096802,-0.1594964048401,-2.70651717946389,-3.56285328483658,-1.8501810740912,-2.70233926920665,-3.53146780159925,-1.87321073681404
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,0.640616102936811,0.0320308051468406,-2.32167540772171,-0.116083770386086,-2.65882272270469,-3.51553280455916,-1.80211264085021,-2.64136496840569,-3.43183752180743,-1.85089241500395
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,0.892294038682971,0.0446147019341486,-3.03978878877179,-0.151989439438589,-2.60211334381217,-3.45974557834816,-1.74448110927618,-2.56886566844961,-3.31395938515934,-1.82377195173989
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,0.697716274670493,0.0348858137335247,-2.60143270883851,-0.130071635441926,-2.645956615614,-3.50283046120249,-1.7890827700255,-2.6249164765433,-3.40503449040125,-1.84479846268535
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,0.505167689800506,0.0252583844900253,-2.52448390713765,-0.126224195356883,-2.68934266223838,-3.54577111518305,-1.8329142092937,-2.68038275160321,-3.49554426276079,-1.86522124044563
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,1.22402805700832,0.061201402850416,-2.74198490455327,-0.137099245227663,-2.52736531283768,-3.38700262109335,-1.66772800458201,-2.47330510995687,-3.15975612513192,-1.78685409478181
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,1.00958794170377,0.0504793970851883,-2.69997716071085,-0.134998858035543,-2.57568407273416,-3.43392286508351,-1.71744528038481,-2.53507754223619,-3.259270527123,-1.81088455734938
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,0.124578702626095,0.00622893513130476,-2.98756200177543,-0.149378100088772,-2.77509894839038,-3.63154137432972,-1.91865652245104,-2.79001665756852,-3.67539172767699,-1.90464158746005
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,0.326694876440114,0.0163347438220057,-2.88858913814447,-0.144429456907223,-2.72955708296168,-3.58584414305364,-1.87327002286971,-2.73179430657906,-3.57973762619546,-1.88385098696265
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,1.06078802841926,0.0530394014209631,-2.66966408084726,-0.133483204042363,-2.56414740342594,-3.42268612366577,-1.70560868318611,-2.52032865122372,-3.2354528559238,-1.80520444652365
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,0.491602119028116,0.0245801059514058,-3.0788635569889,-0.153943177849445,-2.692399327061,-3.5488078592313,-1.83599079489069,-2.68429050132941,-3.50193406025688,-1.86664694240194
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,0.528470041317591,0.0264235020658796,-2.9774451304702,-0.14887225652351,-2.68409205543667,-3.54055824943909,-1.82762586143424,-2.67367018791617,-3.48457202773538,-1.86276834809696
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,0.58933235474642,0.029466617737321,-3.21958215326681,-0.160979107663341,-2.6703782430507,-3.5269640070966,-1.8137924790048,-2.65613795925967,-3.45593783430663,-1.85633808421272
