"Location","Site","label","ID","section_depth","field_depth","depth","SH20_age","surface","validity","qc","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_coh","Total_scatter","inc_coh","coh_inc"
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12361",39.4,79.4,79.4,3214,7.15,1,TRUE,23420,58584,1.25,-0.251719235699572,-0.254737294154084,-0.274078529212746,-0.0817169024273611,-0.294751233802692,NA,-0.4562481913017,-1.188680661432,0.0395478701538227,-0.619253196005023,49004,6.61404599129894,0.151193384702124
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12362",39.5,79.5,79.5,3221.3,7.15,1,TRUE,23350,58969,1.33,NA,-0.390971948605058,-0.230115215655334,-0.261233483707592,-0.364618849465817,-1.28113876641973,-1.48758253668574,-1.23844559184194,0.204930835400795,-0.556394620841991,49661,6.55185523114355,0.152628525008704
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12363",39.6,79.6,79.6,3228.4,7.16,1,TRUE,23304,58600,1.3,-0.844009549187646,-0.470971398882379,-0.308857698878699,0.108569193136323,-0.333818646896956,NA,-0.821496252575798,-1.71482215594883,0.0413219693347661,-0.639997258328015,49198,6.63469894475481,0.150722739392805
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12364",39.7,79.7,79.7,3235.6,7.17,1,TRUE,22990,57310,1.38,-0.399078689267611,-0.91239063239051,-0.370305758990533,-0.425920625362546,-0.350796746612937,NA,NA,-1.42716430098639,0.0417737908309944,-0.851405499363136,48514,6.84889176508656,0.1460090236931
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12365",39.8,79.8,79.8,3242.6,7.16,1,TRUE,22895,56732,1.34,-1.27477918041163,-0.597089803017705,-0.351663081187535,-0.369050889267593,-0.313520444099617,NA,NA,-1.76407752884134,-0.037744867485554,-0.624487774241887,48047,6.61925150650174,0.15107448312211
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12366",39.9,79.9,79.9,3249.7,7.15,1,TRUE,22775,56947,1.28,-0.934225399890103,-0.558766685522821,-0.373699624144669,NA,-0.364141049358791,NA,-1.2406392773612,NA,-0.0056784692041692,-0.628124710994031,48329,6.62287066246057,0.150991926456929
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12367",40,80,80,3256.7,7.16,1,TRUE,22941,57111,1.31,-0.461263723591249,-0.836715385321956,0.0678871692335867,-1.21122245577413,-0.425183580375395,NA,NA,NA,0.0734530284469134,-0.763157849659133,48864,6.7586535408066,0.147958464502185
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12368",40.1,80.1,80.1,3259.7,7.16,1,TRUE,23170,58570,1.43,-0.436043883127595,-0.495566419311892,-0.317759852535206,-0.689174962977888,-0.311657528611533,NA,-0.863893802973438,-1.02083370053719,-0.928705715038287,-0.447638521656983,49439,6.44563253012048,0.155143811771303
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12369",40.2,80.2,80.2,3262.5,7.15,1,TRUE,23245,59006,1.29,-1.13838159804279,-0.544963054408752,0.10915621563631,-0.881832078102304,-0.203924742437892,NA,NA,-2.45583867760299,-0.431050192115637,-0.747571057925143,49198,6.74283915643689,0.148305480347307
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12370",40.3,80.3,80.3,3265.5,7.16,1,TRUE,23301,59001,1.33,-0.464377663415384,-0.453257073756006,-0.231730375697807,-1.21502919381813,-0.20094522137737,NA,NA,-1.91160440035527,0.25228183252782,-0.634098565356751,49183,6.6288196060183,0.150856420816174
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12371",40.4,80.4,80.4,3268.4,7.16,1,TRUE,23550,58961,1.39,-1.48994340677722,-0.304292346180117,-0.130826076956434,-0.272525093841121,-0.161495731113346,NA,NA,-1.96445939535101,-0.561873897380749,-0.839905350877207,49013,6.83706427886153,0.14626160574382
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12372",40.5,80.5,80.5,3271.4,7.16,1,TRUE,23413,59298,1.19,-0.356991637038251,-0.586093802566473,-0.109680604194726,-0.533613608329846,-0.227509516731876,NA,NA,NA,-1.02436460095147,-0.618218361720944,49477,6.61301738729035,0.151216901670622
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12373",40.6,80.6,80.6,3274.4,7.16,1,TRUE,23675,60028,1.42,-0.440594088382521,-0.368744722666441,-0.0527349549059569,0.0893518906551596,-0.0952557549436201,NA,NA,NA,-0.585342378303092,-0.900856547658182,49288,6.89998397179035,0.144927872889033
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12374",40.7,80.7,80.7,3277.3,7.16,1,TRUE,23212,58832,1.4,-0.624734025797274,-0.454945322049144,0.0661319373177036,-0.983967793564436,-0.180204579399563,NA,-1.21653012019719,-3.4977403910461,-0.328435898400033,-0.632638493112787,48777,6.62736512900704,0.150889528573451
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12375",40.8,80.8,80.8,3280.2,7.15,1,TRUE,23374,58989,1.34,-0.595564737477677,-0.612642685324263,0.0501931389974977,-0.330738172175485,-0.220045304063519,NA,NA,-2.14311899092181,-0.143821980915835,-0.933134599713618,48942,6.93353866104717,0.144226498024455
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12376",40.9,80.9,80.9,3283.1,7.17,1,TRUE,23295,58467,1.42,-0.703016373288802,-0.662210312631552,0.112121894597164,-0.679936598629388,-0.195756339666053,NA,NA,-1.42831006515956,-0.374580862005653,-0.989235146265684,48449,6.99224678323985,0.143015547219666
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12377",41,81,81,3286,7.17,1,TRUE,23207,57972,1.25,-0.39619441255777,-0.426460706101034,-0.350041158981446,0.239605636677359,-0.275328214963587,NA,-0.448024152524657,NA,-0.46645517445024,-0.58271331569172,48589,6.57782283218964,0.152025985726818
