"depth","SH20_mean_age","surface","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","coh_inc","Total_scatter"
1.7,-38.3,7.58,21090,53056,1.38,16,32,16,18,5431,11,0,0,827,39359,5542,7.101948755,0.140806423,44901
1.8,-36.7,7.59,21093,53106,1.42,17,44,22,0,4710,0,0,0,861,39243,5653,6.941977711,0.144051168,44896
1.9,-35.1,7.58,21223,52649,1.34,0,37,0,17,4656,0,20,0,834,39376,5701,6.906858446,0.144783625,45077
2,-33.6,7.58,21729,54454,1.27,0,55,8,19,5848,0,0,0,870,39719,5850,6.78957265,0.147284675,45569
2.1,-32,7.58,22073,55695,1.32,0,51,15,6,5778,0,0,196,720,40670,5908,6.883886256,0.145266781,46578
2.2,-30.4,7.59,22172,55100,1.34,16,52,0,32,5467,0,38,0,784,40519,5974,6.78255775,0.147437005,46493
2.3,-28.8,7.61,22196,55101,1.28,0,32,12,35,5328,0,54,0,630,41336,5755,7.182623805,0.139224889,47091
2.4,-27.2,7.62,22616,55584,1.38,34,50,16,43,5412,0,0,0,710,40790,6315,6.45922407,0.154817357,47105
2.5,-25.7,7.62,22901,57742,1.36,0,22,0,0,5817,0,14,0,899,42163,6245,6.751481185,0.148115646,48408
2.6,-24.1,7.63,22895,57183,1.42,5,39,0,36,5696,0,0,0,779,42165,5965,7.068734283,0.141468042,48130
2.7,-22.5,7.65,23449,58191,1.24,0,57,19,46,5575,0,0,0,810,43302,6283,6.891930606,0.145097224,49585
2.8,-20.9,7.66,23788,60176,1.32,14,57,20,72,6911,0,0,0,898,43236,6397,6.758793184,0.147955408,49633
2.9,-19.4,7.68,23421,58991,1.42,7,79,20,15,6687,0,92,0,913,42258,6270,6.739712919,0.148374272,48528
3,-17.8,7.67,23170,57641,1.33,0,58,0,22,5447,0,0,0,949,42577,6242,6.821050945,0.146604975,48819
3.1,-16.2,7.66,23818,60935,1.27,178,208,152,116,7156,0,0,0,919,43438,6374,6.814872921,0.146737879,49812
3.2,-14.6,7.65,24827,63214,1.23,106,89,71,59,6958,0,82,94,805,44904,6890,6.517271408,0.153438446,51794
3.3,-13,7.65,24712,61223,1.35,22,73,0,8,5703,0,0,0,806,44827,6629,6.762256751,0.147879626,51456
3.4,-11.5,7.67,23758,58939,1.19,17,84,0,40,5505,0,0,0,772,43772,6204,7.055448098,0.141734442,49976
3.5,-9.9,7.68,23605,61215,1.35,29,107,66,26,8678,0,106,0,831,43049,6135,7.016951915,0.142512021,49184
3.6,-8.3,7.69,24367,64087,1.31,27,108,50,72,9895,0,22,0,957,43637,6513,6.699984646,0.149254073,50150
3.7,-6.7,7.69,24164,60214,1.58,25,37,0,55,6052,0,124,0,928,44302,6457,6.861080997,0.145749628,50759
3.8,-5.1,7.69,23726,58135,1.31,0,28,9,47,4756,0,0,0,1050,44028,6087,7.233119763,0.13825293,50115
3.9,-3.5,7.68,23359,57116,1.28,14,48,41,29,3832,0,28,0,853,43459,6479,6.707670937,0.149083044,49938
4,-1.9,7.65,24215,60269,1.22,0,38,10,43,4548,0,7,0,1099,45196,6603,6.84476753,0.146097,51799
4.1,-0.4,7.63,24962,62359,1.43,13,53,27,51,6080,0,0,0,826,45871,6797,6.748712667,0.148176408,52668
4.2,1.2,7.63,24893,61204,1.26,4,36,21,72,5525,0,0,0,884,45253,6585,6.872133637,0.145515214,51838
4.3,2.8,7.65,24627,60990,1.29,11,28,0,40,5373,0,30,0,1019,44963,6610,6.802269289,0.147009764,51573
4.4,4.4,7.65,24719,60892,1.29,0,44,7,21,5319,0,0,0,786,45617,6595,6.916906748,0.144573295,52212
4.5,6,7.64,24669,61755,1.41,27,45,13,25,5327,0,79,25,1022,45719,7002,6.529420166,0.153152956,52721
4.6,7.6,7.63,25143,61747,1.4,21,46,0,18,5971,0,223,0,813,45689,6715,6.804020849,0.146971919,52404
4.7,9.2,7.61,24603,61057,1.33,20,58,19,28,5134,0,53,0,988,45768,6509,7.031494853,0.14221727,52277
4.8,10.8,7.6,24468,59906,1.37,6,63,0,66,4944,0,0,0,710,44964,6630,6.781900452,0.147451294,51594
4.9,12.4,7.58,24611,60338,1.33,9,20,0,18,5090,0,158,0,934,45332,6445,7.033669511,0.142173299,51777
5,14,7.56,23922,58453,1.25,0,38,16,17,3860,0,100,0,848,44884,6259,7.171113596,0.139448356,51143
5.1,15.8,7.56,24110,59450,1.32,5,59,9,27,5035,0,0,0,869,44413,6535,6.796174445,0.147141603,50948
5.2,17.5,7.56,24472,59253,1.3,0,58,0,0,4658,0,0,0,991,44154,6491,6.802341704,0.147008199,50645
5.3,19.1,7.56,24459,58573,1.24,9,45,5,65,4103,0,46,0,858,44552,6592,6.758495146,0.147961932,51144
5.4,20.6,7.56,24136,57845,1.32,11,44,0,28,3372,0,0,0,1038,44651,6291,7.097599746,0.140892701,50942
5.5,22.1,7.53,24271,58763,1.35,16,46,15,10,3792,0,0,0,1055,44722,6686,6.688902184,0.149501364,51408
5.6,23.7,7.5,24498,59836,1.25,0,57,0,40,3725,0,102,0,978,45369,6790,6.68173785,0.149661663,52159
5.7,25.4,7.49,25061,60932,1.49,6,51,12,37,4009,0,96,0,975,46476,6855,6.779868709,0.147495482,53331
5.8,27,7.5,24633,60050,1.67,14,56,0,13,3938,0,52,0,764,45805,6506,7.040424224,0.142036896,52311
5.9,28.6,7.51,24527,59033,1.27,0,41,0,50,3204,0,188,0,875,45542,6503,7.003229279,0.14279127,52045
6,30.3,7.53,24964,60810,1.43,7,32,26,17,4004,0,0,0,802,46355,6730,6.88781575,0.145183907,53085
6.1,31.9,7.54,24252,58311,1.42,16,44,0,0,3296,0,68,0,806,45060,6548,6.881490531,0.145317355,51608
6.2,33.6,7.55,23338,56500,1.47,15,37,29,34,3603,0,12,0,904,43037,6232,6.905808729,0.144805632,49269
6.3,35.2,7.55,23892,57091,1.52,0,37,24,12,3831,0,0,25,983,43300,6350,6.818897638,0.14665127,49650
6.4,36.8,7.56,23765,57274,1.49,15,45,9,24,3591,0,63,0,942,44402,6130,7.243393148,0.138056844,50532
6.5,38.5,7.6,23419,57604,1.3,0,41,10,26,3523,0,119,0,1116,43839,6300,6.958571429,0.143707658,50139
6.6,40.2,7.62,23505,57582,1.56,6,44,24,29,4014,0,0,0,857,43550,6294,6.919288211,0.144523536,49844
6.7,41.9,7.62,23379,57347,1.41,10,47,6,33,3947,0,28,67,1140,42960,6276,6.845124283,0.146089385,49236
6.8,43.6,7.6,24028,58383,1.33,5,8,0,9,4031,0,134,37,800,44119,6477,6.811641192,0.146807498,50596
6.9,45.2,7.58,24381,59173,1.5,7,44,0,24,3712,0,60,0,812,45044,6829,6.5959877,0.151607317,51873
7,46.8,7.58,24265,59141,1.31,9,5,0,9,3716,0,19,0,810,44885,6425,6.985992218,0.143143589,51310
7.1,48.4,7.58,24111,58947,1.31,6,72,24,10,3948,0,24,0,806,44214,6630,6.668778281,0.149952504,50844
7.2,50.1,7.57,23983,59864,1.49,0,44,16,39,4052,0,71,55,1069,44912,6532,6.875688916,0.145439971,51444
7.3,51.7,7.55,23841,57927,1.42,13,21,12,40,3985,0,0,0,1003,44070,6141,7.176355642,0.139346494,50211
7.4,53.4,7.53,24258,59077,1.37,0,35,0,0,4279,0,0,0,698,45036,6294,7.155386082,0.139754863,51330
7.5,55,7.51,24380,60537,1.36,16,27,0,32,3975,0,0,0,1033,45737,6815,6.711225238,0.149004089,52552
7.6,56.7,7.53,24397,59523,1.4,21,54,0,28,4068,0,0,0,958,45318,6551,6.917722485,0.144556247,51869
7.7,58.3,7.53,24331,60273,1.4,0,23,0,47,4751,0,0,0,652,45159,6404,7.051686446,0.141810049,51563
7.8,60,7.53,23962,58884,1.37,0,84,0,6,4896,0,81,38,795,43820,6046,7.247767119,0.137973528,49866
7.9,61.6,7.51,23460,58300,1.43,19,61,21,60,4211,0,119,0,804,43749,6230,7.022311396,0.142403255,49979
8,63.3,7.49,22918,57598,1.34,10,76,14,12,4641,0,144,0,868,42363,6413,6.605800717,0.151382102,48776
8.1,64.9,7.48,21711,55202,1.49,22,70,16,0,4058,0,49,0,830,41084,5961,6.892132193,0.14509298,47045
8.2,66.5,7.47,22231,57810,1.52,20,58,11,24,5913,42,0,0,977,41357,5967,6.930953578,0.144280291,47324
8.3,68.3,7.46,21896,55782,1.51,28,63,31,22,3919,0,122,0,941,41180,6093,6.758575414,0.147960175,47273
8.4,69.9,7.45,21770,55337,1.28,29,46,0,12,3791,15,0,0,954,40821,5929,6.884972171,0.14524387,46750
8.5,71.5,7.45,22516,58644,1.38,17,61,0,29,6226,0,0,0,1019,40882,5956,6.864002686,0.145687589,46838
8.6,73.2,7.42,20969,55574,1.43,20,73,12,0,6910,0,0,0,776,37474,5449,6.877225179,0.145407483,42923
8.7,74.8,7.39,20797,55856,1.48,32,67,22,11,7921,0,0,0,814,37667,5644,6.673812899,0.149839382,43311
8.8,76.5,7.36,22626,60750,1.43,11,54,11,9,11015,71,0,0,684,39395,6090,6.468801314,0.154588146,45485
8.9,78.1,7.37,22860,63863,1.24,62,169,27,51,13349,0,8,0,746,40038,6086,6.578705225,0.152005595,46124
9,79.7,7.41,21448,57636,1.37,49,157,49,44,7720,22,0,171,943,40032,6207,6.449492508,0.155050959,46239
9.1,81.4,7.43,22187,56323,1.35,10,49,38,10,5476,0,70,0,790,41381,6027,6.865936619,0.145646553,47408
9.2,83,7.47,22364,57076,1.43,5,72,46,0,6669,0,0,80,852,41090,6007,6.840352922,0.146191287,47097
9.3,84.6,7.5,22772,57268,1.31,9,35,20,24,5950,0,0,0,778,41276,6149,6.712636201,0.148972769,47425
9.5,87.8,7.57,21467,50959,1.52,15,49,0,29,2686,0,34,0,947,39376,5720,6.883916084,0.145266152,45096
9.6,89.4,7.58,21843,52651,1.3,17,45,0,9,2680,0,52,0,852,40548,5816,6.971801926,0.143434941,46364
9.7,91,7.59,22200,53301,1.27,6,25,18,7,2141,0,0,13,886,41479,6129,6.767661935,0.147761518,47608
9.8,92.7,7.59,21869,53564,1.23,0,60,5,42,2576,0,0,0,826,41434,6101,6.791345681,0.147246223,47535
9.9,94.2,7.6,21443,51917,1.36,6,32,0,0,1978,0,15,0,840,40865,6012,6.797238856,0.147118561,46877
10,95.8,7.62,22058,53000,1.33,0,22,32,0,2168,0,0,0,926,41664,6177,6.745021855,0.148257488,47841
10.1,97.4,7.62,22083,52658,1.31,0,16,0,29,1665,0,0,0,482,42044,5970,7.042546064,0.141994101,48014
10.2,99,7.62,22737,54876,1.47,25,48,0,15,1784,0,0,0,830,43101,6356,6.781151668,0.147467576,49457
10.3,100.6,7.6,22564,54739,1.25,5,45,0,0,1583,0,54,0,949,43457,6342,6.852254809,0.145937363,49799
10.4,102.2,7.58,23090,55229,1.22,0,57,7,26,1588,0,0,0,937,43742,6324,6.916824794,0.144575008,50066
10.5,103.8,7.57,23094,56447,1.22,0,62,0,24,2054,0,195,0,996,43741,6435,6.797358197,0.147115978,50176
10.6,105.5,7.57,22459,55651,1.37,11,32,4,37,1801,17,89,17,867,43689,6469,6.753594064,0.148069308,50158
10.7,107,7.57,22564,54798,1.36,11,39,56,0,1481,0,109,0,968,43478,6271,6.9331845,0.144233865,49749
10.8,108.6,7.54,23028,56432,1.28,10,67,4,8,1821,0,0,118,1144,43851,6234,7.034167469,0.142163235,50085
10.9,110.2,7.52,22394,55248,1.15,0,58,0,6,1720,0,37,60,979,43659,6175,7.070283401,0.141437046,49834
11,111.9,7.49,22762,55378,1.32,0,46,10,21,1541,69,0,0,979,43611,6339,6.879791765,0.145353237,49950
11.1,113.6,7.46,22594,54223,1.24,5,59,42,38,1569,7,35,0,864,42701,6233,6.85079416,0.145968478,48934
11.2,115.1,7.44,23055,55338,1.34,11,85,19,38,1451,0,21,0,975,43681,6237,7.003527337,0.142785193,49918
11.3,116.7,7.45,22904,54497,1.18,7,63,42,29,1576,0,0,0,924,43034,6116,7.036298234,0.142120184,49150
11.4,118.4,7.45,22541,54056,1.29,0,62,16,8,1266,0,134,41,818,43062,6013,7.161483453,0.139635874,49075
11.5,119.9,7.45,21960,53302,1.15,6,39,19,9,1349,0,0,0,950,42041,6378,6.591564754,0.151709046,48419
11.6,121.6,7.44,21711,53278,1.24,11,86,64,29,1508,0,137,165,822,41653,6195,6.723648103,0.148728783,47848
11.7,123.2,7.43,21609,52669,1.15,12,56,16,32,1249,0,0,0,916,41952,5788,7.248099516,0.137967201,47740
11.8,124.8,7.42,21920,53247,1.29,0,55,29,10,1114,8,129,0,975,42429,6136,6.914765319,0.144618068,48565
11.9,126.4,7.42,22162,54519,1.41,20,60,0,20,1257,0,0,0,1169,43044,6173,6.972946703,0.143411393,49217
12,128,7.42,22236,54613,1.34,14,54,21,35,1238,0,5,36,812,43408,6149,7.059359245,0.141655916,49557
12.1,129.7,7.41,22563,55236,1.29,0,96,13,15,1114,0,77,82,1032,43982,6481,6.786298411,0.147355736,50463
12.2,131.3,7.39,22489,54199,1.19,0,42,11,8,890,0,79,0,883,43672,6355,6.872069237,0.145516578,50027
12.3,132.9,7.37,22338,53761,1.29,20,57,10,0,970,0,53,0,1016,42941,6303,6.812787561,0.146782795,49244
12.4,134.6,7.36,21363,50654,1.27,17,46,13,20,1249,0,0,0,906,40594,5750,7.059826087,0.141646549,46344
12.5,136.1,7.36,21124,50323,1.33,4,52,18,0,984,0,0,0,841,40381,5901,6.843077445,0.146133082,46282
12.6,137.8,7.36,21339,51289,1.44,20,33,6,0,1051,0,0,0,673,41155,6083,6.765576196,0.147807071,47238
12.7,139.3,7.36,21226,52139,1.23,11,54,7,15,1530,44,0,0,995,41098,5915,6.948098056,0.143924279,47013
12.8,140.9,7.36,21023,50931,1.27,0,73,6,0,1394,0,0,5,840,40470,5692,7.109978918,0.140647393,46162
12.9,142.5,7.37,21714,52214,1.22,22,73,0,0,1502,0,47,0,789,41395,6006,6.892274392,0.145089987,47401
13,144.2,7.37,21781,52870,1.34,6,56,31,9,1706,10,57,0,923,41465,5956,6.961887173,0.143639214,47421
13.1,145.7,7.37,21968,53164,1.29,0,39,26,15,1511,0,37,49,764,41886,6028,6.948573324,0.143914434,47914
13.2,147.3,7.38,22433,54161,1.34,25,89,38,54,1936,0,0,18,759,42186,6376,6.616373902,0.151140189,48562
13.3,148.9,7.37,22064,53607,1.37,8,68,46,21,1864,0,16,60,797,41683,6270,6.64800638,0.150421035,47953
13.4,150.5,7.37,21956,53075,1.16,0,76,21,0,2289,0,89,72,862,41135,6001,6.854690885,0.145885499,47136
13.5,152.1,7.35,22518,54348,1.31,7,85,0,26,2033,0,0,0,760,42351,6139,6.898680567,0.144955255,48490
13.6,153.6,7.32,22839,54921,1.29,22,63,5,18,2183,0,27,57,920,42575,6138,6.936298469,0.144169113,48713
13.7,155.1,7.3,22985,55422,1.43,0,90,17,51,2007,58,93,26,977,43085,5959,7.230239973,0.138307996,49044
13.8,156.8,7.31,23351,55328,1.42,8,96,9,9,1904,0,57,29,912,42960,6352,6.763224181,0.147858473,49312
13.9,158.3,7.3,23589,55988,1.3,10,107,30,10,2067,0,0,23,937,43361,6499,6.671949531,0.14988123,49860
14,159.9,7.31,23433,55531,1.58,13,99,29,0,1939,0,0,0,928,43450,6317,6.878264999,0.145385501,49767
14.1,161.5,7.31,23299,55139,1.35,16,123,13,0,2146,0,141,0,969,42535,6167,6.897194746,0.144986482,48702
14.2,163.1,7.31,23204,54982,1.37,0,116,10,30,1849,0,0,97,796,42694,6310,6.766085578,0.147795943,49004
14.3,164.7,7.31,23545,55337,1.44,24,109,0,21,1643,0,162,81,728,42990,6337,6.783967177,0.147406374,49327
14.4,166.3,7.3,23344,55161,1.25,15,96,0,37,1339,0,46,121,797,42980,6644,6.468994582,0.154583527,49624
14.5,167.9,7.31,23104,55138,1.43,12,96,0,31,1394,0,106,93,876,42660,6373,6.693864742,0.14939053,49033
14.6,169.4,7.32,22559,52546,1.39,14,118,18,22,1342,0,0,30,817,41030,6090,6.73727422,0.14842798,47120
14.7,171,7.33,22430,52336,1.23,25,118,16,66,1261,0,0,105,725,41036,6118,6.707420726,0.149088605,47154
14.8,172.6,7.32,22457,53464,1.33,0,124,7,17,1352,0,12,55,995,41528,6215,6.681898632,0.149658062,47743
14.9,174.2,7.32,22136,53022,1.29,6,119,32,30,1304,0,125,88,869,41316,6222,6.640308582,0.150595411,47538
15,175.8,7.35,22294,53598,1.26,18,112,9,29,1322,0,70,254,732,42079,6001,7.011998,0.142612705,48080
15.1,177.6,7.36,22917,55267,1.39,15,118,30,20,1547,0,0,124,984,42887,6384,6.717888471,0.148856297,49271
15.2,179.3,7.37,22321,53786,1.39,0,142,43,8,1561,0,131,98,877,41245,6437,6.40748796,0.156067402,47682
15.3,181,7.37,22234,53515,1.38,28,107,32,21,1397,0,0,0,835,42166,6126,6.883121123,0.145282929,48292
15.4,182.7,7.35,23083,55621,1.44,0,113,54,33,1919,0,70,177,1052,42847,6316,6.783882204,0.14740822,49163
15.5,184.4,7.33,23158,57211,1.34,15,142,93,51,2887,0,0,34,1065,43325,6596,6.568374773,0.152244662,49921
15.6,186.1,7.34,23250,56658,1.34,8,105,38,22,2261,0,0,153,781,43799,6558,6.678713022,0.149729446,50357
15.7,187.9,7.35,22976,55311,1.43,18,94,11,35,1437,0,37,93,1071,42921,6524,6.578939301,0.152000186,49445
15.8,189.6,7.36,23237,56538,1.19,0,95,0,33,1614,0,169,244,805,43455,6669,6.515969411,0.153469106,50124
15.9,191.3,7.38,22948,56031,1.45,18,95,17,26,1633,0,148,178,899,43040,6453,6.669766,0.149930297,49493
16,193,7.4,22597,54587,1.45,29,100,19,39,1907,0,19,117,870,41996,6424,6.5373599,0.152966949,48420
16.1,194.9,7.41,22561,55322,1.53,28,109,37,50,1895,0,107,349,802,42676,6279,6.796623666,0.147131877,48955
16.2,196.5,7.43,22433,54873,1.53,18,82,14,21,1757,78,0,173,771,42611,6299,6.764724559,0.147825679,48910
16.3,198.3,7.43,22815,54989,1.46,5,98,35,81,1485,0,121,175,823,42718,6211,6.877797456,0.145395384,48929
16.4,200,7.43,22408,54288,1.39,7,83,19,59,1482,0,77,0,847,42661,6262,6.812679655,0.14678512,48923
16.5,201.8,7.44,22597,55420,1.61,17,70,50,7,1659,0,126,193,1079,42949,6276,6.843371574,0.146126802,49225
16.6,203.4,7.45,23033,55589,1.29,14,92,27,36,1697,0,39,123,803,43564,6270,6.94800638,0.143926178,49834
16.7,205.1,7.46,22867,55374,1.42,0,114,42,49,1578,0,52,23,877,43024,6252,6.881637876,0.145314243,49276
16.8,206.9,7.47,22774,55326,1.46,13,68,0,25,1453,0,24,137,1143,42958,6413,6.698581007,0.149285348,49371
16.9,208.6,7.47,22879,54454,1.36,0,82,19,38,1210,0,21,0,882,43065,6160,6.991071429,0.143039591,49225
17,210.3,7.47,23297,55125,1.53,12,68,42,20,1373,0,26,201,735,43421,6241,6.957378625,0.143732295,49662
17.1,211.9,7.46,24047,57259,1.49,7,87,0,26,1871,0,84,215,902,44774,6442,6.950325986,0.143878144,51216
17.2,213.6,7.46,23747,57039,1.26,4,71,36,53,1573,0,119,108,957,44320,6430,6.892690513,0.145081227,50750
17.3,215.3,7.46,23651,57693,1.26,0,100,19,24,2000,0,46,304,984,44110,6766,6.519361513,0.153389254,50876
17.4,217.1,7.47,23543,56340,1.2,6,115,0,52,1651,0,0,79,992,43636,6527,6.685460395,0.14957833,50163
17.5,218.7,7.47,23581,56326,1.3,4,79,15,47,1349,6,0,35,908,43885,6701,6.549022534,0.152694543,50586
17.6,220.5,7.48,23280,55719,1.32,14,114,28,25,1422,0,0,195,1080,43309,6440,6.725,0.148698885,49749
17.7,222.1,7.49,23126,55557,1.47,8,123,51,14,1494,0,110,305,853,42879,6248,6.862836108,0.145712353,49127
17.8,223.7,7.49,22734,54855,1.28,19,143,6,38,1466,0,0,284,881,42167,6392,6.5968398,0.151587734,48559
17.9,225.5,7.49,22549,53494,1.26,10,148,54,31,1601,0,0,218,809,41091,6211,6.615842859,0.15115232,47302
18,227.2,7.5,22100,53454,1.33,25,117,30,42,1412,0,46,244,870,41271,6139,6.722756149,0.148748516,47410
18.1,228.9,7.5,21516,53493,1.34,13,100,61,91,2577,0,224,425,962,40149,6088,6.59477661,0.151635159,46237
18.2,230.6,7.5,22171,54511,1.53,7,119,95,39,1817,0,129,389,928,41617,6273,6.634305755,0.150731672,47890
18.3,232.2,7.49,21902,53437,1.48,12,121,33,34,1372,7,22,157,1058,41342,6118,6.757437071,0.1479851,47460
18.4,234,7.48,21941,53653,1.28,15,120,41,44,1613,0,68,317,904,41298,6233,6.625701909,0.150927406,47531
18.5,235.6,7.45,22588,55809,1.26,25,165,58,20,2130,0,0,233,978,42673,6622,6.444125642,0.15518009,49295
18.6,237.3,7.45,22036,53867,1.24,12,146,71,19,1937,0,124,82,879,41483,6170,6.723338736,0.148735627,47653
18.7,239,7.45,22184,53586,1.32,14,121,18,73,1315,0,185,218,846,42002,6055,6.936746491,0.144159802,48057
18.8,240.7,7.46,22385,53020,1.25,6,113,39,36,1288,0,55,110,825,41591,6124,6.791476159,0.147243394,47715
18.9,242.3,7.46,22462,53216,1.21,9,117,0,28,1046,0,49,241,791,41304,6244,6.614990391,0.151171799,47548
19,244,7.45,22339,52354,1.28,0,86,43,25,1028,5,22,92,831,41243,6101,6.760039338,0.147928133,47344
19.1,245.7,7.44,23061,54963,1.3,11,109,15,14,1260,55,29,122,806,43259,6638,6.516872552,0.153447837,49897
19.2,247.3,7.43,23431,55551,1.33,19,117,24,37,1415,0,67,380,916,43033,6299,6.831719321,0.146376037,49332
19.3,249,7.44,23246,55170,1.32,19,120,51,17,1513,0,0,165,985,42939,6501,6.604983849,0.151400824,49440
19.4,250.8,7.45,23050,55354,1.35,15,140,40,66,1637,56,195,116,770,42547,6298,6.75563671,0.148024538,48845
19.5,252.4,7.46,22615,54909,1.26,28,165,59,68,1900,0,26,562,954,41553,6278,6.618827652,0.151084158,47831
19.6,254,7.45,22602,54444,1.49,0,141,35,65,1461,82,148,252,673,42213,6309,6.690917737,0.149456329,48522
19.7,255.8,7.43,22891,54360,1.55,11,85,42,18,1571,0,165,164,760,42235,6450,6.548062016,0.152716941,48685
19.8,257.5,7.44,22704,54642,1.31,16,144,58,33,1566,0,0,325,871,41976,5979,7.020572002,0.142438536,47955
19.9,259.2,7.45,21594,52287,1.35,11,129,75,6,1579,0,0,178,734,40767,6137,6.642822226,0.150538426,46904
20,260.8,7.46,21512,52805,1.22,51,172,71,48,2350,0,109,373,807,39663,5917,6.703227987,0.149181857,45580
20.1,262.5,7.47,21117,51610,1.26,14,109,20,0,1531,0,13,332,857,39733,6260,6.347124601,0.157551657,45993
20.2,264,7.46,21273,53736,1.39,75,141,97,76,3003,0,283,470,1023,39493,6342,6.227215389,0.16058542,45835
20.3,265.8,7.46,21899,54799,1.35,132,135,148,71,3421,0,169,320,969,40405,6392,6.321182728,0.158198243,46797
20.4,267.3,7.45,22490,55331,1.49,57,129,99,55,2889,0,115,260,853,41703,6163,6.766672075,0.147783133,47866
20.5,269.1,7.44,22963,55580,1.37,4,110,13,42,1975,0,94,241,933,42824,6424,6.666251557,0.150009341,49248
20.6,270.7,7.44,23109,56369,1.32,7,143,18,27,1973,0,12,42,978,43318,6573,6.590293625,0.151738307,49891
20.7,272.3,7.44,23234,55717,1.37,0,147,31,51,1693,0,25,102,796,43276,6525,6.632337165,0.150776412,49801
20.8,274,7.45,22980,55678,1.38,21,141,0,27,1849,0,5,70,700,43499,6318,6.88493194,0.145244718,49817
20.9,275.6,7.45,22695,54205,1.36,0,145,27,0,1839,0,0,0,917,42126,6372,6.611111111,0.151260504,48498
21,277.4,7.46,22676,55850,1.3,6,139,47,27,2018,0,80,347,750,42783,6324,6.765180266,0.147815721,49107
21.1,279,7.46,22286,54863,1.44,11,139,46,0,2143,0,94,202,860,41839,6388,6.549624296,0.152680513,48227
21.2,280.6,7.46,22210,54035,1.39,10,150,31,22,2150,0,0,218,864,41456,6242,6.64146107,0.150569278,47698
21.3,282.3,7.45,22563,55111,1.42,21,170,53,11,2247,0,230,306,1028,42026,6288,6.683524173,0.149621663,48314
21.4,284,7.45,22839,55380,1.37,22,154,14,37,2279,59,66,170,803,42201,6118,6.897842432,0.144972868,48319
21.5,285.6,7.44,23074,57195,1.41,20,109,39,41,2340,0,63,141,1007,43925,6241,7.038134914,0.142083096,50166
21.6,287.3,7.44,23118,56906,1.65,41,141,71,40,2135,78,50,293,981,43622,6353,6.866362348,0.145637522,49975
21.7,289,7.43,22575,54835,1.34,14,148,42,39,1988,59,0,127,1006,41973,6520,6.437576687,0.155337955,48493
21.8,290.6,7.42,22051,53088,1.21,11,113,17,32,1470,0,93,170,887,41780,6076,6.876234365,0.145428435,47856
21.9,292.4,7.4,23266,56443,1.33,0,149,61,0,2388,6,139,207,1036,42787,6536,6.546358629,0.152756678,49323
22,294,7.36,23714,56649,1.35,31,117,31,38,2388,0,114,154,972,43440,6352,6.838790932,0.146224678,49792
22.1,295.7,7.37,23078,56758,1.28,24,164,146,37,2247,0,0,401,1016,42900,6521,6.578745591,0.152004662,49421
22.2,297.4,7.39,22794,54975,1.35,0,115,37,61,2196,5,43,310,789,42172,6213,6.787703203,0.147325239,48385
22.3,299,7.4,22866,54738,1.36,9,118,34,16,1820,78,0,200,875,42303,6243,6.776069198,0.147578186,48546
22.4,300.6,7.4,23062,55504,1.42,6,110,20,76,1996,15,123,153,862,42877,6315,6.789707047,0.147281759,49192
