Location,Site,Section,sample,min_depth,max_depth,midpoint,SH20_age,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_inc_sd,Mo_coh_sd,coh_inc_sd,K_ICP_clr,Ca_ICP_clr,Ti_ICP_clr,Mn_ICP_clr,Fe_ICP_clr,Co_ICP_clr,Ni_ICP_clr,Cu_ICP_clr,Zn_ICP_clr,Rb_ICP_clr,Sr_ICP_clr,Zr_ICP_clr,K_ICP_sd_clr,Ca_ICP_sd_clr,Ti_ICP_sd_clr,Mn_ICP_sd_clr,Fe_ICP_sd_clr,Co_ICP_sd_clr,Ni_ICP_sd_clr,Cu_ICP_sd_clr,Zn_ICP_sd_clr,Rb_ICP_sd_clr,Sr_ICP_sd_clr,Zr_ICP_sd_clr
Bird Island,BI10,BI10.9,361,355.7,356.7,356.2,5262.190909,21037,62387.36364,1.343636364,-2.340698053,0.059802392,-0.94398897,-2.153777805,4.278000232,-0.778018909,-0.402796308,-0.438879143,-4.102804301,-3.22070335,0.886066267,1.091371272,4.950852646,3.115574029,0.159601123,18.23981659,36.52346693,26.40247922,22.00950208,4783.008401,74.20965387,26.44617175,41.26455666,24.41906855,47.3967778,86.42926693,81.41163643,647.4493171,131.2867092,0.003367752,2.768380536,3.854315496,1.687445476,-0.852780744,4.904617723,-3.362761031,-2.814368705,-0.88176828,-1.075527548,-2.494479518,0.031642491,-1.764715895,5.695889144,4.603378156,2.125744265,-1.009749951,4.263249608,-4.228625776,-3.823160668,-1.743719126,-1.297432023,-1.78627874,-0.739722814,-2.059572075
Bird Island,BI10,BI10.9,365,360.7,361.7,361.2,5341.56,20858.5,76598.3,1.446,-2.575593196,-0.029329141,-1.440485192,-1.945876493,4.689774635,-0.044181856,-0.732479412,-1.058635323,-0.902657259,-3.758114815,0.586006563,0.251575189,4.333704521,2.62629178,0.181389686,16.93648265,78.94083579,30.62243187,10.90157991,4414.339922,54.11561697,25.99230655,38.93812756,63.7962033,31.00698846,203.9135165,91.43084819,768.8051624,232.2617298,0.004755556,1.646144213,3.501800074,0.847740257,-1.081708615,6.096542611,-0.989650471,-1.903338729,-0.897602937,-0.034790704,-3.722767947,-0.402225797,-3.060141956,4.414583387,3.339066813,0.920409549,-0.951392628,6.056207986,-0.95640517,-1.727921417,-1.595749644,-0.966506266,-3.764803345,-0.309538742,-4.457950525
Bird Island,BI10,BI10.9,372,369.1,371,370.1,5483.135,20704.7,67593,1.402,-3.477151587,-0.007755443,-1.558630726,-2.11891074,4.703537009,-0.21985883,-0.366842564,-0.338822642,-2.095063467,-3.873793623,0.724065509,0.782704114,4.818937608,3.027585381,0.16678874,9.399188095,24.81611319,22.62247369,20.15068237,6119.198679,81.7855186,36.6394596,42.39224731,54.8125994,35.61914772,78.76565843,56.43018509,967.5581092,162.223822,0.004356488,2.049062928,3.568852762,1.419376102,-0.797456947,5.643552756,-1.906719812,-2.470773532,-1.171394607,-0.364774846,-3.195550259,-0.261368963,-2.512805582,5.424747749,3.711189027,1.548750565,-1.016198792,5.691885292,-2.095008453,-2.913318777,-1.178717722,-1.431714236,-5.621368978,-0.260076812,-1.860168862
Bird Island,BI10,BI10.10,379,367.3,368.4,367.9,5447.309091,21103.36364,67035.90909,1.454545455,-2.987842225,-0.173182877,-1.763979208,-1.862566173,4.473132199,-0.337108504,-0.513224229,-0.917235534,-3.292131086,-1.492550019,0.725817927,0.583382149,4.665847885,2.891639693,0.169669246,12.74576579,39.62941974,37.90634392,23.40279704,3422.62377,92.29123863,37.83600978,45.05955655,41.83017615,44.63732641,165.2413111,108.593822,1340.083342,234.896186,0.004359041,2.109367965,3.672845155,1.127386239,-0.933773258,5.98674086,-2.317173261,-2.350078697,-0.603010873,-0.50039227,-3.14765758,-0.206574778,-2.837679502,5.338647703,3.778909459,0.975549078,-0.816210391,5.663834171,-3.811942665,-3.475470428,-0.990563778,-1.378329309,-2.648791855,-0.158690388,-2.476941598
Bird Island,BI10,BI10.10,386,375.7,376.6,376.1,5581.52,20316.6,60603.4,1.385,-2.777566135,-0.212219931,-1.595940276,-2.121038541,4.131265473,-0.852558655,-0.490778644,-0.594802966,-3.245670143,-1.098832018,0.713002117,0.654417379,4.640463671,2.850258671,0.167034797,6.854844191,23.71614546,22.50827009,20.10776522,4055.86734,42.74004108,30.33076912,54.91822203,25.02909418,68.82861162,94.39656303,93.15602205,1436.987729,155.10072,0.006357407,2.007710071,3.515113597,1.238261302,-0.939731914,5.709400664,-1.977383503,-2.336942787,-0.871005744,-0.155504265,-3.228132372,-0.323003064,-2.638781985,5.482052441,3.755977625,0.279878935,-0.818733354,5.214352868,-2.47946456,-2.651314817,-2.332861086,-0.564091135,-2.533531782,-0.818733354,-2.533531782
Bird Island,BI10,BI10.10,390,380.5,381.5,381,5660.045455,20289.72727,62960.63636,1.430909091,-3.626879438,-0.025283237,-1.256443113,-2.174340997,4.528919212,-0.409792183,-0.257998739,-0.400119848,-3.113774788,-3.297693051,0.77494011,1.12192988,4.969436904,3.167099291,0.164979079,14.92831355,41.81256879,20.45882783,19.37195724,5572.32656,37.10329561,29.96695149,43.88269487,22.9176391,32.71696807,59.20150489,99.96608516,1316.483594,192.9193897,0.004879674,2.898733856,3.796459698,1.569052764,-0.606394449,5.408567373,-2.989702753,-2.887777334,-1.181123874,-1.036706518,-2.526915364,-0.158639037,-2.285554361,6.035737901,4.113427667,1.831045281,-0.87700492,4.809970436,-3.084279833,-3.872737193,-2.997268456,-1.02782781,-2.437652668,-0.102277752,-2.391132653
Bird Island,BI10,BI10.10,392,382.9,384,383.4,5698.008333,20976.58333,68717.58333,1.463333333,-2.562803517,-0.143850145,-1.446248626,-1.900156771,4.484549208,-0.424596936,-0.552419502,-0.789617049,-1.605868005,-3.425263355,0.426216641,0.606851149,4.560719837,2.772487072,0.167321741,8.024111392,34.31438871,23.93488642,15.69862955,4571.373637,63.76014477,28.22139206,31.34110961,33.99587765,56.26472871,78.02621937,64.05016973,959.6572621,117.6268818,0.004963907,2.480455228,3.680814956,1.436470832,-0.912578843,5.580270562,-2.336144599,-2.735300538,-0.773135085,-0.40026652,-3.094674539,-0.4093675,-2.516543954,5.458321967,4.003788314,0.619398051,-1.172361418,5.631143839,-2.833092625,-3.698090062,-1.683187042,-0.821704547,-2.733009166,-0.171729538,-2.599477774
Bird Island,BI10,BI10.10,396,387.7,388.8,388.2,5774.458333,23372.41667,56698.33333,1.360833333,-3.744280362,0.481463075,-1.284310971,-0.98734134,2.862112593,-2.072139237,0.346044043,-0.23310769,-3.426900372,-3.485980772,0.600678217,1.639629014,5.616408687,3.687725114,0.145414416,7.547827301,38.22738983,17.75314739,24.09246707,4520.782283,51.93848343,39.36272656,33.23322087,27.61257948,38.80799668,84.98591684,64.10142295,744.3135286,175.1953888,0.004866682,3.273076026,3.865832171,2.213977937,0.545032386,4.8413242,-4.017274096,-3.387267812,-2.100248651,-1.214973823,-2.070864571,-0.045993095,-1.902620673,6.187522505,3.864146642,2.129545587,1.030933298,4.798755955,-4.421534748,-3.574236888,-2.686933693,-1.80657497,-1.936628099,-0.629797909,-2.95519768
Bird Island,BI10,BI10.10,403,396.3,397.4,396.8,5914.691667,19958.5,62693.66667,1.370833333,-2.87896374,-0.136211397,-1.394670475,-1.552083412,4.503752064,0.049343081,-0.350681184,-0.596071886,-2.708420493,-3.768871476,0.086419592,0.885886257,4.821749075,3.038823994,0.16818623,11.1069184,30.32800486,27.02636199,15.43215847,4286.738079,77.78306079,39.30639165,38.31794816,56.02995681,67.10117869,99.06850247,96.53587024,888.6672179,169.6246301,0.003870452,2.719826102,3.737492103,1.838822225,-0.79115239,5.679392349,-3.082409483,-2.81017782,-0.894826565,-1.034918525,-2.797861227,-0.361097587,-2.203089182,5.185655483,3.852097418,1.928761591,-0.843827131,5.742344524,-3.434094297,-3.308931154,-1.124864661,-1.172331198,-2.923268673,-1.193384608,-2.708157293
Bird Island,BI10,BI10.10,410,404.6,405.6,405.1,6045.027273,22354.63636,75136.63636,1.419090909,-3.226737788,0.1022262,-2.271720918,-2.256564506,4.657042821,-0.321501819,-0.443441252,-0.434189733,-0.166721384,-3.882078494,0.118855442,0.62619403,4.634492662,2.864144738,0.170357614,7.974960815,59.32161955,16.92819058,21.41494805,4539.730703,82.29879045,28.06777512,29.54811177,70.23454214,45.87671225,88.437343,56.37810665,1428.118998,148.2408973,0.005657663,2.155463542,3.880545117,1.088404467,-0.904025698,5.438330435,-2.106333223,-2.416639426,-0.527303059,-0.421393808,-3.411177956,-0.146808856,-2.629061535,5.481371326,4.734878165,1.648391528,-0.654193565,5.494274731,-3.313453602,-3.313453602,-1.498163635,-1.010868509,-3.649925838,-1.367543452,-2.55131355
