"Location","Site","Section","sample","min_depth","max_depth","midpoint","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","Mn_fit_OLS","Mn_lwr_OLS","Mn_upr_OLS","Mn_fit_WLS","Mn_lwr_WLS","Mn_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,-4.44065879276514,-6.74324388575918,6.4832445443394,1.44729144227062,6.40011887373701,5.23564188713369,7.56459586034033,6.3602285344767,5.50437815405061,7.21607891490279
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,-4.95428180412062,-7.2568674642378,6.34176617798979,2.1218583928199,5.97799459366341,4.81762672626215,7.13836246106467,5.94936687334099,5.019320427432,6.87941331924998
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,-5.43216012192663,-7.73474475763556,5.8885879542359,1.91999459747623,5.58524731325188,4.42755049127433,6.74294413522943,5.56709840963576,4.56650425516225,6.56769256410927
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,-5.95997595761877,-8.26256260101724,6.06710247558499,1.2756027112965,5.151458571846,3.99541174787829,6.30750539581371,5.14488350447818,4.06502461190672,6.22474239704963
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,-5.92006524007769,-8.22265219525353,5.70372976260028,1.07835686907697,5.18425944434738,4.02813570116555,6.34038318752922,5.17680922303734,4.1029866240644,6.25063182201028
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,-4.93631565505984,-7.23890033028526,6.07944149528368,-0.0398564233341872,5.99276018548914,4.83227017411187,7.15325019686641,5.96373850717384,5.03631808410331,6.89115893024437
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,-6.03051852216283,-8.33310236736573,5.77975690456013,-0.0983789568877652,5.09348272455263,3.93755268738349,6.24941276172176,5.08845449991925,3.99791072939512,6.17899827044338
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,-6.77322088952715,-9.07580947901858,6.04419565649397,2.64798581607384,4.48308814486812,3.32690089529355,5.63927539444269,4.4943457438115,3.2902230444653,5.69846844315769
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,-6.59525230948586,-8.89783886570789,5.27599218950683,1.1155078245311,4.62935273400206,3.47347451408268,5.78523095392145,4.63670787480862,3.45996679995949,5.81344894965775
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,-7.54211481805899,-9.84521864441215,5.55813635454586,1.11848060694384,3.85116786704039,2.69185804924226,5.01047768483851,3.87928561268526,2.55587562636577,5.20269559900474
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,-6.76245478967012,-9.06503728838033,5.15072049610145,1.14438681131032,4.4919363312828,3.33577220442717,5.64810045813844,4.50295785341994,3.30049427608345,5.70542143075642
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,-5.77579138983379,-8.07837712762699,5.8128993117966,1.24694983895029,5.30283180933339,4.14636466524802,6.45929895341876,5.29221798093785,4.24016066219791,6.3442752996778
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,-5.67751461561337,-7.98010058527453,5.57645224359538,0.336403784992739,5.38360119008265,4.22684154582003,6.54036083434526,5.37083236895115,4.33354942685656,6.40811531104575
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,-7.10305144314684,-9.40513945028125,4.19886637541732,-2.06703501390792,4.21201484418878,3.054843144861,5.36918654351655,4.23050489915022,2.97539603845743,5.48561375984301
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,-6.66876830021913,-8.97135496806469,5.35199120755971,1.14559714138587,4.56893315782248,3.41294617506162,5.72492014058334,4.57790034203668,3.38985995678717,5.7659407272862
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,-6.63762280380586,-8.94020637024433,5.03325517990925,0.764557230449264,4.59453027859066,3.43859262122074,5.75046793596059,4.60281451081483,3.41956317632567,5.78606584530398
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,-7.02740630825274,-9.33025066864874,4.96777383377874,-1.46997781560973,4.274184270796,3.11728556985609,5.43108297173591,4.29101559491793,3.04762620669286,5.534404983143
