Location,Site,label,ID,section_depth,field_depth,depth,SH20_age,surface,validity,qc,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,inc_coh,coh_inc,Total_scatter,cps_sum2
Bird Island,BI10,BI10.01,ACE_ITRAX_31,3,3,3,-17.8,7.67,1,TRUE,23170,57641,1.33,0,0.100622821,0,0.038167277,9.449870752,0,0,0,1.64639753,73.86582467,10.82909734,0.011833679,0.000254341,48819,95.94206842
Bird Island,BI10,BI10.01,ACE_ITRAX_32,3.1,3.1,3.1,-16.2,7.66,1,TRUE,23818,60935,1.27,0.292114548,0.341347337,0.249446131,0.190366784,11.74366128,0,0,0,1.508164438,71.28579634,10.46032658,0.01118384,0.000240811,49812,96.08264809
Bird Island,BI10,BI10.01,ACE_ITRAX_33,3.2,3.2,3.2,-14.6,7.65,1,TRUE,24827,63214,1.23,0.167684374,0.140791597,0.112316892,0.093333755,11.0070554,0,0.1297181,0.148701237,1.273452083,71.03489733,10.89948429,0.010309854,0.000242729,51794,95.01798764
Bird Island,BI10,BI10.01,ACE_ITRAX_34,3.3,3.3,3.3,-13,7.65,1,TRUE,24712,61223,1.35,0.035934208,0.119236235,0,0.013066985,9.315126668,0,0,0,1.316498701,73.219215,10.82763014,0.011045288,0.000241543,51456,94.85799477
Bird Island,BI10,BI10.01,ACE_ITRAX_35,3.4,3.4,3.4,-11.5,7.67,1,TRUE,23758,58939,1.19,0.02884338,0.142520233,0,0.067866778,9.340165256,0,0,0,1.309828806,74.26661464,10.52613719,0.011970763,0.000240476,49976,95.69418752
Bird Island,BI10,BI10.01,ACE_ITRAX_36,3.5,3.5,3.5,-9.9,7.68,1,TRUE,23605,61215,1.35,0.04737401,0.17479376,0.107816712,0.04247325,14.17626399,0,0.173160173,0,1.357510414,70.32426693,10.02205342,0.011462798,0.000232806,49184,96.43740826
Bird Island,BI10,BI10.01,ACE_ITRAX_37,3.6,3.6,3.6,-8.3,7.69,1,TRUE,24367,64087,1.31,0.042130229,0.168520917,0.078018943,0.112347278,15.43994882,0,0.034328335,0,1.493282569,68.09025231,10.16274752,0.010454514,0.000232893,50150,95.63226433
Bird Island,BI10,BI10.01,ACE_ITRAX_38,3.7,3.7,3.7,-6.7,7.69,1,TRUE,24164,60214,1.58,0.041518584,0.061447504,0,0.091340884,10.05081875,0,0.205932175,0,1.541169828,73.57425184,10.7234198,0.011394495,0.000242053,50759,96.30153591
Bird Island,BI10,BI10.01,ACE_ITRAX_39,3.8,3.8,3.8,-5.1,7.69,1,TRUE,23726,58135,1.31,0,0.048163757,0.015481208,0.080846306,8.180958115,0,0,0,1.806140879,75.73406726,10.4704567,0.012441936,0.000237814,50115,96.34879397
Bird Island,BI10,BI10.01,ACE_ITRAX_40,3.9,3.9,3.9,-3.5,7.68,1,TRUE,23359,57116,1.28,0.02451152,0.084039499,0.071783738,0.050773864,6.709153302,0,0.049023041,0,1.493451922,76.08901184,11.34358148,0.011743944,0.000261018,49938,95.92733517
Bird Island,BI10,BI10.01,ACE_ITRAX_41,4,4,4,-1.9,7.65,1,TRUE,24215,60269,1.22,0,0.063050656,0.016592278,0.071346795,7.546168013,0,0.011614595,0,1.823491347,74.99045944,10.95588113,0.011357029,0.000242408,51799,95.49020369
Bird Island,BI10,BI10.01,ACE_ITRAX_42,4.1,4.1,4.1,-0.4,7.63,1,TRUE,24962,62359,1.43,0.020847031,0.084991741,0.04329768,0.081784506,9.749995991,0,0,0,1.324588271,73.55955035,10.89978993,0.010822356,0.000237618,52668,95.77590547
Bird Island,BI10,BI10.01,ACE_ITRAX_43,4.2,4.2,4.2,1.2,7.63,1,TRUE,24893,61204,1.26,0.006535521,0.058819685,0.034311483,0.11763937,9.027187766,0,0,0,1.444350042,73.93797791,10.75910071,0.011228243,0.000237754,51838,95.39738849
Bird Island,BI10,BI10.01,ACE_ITRAX_44,4.3,4.3,4.3,2.8,7.65,1,TRUE,24627,60990,1.29,0.018035744,0.045909165,0,0.065584522,8.809640925,0,0.049188392,0,1.670765699,73.72192163,10.83784227,0.01115309,0.000241039,51573,95.23028247
Bird Island,BI10,BI10.01,ACE_ITRAX_45,4.4,4.4,4.4,4.4,7.65,1,TRUE,24719,60892,1.29,0,0.072259082,0.011495763,0.034487289,8.735137621,0,0,0,1.290809959,74.9146029,10.83065099,0.011359303,0.000237426,52212,95.90104033
