"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ca","Ca_sd","Ca_ICP","Ca_ICP_sd","Ca_fit_OLS","Ca_lwr_OLS","Ca_upr_OLS","Ca_fit_WLS","Ca_lwr_WLS","Ca_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,-4.24120138342842,-0.424120138342842,9.89755861456796,1.28668261989383,9.58068158908624,8.72533926783088,10.4360239103416,9.57328803343433,8.80885218484764,10.337723882021
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,-4.2950178836979,-0.42950178836979,9.70988201501923,1.2622846619525,9.54865542613219,8.69341753023046,10.4038933220339,9.54219643645269,8.76941613681315,10.3149767360922
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,-4.43119643834511,-0.443119643834511,9.28021534016808,1.20642799422185,9.46761566025851,8.61259422918577,10.3226370913313,9.46352151858491,8.66959863486555,10.2574444023043
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,-4.35106472948076,-0.435106472948076,9.72426031579214,1.26415384105298,9.51530198606985,8.66016147514302,10.3704424969967,9.50981629407169,8.72833905026228,10.2912935378811
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,-4.49283231692321,-0.449283231692321,9.9145902716101,1.28889673530931,9.43093619055546,8.5759902096288,10.2858821714821,9.42791240452577,8.62440779219847,10.2314170168531
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,-4.52188697880531,-0.452188697880531,9.78416517770489,1.27194147310164,9.41364578089762,8.55873049703464,10.2685610647606,9.411126551987,8.60310263294808,10.2191504710259
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,-3.36142662337259,-0.336142662337259,10.1799865573056,1.32339825244972,10.1042349544542,9.24567384312947,10.9627960657789,10.0815634162129,9.45243388573462,10.7106929466912
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,-3.67904209889313,-0.367904209889313,10.1912024835731,1.3248563228645,9.91522219954047,9.0581509680492,10.7722934310317,9.89806630453586,9.22036272183789,10.5757698872338
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,-4.28919743499989,-0.428919743499989,9.86126439246674,1.28196437102068,9.55211917122031,8.69687049703036,10.4073678454103,9.54555910485856,8.77368159406711,10.31743661565
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,-4.72397534993142,-0.472397534993142,9.91711791563794,1.28922532903293,9.29338312776343,8.43859500449251,10.1481712510343,9.29437332280514,8.4548727169826,10.1338739286277
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,-4.62403703273255,-0.462403703273256,9.66008641612313,1.25581123409601,9.35285635281407,8.49802421926816,10.20768848636,9.35211104015597,8.52818566479654,10.1760364155154
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,-3.57677134147811,-0.357677134147811,10.0762156892767,1.30990803960597,9.97608345818805,9.11857280459064,10.8335941117855,9.95715155081967,9.29512761505669,10.6191754865826
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,-4.68839549445999,-0.468839549445999,9.90005448028148,1.28700708243659,9.31455667571812,8.45975711803208,10.1693562334042,9.31492899850763,8.48097544256894,10.1488825544463
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,-4.98261578455332,-0.498261578455332,9.95690713013051,1.29439792691697,9.13946637984725,8.28462066177397,9.99431209792054,9.14494807002666,8.265062553144,10.0248335869093
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,-4.72625856359332,-0.472625856359332,9.62298459446366,1.25098799728028,9.29202438885568,8.43723683949323,10.1468119382181,9.2930542337034,8.45319759169882,10.132910875708
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,-5.11381102033116,-0.511381102033116,9.69417491662022,1.26024273916063,9.0613921836662,8.20642269151033,9.91636167582208,9.06915218258898,8.16874298477409,9.96956138040388
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,-5.02784241875959,-0.502784241875959,9.59664303830568,1.24756359497974,9.11255204038444,8.25767084085354,9.96743323991534,9.11881912673723,8.23186129496108,10.0057769585134
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,-4.45072772345497,-0.445072772345497,9.86948843903248,1.28303349707422,9.4559926056842,8.60099660297868,10.3109886083897,9.45223764018091,8.65527929037586,10.249195989986
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,-4.2418700282313,-0.42418700282313,9.69919628002116,1.26089551640275,9.58028367901576,8.72494272079013,10.4356246372414,9.57290173490821,8.808362249772,10.3374412200444
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,-5.20590302117297,-0.520590302117297,8.6009081215736,1.11811805580457,9.00658829617898,8.15149392014947,9.8616826722085,9.01594754532962,8.10111763995827,9.93077745070097
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,-4.93477592436769,-0.493477592436769,9.55465674419412,1.24210537674524,9.16793584832499,8.31311943061256,10.0227522660374,9.17258676160083,8.30017893284209,10.0449945903596
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,-4.89695423496941,-0.489695423496941,9.50894465211324,1.23616280477472,9.19044351013506,8.33564426665916,10.045242753611,9.19443761994442,8.32793913692806,10.0609361029608
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,-5.01912496105932,-0.501912496105932,9.56477237079309,1.2434204082031,9.1177397935727,8.26286602147068,9.97261356567471,9.12385549439703,8.238261085333,10.0094499034611
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,-4.75718705168782,-0.475718705168782,9.39204429390632,1.22096575820782,9.27361886648472,8.41883719187345,10.128400541096,9.27518580892159,8.43050542650638,10.1198661913368
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,-4.37381785621758,-0.437381785621758,9.85249573006977,1.28082444490907,9.50176161571989,8.6466573287121,10.3568659027277,9.49667104971298,8.71166124908856,10.2816808503374
