"Site","depth","SH20_mean_age","SH20_mean_95CI","K","K_ICP","Ca","Ca_ICP","Ti","Ti_ICP","Mn","Mn_ICP","Fe","Fe_ICP","Zn","Zn_ICP","Rb","Rb_ICP","Sr","Sr_ICP","Zr","Zr_ICP","Mo_inc","Mo_coh","inc_coh","coh_inc","Dry_mass","Ti_ICP_pred","Ca_ICP_pred","Sr_ICP_pred","Zr_ICP_pred"
"BI10",187,2729,248,-8.16393604546639,8.44295623026687,-5.12807167048608,8.89407516616314,-6.78629974708961,6.49373313857842,-7.05959308208929,4.21641311097253,-1.13225571216098,10.2056468348869,-7.42035801127955,4.87346269211726,-7.52845450675625,2.53951583785195,-4.57183336331889,4.77825533569965,-3.9167964016282,2.5072203846847,0,-1.84548064468185,6.33712958646025,0.157959376627689,15.38,6.49179657317291,9.08492124248678,4.89803335500112,2.2095342207378
"BI10",192.8,2816,256,-6.71370092777789,7.76969406334424,-5.05119514073776,8.67703049899777,-6.50971787420275,5.45908540315205,-7.13017532139442,3.74336890123433,-0.551452129040968,11.1610073177993,-6.55850803837218,4.50289445769973,-6.27395585892933,0.937504569219371,-4.70221004800656,4.45197816032173,-3.93974452809674,1.66302015698533,0,-1.80768748376822,6.09934667092204,0.164053074465552,16.86,6.55364438267981,9.05366426382536,4.85126288526112,2.26002286894969
"BI10",206,3085,299,-7.11734249209311,9.97429867813009,-4.44927004738588,8.81944482295733,-6.14840802673354,7.16489785567465,-6.52918052225133,5.07847074812285,0.317272020431324,11.5829680732906,-4.8269941255475,5.5435494853072,-6.15097542223878,3.24673919028029,-4.54308111700596,4.71158837101642,-3.95632484889774,2.81065610951069,0,-1.72995365354064,5.64056009711068,0.177411935371199,14.36,6.45941313164568,9.21595348348904,5.05774214800008,1.82210812943571
"BI10",217.5,3305,291,-7.80002239130764,8.24544140403268,-5.13087166981916,9.04275541013175,-6.66396730515575,6.06475341401157,-6.43350053745561,4.29914195414763,-0.55820742210967,10.7399098377358,-4.43605573626454,5.98913459362323,-6.76354188374653,1.81634223887534,-4.52128765230189,4.91382516980409,-3.92669011901507,2.10470426928473,0,-1.82717894086248,6.21843648888541,0.160917065838376,16.4,6.59016600109302,9.0944384672831,4.89339642015232,2.28705147297721
"BI10",230.9,3561,213,-7.68216799940964,7.68696428760279,-4.74364911646793,8.88158935590362,-6.82755384433176,5.96528436687479,-6.83955398833487,3.9379798934123,-0.724448346046304,10.2519418682607,-7.17602622495608,3.88038413127622,-7.15649980260572,1.51177886706363,-4.58266525870194,4.76039101129108,-3.87374174926094,2.23522678473759,0,-1.85062816859371,6.36472744431728,0.157220291280267,18.76,6.24178209469774,9.17703886197172,5.04155772079572,1.84632365943419
"BI10",241.1,3684,163,-8.96359283943533,7.86389680277594,-5.1612820780224,8.78336639404459,-7.04937842119014,5.70811785330651,-6.91775562844518,4.17148780111106,-0.520414963103981,11.1310995537805,-6.01673694066335,5.44675605037117,-7.45315004879197,1.11103113030599,-5.05341060765167,4.55468304015441,-3.94221090024099,1.60644830641208,0,-1.83137993039004,6.24475670694282,0.160195734816227,15.42,6.10813557890023,8.93361425571063,4.78872689492017,1.92507575449874
"BI10",253.2,3756,160,-8.32552408206177,7.67796018952221,-5.34906730203611,8.73889307890912,-7.04459023659971,5.84232466067732,-7.25768345206042,3.71531404759859,-1.81712081610431,10.076597018011,-10.5410977980662,3.39481742260259,-6.1843889713766,1.61479095490272,-5.06184872901325,4.6180169814012,-3.87181123650101,2.01851259896874,0,-1.87227137866145,6.50631130839066,0.153779594188589,15.55,6.28577956973517,8.9164426113202,4.72726571969821,2.32513535741514
"BI10",267.5,3839,157,-8.61834988337598,7.66667152621659,-5.05922744122627,8.95819998038147,-7.26190848540577,5.44809059788394,-7.03876493409156,4.04078412348808,-0.64848359264496,10.9810035594278,-5.50876385230549,5.75633802213369,-7.45336252576299,0.993016131174853,-5.00902306096399,4.78497007688671,-3.98719666953493,1.77172983009664,0,-1.83535782732652,6.26873508086173,0.159566969577028,14.32,5.88198186856108,8.95356231167744,4.85968678559477,1.53331085482139
"BI10",278.4,3910,155,-8.14338508534551,7.57172873989672,-5.20409412269647,8.73175704697569,-7.01277006559122,5.42676694384413,-6.91531472944051,3.67060434951071,-1.12703063836722,10.8172296000719,-4.76299896956575,5.32432084591847,-7.1004975185155,0.920959690503753,-4.89787524590234,4.60353110603016,-3.86773574323454,1.68018858520275,0,-1.86346132881053,6.4507082149104,0.155181694049374,15.14,6.28649102454778,8.99462901173035,4.81890781800554,2.21227181831348
"BI10",294.3,4041,202,-8.85244413117951,6.46638202796067,-4.94887783576959,8.81367998812089,-6.87447204966453,5.57555303267531,-6.68288930326254,4.01830325933705,0.00236099802895215,11.1987648930042,-4.54270526388943,5.32820545194857,-7.44445694544836,1.2087273610862,-4.6094779306093,4.70471429278773,-3.98423514444203,1.87056396786785,0,-1.77215185052446,5.8832455637648,0.170039656773375,18.81,6.24597167475699,9.08878941211745,4.95538724348004,1.75760988863774
