Location,Site,Section,sample,min_depth,max_depth,midpoint,SH20_age,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_coh,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_coh_sd,coh_inc_sd,water_content_pc,water_content_err,dry_mass_pc,dry_mass_err,density_gcm3,density_gcm3_err,P_ICP,P_ICP_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,As_ICP,As_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,Pb_ICP,Pb_ICP_sd,Th_ICP,Th_ICP_sd
Bird Island,BI10,BI10.2,67,70.1,71.2,70.6,1100.566667,23119.33333,56701.33333,1.278333333,-7.459112176,-4.708701764,-6.976449557,-6.946989285,-3.037697317,-6.495795437,-5.270266053,-5.621760754,-5.874653645,-6.831761152,-4.561376219,-3.860771708,-1.886162276,-1.886162275,-7.931486565,-6.507366592,-7.974711177,-7.707043377,-4.791751191,-7.153749624,-7.350765841,-7.04608827,-6.623311708,-6.702851335,-6.223695187,-5.669532826,-5.828975856,-5.828975895,77.0153216,3.85076608,22.9846784,2.29846784,0.313261892,0.031326189,8.219387753,4.306478391,8.957588582,7.606107268,9.114377546,3.829554977,7.273786889,2.40046354,4.48256118,-1.910044771,8.739210768,2.717220949,1.403362315,-3.711548466,1.785103665,-2.674710889,3.599795132,-1.105433151,5.566952631,0.901039062,2.08844873,-2.646043603,3.413203773,-1.361228944,5.124204491,0.670393547,3.415224303,1.193623884,1.501400574,-2.556277895,0.93870751,-3.084199335
Bird Island,BI10,BI10.2,71,74.7,75.8,75.2,1174.816667,22181.16667,53873,1.321666667,-7.757445037,-5.152808923,-6.897942156,-6.960132376,-3.02641375,-6.075295484,-5.22642249,-5.376733052,-8.184890248,-7.007683019,-4.628286267,-3.861058443,-1.897799599,-1.8977996,-8.241317191,-6.91381906,-7.93773564,-8.156675803,-5.197030354,-6.99937397,-7.197691623,-6.847379144,-7.647955729,-6.671019033,-5.957036495,-5.762653468,-6.118675387,-6.118675397,76.84431418,3.842215709,23.15568582,2.315568582,0.303477386,0.030347739,8.177126409,3.972270974,7.587472448,6.59085933,8.798830859,2.530005411,6.135380783,1.418641215,3.839451494,-1.593263501,8.214682164,3.358318519,0.713556964,-4.423559632,1.898255153,-3.02013612,3.528245342,-3.683120668,4.944958392,-0.707505577,2.375812557,-2.473083266,2.053546607,-2.1563338,4.744930521,0.424757633,3.08978528,-0.650249189,1.456023596,-3.083295155,0.21017555,-4.080141702
Bird Island,BI10,BI10.2,81,86.5,87.5,87,1349.672727,22325.90909,53674.81818,1.295454545,-8.069112843,-5.243240405,-7.275514563,-6.862532419,-3.200680509,-6.323575816,-5.264410346,-5.479344497,-6.337687568,-6.634957931,-4.645146252,-3.852260821,-1.903108998,-1.903108998,-8.184177099,-7.286936096,-7.889184744,-7.944617587,-4.974703707,-6.680563533,-6.889407224,-6.725286961,-6.86299577,-6.968642158,-5.984356123,-6.061898005,-5.314746339,-5.314746322,75.82326542,3.791163271,24.17673458,2.417673458,0.301310001,0.030131,8.153104771,4.580702016,9.572179446,8.206258087,9.200857974,4.117395592,7.694996571,3.216498842,4.83236729,0.210621932,8.745857,3.662177346,0.89182139,-4.562483371,1.851257046,-3.923582055,3.679101434,-1.865871007,4.212387084,-1.975000456,1.708538563,-4.080887259,3.916356428,-0.35125628,5.346617587,0.966617242,3.669950739,0.126860282,1.583452569,-3.013576723,1.357600966,-3.498142605
Bird Island,BI10,BI10.3,88,84.8,85.8,85.3,1324,21329.45455,51592.63636,1.240909091,-9.182482238,-5.194620596,-7.43979748,-7.531482937,-3.599329274,-6.600380532,-5.227632245,-5.745448663,-6.979691579,-6.71247142,-4.666784705,-3.792406883,-1.897712793,-1.897712792,-9.111892898,-7.459018004,-7.73585528,-7.899901249,-5.957722668,-7.042561511,-7.706883694,-7.06944127,-6.923974981,-6.385300174,-6.20523898,-6.629415703,-5.478666132,-5.478666125,83.3768962,4.16884481,16.6231038,1.66231038,0.184247026,0.018424703,8.257918721,4.351051457,8.03772748,6.890144122,8.8791575,4.246607614,6.354009221,0.866841361,4.046986047,-0.534911896,8.230514718,2.469446142,0.956002135,-3.603033666,1.777027584,-3.040226774,3.611230684,-0.852913741,4.174919143,-1.249761983,2.158960301,-2.377777327,2.587956309,-3.764408368,4.874905946,-0.340358867,2.590546946,-1.71277684,1.323102994,-3.105440583,0.304027805,-3.976103072
Bird Island,BI10,BI10.3,95,93,94,93.5,1444.545455,21085,51886,1.319090909,-7.251353883,-5.055500193,-5.91246639,-6.569465885,-2.49227356,-6.452712627,-5.245164512,-5.944879885,-8.741690408,-5.854592902,-4.039317698,-3.820015956,-1.855059113,-1.855059114,-7.675012116,-6.715879234,-6.204093157,-7.32583779,-4.013239092,-6.885808248,-7.143397421,-6.308140132,-8.350284599,-6.085468905,-4.70518101,-5.820368358,-5.057171,-5.057170985,84.50687591,4.225343795,15.49312409,1.549312409,0.169763258,0.016976326,8.107399848,4.942779369,8.050065933,6.852111166,8.814719692,2.640003076,6.406919338,0.986831546,4.099327369,-0.563781745,9.340557183,4.5340315,1.748332988,-2.666804554,1.962918798,-2.707977359,3.226963318,-2.48722184,4.276288324,-0.255802626,1.991607452,-2.06241017,2.330599146,-2.979420674,4.786385014,0.727805381,2.636235481,-0.95229532,1.538071265,-2.972448458,0.115524611,-6.200971994
Bird Island,BI10,BI10.3,98,96.3,97.3,96.8,1492.281818,20358.09091,49648.18182,1.288181818,-6.838545922,-5.150809959,-6.127254298,-6.485713881,-2.486459932,-5.975804592,-5.150549247,-5.951064942,-7.999901768,-5.276335399,-3.957398997,-3.737503217,-1.812400248,-1.812400248,-7.356156983,-6.852662653,-7.488615571,-7.634326876,-4.761869427,-6.764830309,-7.164215057,-6.840098889,-7.052889521,-5.740547114,-5.488303772,-5.865515915,-5.339634036,-5.33963405,72.65882601,3.6329413,27.34117399,2.734117399,0.345133732,0.034513373,8.021747861,4.538993886,8.021130851,6.762202711,8.795637625,4.188050421,6.332786952,1.124175251,3.989329742,-0.863482088,8.864092645,4.162701406,1.290119484,-3.981880233,1.767793884,-3.190369129,2.934614483,-2.464956963,3.732868787,-1.409873796,1.619202193,-2.939570055,2.271544681,-1.591044837,4.722121479,-0.069610164,2.571192336,-1.125583675,1.438643151,-4.709896458,-0.00722148,-5.286315478
Bird Island,BI10,BI10.3,104,103.2,104.2,103.7,1595.6,23485.90909,56468.36364,1.455454545,-7.693413057,-5.140846821,-6.533957021,-6.756525326,-3.293251657,-6.513518936,-5.303621034,-6.041035032,-7.441154088,-6.593229821,-4.374094239,-3.861100804,-1.907991806,-1.907991807,-7.764989322,-6.66359263,-6.326685865,-8.43588247,-4.33660945,-7.299617048,-7.754352788,-6.939383128,-7.288064315,-6.415513695,-5.758446962,-6.067252721,-5.895360399,-5.895360377,83.17025225,4.158512612,16.82974775,1.682974775,0.191025979,0.019102598,8.112522298,4.094552739,7.26163414,6.4249457,8.86638463,4.109916293,6.089253688,1.926886204,3.858788073,-0.208431217,7.594508365,3.314387735,0.328791245,-4.255150841,1.519186462,-3.80810187,2.964972371,-2.6048693,3.822720036,-1.36731273,1.532145547,-3.022901744,1.835218073,-2.344705294,4.845287051,-1.118944665,2.433247075,-1.474128284,1.554434492,-3.933429805,-0.015682391,-4.360131688
Bird Island,BI10,BI10.3,114,114.9,115.9,115.4,1769.918182,23787.45455,60059.36364,1.378181818,-8.457492004,-5.338801554,-7.227757726,-7.156247145,-1.795538709,-5.749351409,-5.238021896,-5.753753742,-9.490606918,-7.167615701,-5.262390476,-3.88949864,-1.897168076,-1.897168075,-8.495223224,-7.250895891,-7.590111529,-8.096240092,-3.909244818,-6.722408783,-7.253118152,-6.818905453,-9.152774849,-6.868374829,-6.198060387,-6.241545568,-5.849009783,-5.849009771,86.15563506,4.307781753,13.84436494,1.384436494,0.27542932,0.027542932,8.436036986,5.134541732,7.448147689,6.353074684,8.628074483,4.1592874,5.871259539,0.578697289,3.658762553,-2.501504703,9.673617682,1.683445868,0.434258578,-4.005882962,1.755117179,-4.022410692,3.740101344,-2.284402228,3.578008705,-2.084137382,1.692688907,-2.705704489,1.798036837,-3.163074984,4.547633676,0.390914587,2.096643109,-1.657172179,1.343219678,-3.444709429,-0.144013772,-5.164987719
Bird Island,BI10,BI10.3,120,121.8,122.7,122.3,1872.71,23463.2,55879.5,1.243,-8.567888633,-5.459411321,-7.877215289,-7.413455286,-3.404377204,-6.783856245,-5.259243896,-5.564238508,-6.959186583,-6.795673804,-5.724653485,-3.843187324,-1.920337918,-1.920337918,-8.480523203,-7.650891704,-8.193888508,-7.74743289,-4.387006946,-7.071325525,-7.364625847,-6.992184213,-7.280935021,-6.53286956,-6.624848902,-6.744072903,-5.564136854,-5.564136827,87.78918391,4.389459195,12.21081609,1.221081609,0.151943562,0.015194356,8.410261821,4.513666439,6.526826575,5.799965383,8.584875349,4.480160583,5.262502143,0.821645978,3.469486612,-1.318616909,8.351849857,3.720954227,-0.298646648,-4.418642073,1.877134091,-2.897999993,4.140955647,-0.566629701,4.466231224,0.035937356,2.573199089,-1.822009161,0.952679147,-3.824634575,4.519042965,-0.901140282,1.743367037,-2.219452064,1.62781723,-3.892625951,-0.409033821,-5.628847652
Bird Island,BI10,BI10.4,135,129.4,130.4,129.9,1986.590909,23205.09091,65119.72727,1.433636364,-8.591320404,-5.153746689,-6.856883929,-6.754305356,-0.915518314,-5.378054001,-5.279350098,-5.487370273,-6.075916158,-7.764686044,-4.995238289,-3.882560716,-1.848784746,-1.848784744,-8.496961198,-7.221871221,-7.319928491,-7.544646578,-3.254140082,-6.40562111,-6.81226932,-6.896438118,-6.634189009,-7.459124977,-6.02165072,-6.195299207,-5.930363934,-5.930363979,83.20307613,4.160153806,16.79692387,1.679692387,0.198138286,0.019813829,7.968423955,4.222919255,7.403298781,6.389709709,8.638926677,4.533998778,5.995270174,1.652429704,3.625065478,-1.149586872,8.012808536,2.749827493,0.001918717,-6.023944765,2.248086211,-3.503776868,4.348073956,-1.66478812,4.837444872,0.434877126,2.433496309,-2.094669826,1.939443132,-2.368131898,4.613116375,0.025275726,2.371499498,-1.052868228,1.376659817,-3.447878004,-0.150741892,-5.79507146
Bird Island,BI10,BI10.4,145,141,142,141.5,2162.972727,23972.81818,57889.27273,1.315454545,-8.543590627,-5.378833545,-7.48005937,-7.279909155,-2.797072457,-6.524513395,-5.23590819,-5.575590899,-5.401101578,-7.518497149,-4.710223656,-3.818417798,-1.903318071,-1.903318071,-8.761871462,-7.338158899,-7.682855741,-7.836554729,-4.625439144,-6.560457473,-6.959830847,-7.0109981,-6.803902049,-7.178226969,-6.18801118,-6.335376745,-5.689222356,-5.68922231,85.1918684,4.25959342,14.8081316,1.48081316,0.272975891,0.027297589,8.183953058,4.364202257,8.596516636,7.032671095,8.610363959,2.902131942,6.259634069,0.625871991,3.947620451,-2.996484677,10.5121855,5.175645282,1.326821161,-3.003790252,1.967874549,-3.4831463,3.704959677,-1.97316695,3.610817682,-1.218525202,2.042721968,-3.019548604,2.281060411,-2.820044203,4.513623839,-0.357031769,2.269500826,-1.708559867,1.482097579,-3.263349609,-0.152110007,-5.15129627
Bird Island,BI10,BI10.4,155,152.7,153.8,153.2,2335.408333,23105.16667,59388.66667,1.445,-9.19759933,-5.530233462,-7.526482685,-7.009346596,-1.708798207,-5.143486468,-5.213853769,-5.359552732,-4.811641508,-7.452039535,-5.283877346,-3.83812702,-1.862895602,-1.862895601,-8.630318201,-7.505479893,-8.043971942,-7.722906978,-3.151969244,-6.348223826,-6.847444846,-6.779882759,-6.154303148,-7.034744004,-6.075074343,-5.927618022,-5.523652466,-5.523652486,83.66949487,4.183474744,16.33050513,1.633050513,0.185787318,0.018578732,8.032648421,4.239800236,8.629573973,7.321501501,8.769699366,4.310113661,7.04706218,2.998570023,4.416430744,0.095350908,8.711906131,4.508997095,0.223606918,-5.699902113,1.843284938,-3.820949104,4.213439745,-0.991264886,4.977744039,0.416448222,1.679821203,-3.027332833,3.035576776,-1.293759575,4.79591699,0.039170547,4.062899867,1.866165217,0.974760242,-3.562918641,0.670716739,-4.974383262
Bird Island,BI10,BI10.4,165,164.8,165.8,165.3,2517.272727,22003.36364,55622.63636,1.340909091,-7.46838244,-4.883225927,-6.241400533,-6.759992299,-1.932890034,-6.003552307,-5.190019176,-5.550710295,-5.910836454,-7.648823876,-4.75102726,-3.847792578,-1.873572475,-1.873572475,-7.209401009,-6.91043121,-6.485147328,-7.697981529,-2.550591306,-6.596932091,-7.068922814,-6.493438932,-6.34038836,-7.201384257,-6.387704898,-5.849601068,-5.732965518,-5.732965546,84.59367774,4.229683887,15.40632226,1.540632226,0.216122062,0.021612206,7.584689098,3.854786363,7.938952038,6.371748551,8.638156169,3.859687644,5.536358671,1.511993497,3.757374112,-0.356881048,10.80058461,6.401029508,2.81930262,-2.229465523,2.785444779,-3.452511382,4.064186308,-0.86849302,4.997875086,-0.484182057,3.174072167,-2.770974666,1.44930277,-2.970261369,4.44731159,0.457205785,1.620829312,-2.155906223,1.146302955,-4.388567741,-0.562040195,-6.002891992
Bird Island,BI10,BI10.4,168,168.4,170,169.2,2576.011765,23517.94118,58045.35294,1.348823529,-7.94288164,-5.243287125,-6.667178526,-6.682521008,-2.029431077,-6.102113566,-5.235597011,-5.793171103,-6.412103977,-6.76162186,-4.916195307,-3.950011913,-1.880932893,-1.880932893,-8.322146958,-7.202993439,-7.012399149,-7.942389246,-4.613113375,-6.589318365,-7.091378434,-6.846023968,-6.773854324,-6.777260513,-5.96904778,-6.027930808,-5.340426112,-5.340426126,81.40480554,4.070240277,18.59519446,1.859519446,0.204376401,0.02043764,7.435281972,3.522936304,9.953393051,8.314022094,8.779557727,5.056383665,7.361727356,2.19334013,5.391026411,0.451899996,10.85716707,6.451266652,2.65068074,-1.986420591,2.508893399,-0.990654825,3.526652269,-0.369667763,4.998578371,0.181494622,2.716121703,-2.344658756,3.765055126,-0.596639562,4.797532964,0.348786965,2.827719444,-0.935962562,0.850496601,-3.591404165,0.831101887,-3.775896402
Bird Island,BI10,BI10.5,181,174.6,175.6,175.1,2667,23704.54545,59517.81818,1.359090909,-7.385971857,-5.179277768,-6.552134814,-7.104211415,-1.805355183,-5.701431061,-5.158551357,-5.569677741,-5.957715444,-7.197847478,-4.831411473,-3.846268908,-1.855233238,-1.855233239,-7.362251156,-6.7885918,-6.976072765,-7.931949671,-3.80846859,-6.815409042,-7.35481075,-7.107919167,-6.772358512,-7.17618341,-5.846383428,-5.879654448,-5.995789839,-5.995789811,85.61977529,4.280988764,14.38022471,1.438022471,0.155714357,0.015571436,7.920347553,4.31808133,7.125796965,6.081563636,8.728572459,4.122919788,5.427351666,0.966479451,3.717777568,-1.778265648,10.43785559,5.195126237,1.912711248,-2.792448647,2.144132106,-1.995372519,3.446682196,-1.03233236,4.278251253,-3.593495968,2.547124992,-1.718194332,0.941773671,-3.110397769,4.557245096,0.25054418,1.640348392,-1.817559443,0.355847219,-3.611927857,-0.831103586,-6.699147259
Bird Island,BI10,BI10.5,191,186.6,187.6,187.1,2847.454545,21510,58730.81818,1.32,-8.388273141,-5.10791455,-6.771675045,-6.931947096,-1.138398451,-5.146485573,-5.289750721,-5.436506404,-7.46967192,-7.605470068,-4.501174744,-3.911845376,-1.846694053,-1.846694053,-8.367441631,-6.629680277,-7.597700967,-7.442140166,-2.954292144,-6.375331579,-6.800878928,-6.450163077,-7.318623485,-6.609559399,-6.144196319,-6.060127178,-5.260162517,-5.260162496,79.80943744,3.990471872,20.19056256,2.019056256,0.281645054,0.028164505,7.467324298,3.656398834,9.335893336,7.869624693,8.714904941,4.599801573,6.819533443,2.840424466,4.807186669,0.331048087,10.27900789,5.48800172,1.716033455,-3.210406095,1.726975274,-2.837766885,3.366387803,-1.62716197,4.540272745,-1.368841386,1.771662303,-3.451367844,3.179659322,-1.103842472,4.780424197,1.084337082,2.766188296,-1.492280499,0.898215061,-3.623584419,0.472267692,-4.627343712
