"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Sr","Sr_sd","Sr_ICP","Sr_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.0176094833102687,0.00904827624178977,119.867266,2.07053159,146.448439095532,46.5331986472836,246.363679543781
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.0191127620564795,0.00413485188176434,112.4064678,0.932757371,150.532223645692,50.6033005328108,250.461146758573
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.0125995492496775,0.00315600919756304,127.1397723,0.326624311,132.838527184299,32.9295203057862,232.747534062811
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.0051829002994664,0.00203337076714229,94.40874214,1.478332239,112.690569612776,12.6796392320013,212.701499993551
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.00326448427288932,0.00132698091942482,91.74775016,0.40610632,107.479029337986,7.42017370822943,207.537884967743
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.00677010766219123,0.00242566219981972,100.7977844,1.025597866,117.002353386832,17.0243822192359,216.980324554428
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.00900276383834864,0.0020539075467269,91.25190224,0.699750267,123.067553750365,23.1256757910036,223.009431709726
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.00507272390563791,0.00229947522919198,121.0153008,1.039947828,112.391266069742,12.3778228087479,212.404709330736
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.00864281222894853,0.00168211239396993,85.39705279,1.57965392,122.089714593802,22.1428297929316,222.036599394673
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.00732695469711492,0.00255667477594366,121.2110164,1.417347214,118.515075710456,18.5472306201562,218.482920800757
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.00797525646028174,0.00289033337600185,95.32051892,1.284724348,120.276242580496,20.3192456711218,220.233239489871
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,0.0110959539773088,0.0021458998187589,119.1548845,2.957478603,128.753882763915,28.8349302586833,228.672835269146
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,0.00574148523317115,0.00207542610765639,121.5336821,2.37450858,114.208013086227,14.2093734342129,214.206652738242
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,0.00722681156795509,0.00264048338023261,118.8967341,1.10170535,118.243028384105,18.2734172997537,218.212639468457
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,0.00957367706643069,0.0015186458602062,85.79649547,1.323999276,124.618488083868,24.6839108335397,224.553065334195
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,0.00969455708191104,0.00334526416982509,111.2286921,1.368956728,124.946868925336,25.013736653952,224.880001196719
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,0.00961783290329192,0.00199288287150987,136.1592518,2.420949669,124.738441169633,24.8043958348663,224.672486504399
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,0.0110111570387596,0.00252179358411905,116.7915838,1.35786783,128.523524669369,28.6038487992318,228.443200539507
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,0.00508194262976325,0.00138990583273805,95.07661499,0.69914278,112.416309517772,12.4030776349014,212.429541400642
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,0.00774893850854377,0.00215319195220763,101.292967,0.811859205,119.661430618935,19.7007617189823,219.622099518888
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,0.0054197294871059,0.00193612934713782,119.6977813,1.823339563,113.33393624052,13.3283085609591,213.339563920081
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,0.00755306142387841,0.00283577734931086,99.83622626,1.333664845,119.129313861412,19.1653672520212,219.093260470804
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,0.00869901822406155,0.00281177396177845,110.4667193,1.25507819,122.242402959182,22.2963205455368,222.188485372827
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,0.0098369053945973,0.00214151959129299,95.05242503,0.168162163,125.333570221788,25.4020943834913,225.265046060085
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,0.0167614064125253,0.00225649011410719,109.9097917,0.96047458,144.144566083903,44.234639448653,244.054492719153
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,0.0118882644736727,0.00255859640210189,92.99111859,0.763475857,130.906261603924,30.9932297190049,230.819293488843
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,0.0107304065870505,0.00424467648357912,54.97448254,0.904111945,127.760842192796,27.838647589611,227.683036795981
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,0.0154053324286617,0.00267401344814189,53.58134359,0.512470791,140.460675788684,40.5556398191608,240.365711758207
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,0.0121652489223572,0.00238987849620793,126.2966844,0.909448982,131.658713413027,31.7473940466639,231.57003277939
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,0.0173518339064194,0.002587178056214,152.5618881,1.310436979,145.748512579941,45.8350700034747,245.661955156408
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,0.0247979460476785,0.00722946665329245,138.0986394,3.800967424,165.976509415442,65.9465941489772,266.006424681906
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,0.0168071581543142,0.00227995034889102,172.6424549,2.126521142,144.268854581117,44.3586855618057,244.179023600428
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,0.0199632457140368,0.00471063382943779,142.7753473,1.931616323,152.842634825022,52.9035568379866,252.781712812058
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,0.0198823887522324,0.00292871260719781,129.6985539,0.996133225,152.622980012352,52.6849424864948,252.56101753821
