"Location","Site","Section","sample","min_depth","max_depth","midpoint","Co","Co_sd","Co_ICP","Co_ICP_sd","Co_fit_OLS","Co_lwr_OLS","Co_upr_OLS","Co_fit_WLS","Co_lwr_WLS","Co_upr_WLS"
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,-6.11871887745151,-0.611871887745151,0.452901808186733,0.0317031265730713,1.0760943627054,-0.489631014908312,2.64181974031911,1.0712524963189,-0.546788853382227,2.68929384602002
"Kerguelen","KER1","CAT1-S1-1A",17,24,25.5,24.7,-5.29875513051572,-0.529875513051572,1.94399248637215,0.136079474046051,1.94366455645275,0.377147086263577,3.51018202664192,1.9505587687974,0.459310849234658,3.44180668836013
"Kerguelen","KER1","CAT1-S1-1A",20,28.6,30,29.3,-6.02495914937752,-0.602495914937752,1.73506945096789,0.121454861567752,1.17529770645667,-0.390195993238186,2.74079140615152,1.17179781592532,-0.43145160466416,2.77504723651479
"Kerguelen","KER1","CAT1-S1-1A",23,33,34.4,33.7,-4.87244647121766,-0.487244647121766,2.93837166492111,0.205686016544478,2.39472435943249,0.825284602187569,3.96416411667741,2.40772029518624,0.979819038057558,3.83562155231492
"Kerguelen","KER1","CAT1-S1-1A",25,35.9,37.2,36.6,-4.99037143532498,-0.499037143532498,1.95218928935567,0.136653250254897,2.26995276515095,0.701492630086098,3.83841290021581,2.28126084986458,0.836033710301123,3.72648798942803
"Kerguelen","KER1","CAT1-S1-1A",26,37.3,38.7,38,-4.89561713626097,-0.489561713626097,2.70295601172449,0.189206920820714,2.37020842389753,0.800971468797786,3.93944537899728,2.38287271968523,0.951579548388011,3.81416589098244
"Kerguelen","KER1","CAT1-S1-1A",27,38.8,40.1,39.4,-4.725655299114,-0.4725655299114,2.81224918544364,0.196857442981055,2.55003811092246,0.979196466379451,4.12087975546547,2.56513505755539,1.15857766314469,3.9716924519661
"Kerguelen","KER1","CAT1-S1-1A",28,40.2,41.6,40.9,-4.60933851389642,-0.460933851389642,2.32067334767134,0.162447134336994,2.67310815671948,1.10101228516284,4.24520402827611,2.68986993665043,1.30004260351322,4.07969726978763
"Kerguelen","KER1","CAT1-S1-1B",36,45.1,46.2,45.6,-4.16182128289418,-0.416182128289418,2.99443504902196,0.209610453431537,3.14660788430719,1.56851048993273,4.72470527868165,3.1697749443206,1.842692885864,4.4968570027772
"Kerguelen","KER1","CAT1-S1-1B",40,50.7,52.1,51.4,-4.64943364636849,-0.464943364636849,2.96534302083889,0.207574011458722,2.63068513255883,1.05903589764202,4.20233436747564,2.64687303390894,1.25129741196606,4.04244865585182
"Kerguelen","KER1","CAT1-S1-1B",41,52.3,53.6,53,-4.21428862604664,-0.421428862604664,2.81492795477211,0.197044956834047,3.0910943286966,1.51379675387779,4.6683919035154,3.11351042761892,1.77921247704869,4.44780837818915
"Kerguelen","KER1","CAT1-S1-1B",46,59.9,61.2,60.5,-5.33682557900593,-0.533682557900593,1.88020469070175,0.131614328349123,1.90338376782504,0.337043887718996,3.46972364793109,1.90973308073666,0.41273567973236,3.40673048174096
"Kerguelen","KER1","CAT1-S1-1B",49,64.4,65.8,65.1,-5.27848542806889,-0.527848542806889,0.222856427698169,0.0155999499388718,1.96511110179662,0.398493492570024,3.53172871102322,1.97229543285037,0.484102755513046,3.4604881101877
"Kerguelen","KER1","CAT1-S1-1B",51,67.6,68.9,68.3,-5.61588571571493,-0.561588571571493,0.286994400809827,0.0200896080566879,1.60812162022823,0.0426651262418059,3.17357811421466,1.61047676663263,0.0709059141119643,3.1500476191533
"Kerguelen","KER1","CAT1-S1-1B",57,76.5,77.9,77.2,-6.10769199585062,-0.610769199585062,1.15659104054989,0.0809613728384924,1.0877614563332,-0.477932358084191,2.6534552707506,1.08307741686419,-0.533220659493836,2.69937549322221
"Kerguelen","KER1","CAT1-S1-1C",69,86.1,87.5,86.8,-6.95771319520003,-0.695771319520003,0.757653779625513,0.0530357645737859,0.18838869825118,-1.38310288688482,1.75988028338717,0.171538370021236,-1.58173613947029,1.92481287951276
"Kerguelen","KER1","CAT1-S1-1C",73,92.4,93.7,93.1,-6.58261266614336,-0.658261266614336,0.457321729697149,0.0320125210788004,0.585267267437372,-0.982826864810448,2.15336139968519,0.573785724544043,-1.11842385962274,2.26599530871083
"Kerguelen","KER1","CAT1-S1-1C",80,103.1,104.5,103.8,-6.16767241178034,-0.616767241178034,-0.0801177162366083,-0.00560824013656258,1.02429862488041,-0.541580764650255,2.59017801441107,1.0187560902812,-0.607035981975527,2.64454816253792
"Kerguelen","KER1","CAT1-S1-1C",86,112.2,113.6,112.9,-6.04526080799053,-0.604526080799053,0.0485498333875412,0.00339848833712789,1.15381734959686,-0.411719458797021,2.71935415799075,1.15002688297023,-0.456419448692539,2.756473214633
"Kerguelen","KER1","CAT1-S1-1C",93,122.9,124.1,123.5,-6.10944535892465,-0.610944535892465,0.0490047097243169,0.00343032968070218,1.08590629438546,-0.479792461919751,2.65160505069068,1.08119715916415,-0.535378047614187,2.69777236594249
"Kerguelen","KER1","CAT1-S1-1D",105,130.3,131.4,130.8,-6.37671667055437,-0.637671667055437,-0.0719578645234375,-0.00503705051664062,0.803117421730756,-0.763674574039891,2.3699094175014,0.794582852558755,-0.864512767007533,2.45367847212504
"Kerguelen","KER1","CAT1-S1-1D",108,134.6,135.8,135.2,-6.18756920181187,-0.618756920181187,-0.205215357367176,-0.0143650750157023,1.0032466429518,-0.56270182189778,2.56919510780139,0.997419327110521,-0.63152829491785,2.62636694913889
"Kerguelen","KER1","CAT1-S1-1D",110,137.6,138.8,138.2,-6.19392809368832,-0.619392809368832,-0.491860404187344,-0.0344302282931141,0.9965185588409,-0.569452771479636,2.56248988916144,0.990600228663941,-0.63935653226665,2.62055698959453
"Kerguelen","KER1","CAT1-S1-1D",114,143.4,144.6,144,-6.36953841412359,-0.636953841412359,-0.0938911422145794,-0.00657237995502056,0.810712442054143,-0.756041371381671,2.37746625548996,0.802280614720349,-0.855666012289782,2.46022724173048
"Kerguelen","KER1","CAT1-S1-1D",117,147.8,148.9,148.4,-6.74243009578217,-0.674243009578217,0.175141925646559,0.0122599347952592,0.416170964199461,-1.15320915276978,1.9855510811687,0.402401966593823,-1.31571278437723,2.12051671756488
"Kerguelen","KER1","CAT1-S1-1D",119,150.7,151.8,151.3,-6.7005429035066,-0.67005429035066,-0.264301009648242,-0.0185010706753769,0.460490093738847,-1.10852974612821,2.02950993360591,0.447320624329681,-1.2639879911392,2.15862923979856
"Kerguelen","KER1","CAT1-S1-1D",123,156.5,157.7,157.1,-7.20806615781289,-0.720806615781289,0.00822699329430433,0.000575889530601303,-0.0764995594198944,-1.6509917638094,1.49799264496961,-0.0969331705581145,-1.8914544460687,1.69758810495247
"Kerguelen","KER1","CAT1-S1-1D",124,158,159.2,158.6,-7.16230682692978,-0.716230682692978,-0.152310289551498,-0.0106617202686049,-0.0280834779670673,-1.60198357970598,1.54581662377185,-0.0478621392834986,-1.83481660890166,1.73909233033466
"Kerguelen","KER1","CAT1-S1-1E",132,161.5,162.7,162.1,-6.93672468034236,-0.693672468034236,2.26601623998944,0.158621136799261,0.210595789686117,-1.3606708353601,1.78186241473234,0.194045868472629,-1.55578793005207,1.94387966699733
