Location,Site,Section,sample,min_depth,max_depth,depth,depth_err,SH20_mean_95CI,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,accrate,accrate_err,kcps,cps,MSE, K, Ca, Ti, Mn, Fe, Zn, Rb, Sr, Zr,Mo_inc,Mo_coh,inc_coh,Ln_inc_coh,coh_inc,Ln_coh_inc,Total_scatter,kcps_sd,cps_sd,MSE_sd, K_sd, Ca_sd, Ti_sd, Mn_sd, Fe_sd, Zn_sd, Rb_sd, Sr_sd, Zr_sd,Mo_inc_sd,Mo_coh_sd,inc_coh_sd,Ln_inc_coh_sd,coh_inc_sd,Ln_coh_inc_sd,Total_scatter_sd,Water_Content_pc,Dry_mass,Dry_mass_err,LOI550,LOI550_err,C_org_pc,C_org_pc_err,Ln_C_org,Ln_C_org_err,Volume_cm3,Volume_err_cm3,Wet_density_g_cm3,Dry_density_g_cm3,Dry_density_err_g_cm3,DMAR_g_cm2_yr,DMAR_err_g_cm2_yr,DMAR_err_pc, P_ICP,P_ICP_sd,K_ICP,K_ICP_sd, Ca_ICP, Ca_ICP_sd, Ti_ICP, Ti_ICP_sd, Mn_ICP, Mn_ICP_sd, Fe_ICP, Fe_ICP_sd, Co_ICP, Co_ICP_sd, Ni_ICP, Ni_ICP_sd, Cu_ICP, Cu_ICP_sd, Zn_ICP, Zn_ICP_sd, As_ICP, As_ICP_sd, Rb_ICP, Rb_ICP_sd, Sr_ICP, Sr_ICP_sd, Zr_ICP, Zr_ICP_sd, Pb_ICP, Pb_ICP_sd, Th_ICP, Th_ICP_sd
Bird Island,BI10,BI10.2,71,68.7,69.8,69.2,0.55,184,826,1194,1027,1024,0.0397,0.00745,24090.25,59035.08333,1.284166667,18.16666667,302.75,41,41.41666667,2420,143.4166667,62.58333333,498,953.8333333,44307.25,6735.5,6.580597868,1.88383042,0.152050972,-1.883830419,51042.75,282.6350442,1145.288567,0.106724653,13.14833784,36.45202326,19.59127821,17.0371697,331.6956436,53.64946553,92.78465619,133.9966078,94.65807686,855.8962474,156.2407815,0.168230835,0.02528636,0.003803778,0.025286361,914.2364052,76.84,23.16,1.16,65.27,3.26,32.63,3.26,3.485232111,0.348202779,5.7255,4.36,1.0071,0.3035,0.2463,0.012,0.012,99.9,3558.613952,53.10499408,1973.319538,355.1975168,6626.492173,861.4439825,461.9149499,64.66809299,46.49996193,5.579995432,3694.801697,665.0643055,2.041238975,0.142886728,6.674238754,3.604088927,34.06414422,4.768980191,140.4650062,12.64185056,10.75975255,0.084324463,7.795499709,1.247279953,114.9998151,2.299996302,21.97235957,1.098617979,4.288871292,0.045808063,1.233894651,0.01690507
Bird Island,BI10,BI10.3,84,80,81,80.5,0.5,153,1078,1383,1228,1228,0.11538,0.01505,23305.5,56089.8,1.359,24.8,264.6,59,39.6,2747.5,74,129.2,467,855.6,41785.9,6389,6.542561287,1.878115961,0.152911138,-1.878115961,48174.9,718.4277973,1748.951864,0.072793467,37.58191054,29.21643373,33.54930037,24.60442598,738.4785034,46.20485785,102.3162852,89.06551895,131.669789,1122.610296,206.5257584,0.140667747,0.021867458,0.003401228,0.021867458,1280.986898,83.75,16.25,0.81,72.37,3.62,36.18,3.62,3.58850648,0.359049018,3.6287,3.2041,0.8837,0.1715,0.16,0.0198,0.021,106.3,3474.148775,97.58287489,14359.67839,2584.74211,9905.624178,1287.731143,2197.326275,307.6256785,125.5077224,15.06092669,6284.597012,1131.227462,2.439569014,0.170769831,6.367819135,3.438622333,39.61078518,5.545509925,67.51751759,6.076576583,5.520887153,0.016892471,50.21714125,8.0347426,209.897137,4.19794274,39.24997232,1.962498616,4.871746851,0.049115691,3.886857404,0.030253524
Bird Island,BI10,BI10.3,88,84.8,85.8,85.3,0.525,137,1140,1414,1267,1270,0.11538,0.01316,21329.45455,51592.63636,1.240909091,3.636363636,223.5454545,23.45454545,21.45454545,1101.818182,36.45454545,48.45454545,379.7272727,907.8181818,40259.81818,6034.909091,6.675364633,1.898067299,0.149911105,-1.898067298,46294.72727,650.8833019,1359.070438,0.090161471,5.005451573,26.12417898,17.85140687,15.15495718,119.6334553,39.97340025,67.97111686,88.63531002,62.34551817,896.363522,199.4965937,0.18749813,0.02796726,0.004174895,0.02796726,1018.184864,83.38,16.62,0.83,73.08,3.65,36.54,3.66,3.598407551,0.360431627,4.9476,4.5963,0.9241,0.1842,0.1804,0.0213,0.0232,109.3,3858.056048,77.55997105,3095.570446,557.2026803,7180.738417,933.4959942,574.7925663,80.47095928,57.22472424,6.866966909,3753.765384,675.6777691,2.601276107,0.182089327,5.912256586,3.192618556,37.01157435,5.181620409,65.03458094,5.853112285,8.662126972,0.092756516,13.30255749,2.128409198,130.9618352,2.619236704,13.33706426,0.666853213,3.755055231,0.044804774,1.35530674,0.018758598
Bird Island,BI10,BI10.3,95,93,94,93.5,0.5,127,1233,1487,1332,1342,0.11287,0.01132,21085,51886,1.319090909,26.63636364,242,100.8181818,52.36363636,3160.363636,5.090909091,107.1818182,657.6363636,834.5454545,38250.63636,5976.090909,6.401633636,1.855807878,0.156443694,-1.855807879,44226.72727,872.1308388,2411.738543,0.085376173,16.8598501,36.4280112,72.27975952,22.839758,725.0415537,10.01453489,83.24279931,307.6992924,85.4977937,2260.375291,279.3658728,0.258608262,0.040543299,0.006363537,0.040543299,2471.743477,84.51,15.49,0.77,71.74,3.59,35.87,3.59,3.579901292,0.358289535,5.4091,5.4227,0.926,0.1698,0.1787,0.0192,0.0221,115.3,3318.93706,140.159263,3134.001598,564.1202876,6732.62029,875.2406377,606.0238476,84.84333866,60.2997145,7.23596574,11390.75321,2050.335578,5.745017677,0.402151237,7.120078834,3.84484257,25.20300712,3.528420997,71.97280393,6.477552354,7.32730259,0.127147154,10.28410137,1.645456219,119.867266,2.39734532,13.96054981,0.698027491,4.655602184,0.05117785,1.122462139,0.002027459
Bird Island,BI10,BI10.3,98,96.3,97.3,96.8,0.5,114,1278,1505,1359,1371,0.11294,0.00996,20358.09091,49648.18182,1.288181818,39.81818182,210.3636364,79.90909091,54.63636364,3007.090909,11.36363636,179,687.0909091,857.9090909,36182.81818,5897.909091,6.129922695,1.812791718,0.163261797,-1.812791717,42080.72727,1009.266115,3019.534958,0.058278329,24.97926413,43.64693054,24.39038559,16.42116151,344.6869462,33.31147768,105.1655837,135.9481184,86.34865899,2511.390484,285.0955821,0.179411937,0.029328053,0.004797626,0.029328053,2782.5318,72.66,27.34,1.37,78.62,3.93,39.31,3.93,3.671478939,0.367054496,5.6172,5.8053,0.9172,0.3451,0.374,0.039,0.0457,117.2,3046.497536,93.59658386,3044.618396,548.0313113,6605.365982,858.6975777,562.7226914,78.7811768,54.01867077,6.482240492,7073.372392,1273.207031,3.633220643,0.254325445,5.857915852,3.16327456,18.81424853,2.633994794,41.79884834,3.761896351,5.049060535,0.052888463,9.694363956,1.551098233,112.4064678,2.248129356,13.08141258,0.654070629,4.214972855,0.00900571,0.992804532,0.005060371
Bird Island,BI10,BI10.3,104,103.2,104.2,103.7,0.475,145,1358,1649,1477,1487,0.04191,0.00429,23485.90909,56468.36364,1.455454545,19.63636364,254.2727273,62.90909091,50.54545455,1610.090909,24.72727273,59.54545455,547.2727273,914.3636364,43429,6444.272727,6.741645206,1.908147997,0.148378059,-1.908147997,49873.27273,239.911423,960.8919058,0.080667668,18.67764828,55.96086295,77.92747211,9.595453469,562.2788373,30.60748572,72.52911641,137.9138071,104.60332,552.6917767,162.0747302,0.124811307,0.018531417,0.002752184,0.018531417,676.2464182,83.17,16.83,0.84,84.12,4.21,42.06,4.21,3.73909717,0.374265314,5.3363,5.8353,0.944,0.191,0.2184,0.008,0.01,124.6,3335.981766,60.0124919,1424.582603,256.4248685,7089.603048,921.6483962,441.0920959,61.75289343,47.40786167,5.6889434,1987.252608,357.7054694,1.389287804,0.097250146,4.568507031,2.466993797,19.39416739,2.715183435,45.72842227,4.115558004,4.628095976,0.048659815,6.266500548,1.002640088,127.1397723,2.542795446,11.39582517,0.569791259,4.732409551,0.019576414,0.984439937,0.012776705
Bird Island,BI10,BI10.3,114,114.9,115.9,115.4,0.5,310,1478,2098,1763,1768,0.04149,0.00745,23787.45455,60059.36364,1.378181818,8.545454545,203.5454545,30.63636364,33.09090909,7030.181818,1.545454545,32,219.7272727,866.5454545,42366.36364,6354.727273,6.669203905,1.897334846,0.149992787,-1.897334845,48721.09091,242.6974922,721.0602295,0.096209998,9.201778484,31.02374457,21.72681628,13.0648731,810.6680971,5.125692858,44.28769581,87.07593342,82.28774348,428.9103106,141.9909088,0.126889764,0.019122522,0.002882752,0.019122522,516.1853261,86.16,13.84,0.69,85,4.25,42.5,4.25,3.749504076,0.374950408,3.9741,4.7093,1.714,0.2754,0.3402,0.0114,0.0162,141.5,4610.248256,169.7864944,1716.680373,309.0024671,5586.311354,726.220476,354.6954517,49.65736324,38.81328375,4.65759405,15892.74003,2860.693205,1.543818014,0.108067261,5.784125479,3.123427759,42.10225675,5.894315945,35.80217711,3.22219594,5.434072792,0.066823231,6.037782671,0.966045227,94.40874214,1.888174843,8.138802933,0.406940147,3.83135941,0.031914034,0.865875823,0.005713133
Bird Island,BI10,BI10.3,119,120.7,121.7,121.2,0.475,318,1584,2220,1920,1912,0.03575,0.00609,23932.54545,57683.36364,1.340909091,9.181818182,230.5454545,29.27272727,30.63636364,2490.727273,37.27272727,49.90909091,208,922.5454545,44357.36364,6559.545455,6.764788875,1.911498898,0.147893012,-1.911498898,50916.90909,448.2038294,1332.006477,0.095964008,8.121800069,31.91351951,17.64137698,15.08159625,443.6699428,48.88985766,80.95610483,80.18353946,102.4893786,889.9935138,175.4744219,0.152697931,0.022614031,0.003351004,0.022614031,997.5895403,87.29,12.71,0.64,88.51,4.43,44.26,4.43,3.790081335,0.379350662,5.0413,6.2613,1.2611,0.1836,0.2372,0.0066,0.0096,146.2,2888.301683,68.23238158,1641.390095,295.4502171,5647.265231,734.14448,401.5251511,56.21352115,37.52718028,4.503261634,3019.385269,543.4893484,1.001920559,0.070134439,9.469595678,5.113581666,77.32937965,10.82611315,126.1466188,11.35319569,11.39866575,0.123110885,6.954876946,1.112780311,100.7977844,2.015955688,10.71344504,0.535672252,3.961646879,0.031813072,0.860069661,0.003042513
Bird Island,BI10,BI10.3,120,121.8,122.7,122.3,0.45,288,1650,2226,1946,1943,0.03576,0.00543,23463.2,55879.5,1.243,7.7,187.9,16.6,26.1,1472,41.3,48.3,143.2,945.1,44116.7,6464.9,6.827526876,1.92064871,0.146557429,-1.92064871,50581.6,898.7162202,1797.275793,0.088700495,9.393259995,22.80570104,12.68595023,19.3186726,564.7396647,30.39389559,63.36499209,55.86849639,54.88260198,1115.395301,212.4897122,0.181159174,0.02634437,0.003832888,0.026344371,1258.977822,87.79,12.21,0.61,89.09,4.45,44.55,4.46,3.796612154,0.380087322,4.7759,5.9795,1.0924,0.1519,0.1978,0.0054,0.0079,145.4,4492.936701,91.25578968,683.2265993,122.9807879,5350.125775,695.5163508,192.9637106,27.01491948,32.12024806,3.854429767,4238.013215,762.8423787,0.741821487,0.051927504,6.534750001,3.528765001,62.86286744,8.800801442,87.02811474,7.832530327,13.1076901,0.161700542,2.592646444,0.414823431,91.74775016,1.834955003,5.71655892,0.285827946,5.092746285,0.020391728,0.664291765,0.003592713
Bird Island,BI10,BI10.4,145,132,133,132.5,0.5,139,2052,2331,2181,2196,0.06663,0.00448,22939.72727,63471.54545,1.467272727,10,207.2727273,37,33.54545455,15022,5.090909091,44.81818182,168.9090909,760.6363636,38468.09091,6064.363636,6.346286057,1.847473558,0.157698025,-1.847473559,44532.45455,600.4045454,2827.214897,0.116197324,9.602083107,31.9909078,17.81572339,27.41300289,2013.60145,16.8846353,88.06454245,107.7250709,84.31876746,785.8845277,146.593501,0.186417226,0.029599917,0.004703277,0.029599916,818.3431265,85.19,14.81,0.74,83.92,4.2,41.96,4.2,3.736716784,0.374027895,4.1527,6.2124,1.5704,0.273,0.422,0.0182,0.0293,161.3,3582.990472,78.58668299,5412.77206,974.2989708,5488.24581,713.4719553,523.0275133,73.22385186,51.81193098,6.217431718,36760.73258,6616.931864,3.769043144,0.26383302,7.155451754,3.863943947,40.6484082,5.690777148,36.99629166,3.329666249,7.711571305,0.048823252,9.787053209,1.565928513,91.25190224,1.825038045,9.674570314,0.483728516,4.402169903,0.038260027,0.858893791,0.005791892
Bird Island,BI10,BI10.4,155,143.7,144.8,144.2,0.55,161,2200,2522,2364,2368,0.07115,0.0051,23702.18182,57136.36364,1.3,15,295.1818182,43.36363636,36.72727273,2365.545455,174,35.27272727,334.3636364,924.0909091,43491.36364,6470.090909,6.724115531,1.905509236,0.14877554,-1.905509236,49961.45455,908.5621408,2238.277654,0.080124902,8.567379996,39.34671062,14.61692668,14.7179544,243.0569331,47.97082447,43.24601926,127.3022174,129.7262152,1582.596049,258.1609787,0.137343132,0.020548593,0.003075184,0.020548594,1809.322158,83.67,16.33,0.82,86.15,4.31,43.07,4.31,3.762826699,0.376544766,6.412,10.2881,0.9519,0.1858,0.3074,0.0132,0.0228,172.6,3079.887722,69.393988,5594.694254,1007.044966,6436.237221,836.7108387,1149.476822,160.9267551,82.80022216,9.936026659,6074.810846,1093.465952,1.250579343,0.087540554,6.317256008,3.411318244,67.58862806,9.462407928,145.146567,13.06319103,5.364596712,0.048444676,20.81297886,3.330076618,121.0153008,2.420306016,58.14267286,2.907133643,2.650531649,0.028355943,1.955638501,0.006912781
Bird Island,BI10,BI10.5,172,156.1,157.2,156.6,0.525,159,2362,2681,2501,2501,0.12621,0.00845,22998.41667,56715.83333,1.343333333,10.16666667,260.25,53.58333333,38.58333333,4047.083333,186.3333333,49.91666667,303.6666667,872.4166667,42205,6261.416667,6.74203834,1.908241128,0.148359081,-1.908241129,48466.41667,500.6427611,1205.74065,0.091684571,8.440522747,66.1171481,13.05553406,18.43148656,466.4413552,78.16571363,56.298649,72.72655303,93.24694324,782.1758696,151.5912317,0.109521474,0.016267761,0.002416937,0.016267761,899.775877,84.35,15.65,0.78,87.61,4.38,43.8,4.38,3.779633817,0.377963382,5.7883,10.2626,0.8689,0.1612,0.2939,0.0203,0.0385,189,1967.834735,47.21852826,2804.420041,504.7956074,5642.915643,733.5790336,253.7523195,35.52532473,42.83579617,5.14029554,49049.46764,8828.904175,16.76515491,1.173560844,16.20702482,8.751793403,58.21751812,8.150452537,148.0981288,13.32883159,23.90463007,0.06260096,4.260143181,0.681622909,85.39705279,1.707941056,5.057282645,0.252864132,3.146538486,0.012418503,0.570044874,0.002471594
