"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ti","Ti_sd","Ti_ICP","Ti_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-1.5096820477041,-0.075484102385205,2.39385073836139,0.11969253691807,1.47287513953442,0.548623962350526,2.39712631671831
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-1.37686625938955,-0.0688433129694774,1.67726057865771,0.0838630289328854,1.55490728306135,0.631327029132401,2.4784875369903
"Bird Island","BI10","BI10.3",95,93,94,93.5,-0.295947512328518,-0.0147973756164259,1.60030995577748,0.0800154977888741,2.22252431056311,1.3020021851228,3.14304643600343
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-0.678603836663388,-0.0339301918331694,1.72501753913816,0.0862508769569081,1.9861810345289,1.06506698853029,2.90729508052752
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-0.738369632529167,-0.0369184816264584,1.80425442055466,0.0902127210277329,1.94926737835384,1.02801223620792,2.87052252049977
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-1.12113756626632,-0.0560568783133162,1.43545442424602,0.071772721212301,1.71285516805645,0.790385408059203,2.63532492805369
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-1.73504450703648,-0.0867522253518239,1.12947680997815,0.0564738404989074,1.33368260945845,0.408146189815709,2.25921902910119
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-1.25833031554344,-0.062916515777172,1.49235747353001,0.0746178736765007,1.62811964495055,0.705083844148633,2.55115544575247
"Bird Island","BI10","BI10.4",145,141,142,141.5,-1.6322940062412,-0.08161470031206,1.45955250562134,0.0729776252810669,1.39714527406832,0.472217720515534,2.32207282762111
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-1.84481874074497,-0.0922409370372483,1.98646704143414,0.0993233520717071,1.265881817027,0.339652632835798,2.1921110012182
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-0.720676169702242,-0.0360338084851121,0.631718832270822,0.0315859416135411,1.96019554209496,1.03898353924866,2.88140754494126
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-1.02471847580213,-0.0512359237901065,1.74356202892484,0.087178101446242,1.77240730992201,0.850294141267877,2.69452047857615
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-1.02784889162324,-0.0513924445811621,0.897476815061509,0.0448738407530754,1.77047384460742,0.848349633544676,2.69259805567016
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-1.11893908805741,-0.0559469544028705,1.65016116226733,0.0825080581133667,1.71421303282737,0.791751782880989,2.63667428277374
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-1.13181949597113,-0.0565909747985567,2.23914702970579,0.111957351485289,1.7062575970763,0.783746236747853,2.62876895740474
"Bird Island","BI10","BI10.5",197,194,195,194.5,-1.27025546120839,-0.0635127730604197,1.45569178587078,0.0727845892935392,1.62075421593657,0.697665962548653,2.54384246932448
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-1.10116230404076,-0.0550581152020381,0.718005351324121,0.035900267566206,1.72519265894265,0.802799570798328,2.64758574708698
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-1.48121440905222,-0.0740607204526112,1.56346497910596,0.0781732489552978,1.49045784901044,0.566355887915764,2.41455981010511
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-1.55073580408365,-0.0775367902041825,0.914088218833467,0.0457044109416734,1.44751875925475,0.523047200794933,2.37199031771457
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-1.40131580600225,-0.0700657903001127,1.19243228396747,0.0596216141983737,1.53980630190276,0.616107368516733,2.46350523528878
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-1.74977045934569,-0.0874885229672847,0.66837511854813,0.0334187559274065,1.3245872944456,0.398960476603164,2.25021411228804
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-1.11293782599125,-0.0556468912995623,1.45192151278485,0.0725960756392423,1.7179196432944,0.795481533451002,2.6403577531378
"Bird Island","BI10","BI10.7",271,265,266,265.5,-1.51429398359687,-0.0757146991798433,0.344876758187161,0.017243837909358,1.47002663039335,0.545751001588748,2.39430225919794
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,-1.68351942399858,-0.0841759711999291,0.513342578312296,0.0256671289156148,1.36550648416973,0.440280173597685,2.29073279474177
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,-1.74438614182472,-0.0872193070912361,0.59222552588809,0.0296112762944045,1.32791285621262,0.402319182219956,2.25350653020528
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,-1.47491260180634,-0.0737456300903172,0.79996053814882,0.039998026907441,1.49435008774977,0.570280759337274,2.41841941616227
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-0.758929401169765,-0.0379464700584882,1.34869812712075,0.0674349063560374,1.93656887380549,1.01526215859272,2.85787558901825
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,-1.07787863874887,-0.0538939319374436,0.817593274149798,0.0408796637074899,1.73957354691761,0.817267985255851,2.66187910857937
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,-1.14141727991559,-0.0570708639957796,0.825328002278208,0.0412664001139104,1.70032963625128,0.777780541522298,2.62287873098026
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,-1.07793393628147,-0.0538966968140735,0.371956046146643,0.0185978023073321,1.73953939303283,0.81723362585226,2.66184516021341
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,-1.56129724398693,-0.0780648621993467,0.576711217356784,0.0288355608678392,1.44099560741421,0.516466362397326,2.36552485243109
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,-0.504671685698853,-0.0252335842849426,1.68745627982859,0.0843728139914293,2.09360822637811,1.17283005157484,3.01438640118138
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,-0.947742031309464,-0.0473871015654732,0.847971352030997,0.0423985676015498,1.8199509252026,0.898097984367693,2.74180386603751
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,-1.09217051959075,-0.0546085259795375,1.4201117338245,0.0710055866912248,1.73074633115231,0.80838727967377,2.65310538263086
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,-1.09977042651603,-0.0549885213258016,1.12650846174243,0.0563254230871213,1.72605233608142,0.803664535989264,2.64844013617357
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,-1.02455279613022,-0.0512276398065112,1.23724579434407,0.0618622897172035,1.77250964006512,0.850397054838236,2.694622225292
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,-0.806369703598828,-0.0403184851799414,1.56871599778469,0.0784357998892347,1.90726791683939,0.985836273372819,2.82869956030597
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,-0.937768396308793,-0.0468884198154397,1.43709079650831,0.0718545398254154,1.8261110261081,0.904290212131034,2.74793184008516
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,-0.818195337779775,-0.0409097668889887,2.21361891563492,0.110680945781746,1.89996394994857,0.978499877767899,2.82142802212924
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,-0.965723371145034,-0.0482861685572517,1.83934216543655,0.0919671082718273,1.8088449575393,0.886933173677346,2.73075674140124
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,-1.66942724673847,-0.0834713623369233,1.08754995816019,0.0543774979080093,1.37421035531546,0.449067182881051,2.29935352774987
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,-0.548801846874938,-0.0274400923437469,2.3913383625747,0.119566918128735,2.06635174007176,1.14549888636507,2.98720459377844
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,-0.772458055011365,-0.0386229027505682,1.44233306275302,0.072116653137651,1.92821305641552,1.00687155794693,2.84955455488412
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,-0.831910352124512,-0.0415955176062256,1.4078051265667,0.0703902563283349,1.89149302913803,0.969990703829673,2.81299535444639
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,-0.689766508966113,-0.0344883254483056,2.18643415480952,0.109321707740476,1.97928653841439,1.05814713668168,2.90042594014709
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,-0.386147300930494,-0.0193073650465247,1.51625200625625,0.0758126003128125,2.16681344893594,1.24620035886457,3.0874265390073
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,-0.325312182765189,-0.0162656091382595,1.64087632228032,0.0820438161140161,2.2043875597261,1.28383911091645,3.12493600853576
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,-0.543816607950122,-0.0271908303975061,2.71602553759835,0.135801276879918,2.0694308155355,1.14858675718022,2.99027487389077
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,0.35443970467217,0.0177219852336085,2.53042524723946,0.126521262361973,2.62422849204737,1.70347487373754,3.54498211035721
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,-0.0865508911904517,-0.00432754455952259,2.73996836630813,0.136998418315407,2.35185572437494,1.43142920050769,3.27228224824219
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,-0.0961909296570198,-0.00480954648285099,2.98960465985734,0.149480232992867,2.3459016655305,1.42547428853408,3.26632904252693
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,-0.164719817103293,-0.00823599085516463,2.72106636917012,0.136053318458506,2.30357558666539,1.38313227432315,3.22401889900764
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,-0.478337662164678,-0.0239168831082339,2.62253505382403,0.131126752691202,2.10987313302521,1.18913610654843,3.03061015950199
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,-0.344736858228774,-0.0172368429114387,1.8683168375524,0.0934158418776203,2.1923901324186,1.27182252511203,3.11295773972516
"Bird Island","BI10","BI10.13",519,491,492,491.5,-1.01926227237744,-0.0509631136188721,0.92308755798501,0.0461543778992505,1.77577727119037,0.853683263204836,2.6978712791759
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,-0.613112769257299,-0.030655638462865,1.98013908162669,0.0990069540813343,2.02663083879814,1.10565632328081,2.94760535431548
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,-0.764639922064915,-0.0382319961032458,2.35026679280354,0.117513339640177,1.93304183627757,1.01172052088325,2.8543631516719
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,-1.07599740525902,-0.0537998702629509,0.729395126728199,0.03646975633641,1.7407354691379,0.818436892596631,2.66303404567916
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-0.411119081634157,-0.0205559540817079,2.24325653292894,0.112162826646447,2.15138991589968,1.23074634557512,3.07203348622424
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-0.238408255136804,-0.0119204127568402,2.30604171439661,0.11530208571983,2.25806277074381,1.33758301389455,3.17854252759306
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,-0.259915013369945,-0.0129957506684973,2.37513773818864,0.118756886909432,2.2447793689693,1.32428520340061,3.16527353453799
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,0.306454431796237,0.0153227215898118,2.25156152684354,0.112578076342177,2.59459094035499,1.67390764767165,3.51527423303833
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,-0.538152990005396,-0.0269076495002698,2.30437696303829,0.115218848151914,2.07292888399573,1.15209470686023,2.99376306113122
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,-0.179876323440136,-0.00899381617200678,2.34802052369548,0.117401026184774,2.29421434491117,1.3737651710629,3.21466351875943
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,0.0331326343004853,0.00165663171502426,2.41143805668317,0.120571902834158,2.42577687686345,1.50533242455631,3.34622132917059
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,-0.0977219426033582,-0.00488609713016791,2.34060830541904,0.117030415270952,2.34495605299942,1.42452850899574,3.2653835970031
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,0.212069693928671,0.0106034846964335,2.38524031419202,0.119262015709601,2.53629529296428,1.61572558583737,3.45686500009119
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,0.181161747252331,0.00905808736261657,2.25567252383836,0.112783626191918,2.51720535531416,1.59666571192035,3.43774499870797
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,-0.206992345041536,-0.0103496172520768,2.36983837946676,0.118491918973338,2.2774664461552,1.35700467367804,3.19792821863236
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,-0.121991779333798,-0.00609958896668991,2.19042476173163,0.109521238086581,2.32996606758194,1.40953472232631,3.25039741283757
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,-0.437167224710489,-0.0218583612355245,2.29566280265471,0.114783140132736,2.13530158002814,1.21462376855441,3.05597939150187
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,-0.14329251037843,-0.00716462551892149,2.33684065860081,0.11684203293004,2.31680991612995,1.39637344604723,3.23724638621266
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,-0.269005706180773,-0.0134502853090387,2.35987139789001,0.1179935698945,2.23916460714858,1.31866383872819,3.15966537556897
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,-0.373623604433408,-0.0186811802216704,2.27720777161843,0.113860388580922,2.1745485659847,1.25394989744929,3.09514723452011
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,0.304844712429263,0.0152422356214632,2.35828400060592,0.117914200030296,2.59359671570877,1.67291563520402,3.51427779621352
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,0.0138123846640561,0.000690619233202804,2.37005394989408,0.118502697494704,2.41384394696661,1.49340596172211,3.33428193221111
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,0.102819845204402,0.00514099226022012,2.31259058352777,0.115629529176389,2.46881838088497,1.54833917375044,3.3892975880195
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,0.280689103802036,0.0140344551901018,2.36497866897025,0.118248933448513,2.57867728196497,1.65802825171997,3.49932631220997
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,-0.468156081802004,-0.0234078040901002,2.30425815173801,0.1152129075869,2.11616166899101,1.19543986741846,3.03688347056356
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,0.0318685902208645,0.00159342951104322,2.34872700528117,0.117436350264058,2.42499615458126,1.50455216744158,3.34544014172094
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,-0.0911372123853012,-0.00455686061926506,2.14473022854925,0.107236511427463,2.34902303585732,1.42859614881631,3.26944992289833
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,-0.46627026864209,-0.0233135134321045,2.56279717081473,0.128139858540737,2.11732641979182,1.19660739625531,3.03804544332833
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,-0.606631658767527,-0.0303315829383764,2.31485086613889,0.115742543306945,2.03063382212308,1.10967225691017,2.95159538733599
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,-1.20308533869915,-0.0601542669349575,2.42790578751028,0.121395289375514,1.66224106927173,0.739441481436601,2.58504065710687
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,-0.741924926578456,-0.0370962463289228,2.34939104345266,0.117469552172633,1.9470714918901,1.02580754257315,2.86833544120705
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,0.0956656554438149,0.00478328277219074,2.4211938768792,0.12105969384396,2.4643996778926,1.54392486298922,3.38487449279598
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,-0.430794785615823,-0.0215397392807912,2.37265150851817,0.118632575425908,2.13923744371621,1.21856823988294,3.05990664754949
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,-1.02777760976875,-0.0513888804884374,2.184763313636,0.1092381656818,1.77051787102471,0.848393911805272,2.69264183024414
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,-0.637971412104685,-0.0318985706052343,2.10471633836343,0.105235816918172,2.0112771840571,1.09025156403598,2.93230280407821
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,-0.408137620196636,-0.0204068810098318,2.12090459407573,0.106045229703787,2.15323138125306,1.23259157079373,3.07387119171239
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,-0.929167412844238,-0.0464583706422119,2.16658026319659,0.108329013159829,1.83142332458549,0.909629922863811,2.75321672630717
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,-0.506238059061182,-0.0253119029530591,2.34761768311815,0.117380884155908,2.09264077389294,1.17186007110753,3.01342147667835
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,-0.158467049735376,-0.00792335248676881,2.41865145149565,0.120932572574783,2.30743753648834,1.38699639563496,3.22787867734171
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,-0.62523908486329,-0.0312619542431645,1.98604587204365,0.0993022936021824,2.01914115948466,1.09814199860391,2.94014032036541
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,-0.704130443535114,-0.0352065221767557,2.20236562668907,0.110118281334453,1.97041481949355,1.04924211637996,2.89158752260714
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,0.0723166653744075,0.00361583326872037,1.74970959196276,0.0874854795981379,2.44997844282041,1.52951665057855,3.37044023506227
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,-0.513957020635055,-0.0256978510317527,2.06514314564319,0.10325715728216,2.08787324608813,1.16707995369571,3.00866653848056
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,-0.34476337736755,-0.0172381688683775,1.93705499202588,0.096852749601294,2.19237375317765,1.27180611876527,3.11294138759004
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,-0.101263319473541,-0.00506316597367703,2.29819023224958,0.114909511612479,2.34276876232123,1.42234079891416,3.26319672572829
"Isla Hermite","HER42PB","HER42PB_1F",211,238.4,239.5,239,-0.43138024774903,-0.0215690123874515,2.37492277555257,0.118746138777629,2.13887583976573,1.21820585135121,3.05954582818025
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,-0.153151513412828,-0.00765757567064138,2.35436221271387,0.117718110635693,2.31072061633951,1.39028120818678,3.23116002449225
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,-0.899189837819853,-0.0449594918909927,1.81301338214452,0.090650669107226,1.84993862888926,0.928238647208503,2.77163861057003
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,-0.587421617401329,-0.0293710808700664,2.3032296788301,0.115161483941505,2.04249868314983,1.12157459485752,2.96342277144214
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,-1.05676172961822,-0.0528380864809108,2.12347153261237,0.106173576630619,1.75261616287942,0.830388265444889,2.67484406031395
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,-0.642360398981588,-0.0321180199490794,1.98206160965994,0.0991030804829968,2.00856637681051,1.08753149780523,2.9296012558158
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,-0.822174843336948,-0.0411087421668474,2.2767703593211,0.113838517966055,1.89750605412779,0.976030953683852,2.81898115457172
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,-0.539603301811516,-0.0269801650905758,2.08525768399634,0.104262884199817,2.07203311559539,1.15119641936969,2.99286981182108
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,-0.721980986861138,-0.0360990493430569,2.40081181070168,0.120040590535084,1.95938963678947,1.03817449190541,2.88060478167354
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,-0.75195513710724,-0.037597756855362,2.24820504455554,0.112410252227777,1.9408764477606,1.01958740121428,2.86216549430692
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,-0.635167311963622,-0.0317583655981811,2.16639496186762,0.108319748093381,2.01300910424637,1.09198936264656,2.93402884584617
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,-0.533154924790813,-0.0266577462395406,2.26102552307418,0.113051276153709,2.07601588146977,1.15519032631489,2.99684143662464
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,-0.814185100338692,-0.0407092550169346,1.97870197824375,0.0989350989121873,1.90244082696386,0.980987809371842,2.82389384455588
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,-0.269035729443334,-0.0134517864721667,2.23211796179928,0.111605898089964,2.2391460636259,1.31864527289422,3.15964685435757
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,0.0400913890942044,0.00200456945471022,2.33110010412913,0.116555005206456,2.43007487169713,1.50962775314143,3.35052199025283
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,-0.933689220990927,-0.0466844610495463,2.16464105444449,0.108232052722224,1.82863048180981,0.906822702437005,2.75043826118262
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,-1.05155364079105,-0.0525776820395526,2.26998803818833,0.113499401909416,1.75583287902132,0.833623884869337,2.67804187317331
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,-0.819543557239451,-0.0409771778619725,1.47073023258158,0.0735365116290791,1.89913123771138,0.977663435772457,2.8205990396503
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,-0.755881360876094,-0.0377940680438047,2.02557268312614,0.101278634156307,1.93845146082333,1.01715248953366,2.85975043211301
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,0.011150162104802,0.0005575081052401,2.3892890166252,0.11946445083126,2.41219965583335,1.49176245388249,3.33263685778422
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,-0.13865983115871,-0.00693299155793549,2.30617241996402,0.115308620998201,2.31967123714825,1.39923602394203,3.24010645035446
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,0.200460435429985,0.0100230217714992,2.323382978661,0.11616914893305,2.52912496802407,1.60856696572333,3.4496829703248
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,-0.238379590749736,-0.0119189795374868,2.21454051260411,0.110727025630205,2.25808047497268,1.33760073619023,3.17856021375513
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,-0.690474855056335,-0.0345237427528168,2.28395375098305,0.114197687549152,1.97884903660171,1.05770801041945,2.89999006278397
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,-0.625531253227705,-0.0312765626613852,2.3161944128053,0.115809720640265,2.01896070505595,1.0979609437027,2.93996046640921
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,-0.367928930054137,-0.0183964465027068,2.05942825515696,0.102971412757848,2.1780658160944,1.25747351414154,3.09865811804726
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,-0.250373008098521,-0.012518650404926,2.08567331308337,0.104283665654169,2.25067287873868,1.33018531628475,3.17116044119261
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,0.104371724925405,0.00521858624627023,2.23467277143992,0.111733638571996,2.46977688153934,1.54929669675492,3.39025706632376
"Isla Hermite","HER42PB","HER42PB_1J",353,395.4,396.6,396,0.184573109826343,0.00922865549131717,2.41714253969,0.1208571269845,2.51931234415822,1.59876955535164,3.43985513296479
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,-1.78139369202427,-0.0890696846012136,3.22982849969757,0.161491424984878,1.30505556862599,0.379231970022637,2.23087916722935
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,0.3392201264656,0.01696100632328,3.25189099367551,0.162594549683776,2.61482829467849,1.69409789968841,3.53555868966857
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,0.559167107313917,0.0279583553656959,3.49791547271928,0.174895773635964,2.75067601677712,1.82952715308059,3.67182488047364
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,0.0979986432842347,0.00489993216421174,3.1454684997268,0.15727342498634,2.46584062098981,1.54536439449823,3.38631684748138
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,0.621796940593434,0.0310898470296717,3.38384890521726,0.169192445260863,2.7893586127083,1.86805804447862,3.71065918093798
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,0.495058119824682,0.0247529059912341,3.08537291593289,0.154268645796645,2.71107983826686,1.79007132543698,3.63208835109674
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,0.0557400345138799,0.00278700172569399,3.29812860528242,0.164906430264121,2.43974007749351,1.51928631131713,3.3601938436699
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,-0.257414791847193,-0.0128707395923597,2.27658167329825,0.113829083664913,2.24632360202627,1.32583119905814,3.1668160049944
