C:\Data\BAS2023_Mo_batch\MI1K__xrf     2023-09-05  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	Fe	Ni	Cu	Zn	Se	Br	Rb	Sr	Y	Zr	Tc	Rh	Pd	Ag	Cd	In	Sb	Te	I	Dy	Tm	Yb	Lu	Hf	Pb	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000022.spe	40.00	5.46	1	0.017520	-0.011353	0.011641	0.089277	30137	1.64	0.000	0.114	0.045	0.103	0.151	0.000	0.493	0.116	2.779	12.570	69.866	0.770	0.134	0.607	0.113	0.839	0.117	4.504	0.469	3.779	0.048	0.034	0.048	0.000	0.026	0.000	0.146	0.089	0.000	0.000	1.387	0.000	0.284	0.204	0.241	0.176	0.110	0.046	0.450	3.310	0.663	0.344	0.000	0.000	0.451	0.000	88.675	20.311	0.268	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000023.spe	41.00	5.46	1	0.017523	-0.011353	0.011695	0.089277	30414	1.39	0.026	0.039	0.043	0.000	0.072	0.000	0.392	0.238	2.485	11.113	67.199	0.749	0.000	0.788	0.176	0.884	0.132	4.032	0.287	3.322	0.035	0.000	0.019	0.000	0.000	0.000	0.159	0.037	0.000	0.000	1.669	0.000	0.119	0.645	0.249	0.056	0.000	0.075	0.516	3.283	0.624	0.317	0.010	0.184	0.492	0.130	91.579	20.702	0.268	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000024.spe	42.00	5.45	1	0.017524	-0.011353	0.011710	0.089277	31765	1.58	0.000	0.058	0.062	0.042	0.112	0.052	0.314	0.178	2.982	11.832	69.845	0.731	0.182	0.540	0.000	1.105	0.398	4.155	0.372	3.680	0.000	0.000	0.036	0.000	0.000	0.000	0.199	0.000	0.000	0.538	1.058	0.000	0.103	0.307	0.000	0.552	0.019	0.017	0.413	3.266	0.710	0.258	0.000	0.000	0.295	0.036	95.604	21.429	0.272	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000025.spe	43.00	5.47	1	0.017526	-0.011353	0.011693	0.089277	30657	1.70	0.059	0.086	0.120	0.054	0.138	0.012	0.374	0.261	3.962	13.356	81.628	0.549	0.180	0.602	0.000	0.929	0.000	4.304	0.162	3.128	0.000	0.000	0.011	0.000	0.000	0.000	0.305	0.109	0.000	0.164	1.307	0.102	0.285	0.452	0.066	0.000	0.073	0.000	0.714	3.537	0.698	0.372	0.132	0.292	0.489	0.167	85.798	19.765	0.263	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000026.spe	44.00	5.48	1	0.017526	-0.011353	0.011738	0.089277	28296	1.64	0.053	0.097	0.085	0.043	0.110	0.000	0.333	0.225	3.410	11.295	76.495	0.783	0.267	0.721	0.000	0.729	0.092	4.072	0.376	3.146	0.000	0.000	0.022	0.027	0.000	0.000	0.154	0.000	0.000	0.245	0.939	0.000	0.111	0.329	0.000	0.273	0.147	0.000	0.538	3.575	0.868	0.331	0.082	0.110	0.023	0.000	76.824	18.678	0.249	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000027.spe	45.00	5.46	1	0.017527	-0.011353	0.011754	0.089277	27610	1.80	0.057	0.063	0.056	0.000	0.079	0.000	0.299	0.187	3.618	13.712	79.236	0.613	0.240	0.558	0.167	0.916	0.228	4.104	0.039	2.982	0.000	0.000	0.000	0.026	0.000	0.000	0.186	0.000	0.000	0.457	1.260	0.000	0.362	0.363	0.165	0.143	0.000	0.207	0.408	3.195	0.683	0.646	0.153	0.229	0.464	0.411	67.401	16.802	0.241	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000028.spe	46.00	5.47	1	0.017529	-0.011353	0.011783	0.089277	26716	1.97	0.039	0.040	0.053	0.000	0.105	0.000	0.362	0.234	3.871	12.993	84.619	0.714	0.114	0.617	0.170	0.870	0.461	4.999	0.578	3.010	0.000	0.000	0.000	0.000	0.000	0.000	0.110	0.000	0.000	0.176	1.359	0.000	0.123	0.290	0.064	0.226	0.000	0.000	0.651	3.912	0.793	0.296	0.096	0.000	0.431	0.437	63.708	16.897	0.235	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000029.spe	47.00	5.43	1	0.017523	-0.011353	0.011783	0.089277	28952	1.81	0.000	0.072	0.041	0.000	0.116	0.000	0.444	0.149	3.803	14.764	99.163	0.596	0.000	0.616	0.162	0.481	0.235	5.360	0.612	3.483	0.000	0.000	0.000	0.000	0.043	0.000	0.138	0.065	0.000	0.081	1.442	0.000	0.192	0.000	0.129	0.094	0.164	0.000	0.551	4.420	0.591	0.255	0.000	0.000	0.238	0.150	69.017	17.914	0.244	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000030.spe	48.00	5.45	1	0.017521	-0.011353	0.012016	0.089277	28559	1.71	0.024	0.057	0.085	0.013	0.091	0.000	0.310	0.159	4.265	16.613	105.936	0.556	0.000	0.622	0.082	0.328	0.289	5.177	0.296	2.987	0.000	0.000	0.000	0.012	0.000	0.000	0.330	0.000	0.000	0.000	1.679	0.000	0.270	0.243	0.175	0.102	0.098	0.161	0.673	4.630	0.397	0.336	0.000	0.000	0.284	0.145	63.456	17.902	0.238	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000031.spe	49.00	5.48	1	0.017523	-0.011353	0.012016	0.089277	28272	1.81	0.019	0.051	0.062	0.053	0.130	0.014	0.225	0.256	4.528	16.183	106.316	0.575	0.000	0.524	0.224	0.691	0.127	5.230	0.579	3.138	0.017	0.000	0.000	0.039	0.000	0.000	0.137	0.063	0.000	0.000	1.734	0.000	0.141	0.098	0.107	0.159	0.438	0.000	0.679	4.654	0.427	0.434	0.168	0.000	0.314	0.173	62.072	17.120	0.235	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000032.spe	50.00	5.50	1	0.017521	-0.011353	0.011992	0.089277	28158	1.97	0.017	0.044	0.074	0.030	0.192	0.000	0.243	0.318	5.104	17.902	109.316	0.165	0.000	0.607	0.043	0.641	0.056	5.102	0.510	3.469	0.034	0.000	0.042	0.129	0.000	0.000	0.379	0.022	0.000	0.000	1.756	0.145	0.047	0.000	0.191	0.401	0.329	0.000	0.475	4.912	0.000	0.243	0.000	0.000	0.069	0.247	59.631	16.825	0.233	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000033.spe	51.00	5.50	1	0.017522	-0.011353	0.012031	0.089277	28697	2.10	0.000	0.053	0.088	0.000	0.183	0.000	0.375	0.374	5.445	18.616	119.344	0.423	0.000	0.774	0.000	0.481	0.119	5.489	0.425	3.224	0.000	0.000	0.000	0.000	0.000	0.000	0.286	0.000	0.000	0.000	1.338	0.000	0.140	0.150	0.000	0.753	0.273	0.000	0.747	4.931	0.245	0.280	0.122	0.000	0.356	0.193	59.241	17.147	0.233	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000034.spe	52.00	5.49	1	0.017525	-0.011353	0.012077	0.089277	29754	1.91	0.019	0.058	0.086	0.000	0.131	0.011	0.349	0.255	4.891	18.091	122.599	0.408	0.000	0.744	0.118	0.419	0.292	5.362	0.279	3.232	0.021	0.000	0.025	0.000	0.000	0.000	0.268	0.159	0.000	0.000	1.861	0.000	0.064	0.118	0.000	0.407	0.055	0.000	0.747	4.985	0.509	0.342	0.149	0.000	0.479	0.000	61.682	18.444	0.238	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000035.spe	53.00	5.50	1	0.017521	-0.011353	0.012198	0.089277	28808	1.72	0.000	0.047	0.063	0.014	0.194	0.019	0.492	0.256	5.080	16.904	109.979	0.470	0.000	0.449	0.123	0.583	0.453	5.648	0.540	3.212	0.000	0.000	0.020	0.000	0.016	0.000	0.258	0.052	0.000	0.000	1.730	0.000	0.347	0.049	0.102	0.388	0.000	0.026	0.508	4.542	0.010	0.277	0.216	0.000	0.522	0.159	62.841	18.097	0.236	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000036.spe	54.00	5.51	1	0.017522	-0.011353	0.012208	0.089277	27968	1.88	0.075	0.118	0.099	0.000	0.111	0.000	0.493	0.362	5.355	17.119	108.099	0.492	0.000	0.848	0.081	0.650	0.691	5.290	0.301	3.292	0.000	0.000	0.000	0.000	0.081	0.000	0.250	0.068	0.000	0.000	1.886	0.000	0.142	0.462	0.000	0.417	0.000	0.000	0.512	4.517	0.379	0.388	0.000	0.000	0.521	0.000	61.544	17.324	0.234	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000037.spe	55.00	5.49	1	0.017520	-0.011353	0.012207	0.089277	29489	1.84	0.075	0.103	0.147	0.000	0.113	0.000	0.448	0.416	6.219	19.717	123.482	0.438	0.000	0.711	0.000	0.436	0.220	5.461	0.528	3.540	0.000	0.000	0.000	0.000	0.029	0.000	0.292	0.109	0.000	0.000	1.673	0.066	0.256	0.313	0.000	0.656	0.000	0.000	0.590	5.155	0.195	0.203	0.000	0.000	0.402	0.072	60.145	17.316	0.234	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000038.spe	56.00	5.48	1	0.017519	-0.011353	0.012207	0.089277	28553	1.81	0.009	0.081	0.125	0.000	0.155	0.000	0.311	0.414	5.290	18.230	116.142	0.548	0.000	0.604	0.000	0.679	0.280	5.342	0.711	3.384	0.000	0.000	0.000	0.000	0.000	0.000	0.318	0.061	0.000	0.000	1.930	0.000	0.000	0.225	0.059	0.536	0.114	0.020	0.593	5.076	0.316	0.057	0.000	0.000	0.140	0.016	59.562	17.041	0.231	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000039.spe	57.00	5.51	1	0.017520	-0.011353	0.012218	0.089277	27541	1.92	0.044	0.060	0.059	0.029	0.043	0.011	0.322	0.370	4.736	17.050	107.273	0.402	0.000	0.663	0.000	0.409	0.000	5.605	0.472	3.493	0.000	0.000	0.000	0.052	0.000	0.000	0.283	0.068	0.000	0.000	1.393	0.000	0.213	0.226	0.000	0.349	0.307	0.000	0.658	4.614	0.350	0.179	0.000	0.000	0.206	0.000	59.584	17.316	0.230	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000040.spe	58.00	5.48	1	0.017519	-0.011353	0.012248	0.089277	29689	2.13	0.056	0.105	0.104	0.000	0.138	0.000	0.333	0.401	5.591	21.175	120.866	0.459	0.000	0.717	0.000	0.457	0.149	5.827	0.819	4.239	0.000	0.000	0.000	0.000	0.000	0.000	0.330	0.101	0.000	0.000	1.787	0.000	0.255	0.325	0.000	0.338	0.251	0.100	0.703	4.972	0.311	0.344	0.000	0.000	0.617	0.000	62.870	18.958	0.239	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000041.spe	59.00	5.49	1	0.017516	-0.011353	0.012287	0.089277	29610	1.92	0.023	0.107	0.112	0.048	0.214	0.000	0.352	0.374	5.442	19.538	114.013	0.487	0.000	0.839	0.000	0.494	0.405	6.338	0.558	3.811	0.011	0.000	0.046	0.000	0.034	0.000	0.311	0.141	0.000	0.000	1.649	0.000	0.083	0.064	0.000	0.505	0.000	0.064	0.541	4.918	0.315	0.333	0.000	0.000	0.203	0.000	64.936	18.349	0.240	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000042.spe	60.00	5.46	1	0.017517	-0.011353	0.012249	0.089277	30374	1.88	0.000	0.026	0.073	0.000	0.139	0.000	0.330	0.449	6.337	21.534	119.116	0.547	0.000	0.726	0.000	0.494	0.530	6.407	0.675	3.981	0.000	0.000	0.000	0.000	0.000	0.000	0.289	0.078	0.000	0.000	1.770	0.000	0.227	0.098	0.035	0.510	0.000	0.000	0.692	5.100	0.328	0.053	0.000	0.000	0.098	0.027	68.710	18.603	0.243	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000043.spe	61.00	5.50	1	0.017515	-0.011353	0.012226	0.089277	29802	2.21	0.000	0.088	0.141	0.000	0.253	0.000	0.219	0.459	6.189	22.936	118.288	0.393	0.048	0.823	0.000	0.225	0.513	5.804	0.225	3.824	0.000	0.000	0.000	0.145	0.000	0.000	0.398	0.240	0.000	0.000	1.522	0.000	0.109	0.214	0.054	0.080	0.000	0.147	0.498	5.268	0.454	0.212	0.000	0.000	0.601	0.000	62.131	18.390	0.239	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000044.spe	62.00	5.48	1	0.017514	-0.011353	0.012226	0.089277	30009	1.99	0.000	0.071	0.109	0.028	0.195	0.000	0.402	0.477	6.409	21.765	127.788	0.570	0.000	0.794	0.131	0.600	0.000	5.232	0.500	3.497	0.010	0.000	0.000	0.000	0.000	0.000	0.310	0.019	0.000	0.000	1.463	0.000	0.173	0.194	0.000	0.315	0.104	0.000	0.860	5.830	0.301	0.283	0.000	0.000	0.242	0.034	61.284	17.143	0.236	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000045.spe	63.00	5.50	1	0.017514	-0.011353	0.012226	0.089277	27938	1.99	0.000	0.045	0.047	0.000	0.165	0.000	0.307	0.452	5.674	18.258	114.001	0.431	0.000	0.654	0.219	0.314	0.434	5.685	0.718	3.458	0.000	0.014	0.000	0.000	0.000	0.000	0.322	0.084	0.000	0.000	1.300	0.000	0.133	0.061	0.000	0.689	0.060	0.000	0.529	5.155	0.201	0.166	0.000	0.000	0.000	0.175	61.828	17.346	0.232	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000046.spe	64.00	5.52	1	0.017514	-0.011353	0.012205	0.089277	27995	2.07	0.000	0.079	0.150	0.022	0.149	0.000	0.338	0.395	5.750	17.983	115.616	0.432	0.000	0.688	0.000	0.259	0.265	5.531	0.578	3.640	0.000	0.000	0.000	0.035	0.000	0.000	0.356	0.000	0.000	0.000	1.523	0.000	0.000	0.067	0.000	0.347	0.567	0.000	0.550	5.083	0.000	0.314	0.000	0.000	0.137	0.014	58.870	16.739	0.230	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000047.spe	65.00	5.48	1	0.017513	-0.011353	0.012183	0.089277	30112	2.17	0.079	0.069	0.132	0.011	0.194	0.000	0.314	0.420	6.715	20.795	137.107	0.404	0.000	0.452	0.073	0.327	0.127	5.781	0.541	3.331	0.000	0.000	0.011	0.000	0.000	0.000	0.355	0.035	0.000	0.000	1.812	0.093	0.214	0.061	0.000	0.487	0.419	0.000	0.621	6.073	0.099	0.173	0.000	0.000	0.234	0.318	59.714	16.945	0.234	
