"Location","Site","Section","sample","min_depth","max_depth","midpoint","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","fit","lwr","upr"
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,-5.92006524007769,0.000268502,5.70372976260028,2.93984503,5.18183299302306,3.82007266230303,6.54359332374308
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,-4.93631565505984,0.000718101,6.07944149528368,0.960927396,5.87784053146955,4.50930607260079,7.24637499033831
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,-6.03051852216283,0.000240425,5.77975690456013,0.906305388,5.1036867674508,3.74234085973833,6.46503267516328
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,-6.77322088952715,0.0001144,6.04419565649397,14.1255585,4.57822128885725,3.21783710586723,5.93860547184726
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,-6.59525230948586,0.000136684,5.27599218950683,3.051117218,4.70413491078076,3.34380998006802,6.06445984149351
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,-7.54211481805899,5.3e-05,5.55813635454586,3.060201021,4.03422515541624,2.67148788500381,5.39696242582868
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,-6.76245478967012,0.000115639,5.15072049610145,3.140515038,4.58583835601974,3.22546294765852,5.94621376438096
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,-5.77579138983379,0.000310174,5.8128993117966,3.479713069,5.28390743239233,3.92150016438373,6.64631470040094
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,-5.67751461561337,0.000342205,5.57645224359538,1.399904171,5.35343872038812,3.99052234299715,6.71635509777909
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,-7.10305144314684,8.23e-05,4.19886637541732,0.126560476,4.34486459399763,2.98388781568107,5.70584137231418
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,-6.66876830021913,0.000126996,5.35199120755971,3.144318399,4.65212199557756,3.29179472965665,6.01244926149848
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,-6.63762280380586,0.000131014,5.03325517990925,2.148043076,4.67415758331496,3.31383511180851,6.03448005482141
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,-7.02740630825274,8.87e-05,4.96777383377874,0.229930586,4.39838388888215,3.03759841874021,5.7591693590241
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,-6.66028445009695,0.000128078,5.01535394970948,0.572695989,4.65812436013254,3.29779895453805,6.01844976572703
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,-5.78136668192001,0.00030845,5.90200919440484,4.645299782,5.27996288656466,3.9175828393051,6.64234293382422
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,-6.18140545759447,0.000206752,4.87596639990492,2.884217331,4.9969335386689,3.63604030769559,6.35782676964221
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,-6.70749475853935,0.000122172,5.15960872937714,1.793192132,4.62472284101759,3.2643818116007,5.98506387043449
