"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zn","Zn_sd","Zn_ICP","Zn_ICP_sd","fit","lwr","upr"
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,-2.97252969671773,-0.148626484835886,-1.79367270366388,-0.0896836351831941,-1.22472657525595,-2.35810853003433,-0.0913446204775716
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,-5.05101581679116,-0.252550790839558,-1.77094606798261,-0.0885473033991303,-1.53283443421776,-2.6673074086574,-0.398361459778133
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,-3.89541715043655,-0.194770857521828,-1.80507125021546,-0.0902535625107732,-1.36153233723909,-2.49490545012686,-0.22815922435132
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,-3.45010630451954,-0.172505315225977,-1.75025251580829,-0.0875126257904143,-1.29552094077948,-2.42879990402968,-0.162241977529278
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,-2.68784684085511,-0.134392342042756,-1.69588538070201,-0.0847942690351007,-1.18252613698703,-2.31606988658527,-0.048982387388788
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,-3.14440245536157,-0.157220122768078,-1.68347830867393,-0.0841739154336963,-1.25020442048579,-2.38352499669329,-0.116883844278303
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,-4.2622541515195,-0.213112707575975,-1.78677484194115,-0.0893387420970575,-1.41591103233841,-2.54949954376598,-0.282322520910844
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,-3.46673004201258,-0.173336502100629,-1.64430100199275,-0.0822150500996375,-1.29798518825145,-2.43126436833776,-0.164706008165144
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,-3.52046371809181,-0.176023185904591,-1.76384513795037,-0.0881922568975184,-1.30595048940551,-2.43923211996211,-0.172668858848916
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,-3.1300185747187,-0.156500928735935,-1.80316328301905,-0.0901581641509525,-1.24807220193228,-2.38139686668359,-0.114747537180976
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,-6.77677334715525,-0.338838667357763,-1.88125352358353,-0.0940626761791767,-1.78865498198689,-2.92706164263591,-0.650248321337872
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,-6.45248382314652,-0.322624191157326,-1.93654596861725,-0.0968272984308625,-1.74058338316258,-2.87804236258774,-0.603124403737407
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,-3.57840680879859,-0.178920340439929,-1.04485645356551,-0.0522428226782753,-1.31453978016232,-2.44782704775925,-0.181252512565393
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,-2.67590946475096,-0.133795473237548,-1.80723448843939,-0.0903617244219695,-1.18075658011698,-2.31430875188523,-0.0472044083487315
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,-6.49636566941614,-0.324818283470807,-1.65574912597094,-0.0827874562985472,-1.7470882818823,-2.88466987184386,-0.609506691920733
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,-6.25137668018421,-0.312568834009211,-2.05555314563028,-0.102777657281514,-1.71077193018167,-2.84769155387508,-0.573852306488248
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,-3.97392748864136,-0.198696374432068,-2.00740483740414,-0.100370241870207,-1.3731704482551,-2.50657918949254,-0.239761707017663
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,-3.81105208114663,-0.190552604057332,-1.96697489322994,-0.0983487446614972,-1.34902634038925,-2.48236752555708,-0.21568515522141
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,-4.92482288648475,-0.246241144324238,-1.94839685185374,-0.0974198425926871,-1.51412801458026,-2.64842087248202,-0.379835156678497
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,-6.54055426495901,-0.32702771324795,-1.87472513118842,-0.0937362565594212,-1.7536386520925,-2.89134549034069,-0.615931813844301
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,-1.57852524415298,-0.0789262622076488,-1.94033064323236,-0.0970165321616178,-1.01808399866381,-2.15297285159552,0.116804854267888
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,-3.77063173285803,-0.188531586642901,-1.75330640075732,-0.0876653200378659,-1.34303456259991,-2.47636278460696,-0.209706340592867
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,-3.58001518037158,-0.179000759018579,-1.72150194845408,-0.086075097422704,-1.31477819980678,-2.44806566820056,-0.181490731413
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,-6.25357544889473,-0.312678772444736,-1.89236703646508,-0.0946183518232539,-1.71109786833117,-2.84802318860569,-0.574172548056651
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,-2.06343988185999,-0.103171994093,-1.10608182137112,-0.0553040910685562,-1.08996612929737,-2.22412719120225,0.0441949326075051
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,-4.73638416207871,-0.236819208103935,-1.22069652416704,-0.061034826208352,-1.48619448576738,-2.62024574933011,-0.352143222204644
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,-3.08606460013885,-0.154303230006942,-1.73614391734169,-0.0868071958670846,-1.24155661115211,-2.37489495610268,-0.108218266201554
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,-3.10720022448229,-0.155360011224114,-1.79261652055353,-0.0896308260276764,-1.24468968570161,-2.37802122925713,-0.111358142146089
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,-3.3068201290038,-0.16534100645019,-1.74679538601789,-0.0873397693008947,-1.27428067541008,-2.4075683733504,-0.140992977469755
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,-6.53141867321544,-0.326570933660772,-1.10556074887851,-0.0552780374439255,-1.75228442240327,-2.88996522020982,-0.614603624596708
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,-3.61629902919983,-0.180814951459992,-1.34974221388115,-0.0674871106940574,-1.32015679669487,-2.45344943119268,-0.186864162197066
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,-3.75137244590512,-0.187568622295256,-1.34252874689231,-0.0671264373446156,-1.34017963005508,-2.47350220728516,-0.206857052824993
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,-4.66635528131111,-0.233317764065555,-1.91593829593409,-0.0957969147967047,-1.47581363774996,-2.60978347667192,-0.341843798828
"Isla Hermite","HER42PB","HER42PB_1F",211,238.4,239.5,239,-3.40742853100376,-0.170371426550188,-1.9300272041319,-0.096501360206595,-1.289194529794,-2.42247410760514,-0.155914951982855
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,-6.56742980596359,-0.328371490298179,-1.81841961369507,-0.0909209806847535,-1.75762259276806,-2.89540648075284,-0.619838704783286
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,-3.48766969262016,-0.174383484631008,-1.57618635298677,-0.0788093176493386,-1.30108921230713,-2.43436902953439,-0.167809395079878
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,-6.0443850380338,-0.30221925190169,-1.68398146074557,-0.0841990730372785,-1.68008817864249,-2.8164913834014,-0.543684973883584
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,-3.91657881925188,-0.195828940962594,-1.62170257972682,-0.081085128986341,-1.36466927253434,-2.49805142721378,-0.231287117854905
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,-3.26571059937652,-0.163285529968826,-1.16706974645294,-0.0583534873226468,-1.26818673567477,-2.40148044768697,-0.134893023662579
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,-5.92812031623753,-0.296406015811876,-1.72331080321177,-0.0861655401605887,-1.66285348356347,-2.79898386848604,-0.526723098640904
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,-5.88597796221253,-0.294298898110626,-1.22930821361023,-0.0614654106805113,-1.65660644137981,-2.79264100329236,-0.520571879467258
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,-3.43832999088187,-0.171916499544093,-1.76869607822841,-0.0884348039114207,-1.29377525927296,-2.42705422369285,-0.160496294853077
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,-3.45092468565259,-0.17254623428263,-1.46842530176743,-0.0734212650883716,-1.2956422548726,-2.42892122281155,-0.162363286933649
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,-6.06653518533587,-0.303326759266793,-1.74370105462969,-0.0871850527314846,-1.68337164269598,-2.81982823112499,-0.546915054266964
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,-5.04730571268078,-0.252365285634039,-1.69295989719597,-0.0846479948597986,-1.53228446074287,-2.66675193003884,-0.397816991446907
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,-3.70601777885705,-0.185300888942853,-1.34331460537209,-0.0671657302686043,-1.33345640528915,-2.46676704541,-0.200145765168301
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,-6.38658211402239,-0.31932910570112,-1.76050487016108,-0.088025243508054,-1.7308143333219,-2.86809248798215,-0.593536178661645
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,-6.62600170712941,-0.331300085356471,-1.8565805685981,-0.0928290284299051,-1.76630509629274,-2.90425919316442,-0.628350999421059
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,-2.58995843324298,-0.129497921662149,-1.33304911739541,-0.0666524558697707,-1.1680154855108,-2.30163218894388,-0.0343987820777325
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,-3.69061097045937,-0.184530548522969,-1.12070203470706,-0.0560351017353532,-1.33117255133266,-2.46447956965436,-0.197865533010962
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,-6.19515259719823,-0.309757629859911,-0.632247994755619,-0.0316123997377809,-1.70243745940334,-2.83921292322535,-0.565661995581331
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,-3.96952613645718,-0.198476306822859,-1.65025649526691,-0.0825128247633455,-1.37251800646831,-2.5059245994479,-0.23911141348871
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,-5.21954701707595,-0.260977350853797,-1.89624252610233,-0.0948121263051163,-1.55781693796726,-2.6925533715176,-0.423080504416918
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,-4.57090418173811,-0.228545209086905,-1.77579853132788,-0.0887899265663941,-1.46166428469874,-2.59553043642705,-0.327798132970417
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,-3.76048686335697,-0.188024343167849,-1.77245884839042,-0.0886229424195209,-1.34153072093784,-2.47485592676098,-0.208205515114686
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,-3.66971919004749,-0.183485959502375,-1.43588136377129,-0.0717940681885645,-1.32807562339533,-2.46137808144546,-0.194773165345199
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,-4.20525968781917,-0.210262984390958,-1.80196970894089,-0.0900984854470444,-1.40746236288914,-2.54100924063365,-0.273915485144643
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,-3.48928936253818,-0.174464468126909,-1.86194601149698,-0.093097300574849,-1.30132930678063,-2.43460919019985,-0.168049423361412
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,-5.27227735425744,-0.263613867712872,-1.42215672134809,-0.0711078360674047,-1.56563350750526,-2.70045775209351,-0.430809262917012
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,-2.86825534126915,-0.143412767063457,-1.8865851311009,-0.0943292565550449,-1.20926929214417,-2.34270180754707,-0.0758367767412647
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,-6.5664433411975,-0.328322167059875,-1.98483493391307,-0.0992417466956535,-1.75747636251707,-2.89525741071703,-0.619695314317112
