"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Ti","Ti_sd","Ti_ICP","Ti_ICP_sd","fit","lwr","upr"
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,110.519230769231,0.00305578801884406,0.00064196966501692,1819.746676,23.83868146,1861.93906097066,-2600.13574827414,6324.01387021546
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,152.406666666667,0.0056928102559153,0.00186366878098898,2092.551562,28.04019092,2120.51624004547,-2341.35358977331,6582.38606986425
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,210.763076923077,0.00812966420158271,0.00336163454326596,2256.103454,45.34767943,2359.46561644051,-2102.25216264004,6821.18339552105
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,281.104545454545,0.0106625971508029,0.00267152008150815,3140.602681,31.40602681,2607.836163942,-1853.76161933748,7069.43394722149
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,321.895,0.015873416611805,0.00608670714173185,2780.927179,39.76725866,3118.79089839678,-1342.68200730109,7580.26380409465
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,363.2825,0.00857673155311931,0.0045419995851455,2482.596033,49.15540146,2403.30347756722,-2058.39030321652,6864.99725835096
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,382.52,0.00582591581374375,0.00196595189059012,2488.325779,20.15543881,2133.5681055848,-2328.29249211469,6595.42870328429
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,493.1425,0.00552063438895633,0.0014739657460944,1575.735639,15.59978283,2103.6332766191,-2358.2486540737,6565.5152073119
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,520.634166666667,0.00464170196598932,0.00105685325993495,1161.29693,11.14845052,2017.44823679152,-2444.49825925472,6479.39473283775
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,601.545833333333,0.00586644451029155,0.00170111295838801,1911.570392,23.70347286,2137.5422078421,-2324.31560008109,6599.40001576529
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,653.46,0.0045254648061608,0.00199451572810214,2382.409952,38.35680023,2006.05042737239,-2455.90495692204,6468.00581166682
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,692.363333333333,0.00409568303132859,0.00200264242141216,1894.366875,25.95282619,1963.9075294508,-2498.08142796236,6425.89648686395
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,770.521818181818,0.018600047240928,0.00324882139824936,3316.178876,18.57060171,3386.15476304156,-1075.31822722343,7847.62775330656
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,822.286923076923,0.0112771937982484,0.00442906800067444,2867.600154,48.17568258,2668.10136198667,-1793.47315286157,7129.67587683492
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,906.45,0.00550120171222762,0.00128012509459642,1937.934236,25.58073192,2101.72777629387,-2360.15553142106,6563.61108400879
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,961.955384615385,0.00484849669868288,0.00589077610479003,2422.968415,22.04901258,2037.72580513194,-2424.20507993431,6499.65669019819
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,977.5775,0.00316378900362048,0.00107124964932512,1886.233337,4.904206677,1872.52925986553,-2589.53632886242,6334.59484859349
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,1058.64692307692,0.0117271394943099,0.00588603238232522,2339.38198,29.71015115,2712.22146351212,-1749.33746449793,7173.78039152217
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,1151.60416666667,0.00333128590517945,0.00078717683445445,1783.788743,37.28118474,1888.95342030682,-2573.09800792682,6351.00484854045
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,1233.23666666667,0.0015728174309983,0.00070903641877809,2617.070294,65.68846437,1716.52415097659,-2745.68439566379,6178.73269761696
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,1270.93,0.00174061466021974,0.00062357271133836,1282.645911,9.74810892,1732.97776049823,-2729.21498698053,6195.17050797699
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,1396.85230769231,0.00076104767204917,0.00042187178201669,1694.217096,25.58267815,1636.92484711921,-2825.36253549522,6099.21222973363
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,1480.03461538462,0.00122581332071382,0.00057571022945218,1150.276453,21.05005909,1682.49814137252,-2779.74361766777,6144.73990041281
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,1611.23,0.00427230300965416,0.00135935486619278,2133.687133,27.95130145,1981.22626689702,-2480.74875842121,6443.20129221524
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,1669.44846153846,0.00480487707385755,0.00168457573303128,1670.874143,30.07573457,2033.44861725651,-2428.48553915365,6495.38277366667
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,1768.77461538462,0.00105089100706941,0.00064258402224429,410.3823586,2.339179444,1665.34587098831,-2796.91290605192,6127.60464802855
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,1865.00538461538,0.00176595090214319,0.00057261636119568,1400.001342,14.28001368,1735.46214378208,-2726.72823291664,6197.6525204808
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,1961.41923076923,0.0017205688891158,0.00060698526043295,914.3215586,7.406004625,1731.01214228251,-2731.18248368167,6193.20676824669
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,2158.50153846154,0.001308075444731,0.00060107828398751,982.7018051,5.89621083,1690.56447758844,-2771.66934218694,6152.79829736381
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,2273.88416666667,0.00177549471221153,0.0008831203165159,1202.301468,13.105086,1736.39797642331,-2725.79150824143,6198.58746108805
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,2256.42833333333,0.00545005243233262,0.00238390142063819,2108.785455,79.07945455,2096.71225677301,-2365.17468635085,6558.59919989687
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,2363.54384615385,0.00218112483917132,0.00062069016770916,775.5257867,6.204206294,1776.17264821125,-2685.9794321922,6238.3247286147
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,2407.86357142857,0.00166555669998366,0.00049049721975678,993.0986057,14.89647909,1725.6178393902,-2736.58195423278,6187.81763301318
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,2535.41461538462,0.00411487473908787,0.00278830128911602,599.0527127,5.271663872,1965.78940120154,-2496.19803320506,6427.77683560813
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,2595.94769230769,0.00187987121731278,0.00076621268727223,690.7048329,7.804964612,1746.6327715158,-2715.54699329097,6208.81253632257
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,2697.92846153846,0.00285697284591005,0.00055311862894387,549.7826232,9.071413283,1842.44394035626,-2619.64802694836,6304.53590766089
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,2780.0925,0.00374681800210309,0.00180848889228428,1725.260893,23.46354815,1929.69904464288,-2532.31798588378,6391.71607516955
"Isla Hermite","HER42PB","HER42PB_1F",211,238.4,239.5,239,2819.29,0.00291126205800912,0.00103577761658892,2165.153606,17.10471349,1847.76735064891,-2614.31990770122,6309.85460899905
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,2859.43,0.00321100756450883,0.00083478781381115,1731.529863,45.19292942,1877.15934682606,-2584.90223279543,6339.22092644755
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,2943.97461538462,0.00108906064402375,0.00147289855292947,544.0403813,9.248686483,1669.08865211136,-2793.16639567465,6131.34369989736
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,3049.39,0.00109430251971097,0.00062130022887176,1581.334342,22.13868078,1669.60265211076,-2792.6518842205,6131.85718844201
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,3062.22846153846,0.00086132297293435,0.0008097271997542,644.4824408,6.058134943,1646.75749246791,-2815.51993621678,6109.0349211526
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,3116.22307692308,0.00154745583639287,0.00060295898541781,511.753571,7.881004994,1714.0372816974,-2748.17366769891,6176.24823109371
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,3169.09230769231,0.00075174607443158,0.00041990941873104,979.9509916,16.95315215,1636.0127649839,-2826.27554404274,6098.30107401054
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,3233.34153846154,0.00098482614707254,0.00034943532357125,746.8175441,15.30975965,1658.86778184147,-2803.3974706826,6121.13303436554
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,3335.24833333333,0.00237915063927272,0.00084853982127103,1299.51414,18.84295504,1795.59036568607,-2666.54381544061,6257.72454681275
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,3328.03692307692,0.00189579546562175,0.00049630324701333,1317.861996,16.60506115,1748.19424761893,-2713.98404006209,6210.37253529995
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,3378.91846153846,0.00101076215109875,0.00048010632551242,661.2738356,13.42385886,1661.41097569979,-2800.85173150842,6123.673682908
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,3442.75846153846,0.0018749556424099,0.00051739824564058,1159.633301,2.203303272,1746.15076743026,-2716.02945365246,6208.33098851298
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,3494.21153846154,0.00138166619476421,0.00074919553160651,705.6349353,6.421277911,1697.78052919471,-2764.4462228617,6160.00728125111
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,3563.64071428571,0.00229832770612561,0.00075513750334629,1244.681812,14.93618175,1787.66515149411,-2674.4763064804,6249.80660946863
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,3603.44,0.00407561470526807,0.00241864236977533,1777.250694,7.464452914,1961.93969957491,-2500.05085279216,6423.93025194197
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,3669.60384615385,0.00154077053324575,0.00048312960432936,1032.997546,17.25105902,1713.38174424886,-2748.82983916005,6175.59332765776
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,3782.35692307692,0.00096277511044742,0.00031129924511952,1399.073387,25.04341363,1656.70553430103,-2805.56188547204,6118.97295407409
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,3810.93642857143,0.00101139775806221,0.00064818219482022,439.3035398,3.602289027,1661.47330109595,-2800.78934378589,6123.73594597779
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,4016.98,0.00109595941806068,0.00038024118530493,512.3554916,0.973475434,1669.76512176886,-2792.48925293179,6132.01949646952
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,4144.90083333333,0.0064140020601899,0.00341480815029923,2190.796475,19.71716827,2191.23378641259,-2270.58730386317,6653.05487668835
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,4223.08571428571,0.00488142984551876,0.00131739944553209,1567.919211,16.30635979,2040.95511434563,-2420.97330845067,6502.88353714193
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,4273.55307692308,0.0109211999280522,0.00350118147612177,2459.596002,18.44697001,2633.19384796226,-1828.39386640352,7094.78156232804
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,4438.2275,0.00530999028658975,0.00136564031897227,2487.088223,6.715138201,2082.97825254953,-2378.91872636237,6544.87523146143
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,4574.44,0.00167788908916649,0.00056041860960144,2279.040838,6.837122514,1726.82711034792,-2735.37152322171,6189.02574391755
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,4631.57428571429,0.00195298896924145,0.0005387414508112,2482.192492,13.15562021,1753.80244258198,-2708.3705524932,6215.97543765717
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,4743.01769230769,0.0024466815569205,0.00079336381935616,931.8953279,16.21497871,1802.21221131945,-2659.9159199728,6264.34034261171
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,4828.70428571429,0.00519520428643835,0.00167577591249467,1260.681432,26.60037821,2071.72273877373,-2390.1825532418,6533.62803078927
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,4912.70923076923,0.00449872815691542,0.00129193432401913,1130.676773,9.723820245,2003.42872504369,-2458.5287152614,6465.38616534878
