Location,Site,Section,Sample_ID,Core_section,Sample,Radius_1_cm,Radius_2_cm,Thickness_cm,section_cut_loss,section_depth_top,section_depth_bottom,section_depth_mid,field_depth_top,field_depth_bottom,field_depth_mid,strat_depth_top,strat_depth_bottom,strat_depth_mid,depth,depth_err,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,SH20_mean_95CI,accrate,accrate_err,Bag_mass,Wet_bag_g,Dry_bag_g,Wet_mass_g,Dry_mass_g,Water_Content_pc,Dry_mass,Dry_mass_err,Ash_Mass,LOI550,LOI550_err,C_org_pc,C_org_pc_err,Volume_cm3,Volume_err_cm3,Wet_density_g_cm3,Dry_density_g_cm3,Dry_density_err_g_cm3,DMAR_g_cm2_yr,DMAR_err_g_cm2_yr,DMAR_err_pc
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_21,A,21,2.3,2.1,1.2,0.20778,27.5,28.7,28.1,27.5,28.7,28.1,27.5,28.7,28.1,28.1,0.6,7,372,161,168,182,0.0884,0.09774,1.147626667,7.5656,3.2391,4.3265,2.0915,67.41,1.226397508,1.63,0.7447,-1.197807309,1.3,-1.197394254,1.31,4.4562,1.1297,0.9709,1.057250383,0.1424,0.0415,0.0585,140.9
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_22,A,22,2.4,2.1,1.1,0.20778,28.9,30,29.5,28.9,30,29.5,28.9,30.0,29.5,29.5,0.6,13,395,177,184,191,0.0865,0.09169,1.147626667,7.7953,3.5581,4.2372,2.4105,63.74,1.662015727,1.81,0.7525,-1.394422851,1.12,-1.394027604,1.13,4.2749,1.1307,0.9912,1.700729709,0.1773,0.0488,0.067,137.4
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_23,A,23,2.4,2.1,1.2,0.20778,30.2,31.4,30.8,30.2,31.4,30.8,30.2,31.4,30.8,30.8,0.6,26,409,193,199,191,0.0856,0.08396,1.147626667,8.1833,3.7684,4.4149,2.6208,62.75,1.779525819,1.86,0.749,-1.402569904,1.11,-1.402454747,1.12,4.6635,1.2801,0.9467,1.687805706,0.1824,0.0481,0.0628,130.5
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_24,A,24,2.3,2.2,1.2,0.20778,31.6,32.8,32.2,31.6,32.8,32.2,31.6,32.8,32.2,32.2,0.6,45,414,210,216,185,0.086,0.07527,1.147626667,8.2321,3.9808,4.2513,2.8332,60.01,2.10475577,2,1.0544,-1.547587444,0.98,-1.547588886,0.98,4.7689,1.3591,0.8915,1.906153342,0.199,0.0511,0.0618,121
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_25,A,25,2.3,2.1,1.1,0.20778,33.1,34.1,33.6,33.1,34.1,33.6,33.1,34.1,33.6,33.6,0.5,56,419,226,231,182,0.0859,0.06884,1.147626667,8.753,4.2258,4.5272,3.0782,59.53,2.16173036,2.02,1.0321,-1.555734497,0.97,-1.55601603,0.98,3.9894,1.1729,1.1348,3.113527343,0.2654,0.0663,0.0759,114.5
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_26,A,26,2.2,2.2,1.2,0.20778,34.3,35.5,34.9,34.3,35.5,34.9,34.3,35.5,34.9,34.9,0.6,68,429,244,247,181,0.0857,0.06427,1.147626667,8.7449,4.265,4.4799,3.1174,58.97,2.228200715,2.05,0.8527,0.017189836,2.42,0.017050767,2.42,4.5593,1.386,0.9826,2.515622133,0.242,0.0586,0.0647,110.4
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_27,A,27,2.3,2.1,1.2,0.20778,35.7,36.9,36.3,35.7,36.9,36.3,35.7,36.9,36.3,36.3,0.6,78,437,262,263,179,0.0857,0.05986,1.147626667,8.3165,4.0226,4.2939,2.875,59.9,2.117812447,2.01,0.8924,-1.586150161,0.95,-1.585979207,0.95,4.4562,1.397,0.9636,2.253741012,0.2345,0.0553,0.0587,106.2
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_28,A,28,2.2,2.1,1.1,0.20778,37.1,38.2,37.7,37.1,38.2,37.7,37.1,38.2,37.7,37.7,0.6,89,447,280,279,179,0.0859,0.05639,1.147626667,7.3726,3.4396,3.933,2.292,63.18,1.728486082,1.84,0.7861,-1.521516875,1.01,-1.521371106,1.01,3.8992,1.2575,1.0087,1.863300068,0.219,0.0505,0.052,102.9
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_29,A,29,2.3,2.1,1.2,0.20778,38.4,39.6,39,38.4,39.6,39,38.4,39.6,39.0,39.0,0.6,97,463,296,294,183,0.0834,0.05314,1.147626667,7.7604,3.9721,3.7883,2.8245,57.29,2.42761178,2.14,1.2004,-1.856632315,0.7,-1.85658415,0.7,4.2706,1.4242,0.8871,2.363935146,0.2536,0.0552,0.0563,102.1
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_30,A,30,2.1,2.1,1.2,0.20778,39.8,40.9,40.4,39.8,40.9,40.4,39.8,40.9,40.4,40.4,0.6,113,479,313,311,183,0.078,0.04705,1.147626667,7.3094,3.5679,3.7415,2.4203,60.72,2.020480856,1.96,1.0001,-1.751263765,0.79,-1.750776681,0.8,3.8869,1.3274,0.9626,2.100693604,0.2438,0.0486,0.0483,99.5
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_31,A,31,2.1,2.1,1.1,0.20778,41.2,42.3,41.7,41.2,42.3,41.7,41.2,42.3,41.8,41.8,0.6,154,482,329,328,164,0.0777,0.0399,1.147626667,7.6669,3.8449,3.822,2.6973,58.63,2.268557717,2.07,0.2839,-1.626885425,0.91,-1.627178576,0.91,3.6289,1.2737,1.0532,2.921027713,0.2981,0.0578,0.0528,91.5
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_32,A,32,2.1,2.2,1.2,0.20778,42.5,43.7,43.1,42.5,43.7,43.1,42.5,43.7,43.1,43.1,0.6,190,486,346,345,148,0.078,0.03455,1.147626667,7.3429,2.8962,4.4467,1.7486,71.78,0.707691345,1.41,0.1793,-0.823586016,1.65,-0.82379089,1.65,4.1542,1.5038,1.0704,0.728028402,0.1734,0.0328,0.0281,85.5
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_33,A,33,2.1,2.3,1.2,0.20778,43.9,45,44.4,43.9,45,44.4,43.9,45.0,44.5,44.5,0.6,226,491,366,363,132,0.0777,0.02934,1.147626667,7.2577,2.778,4.4797,1.6304,73.32,0.524897869,1.33,0.1051,-0.559621504,1.89,-0.559740392,1.89,4.173,1.5565,1.0735,0.522604769,0.1653,0.0304,0.0243,80.1
Isla Hermite,HER42PB,HER42PB1A,HER42PB1A_34,A,34,2,2.1,1.2,0.20778,45.2,46.4,45.8,45.2,46.4,45.8,45.2,46.4,45.8,45.8,0.6,253,496,388,381,122,0.0772,0.02563,1.147626667,6.682,2.4898,4.1922,1.3422,75.75,0.236464007,1.21,0.121,-0.398852995,2.04,-0.398688315,2.04,3.7018,1.4085,1.1325,0.331465561,0.1561,0.028,0.0213,76.3
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_42,B,42,2.1,2,1.2,0.20556,5.7,6.9,6.3,45.7,46.9,46.3,45.7,46.9,46.3,46.3,0.6,262,499,397,387,118,0.0779,0.0248,1.147626667,7.1204,2.9192,4.2012,1.7716,70.34,0.878615115,1.48,0.2255,-0.936558482,1.54,-0.936152804,1.55,3.7018,1.7047,1.1349,1.120509978,0.2443,0.0373,0.0309,82.9
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_43,B,43,2.1,2.2,1.1,0.20556,7.1,8.2,7.6,47.1,48.2,47.6,47.1,48.2,47.7,47.7,0.6,284,508,420,404,112,0.0782,0.02252,1.147626667,7.0745,2.8174,4.2571,1.6698,71.83,0.701756492,1.41,0.1567,-0.722019424,1.74,-0.721728818,1.74,3.9915,1.888,1.0665,0.710342924,0.2188,0.0327,0.0265,81.1
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_44,B,44,2.2,2.3,1.2,0.20556,8.4,9.6,9,48.4,49.6,49,48.4,49.6,49.0,49.0,0.6,304,519,443,421,107,0.0838,0.0224,1.147626667,7.6652,2.8266,4.8386,1.679,74.24,0.415696571,1.29,0.1643,-0.472176471,1.97,-0.472659909,1.97,4.6635,2.2595,1.0375,0.313780083,0.1924,0.0302,0.0242,80.2
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_45,B,45,2.1,2.1,1.2,0.20556,9.8,11,10.4,49.8,51,50.4,49.8,51.0,50.4,50.4,0.6,322,536,461,438,107,0.1066,0.02723,1.147626667,7.3351,2.5991,4.736,1.4515,76.54,0.142693328,1.17,0.1894,-0.49824704,1.95,-0.497941339,1.95,3.9588,1.9437,1.1963,0.358673989,0.1984,0.0391,0.0311,79.6
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_46,B,46,2.3,2.1,1.2,0.20556,11.2,12.4,11.8,51.2,52.4,51.8,51.2,52.4,51.8,51.8,0.6,334,550,474,451,108,0.1055,0.02649,1.147626667,7.751,2.8612,4.8898,1.7136,74.05,0.438249013,1.3,0.1666,-0.623711653,1.83,-0.623412143,1.83,4.5593,2.2979,1.0725,0.421253374,0.2082,0.0397,0.0319,80.5
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_47,B,47,2.2,2.2,1.2,0.20556,12.6,13.8,13.2,52.6,53.8,53.2,52.6,53.8,53.2,53.2,0.6,340,572,484,464,116,0.1066,0.02778,1.147626667,7.5294,2.766,4.7634,1.6184,74.64,0.368217746,1.27,0.2063,-0.939274166,1.54,-0.938961852,1.54,4.2706,2.1929,1.1154,0.443020117,0.2135,0.0404,0.0333,82.4
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_48,B,48,2.1,2.1,1.2,0.20556,14,15.1,14.5,54,55.1,54.5,54,55.1,54.6,54.6,0.6,345,599,494,477,127,0.1058,0.02929,1.147626667,7.2276,2.6249,4.6027,1.4773,75.7,0.24239886,1.21,0.1425,-0.3945079,2.04,-0.394942918,2.04,3.9811,2.0781,1.1561,0.389283471,0.2123,0.0393,0.0333,84.9
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_49,B,49,2.2,2.1,1.2,0.20556,15.3,16.5,15.9,55.3,56.5,55.9,55.3,56.5,55.9,55.9,0.6,349,628,502,490,139,0.1066,0.03144,1.147626667,7.8671,2.9532,4.9139,1.8056,73.13,0.547450311,1.34,0.1335,-0.078945387,2.33,-0.07845686,2.33,4.0765,2.1707,1.2054,0.877674757,0.258,0.0472,0.0414,87.7
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_50,B,50,2.2,2.1,1.2,0.20556,16.7,17.8,17.2,56.7,57.8,57.2,56.7,57.8,57.3,57.3,0.6,353,658,511,503,153,0.1062,0.0333,1.147626667,7.9596,3.2601,4.6995,2.1125,68.99,1.038856149,1.55,0.1665,-1.067997601,1.42,-1.068178053,1.43,3.9811,2.1578,1.1804,1.474219545,0.3141,0.0564,0.051,90.6
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_51,B,51,2.2,2.1,1.1,0.20556,18,19.1,18.6,58,59.1,58.6,58,59.1,58.6,58.6,0.6,356,690,519,515,167,0.1058,0.03531,1.147626667,7.7332,2.9452,4.788,1.7976,72.7,0.598490048,1.36,0.222,-1.039211348,1.45,-1.039151225,1.45,3.8992,2.1543,1.2279,1.000792894,0.2778,0.0488,0.0457,93.6
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_52,B,52,2.2,2.1,1.1,0.20556,19.3,20.4,19.9,59.3,60.4,59.9,59.3,60.4,59.9,59.9,0.6,358,724,528,528,183,0.0915,0.0326,1.147626667,7.8707,2.8452,5.0255,1.6976,74.75,0.355161069,1.26,0.1782,-0.642178306,1.81,-0.642139129,1.82,3.8992,2.1933,1.2888,0.826658954,0.2667,0.0398,0.0386,96.9
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_53,B,53,2.1,2.1,1.1,0.20556,20.6,21.7,21.2,60.6,61.7,61.2,60.6,61.7,61.2,61.2,0.6,374,736,542,542,181,0.0895,0.03071,1.147626667,7.6072,2.7906,4.8166,1.643,74.57,0.376526541,1.27,0.1744,-0.664446917,1.79,-0.664611512,1.8,3.7179,2.1248,1.2955,0.87087265,0.2746,0.0396,0.0382,96.5
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_54,B,54,2.2,2.2,1.2,0.20556,21.9,23.1,22.5,61.9,63.1,62.5,61.9,63.1,62.5,62.5,0.6,385,749,558,557,182,0.0901,0.03037,1.147626667,8.2725,3.0913,5.1812,1.9437,72.72,0.596116106,1.36,0.1418,-0.821413469,1.65,-0.821918191,1.65,4.4562,2.6002,1.1627,0.83210064,0.2763,0.0393,0.0381,97.1
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_55,B,55,2.2,2,1.1,0.20556,23.3,24.4,23.9,63.3,64.4,63.9,63.3,64.4,63.9,63.9,0.6,393,768,572,572,187,0.0895,0.03008,1.147626667,6.9412,2.4824,4.4588,1.3348,76.96,0.092840561,1.15,0.0957,-0.860519322,1.61,-0.860308512,1.62,3.808,2.2544,1.1709,0.249160066,0.225,0.0314,0.0307,97.8
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_56,B,56,2,2.3,1.1,0.20556,24.7,25.8,25.2,64.7,65.8,65.2,64.7,65.8,65.3,65.3,0.6,401,788,586,587,194,0.0894,0.03031,1.147626667,7.1786,2.3474,4.8312,1.1998,80.11,-0.281055185,0.99,0.1018,-0.277733476,2.15,-0.277899257,2.15,3.808,2.2924,1.2687,0.008365477,0.2054,0.0282,0.0279,99.1
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_57,B,57,2.1,2.1,1.1,0.20556,26,27.1,26.5,66,67.1,66.5,66,67.1,66.6,66.6,0.6,406,820,599,601,207,0.0899,0.03167,1.147626667,7.5427,2.7458,4.7969,1.5982,75.01,0.324299833,1.25,0.1239,-0.617194011,1.84,-0.616857698,1.84,3.6289,2.2172,1.3219,0.860669489,0.2911,0.0396,0.0401,101.3
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_58,B,58,2.1,2.2,1.1,0.20556,27.3,28.3,27.8,67.3,68.3,67.8,67.3,68.3,67.8,67.8,0.5,412,852,610,615,220,0.0901,0.03289,1.147626667,7.1545,2.704,4.4505,1.5564,74.09,0.433501131,1.3,0.1277,-0.634031253,1.82,-0.634648335,1.82,3.8101,2.3737,1.1681,0.643682275,0.2749,0.0368,0.0382,103.8
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_59,B,59,2.2,2.2,1.2,0.20556,28.5,29.7,29.1,68.5,69.7,69.1,68.5,69.7,69.1,69.1,0.6,418,886,622,630,234,0.092,0.03494,1.147626667,8.0565,2.9897,5.0668,1.8421,73.34,0.522523928,1.33,0.1809,-0.99738981,1.49,-0.997951857,1.49,4.2706,2.7054,1.1864,0.798770315,0.2948,0.0397,0.0422,106.3
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_60,B,60,2.2,2.1,1.1,0.20556,29.9,30.9,30.4,69.9,70.9,70.4,69.9,70.9,70.4,70.4,0.5,426,913,634,644,243,0.0984,0.03793,1.147626667,7.754,3.1857,4.5683,2.0381,69.15,1.019864619,1.54,0.263,-1.214644552,1.29,-1.214248541,1.29,3.722,2.3914,1.2274,1.589855365,0.3792,0.0539,0.0581,107.8
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_61,B,61,2.2,2.2,1.1,0.20556,31.1,32.2,31.7,71.1,72.2,71.7,71.1,72.2,71.7,71.7,0.6,438,921,647,657,241,0.0985,0.0369,1.147626667,7.8203,3.1071,4.7132,1.9595,70.63,0.844192967,1.47,0.187,-1.052789769,1.44,-1.052260115,1.44,4.0849,2.6695,1.1538,1.127992296,0.3375,0.0472,0.0509,107.8
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_62,B,62,2.1,2.1,1.1,0.20556,32.4,33.5,33,72.4,73.5,73,72.4,73.5,73.0,73.0,0.5,452,929,661,670,239,0.0989,0.03593,1.147626667,7.4977,2.9865,4.5112,1.8389,71.04,0.795527171,1.45,0.1714,-0.969146693,1.51,-0.968925029,1.52,3.6349,2.4063,1.2411,1.306207501,0.3602,0.05,0.0538,107.5
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_63,B,63,2.2,2.1,1.2,0.20556,33.7,34.8,34.3,73.7,74.8,74.3,73.7,74.8,74.3,74.3,0.6,463,939,675,683,238,0.0985,0.03504,1.147626667,7.2075,2.7871,4.4204,1.6395,72.95,0.568815782,1.35,0.1578,-0.804033089,1.67,-0.804127555,1.67,4.0765,2.7414,1.0844,0.600829,0.2906,0.0396,0.0427,107.8
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_64,B,64,2.2,2,1,0.20556,35,36,35.5,75,76,75.5,75,76.0,75.5,75.5,0.5,473,953,689,696,240,0.0981,0.03448,1.147626667,7.2623,2.9707,4.2916,1.8231,70.19,0.896419674,1.49,0.2241,-1.633946204,0.9,-1.633733021,0.91,3.4619,2.361,1.2397,1.447011117,0.3855,0.0517,0.056,108.4
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_65,B,65,2.2,2.1,1.1,0.20556,36.3,37.4,36.8,76.2,77.3,76.8,76.2,77.3,76.8,76.8,0.6,480,964,703,709,242,0.0985,0.03433,1.147626667,7.1291,3.0757,4.0534,1.9281,67.77,1.183666566,1.61,0.2901,-1.560079592,0.97,-1.559761427,0.97,3.808,2.6352,1.0644,1.308928344,0.3757,0.0499,0.0544,109.1
Isla Hermite,HER42PB,HER42PB1B,HER42PB1B_66,B,66,2.1,2,1.1,0.20556,37.6,38.6,38.1,77.6,78.6,78.1,77.6,78.6,78.1,78.1,0.5,489,977,716,722,244,0.0985,0.03398,1.147626667,7.4965,3.3537,4.1428,2.2061,65.25,1.482783163,1.74,0.2354,-1.174995562,1.32,-1.174921871,1.33,3.4639,2.4282,1.196,2.197283524,0.4783,0.0627,0.0688,109.6
