"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","coh_inc_sd","water_content_pc","water_content_err","dry_mass_pc","dry_mass_err","density_gcm3","density_gcm3_err","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,22053.5,55644.7,1.456,-3.4956575435043,0.389741246459489,-2.27718490075324,-1.6087837185351,3.71037611955488,-1.11681868023692,0.270405969310834,-0.737762636215164,-4.28492142373649,-2.58353057017383,0.722322199723201,1.67411775199215,5.61797623880059,3.71971994731391,0.149871289,1.0911729772677,0.213827068399223,1.12053022836869,0.344736292498272,0.250668463263327,0.608241763082827,0.256106463142549,1.22203083211368,0.133601250491079,1.84092621181122,0.33080472278518,0.194057152193587,0.135747444189869,0.144471675011255,0.00371803632177862,84.44773905,4.222386952,15.55226095,1.555226095,0.177747431,0.017774743,4680.104734,586.151653,2160.208858,504.1027803,6240.983611,108.9028532,344.5794406,2.148483588,41.07148346,0.20369105,23779.92504,84.31463012,0.986560337,0.017365677,4.505779401,0.038483459,32.9760233,0.203795286,29.80921049,0.499214017,6.793606115,0.069503372,5.026836978,0.140151798,101.292967,0.811859205,7.527120756,0.159172342,1.7765461,0.019867709,0.69790539,0.001405959
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,21318.4545454545,65289.2727272727,1.38454545454545,-3.75135426989685,0.0383987734239286,-2.15063636397601,-1.99485237505416,4.6332393967313,0.173221686827183,-0.112556234292878,-0.47860456399589,-0.854210215699683,-4.60134856301904,-0.260139758923433,1.11373092420781,5.02857444680305,3.21653711686467,0.163339329727273,1.19526481449277,0.229526974340833,0.875142902703194,0.866365282364495,0.189604610329715,0.262082924655834,0.236447825524564,0.503667169798931,1.24291138799839,1.75193104254673,0.550594010835656,0.298687380166197,0.211404806870595,0.215330020564178,0.00256756843248978,85.67958003,4.283979001,14.32041997,1.432041997,0.148754132,0.014875413,4753.263651,653.2476809,2135.960113,544.2065152,7771.356271,103.9511198,232.314161,2.611283675,56.87091915,0.770254564,58747.48129,702.1728764,23.84445704,0.16101435,14.66999494,0.043454784,145.5334854,0.604259635,316.1883316,1.43334069,15.17453377,0.147209444,2.699363842,0.043626306,119.6977813,1.823339563,5.881017729,0.137897582,3.15990626,0.005576577,0.499045891,0.00796755
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,22988.5454545455,61328.0909090909,1.34272727272727,-3.29633618391312,-0.279600852467832,-2.27777999302379,-2.57980524506951,3.71903761257281,-0.361024735992089,-0.19578236112332,-0.728668589829181,0.0553481718881429,-3.18953140700095,0.0143164378354867,1.05296598744817,4.96377019488175,3.10309096379344,0.155620113454545,0.766717073229021,0.231622231460116,0.302150990416144,0.490313170662651,0.202037481719674,0.351445084702718,0.201745498345068,0.559959149759158,0.336913125913729,1.77927004330374,0.451384891786659,0.19905547148357,0.197401164029724,0.185860956388753,0.00423640430757824,84.86245119,4.24312256,15.13754881,1.513754881,0.207020337,0.020702034,3716.413631,63.81448751,1942.49545,493.2577849,6196.60628,108.1773992,227.4128172,2.821840444,39.2756349,0.284820113,49872.72804,195.5233093,36.34308788,0.239108874,15.10269284,0.154591105,49.70613596,0.602315252,205.2689039,3.657473631,12.76796013,0.043601511,2.511699688,0.052718839,99.83622626,1.333664845,5.366567931,0.132996241,1.246594212,0.013360443,0.429107176,0.003204618
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,21941.25,90008.25,1.515,-4.64668476175966,-0.159530809879896,-2.3666285148322,-1.89156055187371,5.38037198872172,0.46164371165304,-0.453541594462407,-0.434091797898764,-0.0675619083588173,-3.89324718809708,-0.160763672104016,0.606968113639855,4.64335856652967,2.98126841872227,0.18981486525,1.0632549505275,0.154664471340245,0.888927498977495,0.471396749055523,0.220209558099208,0.397998614783006,0.236924201475517,0.302053876498558,0.420436564798203,1.97393797003487,0.417362998353196,0.287237299439315,0.182586087644228,0.171597354251318,0.00545146347910097,81.18525035,4.059262517,18.81474965,1.881474965,0.208570691,0.020857069,4199.690674,81.21750475,643.1526044,288.8626367,6725.623999,76.79365852,263.8954581,3.723189943,55.60667563,0.815337755,73040.17367,1106.313667,35.13097178,0.339194543,14.43173082,0.092282265,80.36054861,0.943852418,206.0678435,1.998237331,16.9214082,0.263096896,3.349219592,0.075375837,110.4667193,1.25507819,6.491956622,0.038041679,3.493072909,0.039826018,0.610606448,0.001338725
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,22949.0909090909,77882.8181818182,1.48090909090909,-4.48195710753995,-0.208566925178964,-2.11256073876404,-2.20265881281682,4.79263725328706,0.321754635732193,-0.418107372358652,-0.375781815081045,0.0927161601132936,-3.92756367221022,0.0820080384335238,0.750965259336619,4.72542324647797,2.96169185056904,0.171447406090909,1.31051045363592,0.228018816573406,0.958657997458855,0.552058890297718,0.346872716249074,0.266539062378295,0.353038430044472,0.360372674933314,0.282956068182128,1.88240618021291,0.287182520078651,0.310369067237545,0.307180137725223,0.294404402165298,0.00403567896790407,80.63662046,4.031831023,19.36337954,1.936337954,0.217571512,0.021757151,3127.488942,35.02606732,661.9708417,325.0800747,5960.306307,73.5430348,277.5603378,3.234638602,54.76131918,0.753154456,74836.34761,1508.582346,16.81953054,0.252021868,12.65956686,0.112267444,78.52750915,0.406648955,100.7202187,1.066310133,15.16180663,0.331171028,3.120629768,0.061658011,95.05242503,0.168162163,6.318871737,0.0188804,3.874266683,0.031053551,0.552785654,0.004543821
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,22421.4,74987.1,1.433,-2.45773460347745,0.0300633783108666,-1.24569402485805,-1.66861343026957,4.48648610154556,-0.258402856746342,-0.627140580835869,-1.02642510654418,-2.06434427691569,-3.34896313301011,0.410004137511227,0.517415877378294,4.50693589609609,2.74641262181522,0.1720160675,0.522357227216453,0.228695125668289,0.296973880410751,0.192343493976331,0.255776327694297,0.46985796747172,0.196387354392692,0.357582681181211,1.02163177624913,1.99891382937692,0.242339246926908,0.264094630583638,0.250718817042444,0.243235201779439,0.0048410711869434,79.31158754,3.965579377,20.68841246,2.068841246,0.286703829,0.028670383,2256.343461,33.09058136,1745.183529,636.3270443,6654.679504,148.2965685,691.4862269,19.13692576,80.6250656,1.855020668,65108.07757,794.4594063,25.16163647,0.249659858,12.05911704,0.120104386,51.06064778,0.387827921,130.9239492,1.378555529,14.08609213,0.26063734,9.077687309,0.090928537,109.9097917,0.96047458,13.10956878,0.116047921,4.086498841,0.00643734,0.973432922,0.009359448
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,22422,70225.6666666667,1.4325,-3.48504365580809,0.216173681047612,-1.57063457835539,-1.59341294140561,4.88503583116421,0.0240852603367449,0.0164654684760039,-0.724997706986697,-4.086153132651,-4.14211883974394,0.723717850618187,1.19373808919523,5.17855740233814,3.36458727177461,0.163066211666667,1.31161182421688,0.175872423070702,0.396138779398375,0.265285030380734,0.12925418666411,0.38617384504858,0.191205020522195,0.909581722449664,1.06684922503532,1.76791339497616,0.290802524337181,0.242052365379925,0.143256272071052,0.142160691003126,0.00463478219692574,85.15747699,4.257873849,14.84252301,1.484252301,0.17652867,0.017652867,1913.800621,31.98948586,543.4726901,321.6442737,6154.781584,212.2812892,244.2716404,8.441122001,70.96066682,1.987543814,88890.89611,1660.843449,11.55396277,0.105306814,9.165262456,0.085089883,50.54112884,0.613078987,83.34916521,1.323098068,17.61827763,0.432720307,2.400125578,0.053500798,92.99111859,0.763475857,4.823094008,0.025467738,4.499188133,0.02272668,0.436569956,0.006324564
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,21681.0833333333,58369,1.37083333333333,-3.58591471705587,-0.22529387622096,-1.6630380945441,-2.20044944864492,3.64142170179998,-0.218361403124528,-0.132023962573015,-0.453565035032797,-2.93080843767048,-2.58858713995211,0.548916281250997,1.34629819739294,5.15718586874632,3.30422006562855,0.1568333585,1.37884790868678,0.162835615483035,0.38434701100739,0.840977470970611,0.450542860836254,0.47444552706697,0.178849456249319,0.273955852420292,1.43053148548943,2.12986631174302,0.384360993869185,0.141835316657832,0.11907764896817,0.13535842384969,0.00460904109211662,82.30218853,4.115109426,17.69781147,1.769781147,0.241308675,0.024130868,1062.510848,14.90439106,2704.115972,923.7798793,4314.171561,119.5885434,390.264881,7.243542018,272.5348429,4.718080418,76198.44633,424.3239232,13.36853596,0.092428737,9.036215502,0.032002711,35.29243706,0.37314492,141.7452321,1.295372249,16.48089604,0.082550766,13.28023284,0.106355187,54.97448254,0.904111945,14.95585253,0.150306821,3.349093001,0.037822983,0.815362521,0.010288198
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,18258.6363636364,68171.2727272727,1.48909090909091,-3.60763806211143,-0.196119845138529,-1.60836007345338,-2.29779641453286,5.03347781529863,0.0531906717338884,-0.562145238393282,-0.68189458913446,-1.43177560180031,-3.06770693668656,0.392178931368049,0.476494394390415,4.58024440672689,2.91785054173294,0.190100895727273,1.18754078886274,0.228207771378515,0.444887310565346,0.663691203298173,0.439760741405502,0.42225567360921,0.261162738081661,0.320926767114416,1.07633636223707,1.58582457931697,0.179575203353601,0.208992251167774,0.142385657421533,0.165234231470247,0.0133013700302859,54.15974773,2.707987387,45.84025227,4.584025227,0.283876328,0.028387633,1907.808331,19.06490942,473.7956247,223.0052862,3366.405358,43.51758987,159.3219544,2.10548711,48.26462876,0.742906646,244762.4318,2521.469387,24.67115714,0.388038712,18.49534977,0.16867968,54.25753022,0.451401204,108.9295808,0.641673601,29.81581511,0.773136298,2.02301219,0.013793806,53.58134359,0.512470791,3.512118591,0.040596801,3.936977584,0.019326058,0.365718702,0.003108463
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,22654.7272727273,67323.5454545455,1.41818181818182,-4.30360981332425,-0.583497355857295,-2.24135056179171,-2.45771552946296,4.1198798933634,-0.017193749949368,-0.439247677555882,-0.418618678596509,-0.510773624648984,-1.74171441340036,0.266332602805602,0.759731340022295,4.69330800708825,2.87446956130778,0.162232980090909,1.45917704595202,0.185743250584513,0.6146887948862,0.523848524885045,0.228158609626162,0.243888150840469,0.201967497683063,0.218133048864967,0.333383127975217,0.780074834884313,0.212581367237141,0.23469936565727,0.116923098042335,0.114187578141349,0.00260452872874025,79.92749239,3.996374619,20.07250761,2.007250761,0.233658379,0.023365838,3740.72618,50.17060239,519.5682507,257.8592821,6376.14109,151.4025643,247.3342292,5.109463262,71.25145017,1.139627929,33059.50476,411.0830407,30.22335953,0.347057047,15.52691154,0.153207334,93.06939632,0.991321257,242.3611357,4.004351166,13.38786455,0.172694261,3.033425815,0.053768638,126.2966844,0.909448982,6.610934788,0.094285182,3.489982864,0.053218462,0.532835757,0.004931813
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,21037,62387.3636363636,1.34363636363636,-2.34069805308278,0.0598023924671574,-0.943988969542901,-2.15377780540837,4.27800023160902,-0.778018908833775,-0.402796308217846,-0.438879142721491,-4.10280430065244,-3.22070335042366,0.8860662666031,1.09137127232843,4.9508526464273,3.11557402944825,0.159601122545455,1.03642113410592,0.271284509294236,0.387922507982671,0.926143038414432,0.369202342356889,0.655232174782044,0.279440167712656,0.327336758694662,1.13017535228475,2.02642499761941,0.243427069667152,0.212153352014641,0.253987647053887,0.250523168601026,0.00336775217890736,75.51545368,3.775772684,24.48454632,2.448454632,0.271119644,0.027111964,4761.875299,30.36296028,2355.45594,816.8976853,6975.754499,274.4419208,799.193679,23.04972736,63.1732016,1.032756436,19940.78074,195.2603694,5.120949268,0.044446999,8.855748872,0.059897145,61.1989585,0.484100081,50.4248919,0.745226883,5.486958807,0.08884197,12.19802273,0.459798787,152.5618881,1.310436979,25.31019839,0.350281555,5.131125425,0.052935455,1.245198413,0.027091858
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,20858.5,76598.3,1.446,-2.57559319600601,-0.0293291412539912,-1.44048519161489,-1.94587649297811,4.68977463502002,-0.0441818563428987,-0.732479411632358,-1.05863532321062,-0.902657259015772,-3.75811481525173,0.586006562830085,0.251575189353354,4.33370452056092,2.626291779542,0.1813896864,0.73885039690065,0.23468521940662,0.333739323762487,0.212715821085545,0.195318298305272,0.23430672497862,0.222192312099173,0.356795257708412,0.437968677975086,1.87932184782614,0.323067656738701,0.176858521145814,0.125691204692284,0.13211762232013,0.00475555581895366,75.42653024,3.771326512,24.57346976,2.457346976,0.306744795,0.030674479,4611.136234,33.19747396,1070.885179,427.93975,6849.57438,146.3509218,482.4222414,13.2812371,70.44102514,1.552356955,91742.56196,2210.042469,76.74575589,1.991003144,30.78295408,0.919411339,84.15061701,1.054966543,199.4152519,1.966916731,10.06036084,0.205877938,4.992973415,0.124594431,138.0986394,3.800967424,9.681378018,0.061403622,6.041542002,0.028948675,0.81296146,0.006029443
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,20704.7,67593,1.402,-3.47715158721657,-0.00775544312323377,-1.55863072611852,-2.11891073983537,4.70353700859647,-0.219858830211939,-0.36684256395922,-0.338822641930299,-2.09506346661263,-3.87379362287244,0.724065509479941,0.782704114359637,4.81893760831094,3.02758538113324,0.16678873995,1.1049363703158,0.303335541846726,0.425156695047559,0.837962830445052,0.244401715200775,0.549656237736308,0.349324399698369,0.379693990292396,1.51356487597892,1.73125025344483,0.301812163917996,0.296917232488216,0.292801739010167,0.292263358476495,0.00435648814020502,77.82667862,3.891333931,22.17332138,2.217332138,0.217762879,0.021776288,5476.238187,44.56145304,1739.758107,627.1074323,7954.492393,112.904805,927.4315698,12.88564894,100.6908119,1.179209481,63330.72521,818.7355802,33.30735274,0.338289287,18.94940307,0.152496095,69.48540749,0.847400448,155.6838291,0.659026021,17.98872607,0.108961756,9.175578982,0.009274375,172.6424549,2.126521142,18.17108513,0.431769602,10.90930959,0.055230939,1.325701748,0.018963946
