"Location","Site","Section","sample","min_depth","max_depth","midpoint","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","Ln_inc_coh","coh_inc","Ln_coh_inc","Total_scatter","kcps_sd","cps_sd","MSE_sd","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","inc_coh_sd","Ln_inc_coh_sd","coh_inc_sd","Ln_coh_inc_sd","Total_scatter_sd","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Marion Island","PB1","PB1.1A",16,22.3,23.5,22.9,22.9,0.6,33.1,237.9,150,145.3,102,0.08437,0.06175,20499.5384615385,50354,1.31307692307692,14.3076923076923,103.692307692308,139.153846153846,21.6923076923077,1944.07692307692,66.8461538461538,189.307692307692,89.2307692307692,5.23076923076923,14.9230769230769,159.461538461538,810.769230769231,38739.1538461538,5718.15384615385,6.77965061782147,1.91358464913,0.147600633928766,-1.91358464913,44457.3076923077,281.729957993056,1835.6502026984,0.103632734161285,7.66360027863988,23.410768944315,24.5317690415447,14.0379522211789,1525.14466316797,48.2525407860321,24.6657137723082,48.2219760519929,11.6200534002921,33.041543392275,99.685852711251,68.8393708161178,472.107834813518,176.954724036897,0.184648869982514,0.0271516345740627,0.00399629330332039,0.0271516345740622,582.496120819041,88.27,11.73,0.59,0,0,0,0,4.3273,0.8741,1.2467,0.1462,0.0368,0.0123,0.0121,98.4
"Marion Island","PB1","PB1.1A",17,23.7,24.9,24.3,24.3,0.6,41.3,250.5,170.5,161.6,105,0.08595,0.05786,21543,53523.9230769231,1.34769230769231,7.15384615384615,100.615384615385,104.153846153846,18.2307692307692,4082.76923076923,50.3846153846154,200.692307692308,104.461538461538,6.15384615384615,35.6153846153846,150.153846153846,954.384615384615,39635.1538461538,5831.30769230769,6.80089057109989,1.91666108259955,0.147154705216793,-1.91666108259955,45466.4615384615,402.088506011633,3446.72374537372,0.117200245033436,6.80497555526045,13.0226626920052,20.8360511047805,14.8163977074605,3805.01062534316,41.2503302240084,30.4996847398587,41.3271810971411,17.295693846765,46.1980130552864,82.2474378059343,90.783201880027,771.396336322845,162.834980176959,0.198954364912334,0.0291192156048724,0.00426820058559164,0.0291192156048724,832.765534768002,88.55,11.45,0.57,0,0,0,0,4.8578,1.042,0.9916,0.1135,0.03,0.0098,0.0092,93.8
"Marion Island","PB1","PB1.1A",18,25,26.2,25.6,25.6,0.6,53.7,261.7,186.9,176.9,104,0.08255,0.05035,22327.2307692308,53721.4615384615,1.33615384615385,9.84615384615385,130.461538461538,143.692307692308,28.1538461538462,1448.92307692308,48.0769230769231,217.846153846154,115.076923076923,4.23076923076923,4.46153846153846,164.692307692308,948.692307692308,41864.3076923077,6068.92307692308,6.90145452759504,1.9314383807734,0.144982468455641,-1.9314383807734,47933.2307692308,337.658395879167,782.2705856868,0.0980253760970819,7.95661311788454,20.2345224167979,29.4176381767374,18.4609775555817,510.707917427444,35.0439284766552,32.5060152224327,43.3233223150102,11.1814865302267,16.0863056905316,93.6735329174189,96.9539277314958,641.098846332787,154.282998382011,0.173525008935185,0.0252761509636424,0.00368486313114733,0.0252761509636426,702.89107191254,89.05,10.95,0.55,0,0,0,0,4.9854,1.1317,1.1532,0.1263,0.035,0.0104,0.0092,88.7
"Marion Island","PB1","PB1.1A",19,26.3,27.5,26.9,26.9,0.6,67.5,266.4,204.1,192.7,99,0.08573,0.04617,22391.0769230769,53623.4615384615,1.35230769230769,11.6153846153846,122.076923076923,115.615384615385,23.2307692307692,1612.84615384615,47.6923076923077,214.923076923077,84.3846153846154,0.105263157894737,31.0769230769231,139.923076923077,963.307692307692,41735.6153846154,6013.46153846154,6.94294707684005,1.93754281063509,0.144083859929507,-1.93754281063509,47749.0769230769,183.976656824746,646.841121062534,0.106626595037217,6.46192001315478,19.6827400635749,18.554148060647,17.1033809822982,507.850346420059,29.6995640130306,36.9627324442281,44.6328325741235,0.458831467741123,48.3071104815525,60.4282791669341,70.3294445394727,390.929349640388,134.084932899895,0.138630548408609,0.0199276484689966,0.00286513697152858,0.0199276484689973,467.179027343634,89.25,10.75,0.54,0,0,0,0,4.7689,1.1207,1.2457,0.134,0.0382,0.0115,0.0095,82.4
"Marion Island","PB1","PB1.1A",20,27.6,28.9,28.2,28.2,0.6,79.5,274.2,220.5,208.4,97,0.08108,0.03967,22456.9285714286,54954.7857142857,1.31071428571429,11.5,144.428571428571,166.5,35.7142857142857,2706.92857142857,43.7142857142857,231.357142857143,113.428571428571,1.21428571428571,26.7857142857143,165.142857142857,968.714285714286,41770.7142857143,6148.78571428571,6.79696935270312,1.91623677733163,0.14719527147517,-1.91623677733163,47919.5,357.58795890193,1162.98708098992,0.0733237589487448,10.3161561118023,37.0959551718228,47.0069552955076,19.4162048554554,1169.28844005402,32.6789242159544,38.0639282965203,30.1272028513825,3.55567956132961,42.0936292848885,111.08199130016,79.4155851507446,775.855699169675,192.498622800839,0.154071479296864,0.0227747433909868,0.00336850193016656,0.0227747433909862,919.34439432925,89.57,10.43,0.52,0,0,0,0,5.0786,1.2468,1.157,0.1207,0.0357,0.0098,0.0077,78.5
"Marion Island","PB1","PB1.1A",21,29,30.2,29.6,29.6,0.6,89.3,288.9,238.7,225.3,100,0.04411,0.02047,22521.0769230769,54690.5384615385,1.29230769230769,7.15384615384615,122.692307692308,113.692307692308,28,2210.30769230769,47.8461538461538,213.538461538462,109.307692307692,0.105263157894737,36,174.384615384615,953.846153846154,42142.7692307692,6252,6.74371877438628,1.90840844783723,0.148346430846165,-1.90840844783723,48394.7692307692,298.336069318496,973.970791432732,0.0859412440909336,6.66890987901014,26.0588584278764,35.148220949252,13.4350288425444,767.127584414243,51.6798577040194,27.8974771398639,36.6910175551288,0.458831467741123,52.6181210864343,107.281979273889,120.392999626118,440.005900310089,158.593295360596,0.141321372089013,0.0209862037759655,0.00311758169681157,0.0209862037759655,548.696812736954,89.55,10.45,0.52,0,0,0,0,4.8578,1.2363,1.0923,0.1142,0.0348,0.005,0.0039,76.9
"Marion Island","PB1","PB1.1A",22,30.4,31.6,31,31,0.6,121,335.6,266.6,256.4,107,0.03732,0.01637,22876.8461538462,54689.6153846154,1.25076923076923,10.3846153846154,153.384615384615,135.538461538462,33.6153846153846,1401.69230769231,51.2307692307692,234.538461538462,124.230769230769,0.105263157894737,43.0769230769231,207.153846153846,950.076923076923,42683.0769230769,6365.84615384615,6.70920055272213,1.90324338127063,0.149119361265731,-1.90324338127063,49048.9230769231,450.691662180447,982.939430014344,0.0681250735120752,9.28743292069505,24.6053465109329,28.8143927711349,17.4906568465303,267.877268108421,39.5540850105983,46.9851313087722,49.2513178269608,0.458831467741123,61.0552503044873,70.645648785383,110.945528329943,954.176299357939,233.416239849846,0.152246730443275,0.0226033499939102,0.00335704696674312,0.0226033499939099,1153.17116838297,89.28,10.72,0.54,0,0,0,0,4.8578,1.2849,1.0452,0.112,0.0352,0.0042,0.0031,75.3
"Marion Island","PB1","PB1.1A",23,31.7,33,32.4,32.4,0.6,144.3,435.6,294.4,293.1,146,0.03946,0.02037,23224.4285714286,56973.1428571429,1.29071428571429,10.2857142857143,195.928571428571,198.071428571429,29.7857142857143,3814.07142857143,65.2142857142857,226.357142857143,123.071428571429,2.42857142857143,34.6428571428571,183.5,988.928571428571,42401.2142857143,6349.35714285714,6.6798725324244,1.89866470603546,0.14983398186732,-1.89866470603546,48750.5714285714,330.439966451656,1961.78560175488,0.0791750043806839,10.2088089520659,36.824875133141,71.0660194528941,18.1920463238897,3030.70947429516,51.8001760784482,31.7989045356963,54.4263288742248,6.1857688498469,57.4102739972521,90.0023503966595,144.598363798443,1247.00226257098,147.341365617324,0.203543490961867,0.0306369983196873,0.00461493131448366,0.0306369983196877,1304.02788515995,88.47,11.53,0.58,0,0,0,0,4.8578,1.3335,1.2126,0.1398,0.0454,0.0055,0.0046,84.1
"Marion Island","PB1","PB1.1A",24,33.1,34.3,33.7,33.7,0.6,161,521.3,321.4,327.3,180,0.03661,0.0208,22253.6153846154,58726.3846153846,1.32307692307692,12,209.769230769231,292.307692307692,33.6923076923077,8587,169.384615384615,223.076923076923,119.769230769231,11.7692307692308,22.8461538461538,291.538461538462,931.538461538462,39384.3846153846,5972.92307692308,6.59605007789057,1.88625286293493,0.151672103288399,-1.88625286293493,45357.3076923077,299.307405649982,1995.37120767296,0.0902205275408185,11.2694276695846,36.359670529663,63.8649416286492,14.8514006936754,1849.28652908809,73.4263105223398,23.7643344056506,61.755099446866,20.9569155099768,30.2402770981742,109.812427487827,92.8292477119643,381.426606846267,112.233730475336,0.143257755662912,0.0217508964187505,0.00330376624952011,0.0217508964187504,389.809651115213,87.52,12.48,0.62,0,0,0,0,5.2022,1.493,1.1365,0.1419,0.0478,0.0052,0.0047,90.5
"Marion Island","PB1","PB1.1A",25,34.4,35.7,35.1,35.1,0.6,178.2,612.3,352.2,364.1,217,0.03978,0.02443,22791.7142857143,57166.9285714286,1.30928571428571,13.5714285714286,241.5,358.714285714286,44.7857142857143,5872.14285714286,122.071428571429,199.928571428571,142.857142857143,24.4285714285714,14.0714285714286,318.571428571429,974.785714285714,40325.7142857143,6169,6.53792205593167,1.87747131344461,0.152999124675265,-1.87747131344461,46494.7142857143,326.366341725045,2438.04137859395,0.0715180757909157,10.7611429598439,31.441643135767,38.5195825750779,19.8384962652398,2544.6290301533,45.259022535613,44.7135572036289,30.4197737888144,59.4432040311969,23.8954913214712,102.142219317151,111.418254664698,565.939304787445,94.9412773973795,0.116691590647488,0.017863669826247,0.002735265982881,0.0178636698262467,597.918624328329,86.61,13.39,0.67,0,0,0,0,4.7493,1.3963,1.1855,0.1587,0.0546,0.0063,0.006,95.8
"Marion Island","PB1","PB1.1A",26,35.8,37,36.4,36.4,0.6,215.9,639.2,390.3,398.6,212,0.03693,0.02025,22187.1538461538,56491.7692307692,1.31076923076923,10.0769230769231,315.153846153846,524.692307692308,49.8461538461538,5665.84615384615,111.153846153846,221.307692307692,123.076923076923,1.30769230769231,23.6153846153846,493.076923076923,996.615384615385,39547.3846153846,6136.23076923077,6.44791940990753,1.86355303988695,0.155152234618535,-1.86355303988695,45683.6153846154,273.081442721717,1695.81092469287,0.0695774794098323,8.47015877912508,50.1329002981843,81.7275806316169,23.366094217356,1379.42372304246,50.1412108513648,20.7500386159665,48.7142373755037,4.71495166791445,41.3088740699027,106.101729123879,79.2775067526917,484.266376157713,166.087905362469,0.135694271180375,0.0210502297081676,0.00326723162580829,0.0210502297081674,605.463395323717,86.74,13.26,0.66,0,0,0,0,4.6419,1.4088,1.176,0.1559,0.0551,0.0058,0.0052,90.2
"Marion Island","PB1","PB1.1A",27,37.2,38.4,37.8,37.8,0.6,243.7,664.6,429.7,435.7,210,0.03694,0.01845,21945.5384615385,54628.1538461538,1.30769230769231,14.6923076923077,296,532.384615384615,61.3076923076923,4755.76923076923,73.3846153846154,201.923076923077,95.3846153846154,2.23076923076923,30.8461538461538,447.153846153846,900.153846153846,39021.3076923077,6016.23076923077,6.48759810589451,1.86955316021045,0.154245253893257,-1.86955316021045,45037.5384615385,368.895336417756,915.619630464697,0.0740668443765322,10.6722741670853,54.937843665971,102.708761766413,17.7735037597384,962.804770262916,36.7299570322338,26.0910634076802,53.6058741519038,5.54006387077872,55.5470463568889,97.9003286969679,88.7128759480514,944.246117688196,116.943828286742,0.175218649184535,0.027161893903452,0.00421320811113173,0.0271618939034509,979.416885650557,86.21,13.79,0.69,0,0,0,0,5.0786,1.6023,1.0846,0.1495,0.0547,0.0055,0.0048,86.5
