"Element","Site","Model","n","Mean_ppm","SD_pred","Mean_CI_w","SNR_CI","SNR_smooth","SNR_CI_s","SNR_smooth_s","Robustness_score","Robustness_Rank"
"Ti","KER3","PLS_LOO",1739,1566.97920062873,1360.97482808716,4710.01998355988,0.288953089973628,0.0017474999347466,0.916922105493028,0.351241445668626,0.690649841563267,4
"Ti","KER3","PLS_kfold",1739,1566.97920062873,1360.97482808716,4710.01998355988,0.288953089973628,0.0017474999347466,0.916922105493028,0.351241445668626,0.690649841563267,5
"Ti","KER3","Bayes",1739,1672.05223430823,1484.43326916344,4805.09645491391,0.30892892225824,0.00138480442257524,1,0,0.6,6
"Ti","KER3","WLS_weighted",1984,1318.15142782878,1060.32506103273,14673.6264332832,0.072260600735185,0.00240207505359603,0.0157153119581914,0.985144825577999,0.403487117406114,7
"Ti","KER3","WLS",1984,1320.00777433443,1054.37205499976,15396.360833154,0.0684819007832882,0.00241741465876457,0,1,0.4,8
"Zr","KER3","PLS_LOO",1739,103.068653583976,429.86044534787,400.220369697803,1.07405938801278,0.00349784200037367,1,0,0.6,1
"Zr","KER3","PLS_kfold",1739,103.068653583976,429.86044534787,400.220369697803,1.07405938801278,0.00349784200037367,1,0,0.6,2
"Zr","KER3","OLS",2000,99.5481667830696,449.238590545518,509.138567969608,0.88235034390939,0.00633339779638327,0.821508674441074,0.144511716880152,0.550709891416705,3
"Zr","KER3","RF",1739,71.9090495627875,61.065062415724,230.541204027323,0.264876999638151,0.0231194744688414,0.246608120157165,1,0.547964872094299,4
"Zr","KER3","Bayes",1739,88.1505584808346,247.717428870112,318.791582475579,0.777051347926004,0.00673817540194939,0.723469703661153,0.165140867192522,0.500138169073701,5
"Zr","KER3","WLS_weighted",2000,105.891257227535,495.355244354646,764.395958528728,0.648034881435116,0.00569457732578471,0.603348505255573,0.111954768745222,0.406791010651433,6
"Zr","KER3","WLS",2000,104.355008383172,484.146792962244,1137.4514697226,0.425641713822143,0.0058381079847476,0.396288627261083,0.1192696880922,0.28548105159353,7
"Zr","KER3","OLS_weighted",2000,93.7187990112709,540.775463253504,77854775.3422564,6.94595111059287e-06,0.00492855098523836,0,0.0729148804088477,0.0291659521635391,8
