"Location","Site","Section","sample","min_depth","max_depth","depth","SH20_age","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","coh_inc_sd","K_ICP","Ca_ICP","Ti_ICP","Mn_ICP","Fe_ICP","Co_ICP","Ni_ICP","Cu_ICP","Zn_ICP","Rb_ICP","Sr_ICP","Zr_ICP","dry_mass_pc","K_ICP_sd_5pc","Ca_ICP_sd_5pc","Ti_ICP_sd_5pc","Mn_ICP_sd_5pc","Fe_ICP_sd_5pc","Co_ICP_sd_5pc","Ni_ICP_sd_5pc","Cu_ICP_sd_5pc","Zn_ICP_sd_5pc","Rb_ICP_sd_5pc","Sr_ICP_sd_5pc","Zr_ICP_sd","dry_mass_err","K_ICP_sd","Ca_ICP_sd","Ti_ICP_sd","Mn_ICP_sd","Fe_ICP_sd","Co_ICP_sd","Ni_ICP_sd","Cu_ICP_sd","Zn_ICP_sd","Rb_ICP_sd","Sr_ICP_sd"
"Marion Island","PB1","PB1_1B",62,77.7,78.9,78.3,2906.71,18248.84615,66842.23077,1.417692308,45.38461538,1079.538462,2644.692308,198.6153846,30791.84615,292,164.2307692,135.0769231,70.53846154,51.69230769,1767.153846,847.2307692,22383.61538,4693.153846,0.210580766,29.13628454,370.5342124,614.6374791,44.95653171,4733.446187,71.85053932,34.85243618,50.70250082,35.42272196,49.22462902,213.7353684,84.58639946,2194.764321,278.1629757,0.011434997,5264.353752,38970.60587,20092.56561,575.5242044,52812.80934,24.17201658,37.3921461,39.51227571,94.45367825,9.441136029,465.9206978,253.3576038,29.03795177,46.32631302,315.6619075,403.8605687,5.755242044,1521.008909,0.40850708,0.602013552,0.375366619,1.322351495,0.167108108,6.103561141,2.888276683,2.903795177,947.58367536,5066.1787631,2812.9591854,69.062904528,9506.3056812,1.6920411606,20.191758894,5.5317185994,8.5008310425,1.51058176464,9.318413956
"Marion Island","PB1","PB1_1B",64,80.4,81.5,81,3009.64,19450.58333,64025.41667,1.3575,26.66666667,787.5833333,2457.5,150.3333333,23119.5,172.0833333,179.25,120.5,44.5,33.91666667,1442.416667,1006.333333,27547.83333,5111.333333,0.185739516,18.18257574,160.1428103,325.0441928,30.23042818,2584.998242,63.18725178,25.00590839,43.18985571,38.05856731,44.34668858,184.5532485,82.25164639,1356.004212,183.2992255,0.006266448,3567.259715,32020.30072,17955.59469,456.6288204,43148.48701,17.92500594,31.24334654,43.98661868,83.81316773,6.637758174,386.5194115,239.2040042,23.17770367,71.70192028,467.4963905,197.5115416,10.18282269,1212.472485,0.08962503,0.640488604,0.642204633,1.676263355,0.077661771,6.957349406,5.6212941,2.317770367,642.1067487,4162.6390936,2513.7832566,54.795458448,7766.7276618,1.2547504158,16.8714071316,6.1581266152,7.5431850957,1.06204130784,7.73038823
"Marion Island","PB1","PB1_1B",65,81.7,82.8,82.3,3058.43,18342.75,67634.66667,1.411666667,43.25,1073.75,2639.916667,191.5833333,31128.41667,257,138.0833333,98,62.91666667,32.16666667,1895.583333,936.75,22775.08333,4775.583333,0.21004471,22.70412458,204.5985537,377.7012909,33.2468955,5141.199426,75.81676476,32.24750401,47.44374659,51.26128848,41.34518403,157.4475141,76.73582191,1555.31613,260.3457346,0.009535857,4342.971443,36077.95721,18292.79638,514.981336,43519.29717,18.86015376,30.47007742,40.27640183,88.38830769,7.745921289,428.9221796,235.6026175,36.17742954,27.79501723,349.956185,343.904572,3.86236002,543.9912147,0.190487553,0.874491222,0.306100654,0.6894288,0.226955494,9.178934644,2.615189054,3.617742954,781.73485974,4690.1344373,2560.9914932,61.79776032,7833.4734906,1.3202107632,16.4538418068,5.6386962562,7.9549476921,1.23934740624,8.578443592
"Marion Island","PB1","PB1_1B",66,83,84.1,83.6,3107.49,18904.33333,63114.5,1.319166667,43.33333333,949.6666667,2104.083333,148.6666667,23379.91667,152.0833333,174.25,127.0833333,60.41666667,35.33333333,1559.416667,940.75,26735.16667,5044.833333,0.18922426,20.67204231,274.2511567,454.0877885,33.54598833,3720.978524,47.81680635,39.52473334,42.52370106,30.38079038,45.14085699,140.7024315,74.02226324,2161.448245,251.8664268,0.008258043,4009.199321,33623.07526,16696.80175,479.1042361,43807.25015,18.06270504,29.45980204,41.21203391,79.16775438,7.807503175,400.1003901,227.6687595,23.1665181,66.95362866,537.9692041,200.361621,9.294622181,280.3664009,0.254684141,0.206218614,0.502786814,1.662522842,0.064802276,5.161295033,6.169823382,2.31665181,721.65587778,4370.9997838,2337.552245,57.492508332,7885.305027,1.2643893528,15.9082931016,5.7696847474,7.1250978942,1.249200508,8.002007802
"Marion Island","PB1","PB1_1B",67,84.3,85.4,84.9,3155.81,17636.09091,64678.36364,1.339090909,48.81818182,1129.818182,2548.454545,192.6363636,28673.54545,159.4545455,164.0909091,114.9090909,52.45454545,63.27272727,1803.454545,940.4545455,22475.54545,4671.363636,0.208509625,23.4726146,278.5450837,465.7961708,34.96647745,4299.083004,66.69387324,43.55560709,48.67330797,53.01766429,40.5119511,312.5589108,105.353086,2729.874772,478.104439,0.00925991,4866.164345,61232.19139,18645.98996,767.6621211,56835.40498,26.84557695,61.39360058,36.60114857,82.38325202,9.523142377,414.5633709,232.1064193,23.1665181,83.69802674,949.0989665,193.9182955,14.89264515,437.6326183,0.502012289,2.259284501,0.534376769,0.82383252,0.158084163,3.067768944,0.626687332,2.31665181,875.9095821,7960.1848807,2610.4385944,92.119454532,10230.3728964,1.8791903865,33.1525443132,5.1241607998,7.4144926818,1.52370278032,8.291267418
"Marion Island","PB1","PB1_1B",68,85.6,86.6,86.1,3200.37,18191.66667,64933,1.381666667,35.66666667,1158.666667,3313.5,184.5,27310.16667,245,177,144.3333333,122.6666667,45.33333333,1956.333333,940.8333333,22639.83333,4703.833333,0.207835867,10.8012345,154.824632,413.8099805,20.16680441,1898.983667,55.38230764,28.50964749,55.57937267,63.56938466,65.14496655,280.6290553,103.6598604,620.4422348,108.3335897,0.004995657,3482.606716,34472.38333,18764.10578,454.0828716,40065.30353,15.24613069,29.45950461,39.07498882,74.93381275,6.271993137,399.5212471,254.9353,24.02293655,28.2091144,337.8293567,127.5959193,6.130118766,500.8162941,0.128067498,0.789514723,0.308692412,0.164854388,0.079027114,2.916505104,3.39063949,2.402293655,626.86920888,4481.4098329,2626.9748092,54.489944592,7211.7546354,1.0672291483,15.9081324894,5.4704984348,6.7440431475,1.00351890192,7.990424942
"Marion Island","PB1","PB1_1C",77,89.2,90.3,89.7,3335.04,17434.41667,64597.41667,1.366666667,47.58333333,1300,3825.166667,166.9166667,27577.25,206.75,166.1666667,139.25,144.9166667,61.25,2191.416667,1060.333333,21375.91667,4659.75,0.218045056,12.82368784,186.756526,429.7307473,23.94105767,1342.733042,82.07438422,22.10649157,43.26897902,25.14488321,43.2920841,158.7625204,62.47375206,553.1809598,129.9336369,0.005548709,3031.680891,32998.88575,22143.81355,373.9562367,37869.32381,12.54971777,28.70889717,46.39592631,102.1457624,5.218707731,450.2820056,313.6428668,15.44962422,1.212672356,108.896323,327.7284405,4.225705474,374.9063057,0.205815371,0.749302216,0.45931967,0.49029966,0.029224763,4.86304566,1.066385747,1.544962422,545.70256038,4289.8551475,3100.133897,44.874748404,6816.4782858,0.8784802439,15.5028044718,6.4954296834,9.193118616,0.83499323696,9.005640112
"Marion Island","PB1","PB1_1C",79,91.8,92.9,92.4,3436.21,17075.33333,66607.58333,1.385833333,36.66666667,1306.833333,3957.333333,188.1666667,31285.58333,242.3333333,156.0833333,130.9166667,142.3333333,40.91666667,2258.416667,1068.75,19642.16667,4468.5,0.227481383,14.51227276,147.1343439,297.4520078,25.97142952,2277.739608,46.2647192,18.87980322,26.60300165,57.54576571,40.11224781,108.9615932,79.38069951,543.9003641,191.2093094,0.006979592,2909.478926,32868.11347,24511.61008,353.6966545,37601.26579,12.3637857,25.05151339,47.36751669,119.2586413,4.718754893,473.1352636,351.2970843,19.87159939,26.76720612,177.4878127,257.3719059,6.684866771,454.975316,0.196584193,0.849246304,0.217890577,1.574214065,0.030671907,3.595828004,3.267062884,1.987159939,523.70620668,4272.8547511,3431.6254112,42.44359854,6768.2278422,0.865464999,13.5278172306,6.6314523366,10.733277717,0.75500078288,9.462705272
"Marion Island","PB1","PB1_1C",81,94.5,95.6,95.1,3538.8,17447,69952.9,1.418,55.4,1635.4,4481.4,215.7,33752.8,189.6,159.5,151,188.2,59.6,2581.9,1099.3,19214.4,4511.8,0.235304158,23.34856646,354.8897168,763.570589,35.78034842,4427.143318,64.16679654,30.54413928,39.17482185,53.67349853,50.79632533,129.6186286,124.9649284,1383.951846,220.5149529,0.009803607,3170.339497,35958.92568,25718.47587,369.9655871,37546.25716,13.46452387,30.9684049,46.29202129,129.1482542,4.905904271,531.0457626,370.5832258,15.94569099,4.438475295,320.0344385,216.0351973,0.776927733,446.8004602,0.14676331,0.88259954,0.476807819,1.291482542,0.082419192,4.035947796,4.632290323,1.594569099,570.66110946,4674.6603384,3600.5866218,44.395870452,6758.3262888,0.9425166709,16.722938646,6.4808829806,11.623342878,0.78494468336,10.620915252
"Marion Island","PB1","PB1_1C",84,98.5,99.6,99.1,3690.04,17307.42857,67550.85714,1.354285714,58.57142857,1523,4601.285714,167.8571429,30468.28571,182,149.5714286,131.7142857,223.8571429,8.142857143,2504.285714,1271.285714,19992.28571,4599.285714,0.230503511,11.07334853,256.3734256,875.4324102,33.08286853,4709.474377,75.94076639,17.83121928,34.96528891,49.16105698,14.14718548,135.0749351,150.0019047,1824.135842,336.0375546,0.009527891,3088.798418,32164.29416,22742.68935,351.2738566,36608.93142,12.41035079,27.5785573,44.25396404,134.7501137,4.98017436,493.0148139,379.5579119,30.56266025,20.6949494,340.9415181,179.6672459,4.074776737,168.4010845,0.172503876,0.328184832,0.420412658,1.293601092,0.036355273,1.626948886,6.186793964,3.056266025,555.98371524,4181.3582408,3183.976509,42.152862792,6589.6076556,0.8687245553,14.892420942,6.1955549656,12.127510233,0.7968278976,9.860296278
"Marion Island","PB1","PB1_1C",86,101.2,102.3,101.8,3791.98,15458.1,64199,1.393,74.3,1652.6,4473.4,176.6,31669,218.9,133.1,88.2,247.2,51.8,2617.5,1149.1,16313,4017.4,0.246268089,19.13141686,333.3987269,816.4957916,54.78483164,5584.673531,58.924528,22.25333932,27.78808698,34.32135713,48.60681251,290.4908681,109.4120144,1335.465878,340.3730633,0.005831168,4067.195364,40201.01523,24341.33179,491.8690066,45780.92185,18.13350728,30.79651788,45.27192781,148.6548013,6.283935762,580.8240397,387.168457,20.28888154,30.50396523,112.5628426,150.9162571,2.656092636,471.5434951,0.417070668,0.29256692,0.090543856,1.902781457,0.038960402,0.87123606,3.794250878,2.028888154,732.09516552,5226.1319799,3407.7864506,59.024280792,8240.565933,1.2693455096,16.6301196552,6.3380698934,13.378932117,1.00542972192,11.616480794
"Marion Island","PB1","PB1_1C",87,102.6,103.7,103.1,3841.55,16703.16667,70746.25,1.3775,88.41666667,2065.416667,5080.333333,217.5,35895.33333,206.3333333,141.5833333,99.16666667,267,34.33333333,2623.25,1192.083333,17079.08333,4210,0.247231843,27.44402016,489.1360581,749.225944,42.35241755,3578.211141,71.82976508,28.04690336,29.10742902,35.54254813,29.68725877,204.7291448,76.71014907,1309.762883,229.2136756,0.014684839,3202.886124,33421.16392,24341.69856,357.7509938,38376.81753,13.00859072,28.65429711,39.09656722,145.9557979,5.159189381,528.0720887,405.9506247,14.63439001,60.21425913,608.2651833,219.075287,3.649060137,145.8319066,0.018212027,0.383967581,0.367507732,1.649300517,0.080483354,7.92108133,9.012103869,1.463439001,576.51950232,4344.7513096,3407.8377984,42.930119256,6907.8271554,0.9106013504,15.4733204394,5.4735194108,13.136021811,0.82547030096,10.561441774
"Marion Island","PB1","PB1_1C",88,103.9,105,104.4,3891.1,17387.11111,70293.22222,1.427777778,72.11111111,1686.444444,4717.666667,171,33334.77778,247.3333333,142.4444444,110.5555556,312.6666667,29.11111111,2773.888889,1369.222222,19304.22222,4456.666667,0.230948309,18.10693544,385.0785995,1151.224457,38.51947559,7099.290964,95.9674424,32.32302241,59.41403687,89.61724164,32.67049297,174.6442416,96.42066399,1161.620396,260.324317,0.005492986,2975.878148,32805.93815,24549.50975,333.761663,37284.60506,12.74697506,29.91321827,41.1989837,150.0412815,4.813081963,528.8866074,415.553763,16.88910103,38.0912403,482.2472908,282.3193622,3.33761663,514.5275499,0.214149181,0.771761031,0.477908211,0.735202279,0.090485941,1.322216519,5.402198919,1.688910103,535.65806664,4264.7719595,3436.931365,40.05139956,6711.2289108,0.8922882542,16.1531378658,5.767857718,13.503715335,0.77009311408,10.577732148
