"Location","Site","Section","sample","min_depth","max_depth","midpoint","K","K_sd","K_ICP","K_ICP_sd","K_fit_OLS","K_lwr_OLS","K_upr_OLS","K_fit_WLS","K_lwr_WLS","K_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,-1.43489235932119,-0.0717446179660595,3.29474197763558,0.164737098881779,3.1128744789012,1.73322804732483,4.49252091047757,3.14085281888585,1.69775806778713,4.58394756998456
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,-1.38547290616526,-0.0692736453082629,3.34369720209828,0.167184860104914,3.13548887245744,1.75572331843663,4.51525442647825,3.18393972714916,1.7708227384264,4.59705671587191
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,-1.24286791758803,-0.0621433958794015,3.28542094094705,0.164271047047353,3.20074506468186,1.82049521100466,4.58099491835906,3.30827149669202,1.98160519772971,4.63493779565433
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,-1.64316036516644,-0.0821580182583218,3.09817453570056,0.154908726785028,3.01757082115942,1.63815075063283,4.39699089168602,2.9592720062912,1.38975396042819,4.52879005215421
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,-1.12852886288346,-0.0564264431441728,3.16327800591315,0.158163900295657,3.25306673594317,1.87227789534533,4.63385557654101,3.40795929261775,2.15054257797832,4.66537600725719
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,-0.911326395533283,-0.0455663197766642,3.35188766938946,0.167594383469473,3.352458812633,1.97027737375412,4.73464025151188,3.59732971636067,2.47126015800085,4.72339927472049
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,-1.53093222134296,-0.0765466110671479,3.32502596684212,0.166251298342106,3.06892653738928,1.68943985886444,4.44841321591412,3.05711938072949,1.55574298678216,4.55849577467681
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,-1.42291313635148,-0.0711456568175741,3.22341431611183,0.161170715805592,3.11835618388648,1.73868318016134,4.49802918761162,3.1512970396977,1.71546967252789,4.5871244068675
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,-1.24335780429157,-0.0621678902145785,2.94065958188028,0.147032979094014,3.20052089201292,1.82027305923284,4.58076872479299,3.30784438343789,1.98088125026533,4.63480751661045
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,-1.68007033486259,-0.0840035167431298,3.29547193378031,0.164773596689015,3.00068078034444,1.62125433410104,4.38010722658784,2.92709163243554,1.33515520777684,4.51902805709425
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,-0.973251995584446,-0.0486625997792223,3.46016317794888,0.173008158897444,3.32412159315093,1.9423863689747,4.70585681732716,3.54333918271117,2.37985255857686,4.70682580684549
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,-0.825644394366966,-0.0412822197183483,3.35957236567186,0.167978618283593,3.39166698616232,2.00880356913791,4.77453040318673,3.67203253657241,2.59768699239475,4.74637808075007
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,-0.804989902299327,-0.0402494951149664,3.45679154783297,0.172839577391649,3.40111850337859,2.01807948406738,4.7841575226898,3.69004038870577,2.6281544306596,4.75192634675195
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,-1.02133778353794,-0.0510668891768969,3.30559045316579,0.16527952265829,3.30211748618902,1.92070171075512,4.68353326162292,3.50141504551395,2.30885591276313,4.69397417826476
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,-1.48282074924871,-0.0741410374624355,3.39725675502003,0.169862837751001,3.09094239744092,1.71138753411564,4.47049726076621,3.09906591093485,1.62688969474321,4.57124212712649
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,-1.52281293606137,-0.0761406468030687,3.59876807032004,0.179938403516002,3.07264193084323,1.69314541344893,4.45213844823753,3.06419827128272,1.567750211905,4.56064633066044
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,-1.35775746788101,-0.0678878733940507,2.97874887524795,0.148937443762397,3.14817148606237,1.76832814962203,4.52801482250272,3.20810374497151,1.81179494604279,4.60441254390022
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,-0.86407628368986,-0.043203814184493,3.3962951378863,0.169814756894315,3.37408051333115,1.99153225868368,4.75662876797863,3.63852525990513,2.54098657316748,4.73606394664279
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,-1.05332481777534,-0.0526662408887668,3.35050775502655,0.167525387751327,3.28748018579925,1.90626380841866,4.66869656317984,3.47352678852629,2.26162038407722,4.68543319297536
"Isla Hermite","HER42PB","HER42PB_1J",353,395.4,396.6,396,-0.852718979454311,-0.0426359489727155,3.62847946635266,0.181423973317633,3.37927762765191,1.99663780565564,4.76191744964818,3.6484272538461,2.55774381003233,4.73911069765987
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,-1.38200762999249,-0.0691003814996245,3.05552299048637,0.152776149524318,3.13707458646575,1.75729973867214,4.51684943425935,3.18696096730922,1.77594567445835,4.59797626016009
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,-1.60754920290553,-0.0803774601452765,3.06552226561313,0.153276113280656,3.03386652633087,1.65443933825215,4.41329371440959,2.99032000021869,1.4424279490702,4.53821205136719
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,-1.00899879964199,-0.0504499399820996,3.01044579840191,0.150522289920095,3.30776381815118,1.92626832680606,4.68925930949631,3.51217292795165,2.32707531584945,4.69727054005385
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,-1.20773917944995,-0.0603869589724977,2.96317100487699,0.14815855024385,3.21682001206912,1.83641882767026,4.59722119646798,3.33889888370064,2.03351507182035,4.64428269558094
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,-0.800083585609705,-0.0400041792804853,3.08862551968154,0.154431275984077,3.40336363903763,2.02028226738694,4.78644501068832,3.69431801631224,2.63539119134854,4.75324484127595
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,-1.33458231447245,-0.0667291157236226,3.06479246081708,0.153239623040854,3.15877646054993,1.7788620297385,4.53869089136136,3.22830926415749,1.84605289684248,4.6105656314725
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,-1.90607316274662,-0.0953036581373309,3.10109312722356,0.155054656361178,2.89726164945144,1.51749091944395,4.27703237945894,2.73004851499021,1.0007701060898,4.45932692389063
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,-2.36154894640064,-0.118077447320032,2.57816167806892,0.128908083903446,2.68883545350811,1.30677846634137,4.07089244067484,2.33293680991855,0.326569843657194,4.33930377617991
"Kerguelen","KER1","CAT1-S1-1A",17,24,25.5,24.7,-1.89597746569972,-0.0947988732849858,3.15545879049054,0.157772939524527,2.9018814510005,1.52213729512376,4.28162560687725,2.73885056245807,1.01570972999008,4.46199139492606
"Kerguelen","KER1","CAT1-S1-1A",20,28.6,30,29.3,-2.59178847108277,-0.129589423554139,2.87976522818956,0.143988261409478,2.5834776057202,1.19945766498779,3.96749754645261,2.13219988053031,-0.0143448074094015,4.27874456847003
"Kerguelen","KER1","CAT1-S1-1A",23,33,34.4,33.7,-1.28355231154173,-0.0641776155770863,3.38949129623549,0.169474564811774,3.18212784337099,1.80203743450816,4.56221825223382,3.27280034842779,1.92147877269522,4.62412192416036
"Kerguelen","KER1","CAT1-S1-1A",25,35.9,37.2,36.6,-1.1935156619299,-0.0596757830964948,3.07159055953544,0.153579527976772,3.22332870859269,1.84286265168322,4.60379476550216,3.35129981805811,2.05453157437306,4.64806806174315
"Kerguelen","KER1","CAT1-S1-1A",26,37.3,38.7,38,-1.72663549567623,-0.0863317747838114,3.53374791354512,0.176687395677256,2.97937251395536,1.59991805338793,4.35882697452278,2.88649327118066,1.26626904401059,4.50671749835072
"Kerguelen","KER1","CAT1-S1-1A",27,38.8,40.1,39.4,-1.33617065143022,-0.0668085325715109,3.15990406476705,0.157995203238353,3.15804963589346,1.77814025360466,4.53795901818226,3.22692445464585,1.84370505465459,4.6101438546371
"Kerguelen","KER1","CAT1-S1-1A",28,40.2,41.6,40.9,-1.81415517933561,-0.0907077589667805,3.15709789946038,0.157854894973019,2.9393234149913,1.55975601427936,4.31889081570325,2.81018824673679,1.13678250375425,4.48359398971933
"Kerguelen","KER1","CAT1-S1-1B",36,45.1,46.2,45.6,-1.40358616973936,-0.0701793084869678,3.07063767534821,0.15353188376741,3.12720022406305,1.7474812425669,4.5069192055592,3.16814747377266,1.74404403556301,4.59225091198231
"Kerguelen","KER1","CAT1-S1-1B",40,50.7,52.1,51.4,-1.68674169940353,-0.0843370849701763,3.30834711320603,0.165417355660302,2.99762795693885,1.61819886448674,4.37705704939096,2.92127512792953,1.32528626589544,4.51726398996362
"Kerguelen","KER1","CAT1-S1-1B",41,52.3,53.6,53,-1.41032881385678,-0.0705164406928389,3.39201631161392,0.169600815580696,3.12411478304856,1.744412277621,4.50381728847612,3.16226882336302,1.7340753835104,4.59046226321564
"Kerguelen","KER1","CAT1-S1-1B",46,59.9,61.2,60.5,-1.88046684648548,-0.0940233423242739,3.10228214218185,0.155114107109093,2.90897912660822,1.52927375894555,4.28868449427089,2.75237367096116,1.03866195249585,4.46608538942647
"Kerguelen","KER1","CAT1-S1-1B",49,64.4,65.8,65.1,-1.03802369522741,-0.0519011847613707,4.47706153654107,0.223853076827054,3.29448199551291,1.91317154168305,4.67579244934276,3.48686724499528,2.28421645646143,4.68951803352913
"Kerguelen","KER1","CAT1-S1-1B",51,67.6,68.9,68.3,-0.502428955299471,-0.0251214477649735,3.02339301616453,0.151169650808226,3.53957070981268,2.15346178715713,4.92567963246822,3.95383156677305,3.07394916149418,4.83371397205192
"Kerguelen","KER1","CAT1-S1-1B",57,76.5,77.9,77.2,-1.67445352499201,-0.0837226762496004,1.98423490303567,0.0992117451517835,3.00325103842769,1.6238264654873,4.38267561136808,2.93198871154451,1.34346405814612,4.5205133649429
"Kerguelen","KER1","CAT1-S1-1C",69,86.1,87.5,86.8,-1.60594007498733,-0.0802970037493666,2.02153557339922,0.101076778669961,3.03460286495262,1.65517504754207,4.41403068236318,2.99172293656396,1.44480799491717,4.53863787821074
"Kerguelen","KER1","CAT1-S1-1C",73,92.4,93.7,93.1,-1.62355121879009,-0.0811775609395046,2.3533871381883,0.117669356909415,3.02654398709182,1.64712160950603,4.40596636467761,2.97636846197988,1.41875912142488,4.53397780253489
"Kerguelen","KER1","CAT1-S1-1C",80,103.1,104.5,103.8,-1.78663767311465,-0.0893318836557327,2.05468726841887,0.102734363420943,2.95191545467664,1.5723920456313,4.33143886372197,2.83417969525477,1.17749695612951,4.49086243438004
"Kerguelen","KER1","CAT1-S1-1C",86,112.2,113.6,112.9,-2.19802533076803,-0.109901266538402,2.0347716335176,0.10173858167588,2.763664031396,1.38267240241551,4.1446556603765,2.47550672066638,0.568657276395995,4.38235616493676
"Kerguelen","KER1","CAT1-S1-1C",93,122.9,124.1,123.5,-2.13943334132082,-0.106971667066041,1.60114161397974,0.0800570806989869,2.79047578717205,1.40979927928541,4.17115229505869,2.52659080826871,0.655389824007887,4.39779179252954
"Kerguelen","KER1","CAT1-S1-1D",105,130.3,131.4,130.8,-1.67300009189831,-0.0836500045949153,2.13377418589763,0.106688709294881,3.00391613093458,1.62449198994206,4.38334027192711,2.93325590359897,1.34561408328742,4.52089772391053
"Kerguelen","KER1","CAT1-S1-1D",108,134.6,135.8,135.2,-1.48550422036452,-0.0742752110182258,1.98263245940891,0.0991316229704456,3.08971443824603,1.71016400419065,4.4692648723014,3.0967262963416,1.62292160455951,4.5705309881237
"Kerguelen","KER1","CAT1-S1-1D",110,137.6,138.8,138.2,-2.07502029814748,-0.103751014907374,0.519729203270228,0.0259864601635114,2.81995126323369,1.43958058558974,4.20032194087764,2.58275004729172,0.750732781665269,4.41476731291817
"Kerguelen","KER1","CAT1-S1-1D",114,143.4,144.6,144,-2.488018883963,-0.12440094419815,1.40533182583509,0.0702665912917547,2.63096267753779,1.2478943494903,4.01403100558528,2.22267256679505,0.139314061557728,4.30603107203238
