"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zn","Zn_sd","Zn_ICP","Zn_ICP_sd","Zn_fit_OLS","Zn_lwr_OLS","Zn_upr_OLS","Zn_fit_WLS","Zn_lwr_WLS","Zn_upr_WLS"
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-0.234541713399256,-0.0117270856699628,0.327338358359992,0.0163669179179996,-0.737988290901596,-1.78841431617541,0.31243773437222,-0.900528689699841,-2.45700882394674,0.655951444547053
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-2.46434432767037,-0.123217216383518,0.315867057635071,0.0157933528817535,-1.15490784015227,-2.20094524351939,-0.108870436785153,-1.2086303772749,-2.38826919862485,-0.0289915559249441
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-0.559361567164994,-0.0279680783582497,-1.08875874826682,-0.0544379374133409,-0.798721804331416,-1.84819531847569,0.25075170981286,-0.945410485273402,-2.44692377404714,0.556102803500333
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-0.935864416935486,-0.0467932208467743,-0.501829499903644,-0.0250914749951822,-0.869118797057707,-1.91762145716455,0.17938386304914,-0.997433548951181,-2.43525912938773,0.440392031485365
"Bird Island","BI10","BI10.3",95,93,94,93.5,-3.28180980874554,-0.164090490437277,-0.530321057526555,-0.0265160528763277,-1.30775425701292,-2.35344917558457,-0.262059338441271,-1.32158319769122,-2.36348418547881,-0.27968220990363
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-2.62907499737764,-0.131453749868882,-0.874900624940047,-0.0437450312470024,-1.18570852005217,-2.23162209875581,-0.139794941348524,-1.23139194236023,-2.38325044482784,-0.0795334398926189
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-1.672153521755,-0.0836076760877498,-0.462279231238962,-0.0231139615619481,-1.00678718067824,-2.05380600001187,0.0402316386553991,-1.09916987049199,-2.41253992386551,0.214200182881534
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-4.10800715297528,-0.205400357648764,-0.857796409816268,-0.0428898204908134,-1.46223332262338,-2.50827447251141,-0.416192172735361,-1.43574253825259,-2.33882480723221,-0.532660269272972
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-0.823584702431988,-0.0411792351215994,0.333205891113354,0.0166602945556677,-0.848125186385089,-1.89690238247521,0.200652009705037,-0.981919364288571,-2.43873472094718,0.474895992370041
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-0.470683163866361,-0.0235341581933181,0.334532170981399,0.0167266085490699,-0.782141072164851,-1.83186407782542,0.267581933495716,-0.933157398146808,-2.4496751881864,0.583360391892779
"Bird Island","BI10","BI10.4",145,141,142,141.5,0.463340348387709,0.0231670174193855,-1.18926388153614,-0.0594631940768072,-0.607501102139615,-1.66033225086764,0.445330046588408,-0.804099239133784,-2.47873493093979,0.870536452672226
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,0.884796990141574,0.0442398495070787,-0.0828511002206056,-0.00414255501103028,-0.528698829694454,-1.58321837244257,0.525820713053661,-0.745864711228485,-2.49188856901261,1.00015914655564
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-0.388260047818238,-0.0194130023909119,0.093235247557558,0.0046617623778779,-0.766729928518913,-1.81669193593858,0.283232078900749,-0.921768631720986,-2.45223381111878,0.608696547676805
