"Site","sample","min_depth","max_depth","depth","depth_err","SH20_mean_age","SH20_mean_95CI","thickness_cm","depth_next","depth_next_err","interval_cm","interval_cm_err"
"PB1",52,64.3,65.4,64.9,0.5,1274.3,387,1.10000000000001,67.5,0.6,2.59999999999999,0.781024967590665
"PB1",54,66.9,68.1,67.5,0.6,1411.9,417,1.19999999999999,71.4,0.6,3.90000000000001,0.848528137423857
"PB1",57,70.8,72,71.4,0.6,1620.1,476,1.2,78.3,0.6,6.89999999999999,0.848528137423857
"PB1",62,77.7,78.9,78.3,0.6,2008.3,503,1.2,81,0.5,2.7,0.781024967590665
"PB1",64,80.4,81.5,81,0.5,2167.2,475,1.09999999999999,82.3,0.5,1.3,0.707106781186548
"PB1",65,81.7,82.8,82.3,0.5,2244.6,431,1.09999999999999,83.6,0.5,1.3,0.707106781186548
"PB1",66,83,84.1,83.6,0.5,2322.1,411,1.09999999999999,84.9,0.5,1.30000000000001,0.707106781186548
"PB1",67,84.3,85.4,84.9,0.5,2399.5,405,1.10000000000001,86.1,0.5,1.19999999999999,0.707106781186548
"PB1",68,85.6,86.6,86.1,0.5,2462.5,338,1,89.7,0.5,3.60000000000001,0.707106781186548
"PB1",77,89.2,90.3,89.7,0.5,2649.3,226,1.09999999999999,92.4,0.5,2.7,0.707106781186548
"PB1",79,91.8,92.9,92.4,0.5,2722.3,219,1.10000000000001,95.1,0.5,2.69999999999999,0.707106781186548
"PB1",81,94.5,95.6,95.1,0.5,2787.1,252,1.09999999999999,99.1,0.5,4,0.707106781186548
"PB1",84,98.5,99.6,99.1,0.5,2884.4,254,1.09999999999999,101.8,0.5,2.7,0.707106781186548
"PB1",86,101.2,102.3,101.8,0.5,2950.8,242,1.09999999999999,103.1,0.5,1.3,0.707106781186548
"PB1",87,102.6,103.7,103.1,0.5,2982.9,242,1.10000000000001,104.4,0.5,1.30000000000001,0.707106781186548
"PB1",88,103.9,105,104.4,0.5,3015,244,1.09999999999999,NA,NA,NA,NA
