"Site","sample","min_depth","max_depth","depth","depth_err","SH20_mean_age","SH20_mean_95CI","thickness_cm","depth_next","depth_next_err","interval_cm","interval_cm_err"
"KER3",121,136.5,137.6,137.1,0.55,6492,556,1.09999999999999,141,0.55,3.90000000000001,0.777817459305202
"KER3",124,140.5,141.6,141,0.55,6775,748,1.09999999999999,148.9,0.55,7.90000000000001,0.777817459305202
"KER3",130,148.3,149.4,148.9,0.55,7444,710,1.09999999999999,152.8,0.55,3.90000000000001,0.777817459305202
"KER3",133,152.3,153.4,152.8,0.55,7693,551,1.09999999999999,154.2,0.6,1.39999999999998,0.813941029804985
"KER3",134,153.6,154.8,154.2,0.6,7771,453,1.20000000000002,157,0.575,2.80000000000001,0.831038506929733
"KER3",136,156.4,157.6,157,0.575,7926,262,1.19999999999999,160.9,0.55,3.90000000000001,0.795691523141977
"KER3",139,160.4,161.5,160.9,0.55,8255,145,1.09999999999999,163.5,0.55,2.59999999999999,0.777817459305202
"KER3",141,163,164.1,163.5,0.55,8724,369,1.09999999999999,164.9,0.575,1.40000000000001,0.795691523141977
"KER3",142,164.3,165.5,164.9,0.575,8976,499,1.19999999999999,167,0.5,2.09999999999999,0.761987532706409
"KER3",150,166.5,167.5,167,0.5,9355,696,1,169.6,0.55,2.59999999999999,0.743303437365925
"KER3",152,169.1,170.2,169.6,0.55,9823,945,1.09999999999999,175.1,0.55,5.5,0.777817459305202
"KER3",156,174.6,175.7,175.1,0.55,10317,485,1.09999999999999,177.8,0.55,2.70000000000002,0.777817459305202
"KER3",158,177.2,178.3,177.8,0.55,10540,261,1.10000000000002,179.1,0.5,1.29999999999998,0.743303437365925
"KER3",159,178.6,179.6,179.1,0.5,10648,205,1,184.3,0.55,5.20000000000002,0.743303437365925
"KER3",163,183.8,184.9,184.3,0.55,10776,205,1.09999999999999,187,0.55,2.69999999999999,0.777817459305202
"KER3",165,186.4,187.5,187,0.55,10810,204,1.09999999999999,190.9,0.55,3.90000000000001,0.777817459305202
"KER3",168,190.4,191.5,190.9,0.55,10859,218,1.09999999999999,194.5,0.5,3.59999999999999,0.743303437365925
"KER3",171,194,195,194.5,0.5,10907,197,1,198.1,0.45,3.59999999999999,0.672681202353686
"KER3",174,197.7,198.6,198.1,0.45,10955,190,0.900000000000006,202.1,0.55,4,0.710633520177595
"KER3",177,201.6,202.7,202.1,0.55,11010,179,1.09999999999999,207.5,0.55,5.40000000000001,0.777817459305202
"KER3",181,207,208.1,207.5,0.55,11085,155,1.09999999999999,NA,NA,NA,NA
