"Site","Section","sample","min_depth","max_depth","depth","depth_err","SH20_mean_age","SH20_mean_95CI","thickness_cm","depth_next","depth_next_err","interval_cm","interval_cm_err"
"HER42PB","HER42PB1C",86,94.8,96,95.4,0.6,895,263,1.2,100.8,0.6,5.39999999999999,0.848528137423857
"HER42PB","HER42PB1C",90,100.2,101.4,100.8,0.6,948,267,1.2,102.3,0.8,1.5,1
"HER42PB","HER42PB1C",91,101.6,103.1,102.3,0.8,964,260,1.5,110.4,0.6,8.10000000000001,1
"HER42PB","HER42PB1C",97,109.8,111,110.4,0.6,1047,256,1.2,119.8,0.6,9.39999999999999,0.848528137423857
"HER42PB","HER42PB1C",104,119.2,120.3,119.8,0.6,1156,236,1.09999999999999,127.8,0.6,8,0.848528137423857
"HER42PB","HER42PB1D",118,127.3,128.4,127.8,0.6,1230,213,1.10000000000001,131.6,0.7,3.8,0.921954445729289
"HER42PB","HER42PB1D",121,130.9,132.2,131.6,0.7,1266,206,1.29999999999998,143.8,0.6,12.2,0.921954445729289
"HER42PB","HER42PB1D",131,143.2,144.4,143.8,0.6,1392,135,1.20000000000002,151.3,0.6,7.5,0.848528137423857
"HER42PB","HER42PB1D",137,150.7,151.9,151.3,0.6,1480,104,1.20000000000002,159.8,0.6,8.5,0.848528137423857
"HER42PB","HER42PB1D",144,159.2,160.3,159.8,0.6,1615,256,1.10000000000002,163.5,0.6,3.69999999999999,0.848528137423857
"HER42PB","HER42PB1D",147,162.9,164.1,163.5,0.6,1669,266,1.19999999999999,169.9,0.6,6.40000000000001,0.848528137423857
"HER42PB","HER42PB1E",158,169.3,170.5,169.9,0.6,1760,330,1.19999999999999,176.2,0.6,6.29999999999998,0.848528137423857
"HER42PB","HER42PB1E",162,175.6,176.8,176.2,0.6,1842,342,1.20000000000002,182.5,0.6,6.30000000000001,0.848528137423857
"HER42PB","HER42PB1E",166,181.9,183.1,182.5,0.6,1929,349,1.19999999999999,195.5,0.6,13,0.848528137423857
"HER42PB","HER42PB1E",174,194.9,196.1,195.5,0.6,2118,367,1.19999999999999,203,0.6,7.5,0.848528137423857
"HER42PB","HER42PB1E",179,202.5,203.6,203,0.6,2225,379,1.09999999999999,208.7,0.6,5.69999999999999,0.848528137423857
"HER42PB","HER42PB1F",189,208.1,209.3,208.7,0.6,2306,398,1.20000000000002,211.5,0.7,2.80000000000001,0.921954445729289
"HER42PB","HER42PB1F",191,210.9,212.2,211.5,0.7,2349,392,1.29999999999998,219.9,0.6,8.40000000000001,0.921954445729289
"HER42PB","HER42PB1F",197,219.3,220.5,219.9,0.6,2479,379,1.19999999999999,224,0.6,4.09999999999999,0.848528137423857
"HER42PB","HER42PB1F",200,223.4,224.6,224,0.6,2554,338,1.19999999999999,230.9,0.6,6.90000000000001,0.848528137423857
"HER42PB","HER42PB1F",205,230.3,231.5,230.9,0.6,2679,332,1.19999999999999,236.4,0.6,5.5,0.848528137423857
"HER42PB","HER42PB1F",209,235.8,236.9,236.4,0.6,2776,271,1.09999999999999,239,0.6,2.59999999999999,0.848528137423857
"HER42PB","HER42PB1F",211,238.4,239.5,239,0.6,2822,270,1.09999999999999,241.7,0.6,2.69999999999999,0.848528137423857
"HER42PB","HER42PB1F",213,241.1,242.3,241.7,0.6,2863,241,1.20000000000002,242,0.7,0.300000000000011,0.921954445729289
"HER42PB","HER42PB1G",220,241.3,242.7,242,0.7,2868,235,1.39999999999998,255.6,0.6,13.6,0.921954445729289
"HER42PB","HER42PB1G",230,255,256.2,255.6,0.6,3036,164,1.19999999999999,262.4,0.6,6.79999999999998,0.848528137423857
"HER42PB","HER42PB1G",235,261.8,263,262.4,0.6,3102,197,1.19999999999999,267.8,0.6,5.40000000000003,0.848528137423857
"HER42PB","HER42PB1G",239,267.2,268.4,267.8,0.6,3159,219,1.19999999999999,284.3,0.6,16.5,0.848528137423857
"HER42PB","HER42PB1H",259,283.7,284.8,284.3,0.6,3318,250,1.10000000000002,285.6,0.6,1.30000000000001,0.848528137423857
"HER42PB","HER42PB1H",260,285,286.2,285.6,0.6,3332,254,1.19999999999999,290.9,0.6,5.29999999999995,0.848528137423857
"HER42PB","HER42PB1H",264,290.3,291.5,290.9,0.6,3386,270,1.19999999999999,297.6,0.6,6.70000000000005,0.848528137423857
"HER42PB","HER42PB1H",269,297,298.2,297.6,0.6,3451,266,1.19999999999999,302.9,0.6,5.29999999999995,0.848528137423857
"HER42PB","HER42PB1H",273,302.3,303.5,302.9,0.6,3505,253,1.19999999999999,309.9,0.6,7,0.848528137423857
"HER42PB","HER42PB1H",278,309.3,310.6,309.9,0.6,3576,249,1.30000000000001,314.2,0.6,4.30000000000001,0.848528137423857
"HER42PB","HER42PB1H",281,313.5,314.8,314.2,0.6,3613,238,1.30000000000001,321.6,0.6,7.40000000000003,0.848528137423857
"HER42PB","HER42PB1I",293,321,322.2,321.6,0.6,3680,243,1.19999999999999,332.7,0.6,11.1,0.848528137423857
"HER42PB","HER42PB1I",301,332.1,333.3,332.7,0.6,3789,214,1.19999999999999,335.6,0.7,2.90000000000003,0.921954445729289
"HER42PB","HER42PB1I",303,334.9,336.2,335.6,0.7,3819,197,1.30000000000001,348.2,0.6,12.6,0.921954445729289
"HER42PB","HER42PB1I",312,347.6,348.8,348.2,0.6,4013,262,1.19999999999999,354.9,0.6,6.69999999999999,0.848528137423857
"HER42PB","HER42PB1I",317,354.3,355.4,354.9,0.6,4150,298,1.09999999999997,358.9,0.7,4,0.921954445729289
"HER42PB","HER42PB1I",320,358.3,359.6,358.9,0.7,4236,339,1.30000000000001,361.9,0.6,3,0.921954445729289
"HER42PB","HER42PB1J",329,361.3,362.5,361.9,0.6,4297,340,1.19999999999999,370.2,0.6,8.30000000000001,0.848528137423857
"HER42PB","HER42PB1J",335,369.7,370.8,370.2,0.6,4460,372,1.10000000000002,377.3,0.6,7.10000000000002,0.848528137423857
"HER42PB","HER42PB1J",340,376.7,377.9,377.3,0.6,4596,353,1.19999999999999,380.3,0.6,3,0.848528137423857
"HER42PB","HER42PB1J",342,379.6,380.9,380.3,0.6,4654,362,1.29999999999995,385.9,0.6,5.59999999999997,0.848528137423857
"HER42PB","HER42PB1J",346,385.3,386.5,385.9,0.6,4755,306,1.19999999999999,390.3,0.6,4.40000000000003,0.848528137423857
"HER42PB","HER42PB1J",349,389.6,390.9,390.3,0.6,4833,302,1.29999999999995,394.6,0.6,4.30000000000001,0.848528137423857
"HER42PB","HER42PB1J",352,394,395.2,394.6,0.6,4910,237,1.19999999999999,396,0.6,1.39999999999998,0.848528137423857
"HER42PB","HER42PB1J",353,395.4,396.6,396,0.6,4935,221,1.20000000000005,NA,NA,NA,NA
