"Site","Section","sample","min_depth","max_depth","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","max_95CI_range_yrs","age_next","age_next_err","interval_yrs","interval_yrs_err"
"BI10","BI10.10",410,403.6,404.6,404.1,0.5,4964,5400,5184,218,0.06708,0.00291,436,5402,234,218,16
"BI10","BI10.11",422,412.9,413.9,413.4,0.5,5159,5627,5402,234,0.02602,0.00116,468,5491,287,89,53
"BI10","BI10.11",424,415.2,416.2,415.7,0.5,5209,5782,5491,287,0.02602,0.00139,573,5629,395,138,108
"BI10","BI10.11",427,418.8,419.8,419.3,0.5,5262,6053,5629,395,0.02434,0.00174,791,6189,221,560,174
"BI10","BI10.11",439,433.3,434.3,433.8,0.5,5915,6357,6189,221,0.04186,0.00154,442,6306,199,117,22
"BI10","BI10.11",443,438.2,439.3,438.7,0.55,6060,6458,6306,199,0.04185,0.00137,398,6403,202,97,3
"BI10","BI10.11",449,445.8,446.8,446.3,0.525,6176,6580,6403,202,0.09592,0.00314,404,6471,196,68,6
"BI10","BI10.12",461,452.4,453.6,453,0.6,6271,6663,6471,196,0.09957,0.00314,392,6522,187,51,9
"BI10","BI10.12",465,457.6,458.7,458.1,0.55,6333,6707,6522,187,0.09957,0.00297,374,6579,169,57,18
"BI10","BI10.12",469,462.9,463.9,463.4,0.5,6429,6767,6579,169,0.08959,0.0024,338,6809,257,230,88
"BI10","BI10.12",477,473.1,474.2,473.6,0.55,6590,7104,6809,257,0.02308,9e-04,514,6978,441,169,184
"BI10","BI10.12",480,476.9,478,477.5,0.55,6625,7506,6978,441,0.02308,0.00148,881,7600,600,622,159
"BI10","BI10.13",519,491,492,491.5,0.5,6901,8101,7600,600,0.02106,0.00168,1200,7780,589,180,11
"BI10","BI10.13",522,494.8,495.8,495.3,0.5,6973,8151,7780,589,0.02106,0.00162,1178,7965,603,185,14
"BI10","BI10.13",525,498.7,499.7,499.2,0.5,7038,8243,7965,603,0.02597,0.00199,1205,8096,608,131,5
"BI10","BI10.13",529,503.9,505.1,504.5,0.6,7103,8320,8096,608,0.04867,0.00372,1217,NA,NA,NA,NA
