"Location","Site","Section","sample","min_depth","max_depth","midpoint","K","K_sd","K_ICP","K_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-9.42477198268837,8.07e-06,8.62957397296153,1512.473246,6.86279691764631,4.85310250555533,8.87249132973729
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-7.47562932263763,5.67e-05,7.93895203757743,585.0799774,7.86611995793636,5.86960780970262,9.86263210617009
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-7.95616697003843,3.5e-05,9.95339305067979,4080.69295,7.61876274635522,5.62107108678489,9.61645440592554
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-7.39332909694193,6.15e-05,7.1257969650866,437.7130837,7.90848407748183,5.91203742300268,9.90493073196097
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-8.43731511267792,2.17e-05,9.33589333629291,2616.583382,7.37109128176863,5.37085708589829,9.37132547763897
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-8.85128227001571,1.43e-05,9.96441690627002,4637.824269,7.15800129333774,5.1544931166621,9.16150947001337
"Bird Island","BI10","BI10.5",197,194,195,194.5,-8.6378647698985,1.77e-05,8.44295623026687,1389.963814,7.26785815474526,5.26616305073677,9.26955325875376
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-8.16855243530583,2.83e-05,7.76969406334424,501.3815099,7.50943712586936,5.51079087274232,9.50808337899639
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-7.68470807140115,4.6e-05,9.97429867813009,3376.49462,7.75849647291962,5.76163834998165,9.75535459585759
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-8.07044859345477,3.13e-05,8.24544140403268,970.2818044,7.55993617187945,5.5617638312948,9.5581085124641
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-8.40710188362258,2.23e-05,7.68696428760279,564.4911449,7.38664357019476,5.38660903477073,9.38667810561879
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-9.02362846688094,1.21e-05,7.86389680277594,565.6764383,7.06928592438842,5.0641195973701,9.07445225140675
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-8.66456854237572,1.73e-05,7.67796018952221,504.1027803,7.25411236243453,5.25220496992333,9.25601975494572
"Bird Island","BI10","BI10.7",271,265,266,265.5,-8.16746280519617,2.84e-05,7.66667152621659,544.2065152,7.50999801400588,5.51135733531375,9.50863869269802
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,-8.0444028237355,3.21e-05,7.57172873989672,493.2577849,7.57334325664397,5.57528722809413,9.57139928519381
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,-8.8094657842024,1.49e-05,6.46638202796067,288.8626367,7.17952636922898,5.17639439965435,9.18265833880361
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,-7.95577902153944,3.51e-05,6.49522150919657,325.0800747,7.61896244321449,5.6212722845068,9.61665260192218
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-6.87281776410169,0.000103556,7.46461500331814,636.3270443,8.176417781707,6.17946024342165,10.1733753199923
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,-8.12579320163291,2.96e-05,6.29797945709271,321.6442737,7.53144748211905,5.53301474404105,9.52988022019706
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,-8.15959567318008,2.86e-05,7.9025303252964,923.7798793,7.51404762770247,5.51544698936078,9.51264826604417
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,-7.70122457815506,4.52e-05,6.16077605719492,223.0052862,7.74999458534056,5.75309815006998,9.74689102061114
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,-8.06317604272591,3.15e-05,6.25299817958083,257.8592821,7.56367972429226,5.565540262125,9.56181918645953
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,-6.96537485796592,9.44e-05,7.76448959280701,816.8976853,8.1287739295049,6.13202399915617,10.1255238598536
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,-6.71042771100301,0.000121814,6.97624085555011,427.93975,8.26000821617196,6.26256446872245,10.2574519636215
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,-7.80787742969471,4.07e-05,7.46150136357903,627.1074323,7.69509492845265,5.6979123951565,9.69227746174881
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,-7.33256835775847,6.54e-05,7.27743506637325,470.971649,7.93976072583461,5.9433367946801,9.93618465698912
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,-7.36118973821895,6.35e-05,7.19595093777587,545.4493081,7.92502784298849,5.92859592029592,9.92145976568107
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,-7.68818732847268,4.58e-05,8.09022517793601,1005.382976,7.756705522029,5.7598394621286,9.75357158192941
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,-7.07453031167484,8.46e-05,7.79969644617826,757.6437819,8.07258605576731,6.07601607287703,10.0691560386576
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,-8.73795208828031,1.6e-05,8.34106033815079,1214.507924,7.21633811230225,5.21382586325571,9.21885036134879
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,-7.41124123744474,6.04e-05,7.8804290119637,831.194612,7.89926378610156,5.90280627777467,9.89572129442844
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,-7.73416645934782,4.38e-05,7.15388950448401,462.2106416,7.73303772062839,5.736060071586,9.73001536967078
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,-6.79966888191708,0.000111414,8.00617399458286,967.0211811,8.21407123846596,6.21691391278032,10.2112285641516
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,-6.75020381694689,0.000117064,7.53540408642729,661.8703278,8.23953342776141,6.24222313652159,10.2368437190012
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,-7.40532416290649,6.08e-05,7.97141372181757,901.8791875,7.90230960585453,5.90585589224405,9.898763319465
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,-7.0053978767597,9.07e-05,8.11365554635714,1047.00677,8.10817204246974,6.11149624732191,10.1048478376176
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,-6.78753521529234,0.000112775,7.22559484626794,526.8474966,8.22031705491507,6.22312354115148,10.2175105686787
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,-6.61201724311612,0.000134412,6.86652508355506,355.1815587,8.31066509822597,6.31285113312636,10.3084790633256
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,-6.98606607062178,9.25e-05,8.7995353168452,2065.435552,8.11812310808753,6.1214126832876,10.1148335328875
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,-5.48977719040823,0.000412876,8.54634210442195,1470.473436,8.88833923398617,6.88228444373331,10.894394024239
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,-6.94602948021918,9.62e-05,8.61341857647426,1603.539606,8.13873198112124,6.14194283217534,10.1355211300671
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,-6.74914939547253,0.000117188,8.7156904174768,1936.386236,8.24007619221938,6.24276248341987,10.2373899010189
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,-6.79342620137727,0.000112112,8.72842602742352,1855.683454,8.21728466421829,6.2201088283516,10.214460500085
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,-6.94490174487445,9.64e-05,8.69424168200086,1958.591437,8.13931248396381,6.14252098073493,10.1361039871927
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,-6.68287004527764,0.000125218,7.83081658748666,857.2828993,8.27419355084528,6.2766518792824,10.2717352224082
"Bird Island","BI10","BI10.13",519,491,492,491.5,-7.63040336345977,4.85e-05,6.67261526018673,305.8039749,7.78644987304293,5.78970638427054,9.78319336181532
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,-7.15350621224209,7.82e-05,8.05939654297178,1060.826347,8.03193313574722,6.03544954905247,10.028416722442
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,-6.32884231359764,0.00017841,8.74297608986742,1913.941942,8.45642966284281,6.45723258733472,10.4556267383509
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,-6.77337299846541,0.000114383,7.19054530084348,440.8838882,8.22760706951239,6.23037022080907,10.2248439182157
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-6.04139666305622,0.000237823,8.60221029700123,181.2744924,8.6043925851729,6.60330994819385,10.605475222152
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-5.85499078749394,0.000286556,8.69546996509277,106.9664677,8.70034518711955,6.69778106511917,10.7029093091199
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,-5.46377685053564,0.000423752,8.5817542474874,102.4023076,8.90172293369384,6.89539002244194,10.9080558449457
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,-5.73287107545977,0.000323777,8.55779448958485,104.6643984,8.76320642517499,6.75956163729362,10.7668512130564
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,-6.21028794374331,0.000200866,8.67213331395159,81.73116327,8.51745563761616,6.51753959923466,10.5173716759977
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,-5.94036201091362,0.000263108,8.84748557832654,214.2717329,8.65640026857137,6.65453987325442,10.6582606638883
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,-5.73295570524005,0.000323749,8.67672819833176,211.1337582,8.76316286191501,6.7595188530834,10.7668068707466
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,-5.12823304691856,0.000592702,9.09065488779916,120.6591226,9.07444442612006,7.06417044204396,11.0847184101962
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,-4.90520058619074,0.000740796,8.95497161851489,230.8399776,9.18925059765754,7.175996991366,11.2025042039491
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,-5.85559259572937,0.000286384,9.07178575698292,221.1363881,8.70003540575731,6.69747639364116,10.7025944178735
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,-5.9394418987637,0.00026335,8.79457950653749,137.9061507,8.65687389717669,6.65500614442735,10.658741649926
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,-6.06785240854298,0.000231614,8.43793243487255,122.8652679,8.59077446499168,6.5898856095617,10.5916633204217
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,-6.20991910893606,0.00020094,8.13610236377273,69.67781578,8.5176454956844,6.51772709183022,10.5175638995386
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,-6.12326167301419,0.00021913,8.5013745492099,148.6301781,8.56225249334286,6.5617562094626,10.5627487772231
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,-6.39316674385562,0.000167295,8.89203227730215,336.7763161,8.42331860111597,6.42447707937141,10.4221601228605
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,-6.4998631185497,0.000150364,8.5970519670984,155.9713092,8.36839654064287,6.37009116925028,10.3667019120355
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,-4.9345112698277,0.000719398,9.09889717448333,111.8177753,9.17416289534495,7.1613172218959,11.187008568794
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,-5.35593736925668,0.000472004,9.10239419515358,182.2282099,8.95723340937,6.94970504684741,10.9647617718926
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,-6.00043385132518,0.000247768,8.65195057323379,207.6830326,8.62547823151741,6.62408746663256,10.6268689964023
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,-6.59627416378634,0.000136545,8.79402116083778,79.79583695,8.31876886330198,6.32089038433685,10.3166473422671
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,-6.54208907781574,0.000144147,8.51900630972338,164.2976211,8.34666068790192,6.34854901571353,10.3447723600903
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,-5.20697833404929,0.00054782,8.87840573287032,244.679169,9.03391021458602,7.02461966879679,11.0432007603752
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,-6.73210425413346,0.000119202,8.74207105394296,155.2690515,8.24885019495454,6.25148033151595,10.2462200583931
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,-7.02453519293337,8.9e-05,8.64064203827458,182.7198288,8.09832109074625,6.10167740693343,10.0949647745591
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,-6.95109711229786,9.58e-05,8.20197379613994,92.29804061,8.1361234126832,6.13934475050467,10.1329020748617
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,-7.40672644530112,6.07e-05,8.52711876156682,82.31296185,7.9015877796566,5.90513318540627,9.89804237390693
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,-7.35850388181809,6.37e-05,8.10464249974519,88.37161193,7.92641039012838,5.92997942276409,9.92284135749268
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,-6.30534057193024,0.000182652,8.6991603367472,169.1400442,8.46852720674513,6.46919416368238,10.4678602498079
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,-6.03189620115433,0.000240094,8.36538458858422,76.03501434,8.60928295698351,6.60812973127231,10.6104361826947
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,-7.08300073056477,8.39e-05,6.93202594207653,13.93411927,8.06822589957794,6.0716669435975,10.0647848555584
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,-6.87743366096243,0.000103079,8.23136890367995,89.79165872,8.17404174440254,6.1770957557876,10.1709877330175
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,-7.0422837399427,8.74e-05,8.0681367404927,68.60973241,8.08918500927253,6.09256917679998,10.0858008417451
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,-7.22677391963202,7.27e-05,8.04737589840883,61.88653064,7.99421851360067,5.99778219152844,9.9906548356729
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,-7.0999017424952,8.25e-05,7.94685352195746,28.26666898,8.05952608759313,6.06298786947016,10.0560643057161
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,-6.24271234903704,0.000194457,8.60470006464399,229.2044509,8.50076514411577,6.50105393615064,10.5004763520809
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,-6.82201529320123,0.000108952,7.92157674340748,144.6959485,8.20256840197856,6.20547545394902,10.1996613500081
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,-6.95095300999751,9.58e-05,7.94751415587729,102.3929636,8.13619758947953,6.13941863119199,10.1329765477671
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,-6.57048978564367,0.000140111,8.13844090365999,48.95713709,8.33204139650354,6.33405410496295,10.3300286880441
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,-7.14156425426766,7.92e-05,7.69364612229368,30.94048872,8.03808026998603,6.04158597939204,10.03457456058
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,-6.66200049916758,0.000127859,7.83411811528486,72.47632516,8.28493616957801,6.28731736459186,10.2825549745642
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,-6.63334919375348,0.000131575,8.64773681622937,74.63382088,8.2996844563225,6.30195558067609,10.2974133319689
"Isla Hermite","HER42PB","HER42PB_1F",211,238.4,239.5,239,-6.51376036947453,0.000148289,8.62576267556288,145.4660478,8.36124291749596,6.36300245337755,10.3594833816144
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,-6.28737182063869,0.000185964,8.45428220847955,117.847896,8.47777663858281,6.47833745099273,10.4772158261729
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,-7.36804306030922,6.31e-05,7.43146449214156,102.8161445,7.92150008891659,5.9250655358139,9.91793464201929
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,-7.41324682095743,6.03e-05,8.38246761312147,96.13512824,7.89823141007863,5.90177256868876,9.89469025146849
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,-7.71483740858981,4.46e-05,7.57645344123022,106.5625402,7.74298736791174,5.74605814729017,9.73991658853332
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,-6.96994136925617,9.4e-05,7.4084513680009,81.99850555,8.12642331346988,6.12968231893545,10.1231643080043
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,-7.42030739227383,5.99e-05,8.00338324130826,80.75862991,7.89459697427023,5.89813325115297,9.8910606973875
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,-7.56331962544223,5.19e-05,7.82158407958898,47.13381682,7.8209812910665,5.82435541258611,9.81760716954688
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,-6.7268806017471,0.000119827,8.05719647027463,21.77935718,8.25153907499453,6.25415165989723,10.2489264900918
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,-6.9522684525295,9.56e-05,8.2303029355283,41.28267537,8.13552046418358,6.13874420439585,10.1322967239713
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,-7.64749733512177,4.77e-05,7.6714702690295,24.89632216,7.77765073485255,5.78087303617698,9.77442843352812
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,-6.98794308051461,9.23e-05,8.0802545321693,67.83116098,8.11715691545785,6.12044994956742,10.1138638813483
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,-7.42303915935514,5.97e-05,7.67857057240333,32.20676445,7.89319079456386,5.89672510381263,9.8896564853151
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,-6.93463019606772,9.73e-05,8.05779524765765,36.63650203,8.14459977349293,6.14778648212015,10.1414130648657
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,-6.45738946561473,0.000156889,8.50361046056078,13.81112737,8.39025989393577,6.39174910949178,10.3887706783798
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,-7.0722667805691,8.48e-05,8.10060500590942,35.93143418,8.07375121055939,6.07717820934713,10.0703242117716
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,-7.31907951832533,6.63e-05,8.196991707968,38.11514411,7.94670411877727,5.950282279066,9.94312595848855
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,-7.31995350373152,6.62e-05,7.55511995806723,34.9621392,7.9462542339572,5.9498322912435,9.94267617667091
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,-7.74192930156561,4.34e-05,7.50891795429663,12.03997453,7.72904179020479,5.7320440719556,9.72603950845398
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,-6.03246280716209,0.000239958,8.76289460523067,82.46439609,8.60899129600148,6.60784229501153,10.6101402969914
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,-6.00871813795975,0.000245724,8.41090462169387,27.8741193,8.62121388708373,6.61988623020107,10.6225415439664
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,-5.5256953705159,0.00039831,8.94116095778241,169.6093697,8.86985031657343,6.86417327267029,10.8755273604766
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,-6.02775847547742,0.000241089,8.90991785739896,51.83536962,8.61141285521576,6.61022872085322,10.6125969895783
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,-7.18317945403842,7.59e-05,8.84481295238495,81.87201251,8.01665880627686,6.02019817571331,10.0131194368404
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,-7.14363332082765,7.9e-05,9.09947117546947,82.34513523,8.03701521600405,6.04052284019722,10.0335075918109
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,-7.01317246291225,9e-05,7.75654111934927,32.71531019,8.10417006684454,6.1075075774008,10.1008325562883
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,-5.88230310413512,0.000278836,8.45002949760615,39.73929045,8.68628614612094,6.6839517982453,10.6886204939966
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,-6.56698657114046,0.000140603,8.14640663017479,49.34867362,8.33384467950492,6.33584230222674,10.3318470567831
"Isla Hermite","HER42PB","HER42PB_1J",353,395.4,396.6,396,-6.26418759903568,0.000190326,8.8316835124824,156.129965,8.48971073872963,6.49013179742418,10.4892896800351
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,-6.78246890832686,0.000113347,8.81720483954739,1924.888147,8.22292494124983,6.22571606082158,10.2201338216781
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,-6.02217038294111,0.00024244,9.0443400748384,2421.09846,8.61428933116997,6.61306329486069,10.6155153674792
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,-5.31256741796532,0.000492925,8.89159159841191,2083.787413,8.97955813309533,6.97152996983449,10.9875862963562
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,-6.48517022371586,0.00015259,7.87794995694527,863.5155109,8.37595972224958,6.37758449239382,10.3743349521053
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,-5.58210011790994,0.000376465,8.85780503929723,1907.985918,8.84081591914215,6.83571693116141,10.8459149071229
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,-6.58623643195267,0.000137922,8.02244690477591,1029.760485,8.32393579532158,6.32601542115973,10.3218561694834
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,-7.53535819433468,5.34e-05,7.89171343835699,971.5768425,7.83537446435478,5.83878977392418,9.83195915478537
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,-8.31386058743282,2.45e-05,6.12723871582893,273.1267857,7.43463961619545,5.43518748978407,9.43409174260682
"Kerguelen","KER1","CAT1-S1-1A",17,24,25.5,24.7,-7.41980164755396,5.99e-05,8.53141646419696,1576.918734,7.89485730684637,5.89839394317871,9.89132067051403
"Kerguelen","KER1","CAT1-S1-1A",20,28.6,30,29.3,-8.58453029159225,1.87e-05,7.69513773866579,660.9589888,7.29531212824001,5.29402853130191,9.29659572517811
"Kerguelen","KER1","CAT1-S1-1A",23,33,34.4,33.7,-5.56103031179761,0.000384481,9.43572435405003,3444.206884,8.85166162190174,6.84634886905953,10.856974374744
"Kerguelen","KER1","CAT1-S1-1A",25,35.9,37.2,36.6,-5.53608863314263,0.000394191,8.15592505260447,1094.011884,8.86450037473956,6.85893123578925,10.8700695136899
"Kerguelen","KER1","CAT1-S1-1A",26,37.3,38.7,38,-6.307724985253,0.000182217,9.36391469231164,3267.30311,8.46729982771673,6.46798072733049,10.466618928103
"Kerguelen","KER1","CAT1-S1-1A",27,38.8,40.1,39.4,-5.73279355592427,0.000323802,8.94209276415506,2267.931752,8.76324632842971,6.75960082691445,10.766891829945
"Kerguelen","KER1","CAT1-S1-1A",28,40.2,41.6,40.9,-6.30216307768222,0.000183234,8.51773710207001,1430.900738,8.470162824935,6.47081114983198,10.469514500038
"Kerguelen","KER1","CAT1-S1-1B",36,45.1,46.2,45.6,-5.58302839027264,0.000376116,9.11719151995933,2763.677538,8.84033809005952,6.83524846048965,10.8454277196294
"Kerguelen","KER1","CAT1-S1-1B",40,50.7,52.1,51.4,-6.12682893292428,0.000218349,9.12295437868117,2655.178009,8.56041624290729,6.55994461641813,10.5608878693965
"Kerguelen","KER1","CAT1-S1-1B",41,52.3,53.6,53,-5.41373764571323,0.000445496,9.44517553011353,3438.356828,8.92748066202493,6.9206014378913,10.9343598861586
