Location,Site,Section,sample,min_depth,max_depth,midpoint,SH20_age,kcps,cps,cps_acf_sum,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_coh,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_coh_sd,coh_inc_sd,water_content_pc,water_content_err,dry_mass_pc,dry_mass_err,density_gcm3,density_gcm3_err,P_ICP,P_ICP_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,As_ICP,As_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,Pb_ICP,Pb_ICP_sd,Th_ICP,Th_ICP_sd
Bird Island,BI10,BI10.2,67,70.1,71.2,70.6,1100.566667,23119.33333,56701.33333,55771.41667,1.278333333,0.044293654,0.694876669,0.071912343,0.074096328,3.692781296,0.116194929,0.39624319,0.279006884,0.216204722,0.082149888,0.805592071,1.622069108,11.69299911,0.151652695,0.027542849,0.113771657,0.026273786,0.034413981,0.618670174,0.061305478,0.04775892,0.067185,0.101711425,0.095074647,0.153563649,0.257807691,0.258309141,0.002941087,77.0153216,3.85076608,22.9846784,2.29846784,0.313261892,0.031326189,3712.228887,74.17879973,7766.606331,2010.436754,9084.977882,46.04204392,1442.000824,11.02828725,88.46094721,0.148073757,6242.966621,15.13819392,4.068857773,0.02443965,5.960197779,0.068926753,36.59073739,0.331067449,261.6355831,2.462160119,8.072382999,0.070931291,30.36236272,0.256345549,168.0404108,1.955006557,30.42377281,3.299014819,4.487970407,0.077593013,2.556674805,0.045766663
Bird Island,BI10,BI10.2,71,74.7,75.8,75.2,1174.816667,22181.16667,53873,52971.5,1.321666667,0.033023258,0.449509762,0.078431554,0.073825864,3.768880905,0.178988071,0.417727674,0.359492821,0.019250861,0.06948878,0.759629955,1.635662715,11.65554457,0.149898092,0.020657853,0.076213496,0.027334741,0.022431989,0.414669371,0.071408531,0.057672097,0.082953075,0.038693229,0.099277862,0.200895124,0.237792848,0.145151285,0.00220137,76.84431418,3.842215709,23.15568582,2.315568582,0.303477386,0.030347739,3558.613952,53.10499408,1973.319538,728.4065428,6626.492173,12.55357407,461.9149499,4.1315028,46.49996193,0.203261185,3694.801697,28.74082309,2.041238975,0.011991471,6.674238754,0.048794576,34.06414422,0.025144385,140.4650062,0.492872097,10.75975255,0.084324463,7.795499709,0.115748702,114.9998151,1.529219743,21.97235957,0.521915705,4.288871292,0.045808063,1.233894651,0.01690507
Bird Island,BI10,BI10.2,81,86.5,87.5,87,1349.672727,22325.90909,53674.81818,52810.63636,1.295454545,0.023591099,0.411368671,0.053546424,0.081460515,3.173289662,0.139382284,0.403174298,0.325247156,0.137624526,0.101928867,0.747342864,1.654200587,11.61911645,0.149104333,0.022468797,0.04954705,0.029661223,0.027229345,0.52828933,0.096607219,0.079734454,0.094008161,0.082234106,0.074567455,0.187452316,0.17642979,0.313901322,0.004918526,75.82326542,3.791163271,24.17673458,2.417673458,0.301310001,0.030131,3474.148775,97.58287489,14359.67839,3663.807136,9905.624178,61.39912548,2197.326275,24.940646,125.5077224,1.234445563,6284.597012,38.94604963,2.439569014,0.01043611,6.367819135,0.01977015,39.61078518,0.154761353,67.51751759,0.138761249,5.520887153,0.016892471,50.21714125,0.70380336,209.897137,2.629036009,39.24997232,1.135258391,4.871746851,0.049115691,3.886857404,0.030253524
Bird Island,BI10,BI10.3,88,84.8,85.8,85.3,1324,21329.45455,51592.63636,50780.45455,1.240909091,0.0070415,0.439601024,0.046309717,0.042094797,2.167188344,0.107459944,0.425487372,0.253444199,0.072480673,0.095274715,0.744892358,1.786921439,11.88552277,0.149911105,0.00955459,0.044037852,0.035169483,0.029747629,0.196187361,0.069727816,0.035734257,0.067094722,0.079220959,0.133495168,0.156746238,0.097476451,0.297464807,0.004174895,83.3768962,4.16884481,16.6231038,1.66231038,0.184247026,0.018424703,3858.056048,77.55997105,3095.570446,982.5430133,7180.738417,69.86799065,574.7925663,2.379383359,57.22472424,0.585720892,3753.765384,11.81590071,2.601276107,0.027240957,5.912256586,0.047824043,37.01157435,0.426171368,65.03458094,0.286572998,8.662126972,0.092756516,13.30255749,0.023181323,130.9618352,0.711514938,13.33706426,0.180364254,3.755055231,0.044804774,1.35530674,0.018758598
Bird Island,BI10,BI10.3,95,93,94,93.5,1444.545455,21085,51886,50973,1.319090909,0.052652785,0.476498276,0.200509004,0.104571032,6.185250767,0.118570911,0.39519331,0.196781493,0.00974752,0.211958841,1.31042605,1.641482451,11.72657083,0.156443694,0.033821649,0.08113819,0.145709913,0.047744563,1.278265653,0.077898129,0.057249174,0.138423405,0.019264578,0.166290897,0.649380266,0.194773165,0.276022332,0.006363537,84.50687591,4.225343795,15.49312409,1.549312409,0.169763258,0.016976326,3318.93706,140.159263,3134.001598,945.8757012,6732.62029,14.01324671,606.0238476,2.682720915,60.2997145,0.569052976,11390.75321,93.133272,5.745017677,0.069473871,7.120078834,0.066671523,25.20300712,0.083140624,71.97280393,0.774294779,7.32730259,0.127147154,10.28410137,0.050822268,119.867266,2.07053159,13.96054981,0.385854347,4.655602184,0.05117785,1.122462139,0.002027459
Bird Island,BI10,BI10.3,98,96.3,97.3,96.8,1492.281818,20358.09091,49648.18182,48751.45455,1.288181818,0.079679624,0.430408623,0.162060765,0.113078277,6.167487902,0.187606754,0.429740332,0.192395553,0.022248877,0.376840112,1.415760349,1.766199395,12.10903038,0.163261797,0.047700675,0.081141662,0.042077701,0.03571832,0.579031527,0.085617022,0.054851774,0.080431479,0.06525419,0.234007261,0.296159387,0.206768593,0.260276283,0.004797626,72.65882601,3.6329413,27.34117399,2.734117399,0.345133732,0.034513373,3046.497536,93.59658386,3044.618396,864.5444411,6605.365982,65.89419971,562.7226914,3.077677491,54.01867077,0.421691157,7073.372392,64.24483976,3.633220643,0.018650539,5.857915852,0.041156676,18.81424853,0.085012501,41.79884834,0.244174097,5.049060535,0.052888463,9.694363956,0.203712654,112.4064678,0.932757371,13.08141258,0.324463031,4.214972855,0.00900571,0.992804532,0.005060371
Bird Island,BI10,BI10.3,104,103.2,104.2,103.7,1595.6,23485.90909,56468.36364,55387.63636,1.455454545,0.035072796,0.458114536,0.112171097,0.091123769,2.9010372,0.116277637,0.38997338,0.186072919,0.044218803,0.10711192,0.986338805,1.650211815,11.63576857,0.148378059,0.032788203,0.093925866,0.136726938,0.016479322,0.984239946,0.053303386,0.033567272,0.073721109,0.054208629,0.13032754,0.240538557,0.181988359,0.251195794,0.002752184,83.17025225,4.158512612,16.82974775,1.682974775,0.191025979,0.019102598,3335.981766,60.0124919,1424.582603,617.0473108,7089.603048,60.94161611,441.0920959,6.868091078,47.40786167,0.811856875,1987.252608,27.50554815,1.389287804,0.01419095,4.568507031,0.022190259,19.39416739,0.073912797,45.72842227,0.254790732,4.628095976,0.048659815,6.266500548,0.095875453,127.1397723,0.326624311,11.39582517,0.228978244,4.732409551,0.019576414,0.984439937,0.012776705
Bird Island,BI10,BI10.3,114,114.9,115.9,115.4,1769.918182,23787.45455,60059.36364,59158.63636,1.378181818,0.014503756,0.344380365,0.051981964,0.055795805,11.87379362,0.227837807,0.380187383,0.226970927,0.002603879,0.054459871,0.371847574,1.464958768,10.74396415,0.149992787,0.015608514,0.053746921,0.036980631,0.02163951,1.247557354,0.085598336,0.049165843,0.077979597,0.008636091,0.075854802,0.148268635,0.140349347,0.301533844,0.002882752,86.15563506,4.307781753,13.84436494,1.384436494,0.27542932,0.027542932,4610.248256,169.7864944,1716.680373,574.2556523,5586.311354,64.02588147,354.6954517,1.783713254,38.81328375,0.081961578,15892.74003,5.384076861,1.543818014,0.018208205,5.784125479,0.017909738,42.10225675,0.101834918,35.80217711,0.124414396,5.434072792,0.066823231,6.037782671,0.042295483,94.40874214,1.478332239,8.138802933,0.19067742,3.83135941,0.031914034,0.865875823,0.005713133
Bird Island,BI10,BI10.3,120,121.8,122.7,122.3,1872.71,23463.2,55879.5,54955.9,1.243,0.014295445,0.34180936,0.030193293,0.047552262,2.659322344,0.089636749,0.417349279,0.307464727,0.075564054,0.088378174,0.262018961,1.720274025,11.76823725,0.146557429,0.017747545,0.039107362,0.022855442,0.035640008,0.970336889,0.06821703,0.050302142,0.072935029,0.056293152,0.117492291,0.106599426,0.096010231,0.356120857,0.003832888,87.78918391,4.389459195,12.21081609,1.221081609,0.151943562,0.015194356,4492.936701,91.25578968,683.2265993,330.288126,5350.125775,88.24884284,192.9637106,2.274240107,32.12024806,0.26750503,4238.013215,41.30378848,0.741821487,0.012050585,6.534750001,0.055133377,62.86286744,0.567434644,87.02811474,1.036590908,13.1076901,0.161700542,2.592646444,0.02182641,91.74775016,0.40610632,5.71655892,0.108668636,5.092746285,0.020391728,0.664291765,0.003592713
Bird Island,BI10,BI10.4,135,129.4,130.4,129.9,1986.590909,23205.09091,65119.72727,64274.27273,1.433636364,0.01070358,0.350210518,0.063764088,0.070850222,24.24364799,0.279843591,0.30886799,0.250588167,0.138563258,0.024609755,0.410835675,1.249210385,9.556552278,0.157428366,0.01320022,0.041577461,0.04044899,0.032464775,1.751503539,0.099090975,0.064578533,0.058892021,0.078475631,0.035023514,0.147888876,0.11688972,0.357036907,0.002657515,83.20307613,4.160153806,16.79692387,1.679692387,0.198138286,0.019813829,2888.301683,68.23238158,1641.390095,595.6836327,5647.265231,93.13022455,401.5251511,5.219646629,37.52718028,0.316767608,3019.385269,15.63993365,1.001920559,0.002420104,9.469595678,0.030083547,77.32937965,0.189230748,126.1466188,1.544773235,11.39866575,0.123110885,6.954876946,0.093655521,100.7977844,1.025597866,10.71344504,0.348935486,3.961646879,0.031813072,0.860069661,0.003042513
Bird Island,BI10,BI10.4,145,141,142,141.5,2162.972727,23972.81818,57889.27273,56954.27273,1.315454545,0.014309574,0.355368317,0.042709978,0.052679577,4.696272534,0.112193627,0.409866727,0.29189964,0.347581769,0.040522313,0.693548898,1.692504335,11.48889219,0.149073162,0.012927011,0.049214029,0.036078473,0.030921372,0.7331043,0.109905595,0.071691658,0.069206357,0.08507225,0.059761045,0.157278885,0.137388664,0.311106258,0.003382222,85.1918684,4.25959342,14.8081316,1.48081316,0.272975891,0.027297589,3582.990472,78.58668299,5412.77206,1133.053064,5488.24581,18.21293292,523.0275133,1.869875762,51.81193098,0.049962394,36760.73258,176.9107347,3.769043144,0.04959872,7.155451754,0.030710634,40.6484082,0.139015902,36.99629166,0.295665893,7.711571305,0.048823252,9.787053209,0.059603308,91.25190224,0.699750267,9.674570314,0.181126451,4.402169903,0.038260027,0.858893791,0.005791892
Bird Island,BI10,BI10.4,155,152.7,153.8,153.2,2335.408333,23105.16667,59388.66667,58460.58333,1.445,0.005751915,0.279848857,0.037659449,0.063610885,12.71692066,0.410734001,0.384895993,0.331957832,0.574120411,0.039753089,0.35606647,1.522393632,10.97483442,0.155222517,0.013480181,0.035819885,0.023453231,0.031675528,2.640670008,0.122053598,0.076381557,0.076832771,0.146022991,0.063643309,0.158999774,0.192817258,0.371953098,0.003991243,83.66949487,4.183474744,16.33050513,1.633050513,0.185787318,0.018578732,3079.887722,69.393988,5594.694254,1512.473246,6436.237221,74.4489504,1149.476822,20.0568356,82.80022216,1.100044802,6074.810846,90.83067827,1.250579343,0.003346293,6.317256008,0.021906999,67.58862806,0.371106986,145.146567,1.516565475,5.364596712,0.048444676,20.81297886,0.274237825,121.0153008,1.039947828,58.14267286,6.463462839,2.650531649,0.028355943,1.955638501,0.006912781
Bird Island,BI10,BI10.4,165,164.8,165.8,165.3,2517.272727,22003.36364,55622.63636,54643.72727,1.340909091,0.041510773,0.546882315,0.142140066,0.083574789,10.19313919,0.17785967,0.402196726,0.280998178,0.197498547,0.034160811,0.624922102,1.542528693,11.10454418,0.153574041,0.054789287,0.073481393,0.113202929,0.03131752,4.81596172,0.100136136,0.058948364,0.113366105,0.13460977,0.056710759,0.123664365,0.228986479,0.599810081,0.003237462,84.59367774,4.229683887,15.40632226,1.540632226,0.216122062,0.021612206,1967.834735,47.21852826,2804.420041,585.0799774,5642.915643,47.45052762,253.7523195,4.53576382,42.83579617,0.699855742,49049.46764,602.4649613,16.76515491,0.107585917,16.20702482,0.031666011,58.21751812,0.419583377,148.0981288,0.616201008,23.90463007,0.06260096,4.260143181,0.051289903,85.39705279,1.57965392,5.057282645,0.115798204,3.146538486,0.012418503,0.570044874,0.002471594
Bird Island,BI10,BI10.4,168,168.4,170,169.2,2576.011765,23517.94118,58045.35294,57089.76471,1.348823529,0.025863756,0.388364061,0.09343199,0.092109411,9.652740901,0.163932491,0.391418476,0.224019204,0.120451108,0.084400211,0.538117127,1.415154292,11.20282716,0.152447822,0.018483026,0.055430758,0.06608403,0.026277773,0.651150857,0.10086487,0.062381843,0.078054339,0.08331571,0.084800459,0.186284945,0.177557445,0.304643781,0.004793828,81.40480554,4.070240277,18.59519446,1.859519446,0.204376401,0.02043764,1694.735519,33.88377561,21023.43508,4080.69295,6500.001765,157.0216455,1574.554031,8.965107785,219.4284939,1.571294805,51904.82693,633.5042142,14.16367715,0.137185591,12.29132094,0.371333453,34.00992075,0.690963856,148.2023206,1.199008089,15.12156246,0.095879915,43.16608535,0.550658986,121.2110164,1.417347214,16.90685979,0.392208159,2.340809011,0.027559605,2.295847112,0.022916539
Bird Island,BI10,BI10.5,181,174.6,175.6,175.1,2667,23704.54545,59517.81818,58566.54545,1.359090909,0.043478043,0.399776839,0.100671193,0.058573928,11.67358588,0.237474012,0.409003355,0.271152668,0.183688553,0.052065326,0.564678345,1.518684392,11.12859843,0.156416456,0.044861385,0.075182603,0.065765447,0.025832067,1.372288803,0.077749076,0.045259431,0.058462944,0.080957452,0.054801502,0.195910058,0.193837202,0.264396023,0.00248921,85.61977529,4.280988764,14.38022471,1.438022471,0.155714357,0.015571436,2752.727597,75.0445044,1243.638909,437.7130837,6176.904031,61.73924486,227.5458294,2.628673775,41.17278862,0.168930879,34127.39087,180.3909133,6.771422937,0.061270999,8.534630865,0.135962996,31.39605337,0.356175262,72.11422012,0.027502016,12.77033613,0.179389774,2.564526013,0.044583218,95.32051892,1.284724348,5.156965844,0.162421667,1.427389453,0.026999745,0.435568334,0.001231962
Bird Island,BI10,BI10.5,191,186.6,187.6,187.1,2847.454545,21510,58730.81818,57866,1.32,0.013867981,0.386310238,0.073421296,0.061427804,20.36816648,0.369922149,0.321552343,0.278091406,0.034965808,0.031829325,0.708292936,1.275025959,10.08367458,0.157757844,0.015639994,0.084189084,0.032720174,0.038016712,2.610892245,0.10010368,0.068238767,0.102250569,0.043795261,0.091037627,0.135716963,0.119821635,0.507364408,0.005194461,79.80943744,3.990471872,20.19056256,2.019056256,0.281645054,0.028164505,1749.918156,38.72164841,11337.75217,2616.583382,6093.055388,99.46457719,915.5577505,17.12303214,122.3868181,1.392426748,29114.97389,241.7735926,5.562421054,0.040340228,5.623618255,0.058556283,28.97367916,0.196486418,93.7163573,0.254401542,5.880620616,0.031702243,24.03856275,0.33159449,119.1548845,2.957478603,15.8979202,0.224859279,2.455216785,0.026686848,1.603626604,0.009780705
Bird Island,BI10,BI10.5,194,190.3,191.3,190.8,2903.109091,21500.09091,61427.81818,60598.36364,1.414545455,0.008282745,0.303655542,0.054449172,0.045212047,27.0211925,0.393057422,0.29545336,0.235336333,0.013045814,0.020381933,0.33597677,1.156502674,9.541209548,0.162441652,0.00849416,0.063162699,0.031391524,0.023318133,2.18156715,0.078789443,0.061504552,0.071173662,0.020694502,0.038396489,0.117554704,0.146026238,0.379358895,0.004380893,64.49599226,3.224799613,35.50400774,3.550400774,0.424637677,0.042463768,2718.898178,69.33850126,21256.47654,4637.824269,9697.311696,71.12002695,2196.956371,20.5861252,243.6402038,1.438405031,24845.10488,215.0112593,3.933228837,0.026102701,4.972003175,0.041494084,26.9304948,0.044764677,75.23867924,0.271229161,6.036863844,0.03305887,58.90663431,0.829134942,121.5336821,2.37450858,34.80855314,1.065068086,3.035214228,0.002861817,3.482291497,0.029947165
Bird Island,BI10,BI10.5,197,194,195,194.5,2954.418182,21368,63253.63636,62430.36364,1.329090909,0.009675766,0.339386918,0.059930359,0.042138294,30.11890548,0.31722389,0.313744934,0.230031859,0.057993414,0.059116282,0.403788751,1.028706752,8.998138827,0.160814896,0.011954827,0.068030034,0.024452285,0.030788302,3.061334876,0.127911478,0.03450425,0.087020908,0.046223079,0.064618631,0.148950742,0.188094393,0.389317973,0.003733565,84.6167805,4.230839025,15.3832195,1.53832195,0.178709685,0.017870968,3664.07192,100.1547698,4642.258304,1389.963814,7288.66125,112.260405,660.9863166,4.425975943,67.78989286,0.637151851,27055.53366,347.4235335,5.752426608,0.069152067,6.761396788,0.051811841,46.72905914,0.124522427,130.7729603,0.867339372,9.314588371,0.068044927,12.67353344,0.313961187,118.8967341,1.10170535,12.27077458,0.312493156,4.000698932,0.018011777,1.094034563,0.005286327
