"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ca","Ca_sd","Ca_ICP","Ca_ICP_sd","Ca_fit_OLS","Ca_lwr_OLS","Ca_upr_OLS","Ca_fit_WLS","Ca_lwr_WLS","Ca_upr_WLS"
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,-4.78776571219201,-7.21585217546204,9.31962982035972,5.73784449434509,9.27737687880663,8.4913634261371,10.0633903314761,9.28031770833019,8.5161204965756,10.0445149200848
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,-4.68875056810136,-6.25951085433252,9.23690275058605,5.76769535824841,9.33709261871189,8.551041127386,10.1231441100378,9.33727095260275,8.59082804593395,10.0837138592716
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,-4.75274586410445,-6.52584485189587,9.41157632837554,6.76243226009946,9.29849724538413,8.51247478362804,10.0845197071402,9.30046103065564,8.54254460603422,10.0583774552771
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,-4.70292093384838,-6.54551363002555,9.19579802455276,5.24743376401479,9.32854651313296,8.54250284990422,10.1145901763617,9.32912019638022,8.58013718323961,10.0781032095208
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,-4.8830962526615,-6.66593791212598,9.21515320568939,6.48303970788502,9.21988331242357,8.43386973918515,10.005896885662,9.22548383813935,8.44418166672672,10.006786009552
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,-4.58178759476768,-6.56559836863925,8.84805845717108,5.05889423782801,9.40160167087506,8.6154653993158,10.1877379424343,9.39879576685556,8.67151779909985,10.1260737346113
"Bird Island","BI10","BI10.13",519,491,492,491.5,-4.75587419043616,-6.86816439251174,8.85543266284345,3.80461307070051,9.2966105610463,8.51058910193374,10.0826320201589,9.29866162577298,8.54018419977881,10.0571390517671
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,-4.58530977268075,-6.3965076073899,9.10941512949219,4.8032238951267,9.39947745581595,8.61334469831101,10.1856102133209,9.39676981960379,8.66886102206521,10.1246786171424
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,-4.11264109640084,-5.48740094059494,9.34103600275103,5.15635683519641,9.68454253341917,8.89749899412927,10.4715860727091,9.66864756949134,9.02521720248922,10.3120779364935
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,-4.08138156661252,-5.81698655766031,8.94646476480545,5.46341554424857,9.70339506317655,8.91626012926278,10.4905299970903,9.68662796685611,9.0487701248164,10.3244858088958
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-4.25228972791561,-6.61585614028262,9.67710058327398,5.69250688511888,9.6003208576922,8.81363844729764,10.3870032680868,9.58832205266224,8.91997329223905,10.2566708130854
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-4.10325130747022,-5.73743576907222,9.71647584295073,4.71082809022155,9.69020548729048,8.90313490034434,10.4772760742366,9.67404855080127,9.03229228063111,10.3158048209714
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,-3.91362535137693,-5.7964681777963,9.64083569746842,3.8316927071544,9.80456833933043,9.01687703549294,10.5922596431679,9.78312089015889,9.17513186104329,10.3911099192745
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,-4.03919490240065,-5.41430510750008,9.65233966531506,5.64049632453013,9.7288377153151,8.94157332015049,10.5161021104797,9.71089362251888,9.0805529804442,10.3412342645936
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,-4.54364363133611,-6.22053097933304,9.77961448264658,4.39791550733173,9.42460618215618,8.63842870419822,10.2107836601141,9.42073607191489,8.7002886351734,10.1411835086564
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,-4.32753952208735,-6.0188829722805,9.96093738096627,5.66325189461507,9.55493792987896,8.76841813093788,10.34145772882,9.5450385736724,8.86324747193663,10.2268296754082
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,-4.01771344434583,-5.29348999464463,9.73080159766745,4.86426664776876,9.74179311899368,8.95446010233853,10.5291261356488,9.72324969935099,9.0967353363335,10.3497640623685
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,-3.86113519583457,-5.85351745332917,10.0443589944064,5.28836591873424,9.83622499654929,9.04833681365354,10.624113179445,9.81331308629175,9.21465629214589,10.4119698804376
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,-3.39794509775448,-4.63466588137635,9.89376972856614,5.22672413884922,10.1155735717361,9.32547877366418,10.9056683698081,10.0797387835208,9.56308612895,10.5963914380916
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,-4.17232167490673,-5.97672591932797,10.0842068622508,5.25589312505287,9.6485493534245,8.86166958163656,10.4354291252124,9.6343194614308,8.98024453662922,10.2883943862324
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,-4.24120138342842,-5.80882821045347,9.89755861456796,4.1837258038906,9.6070082053849,8.82029993938959,10.3937164713802,9.59470003855477,8.9283311986168,10.2610688784927
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,-4.2950178836979,-6.75357090154853,9.70988201501923,4.32818303932108,9.5745516335926,8.78796430666042,10.3611389605248,9.56374493250618,8.88776460471169,10.2397252603007
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,-4.43119643834511,-6.35165197465381,9.28021534016808,2.7089322972743,9.49242275093862,8.70609023913252,10.2787552627447,9.48541539454776,8.7850915610808,10.1857392280147
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,-4.35106472948076,-6.60629807632318,9.72426031579214,5.19605117076295,9.54074994703225,8.75427638601875,10.3272235080457,9.53150693772374,8.84551135377227,10.2175025216752
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,-4.49283231692321,-5.80129841033721,9.9145902716101,5.30942008562201,9.4552503352662,8.66900900809873,10.2414916624337,9.44996260315054,8.73861076316389,10.1613144431372
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,-4.52188697880531,-6.30022029249684,9.78416517770489,5.3445094300034,9.43772755480751,8.65152399032675,10.2239311192883,9.43325043986859,8.71669807243576,10.1498028073014
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,-3.36142662337259,-5.43712711382486,10.1799865573056,4.06068863865323,10.1375977553896,9.34729325052014,10.927902260259,10.1007441116556,9.59052521712113,10.61096300619
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,-3.67904209889313,-5.32109779014139,10.1912024835731,6.04976631389022,9.94604480356329,9.15738957144619,10.7347000356804,9.91805254534822,9.35171360189406,10.4843914888024
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,-4.28919743499989,-6.35913395035162,9.86126439246674,5.49511110718734,9.57806192894968,8.79146207476085,10.3646617831385,9.56709283892513,8.89215227881272,10.2420333990375
