"Location","Site","Section","sample","min_depth","max_depth","midpoint","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","Ln_inc_coh","coh_inc","Ln_coh_inc","Total_scatter","kcps_sd","cps_sd","MSE_sd","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","inc_coh_sd","Ln_inc_coh_sd","coh_inc_sd","Ln_coh_inc_sd","Total_scatter_sd","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Ln_C_org","Ln_C_org_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Kerguelen","KER3","CAT2.3D",129,147,148.1,147.6,147.6,0.5,6583,7874,7271,7263,645,0.01587,0.00147,23040.1666666667,55594.5,1.32416666666667,28.75,275.166666666667,170.333333333333,60,1272.83333333333,0.181818181818182,41.5,295.583333333333,1034.33333333333,42962.4166666667,6350.16666666667,6.76863529766667,1.91208852510285,0.1478022845,-1.91208852506269,49312.5833333333,159.233866505917,561.439141039266,0.10211030874263,13.0113586740761,30.1083900518635,16.5162913145742,19.8311050441655,119.294771152144,0.603022689155527,54.4968723039138,57.6170087471547,130.659399921624,378.329692279903,156.502589774293,0.1460130272415,0.0213965543852306,0.00313753078556546,0.0213965556317891,480.413923485558,83.09,16.91,0.85,91.41,4.57,52.84,4.57,3.96726847965412,0.343119170174477,4.9738,6.6549,1.0342,0.1749,0.2427,0.0028,0.0041,148.1
"Kerguelen","KER3","CAT2.3D",130,148.3,149.4,148.9,148.9,0.5,6629.2,7955,7363,7346,663,0.01603,0.00151,22427.9166666667,53799.0833333333,1.34083333333333,26.0833333333333,270.75,140.333333333333,59.1666666666667,1086.58333333333,0.181818181818182,34.4166666666667,304,979.25,41857.0833333333,6174.25,6.78200174141667,1.91406434966454,0.147510019833333,-1.91406434914797,48031.3333333333,276.642026102436,1007.02364857429,0.0947204819295684,11.5558590674981,35.23460334284,34.6707456807696,17.6111190772056,251.735235491337,0.603022689155527,45.5919816182494,93.5822438480525,103.820759003197,642.140661216745,156.305135726711,0.145431429224074,0.021229386260429,0.00310003986207934,0.0212293875367145,741.923339991567,83.47,16.53,0.83,91.09,4.55,52.65,4.56,3.96366623857998,0.343291890748808,4.3715,5.8796,1.2352,0.2042,0.2849,0.0033,0.0049,148.9
"Kerguelen","KER3","CAT2.3D",131,149.6,150.8,150.2,150.2,0.6,6682,8034,7452,7430,676,0.01501,0.00142,22705.8461538462,54645,1.35076923076923,40.5384615384615,273.384615384615,178.230769230769,61,1717.76923076923,0.923076923076923,57.7692307692308,376.846153846154,1038.53846153846,41612.4615384615,6136.07692307692,6.78411388,1.91439661841629,0.147458201615385,-1.91439661912176,47748.5384615385,192.183005732317,800.608102215643,0.0816967500844371,14.1575385373269,32.3252699435454,37.9608435236316,17.6965156645783,260.852178396806,3.32820117735137,50.8267545133365,91.4884748241057,77.176869791209,457.600010086068,138.819103835688,0.13693103028974,0.0201065990275173,0.00295319742245797,0.0201065984762058,536.724109045578,80.94,19.06,0.95,88.97,4.45,51.43,4.45,3.94022165978682,0.340929153918946,4.0765,5.5134,1.1293,0.2152,0.3018,0.0032,0.0048,149.7
"Kerguelen","KER3","CAT2.3D",132,151,152.1,151.5,151.5,0.5,6864.8,8045,7535,7518,590,0.01473,0.00121,22795.8333333333,55296.8333333333,1.33583333333333,40,320.25,200.916666666667,68.6666666666667,1801.16666666667,0.181818181818182,42.5,457.583333333333,1078.58333333333,41869.5833333333,6178.25,6.78292265425,1.91399384698637,0.147551864833333,-1.91399384699546,48047.8333333333,215.0449565401,734.20814900177,0.0741568771203482,13.1633098904769,24.9513162341826,24.4222638118781,9.03863760181642,74.2205966676162,0.603022689155527,64.4649305648216,81.4074581498786,99.9176554908485,351.868120525893,205.682511299686,0.202913961167506,0.0301377056328239,0.00447937136363631,0.0301377053997045,480.75467819467,79.4,20.6,1.03,89.13,4.46,51.52,4.46,3.9419700817961,0.341249739223808,4.266,5.8252,1.2037,0.2479,0.3509,0.0037,0.0055,149.7
"Kerguelen","KER3","CAT2.3D",133,152.3,153.4,152.8,152.8,0.5,7045.9,8061,7619,7606,508,0.01447,0.00102,23022.9166666667,55877.75,1.29666666666667,39.1666666666667,317,183.833333333333,61.5,1700.66666666667,0.181818181818182,74.0833333333333,469.333333333333,1106.33333333333,42330.4166666667,6283,6.7407513395,1.90795237156978,0.148416220333333,-1.90795237197669,48613.4166666667,182.803649423156,627.702321602728,0.0971721371712295,11.3604844113535,22.8672055771817,30.8245278171705,17.7635991439082,167.047806621247,0.603022689155527,65.4445752086636,55.6079349035947,79.0492750048214,346.117809248221,166.264302187265,0.147804633442259,0.0218276853480208,0.00322533520745793,0.0218276846872594,476.302703279663,79.14,20.86,1.04,89.21,4.46,51.57,4.46,3.94294010806287,0.341002770641078,4.6678,6.4252,1.2418,0.259,0.3695,0.0037,0.0056,149.7
"Kerguelen","KER3","CAT2.3D",134,153.6,154.8,154.2,154.2,0.6,7239.8,8077,7713,7700,419,0.015,0.00087,23100,55776.5384615385,1.30307692307692,45.6153846153846,324.692307692308,197.538461538462,69.4615384615385,2018.53846153846,2.07692307692308,58.3846153846154,455.153846153846,1080.07692307692,42036.6923076923,6231.61538461538,6.75218963223077,1.90938389093605,0.148242751153846,-1.90938389091701,48268.3076923077,116.354343852446,547.38036978939,0.0875961010723475,17.0271276768302,42.0681681230687,24.7911791591801,21.2038337123871,392.185248614439,7.4884526490406,49.8071923546832,83.5960985471672,92.7446867646709,230.435596431116,202.834718618197,0.219178382248411,0.0322948251692594,0.00476426850131171,0.0322948244875146,329.416500450768,78.73,21.27,1.06,89.27,4.46,51.6,4.46,3.94352167248752,0.340854780218882,5.3135,7.3724,1.0024,0.2133,0.3066,0.0032,0.0048,149.6
"Kerguelen","KER3","CAT2.3D",135,155,156.2,155.6,155.6,0.6,7437.4,8096,7804,7795,329,0.01473,0.00068,23187.8461538462,55892.9230769231,1.34307692307692,35.6153846153846,322.615384615385,189.692307692308,62.1538461538462,1885.46153846154,0.181818181818182,42,425.615384615385,1136.76923076923,42400.8461538462,6284.15384615385,6.74860717553846,1.90924598466596,0.148205420538462,-1.90924598416245,48685,103.577544343876,595.626905248924,0.0690874585078719,11.4785195150076,27.7625000721551,25.9595345855321,12.1095427511127,160.125791897399,0.603022689155527,54.8832093327884,95.4799616512443,126.054322844131,239.060956715314,102.707388693841,0.0944101618983424,0.0139699342450371,0.00206776795877832,0.0139699334192863,309.045573769738,79.92,20.08,1,88.71,4.44,51.28,4.44,3.93730081261241,0.340905140561605,5.2022,7.2675,1.0938,0.2197,0.3178,0.0032,0.0048,149.3
"Kerguelen","KER3","CAT2.3D",136,156.4,157.6,157,157,0.6,7631.4,8115,7893,7889,242,0.01473,5e-04,23238.0769230769,56094.0769230769,1.31230769230769,37.3076923076923,313.461538461538,202.923076923077,58.6153846153846,1843.84615384615,0.181818181818182,55.6153846153846,436.384615384615,1082,42602.2307692308,6322.38461538462,6.74017480015385,1.90789273565862,0.148421200230769,-1.90789273484027,48924.6153846154,224.435017149902,735.194924440503,0.0873836222406547,9.01281139438573,32.3022583952871,25.2700796017132,23.914913274421,216.3977226289,0.603022689155527,80.5621276423135,57.1395053962062,85.0078427754365,559.870097112737,118.317044743871,0.138405825005185,0.0204165282438292,0.00301258052210435,0.0204165279590865,596.586196407183,79.12,20.88,1.04,90.48,4.52,52.3,4.52,3.95699637107088,0.341981330731173,3.7018,5.1844,1.302,0.2719,0.3944,0.004,0.0059,148.5
"Kerguelen","KER3","CAT2.3D",137,157.8,158.8,158.3,158.3,0.5,7799.5,8137,7980,7977,169,0.01445,0.00035,23140.6363636364,55861.8181818182,1.30727272727273,43.1818181818182,336,210.545454545455,67.4545454545455,1909.45454545455,0.181818181818182,44.3636363636364,499.181818181818,1112.81818181818,42176.8181818182,6190.18181818182,6.81699858381818,1.91919275805273,0.146758397818182,-1.91919275856449,48367,134.581776424056,631.84995341961,0.0808815070446773,13.4968009677715,17.3147336104255,26.2958690153554,20.6075890698725,106.757073429692,0.603022689155527,42.9261522321131,71.7785736579074,112.278063914389,396.726308223142,165.855851981061,0.15264177165048,0.0222906749171276,0.00325646938638781,0.0222906743165374,516.059492694399,78.72,21.28,1.06,90.81,4.54,52.49,4.54,3.96062267526421,0.342564811310716,4.3352,6.1429,1.2097,0.2574,0.3776,0.0037,0.0055,149.1
"Kerguelen","KER3","CAT2.3D",138,159,160.1,159.6,159.6,0.5,7944.8,8169,8070,8065,112,0.00695,0.00012,23430.1666666667,56575.5,1.3125,44.4166666666667,348.916666666667,226.666666666667,53,1745.25,0.181818181818182,72.9166666666667,519.666666666667,1108.5,43022.6666666667,6445.5,6.67623461075,1.898312853601,0.149858296833333,-1.89831285341073,49468.1666666667,668.987815262503,1585.41778262215,0.0698212002188447,20.3087904538151,26.6439770896072,29.6198131886974,16.9705627484771,290.479892904514,0.603022689155527,66.0144038460662,244.402177245671,99.8139177761207,1933.80281655947,282.600746315684,0.151196015903396,0.0230960363427909,0.00353058955370107,0.0230960368088166,2184.16740256425,77.9,22.1,1.11,87.98,4.4,50.85,4.4,3.92888012249457,0.339962095161772,4.6678,6.6586,1.1282,0.2494,0.3682,0.0017,0.0026,149.4
"Kerguelen","KER3","CAT2.3D",139,160.4,161.5,160.9,160.9,0.5,8107.3,8387,8256,8255,140,0.00561,0.00011,23838.6666666667,57027.3333333333,1.34416666666667,18,320.5,126.25,44.1666666666667,1139,0.181818181818182,29.3333333333333,297.583333333333,1028.08333333333,44809.9166666667,6644.41666666667,6.7464788355,1.90882208015195,0.148284218083333,-1.90882207908122,51454.3333333333,123.146869692865,384.108254942733,0.0841490380578448,8.29019135649309,30.0227186704275,31.5396575758203,19.4086828429177,118.373830031657,0.603022689155527,51.3018400048067,93.3609401811868,83.0273321189347,330.0714683859,136.839294152822,0.140798186678036,0.0207919017839138,0.00307110328363074,0.0207919012743067,376.565178067932,82.81,17.19,0.86,92.67,4.63,53.57,4.63,3.98098920989287,0.344072802721747,5.3969,7.7715,1.1208,0.1927,0.2871,0.0011,0.0016,151
"Kerguelen","KER3","CAT2.3D",140,161.7,162.8,162.2,162.2,0.5,8204.9,8696,8510,8490,246,0.00561,0.00018,23589.4166666667,55937.3333333333,1.27833333333333,21.75,299.833333333333,107.25,38.3333333333333,924.333333333333,3.33333333333333,21.5,242.166666666667,1049.75,44257.1666666667,6583.16666666667,6.72666709658333,1.90585155234325,0.1487296185,-1.90585155170166,50840.3333333333,338.702727888023,959.344978555049,0.0740802186003713,15.6270453206787,22.4006222857286,21.0286600965098,22.6969494679685,58.1633019778769,11.5470053837925,34.3471581463048,96.823018800784,154.304966631903,613.403149847166,204.140697173357,0.150769433586024,0.0222675021424297,0.00329099466971165,0.0222675023495831,781.192251198982,84.99,15.01,0.75,96.75,4.84,55.92,4.84,4.02392209792555,0.348279380435617,4.3715,6.3168,1.2005,0.1802,0.2694,0.001,0.0015,152.7
"Kerguelen","KER3","CAT2.3D",141,163,164.1,163.5,163.5,0.5,8292.9,9015,8769,8726,361,0.00531,0.00024,23441.1666666667,55894.1666666667,1.30416666666667,17.5,295.75,106.666666666667,47.75,971.5,0.181818181818182,26.4166666666667,359,997,43939.5833333333,6614.83333333333,6.6445684295,1.8936668883779,0.150538667083333,-1.89366688811123,50554.4166666667,183.521528751129,562.074701171445,0.053335700705034,5.71282448849635,30.337870123599,19.5324128441714,19.3020253294358,74.6902695378479,0.603022689155527,62.5044846875855,116.529356426142,76.965163311958,323.452246955568,134.085341435516,0.113672514095193,0.0169847133833378,0.00253849927553242,0.0169847136061008,419.257451461582,85.08,14.92,0.75,93.91,4.7,54.28,4.7,3.99415583496667,0.345846212681344,4.9738,7.2517,1.0741,0.1603,0.2417,9e-04,0.0013,155.3
"Kerguelen","KER3","CAT2.3D",142,164.3,165.5,164.9,164.9,0.6,8384,9363,9046,8979,490,0.00552,0.00032,23958.3846153846,56345.5384615385,1.32,10.3076923076923,295.230769230769,79.2307692307692,41.8461538461538,942.923076923077,0.181818181818182,24.5384615384615,260.153846153846,977.923076923077,44709.3076923077,6701.15384615385,6.67342058376923,1.89799607656636,0.149889080230769,-1.89799607745315,51410.4615384615,209.796146477773,640.305085536655,0.0730296743340222,8.00400540755081,41.0916736216188,20.0131367113114,18.8451857417492,89.712003598981,0.603022689155527,36.0731095245368,98.8111381659022,114.702122574418,480.750521687251,119.285264634717,0.114815758981307,0.0171923614962131,0.00257517368237041,0.017192361449491,535.631343273931,85.4,14.6,0.73,93.45,4.67,54.02,4.67,3.98935434836447,0.344877541778269,5.6422,8.294,0.9777,0.1427,0.2169,8e-04,0.0012,157.8
"Kerguelen","KER3","CAT2.3E",153,165.6,166.7,166.2,166.2,0.5,8464,9690,9302,9214,613,0.00549,0.00038,23515,54940.2727272727,1.27636363636364,4.72727272727273,259.272727272727,47.9090909090909,37.0909090909091,721.727272727273,0.181818181818182,11.3636363636364,268.181818181818,965.090909090909,43807.4545454545,6496.81818181818,6.74717667481818,1.90885070361068,0.14829068,-1.90885070351671,50304.2727272727,848.392362058971,2176.22729010134,0.048429893097699,8.94528824679126,35.5474075259812,20.1864040653829,11.8021569677288,168.057782270915,0.603022689155527,14.5001567389648,109.910707560108,106.654071226048,1668.44492648912,306.21195867628,0.166599773719519,0.0244458309682037,0.00358914747066278,0.0244458303772139,1938.81232154683,85.35,14.65,0.73,95.56,4.78,55.23,4.78,4.0115062839131,0.347184501848716,3.9915,6.2787,1.1911,0.1745,0.2832,0.001,0.0016,169.3
"Kerguelen","KER3","CAT2.3E",154,167,168.2,167.6,167.6,0.6,8545,10046,9577,9468,750,0.00549,0.00046,23307.1538461538,54543.7692307692,1.29076923076923,7.38461538461539,213.615384615385,67,31.7692307692308,668.769230769231,0.181818181818182,21.0769230769231,253.307692307692,1020.23076923077,43406.6923076923,6446.15384615385,6.73669659092308,1.90736630947754,0.148501229615385,-1.90736630970875,49852.8461538462,336.939620247171,987.088154949205,0.0758794590629922,8.06782148970486,44.4532309690729,20.4001633980384,18.5524205345908,76.4407764723273,0.603022689155527,28.8284047959113,91.6345864611034,131.442099956694,743.546387772297,182.275362274521,0.141117558522974,0.0210146242239682,0.00313127319438155,0.021014623634015,876.851645201346,84.64,15.36,0.77,100,5,57.8,5,4.05698877567833,0.350950586131344,4.5593,7.2219,1.2175,0.187,0.3055,0.001,0.0018,171.7
"Kerguelen","KER3","CAT2.3E",155,168.4,169.5,169,169,0.5,8627.4,10398,9849,9721,885,0.00652,0.00061,23679.9166666667,55500.5,1.29166666666667,9,225,64.0833333333333,31.6666666666667,784.583333333333,0.181818181818182,19.25,232.916666666667,1066.5,44046,6608.5,6.66700652925,1.89698304217306,0.150048853416667,-1.89698304189226,50654.5,276.728110190665,743.95008385827,0.0845128643605472,10.366028432073,40.445249187243,12.1614766846594,9.64207949405609,109.585548427895,0.603022689155527,45.7525458804803,107.156180268321,146.364116317677,505.99407111151,125.588433167448,0.134721826338967,0.0202697596257692,0.00305079395541201,0.0202697601812691,543.164883722329,84.65,15.35,0.77,93.24,4.66,53.9,4.66,3.98713047791495,0.344712950409716,4.3715,6.9725,1.1926,0.183,0.3011,0.0012,0.0021,173.9
"Kerguelen","KER3","CAT2.3E",156,169.8,170.9,170.3,170.3,0.5,8744.2,10658,10064,9927,957,0.01156,0.00115,23674.8333333333,55661.5833333333,1.29833333333333,9.75,228.833333333333,70.5,31.3333333333333,1133.16666666667,2.75,9.33333333333333,337.166666666667,962.5,43863.75,6516.41666666667,6.73477102025,1.90715697962861,0.148520944,-1.90715697973748,50380.1666666667,689.543832522413,1468.2156429634,0.0568624070307733,5.70685393348926,33.7122403811309,16.4786363072147,18.7341852496899,159.385087321889,9.52627944162882,22.2968947423518,113.96317852976,111.657349226836,1064.18206960685,246.526951627581,0.111661224958616,0.0166630010698155,0.00248738760875538,0.0166630005931918,1300.36762867159,84.94,15.06,0.75,98.59,4.93,56.99,4.93,4.04287581384691,0.34973465103115,4.5679,7.3361,1.1037,0.1663,0.2753,0.0019,0.0034,175.6
"Kerguelen","KER3","CAT2.3E",157,171.1,172.2,171.7,171.7,0.5,9040,10667,10157,10043,814,0.01245,0.00105,23760.6666666667,55774.6666666667,1.34166666666667,7.41666666666667,213.583333333333,78.25,43.25,1401,0.416666666666667,34.3333333333333,285.25,996.833333333333,43713.5833333333,6520.08333333333,6.71261480508333,1.90342808498405,0.1491379025,-1.9034280844733,50233.6666666667,245.17204843402,730.651432046441,0.0845128643605471,10.219930024074,21.2836186829783,22.7680996931313,23.939791903098,144.477113632701,1.44337567297406,55.1037588774508,119.723260442193,99.8424516501631,574.752351149184,257.717766111879,0.238298883160238,0.0347118097204573,0.00506553662092023,0.0347118090347733,752.482839832527,82.83,17.17,0.86,98.78,4.94,57.1,4.94,4.04480411666196,0.34993576771121,4.5679,7.3818,1.0835,0.186,0.3099,0.0023,0.0041,175
