"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zn","Zn_sd","Zn_ICP","Zn_ICP_sd","Zn_fit_OLS","Zn_lwr_OLS","Zn_upr_OLS","Zn_fit_WLS","Zn_lwr_WLS","Zn_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,-12.3984445381776,-14.7010296311717,3.68601553400694,-0.56148020813713,2.73117927768406,1.42967144499389,4.03268711037423,2.64686220791406,1.01141342159317,4.28231099423495
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,-12.3984445381776,-14.7010296311717,3.25146044625172,-0.503558811121259,2.73117927768406,1.42967144499389,4.03268711037423,2.64686220791406,1.01141342159317,4.28231099423495
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,-9.72785498389297,-12.030440076887,2.83442463779072,-2.35056404378604,3.4207408342371,2.12286524622589,4.7186164222483,3.39797333926669,2.04079692907121,4.75514974946217
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,-9.80454760468122,-12.1071326976753,3.04009534210467,-1.24299134618388,3.40093835920606,2.10302414324371,4.6988525751684,3.37640331512193,2.01127186518442,4.74153476505943
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,-10.8923489772451,-13.1949340702392,2.74996969107395,-1.86525083090971,3.12006179901648,1.82118090758033,4.41894269045263,3.0704559941184,1.59223570361957,4.54867628461723
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,-12.3984445381776,-14.7010296311717,3.36968780245525,-0.765478753599101,2.73117927768406,1.42967144499389,4.03268711037423,2.64686220791406,1.01141342159317,4.28231099423495
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,-6.4995120334738,-8.80209912092127,3.10812005563607,-0.686119913738497,4.2543175201065,2.95453877121158,5.55409626900142,4.30595424632642,3.28053791905802,5.33137057359482
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,-9.61680598041793,-11.919391073412,2.07901959267187,-3.00418638909575,3.44941432454078,2.15158777187315,4.74724087720842,3.42920619663404,2.08354387111773,4.77486852215035
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,-9.28183637368125,-11.5844214666753,3.41801018735681,-0.704733849504343,3.53590540028423,2.23817732611497,4.8336334744535,3.5234173792851,2.21245184773859,4.83438291083162
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,-12.3984445381776,-14.7010296311717,2.80491069370191,-0.879976739142493,2.73117927768406,1.42967144499389,4.03268711037423,2.64686220791406,1.01141342159317,4.28231099423495
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,-7.77357868248478,-10.0754628172759,3.61764363767697,-1.622404820585,3.92534619606504,2.62714162204586,5.22355077008422,3.94761927095667,2.79212910680786,5.10310943510549
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,-10.5729182064788,-12.8755032994728,3.52367868168802,-1.51227441925826,3.20254065809357,1.90402472773753,4.5010565884496,3.1602968336567,1.71533131514063,4.60526235217278
