"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ni","Ni_sd","Ni_ICP","Ni_ICP_sd","Ni_fit_OLS","Ni_lwr_OLS","Ni_upr_OLS","Ni_fit_WLS","Ni_lwr_WLS","Ni_upr_WLS"
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,0.752421042537,0.0752421042537,-3.38720918101404,-1.82909295774758,-2.57569593661161,-3.61270627971843,-1.53868559350479,-2.55214449829589,-3.51872412351933,-1.58556487307245
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,0.0190240751904289,0.00190240751904289,-2.81016164424419,-1.51748728789186,-2.76328722595569,-3.79992923099872,-1.72664522091266,-2.7837769655765,-3.87319363997494,-1.69436029117807
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,0.00108767382697206,0.000108767382697206,-2.41700055360255,-1.30518029894537,-2.76787507238508,-3.80456369562137,-1.73118644914878,-2.78944190978398,-3.88191799982913,-1.69696581973884
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,0.0518113799253275,0.00518113799253275,-3.01281573847008,-1.62692049877384,-2.75490075444956,-3.79146440285974,-1.71833710603937,-2.77342158557173,-3.85725179507021,-1.68959137607324
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,-0.125911946874515,-0.0125911946874515,-2.56113003029056,-1.3830102163569,-2.80035955712435,-3.83745415498834,-1.76326495926036,-2.82955284123932,-3.94375666006699,-1.71534902241164
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,0.0584383096592163,0.00584383096592163,-2.65812641136494,-1.43538826213707,-2.75320569113661,-3.78975457977954,-1.71665680249369,-2.77132856889304,-3.8540306112702,-1.68862652651587
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,0.197081468032478,0.0197081468032478,-2.84774788820206,-1.53778385962911,-2.71774297449616,-3.75406619197194,-1.68141975702039,-2.72754020014403,-3.78671598415301,-1.66836441613505
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,0.0704755120947738,0.00704755120947738,-2.44461541760234,-1.32009232550526,-2.75012676604486,-3.78664977191191,-1.7136037601778,-2.76752679846932,-3.84818046445952,-1.68687313247911
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,-0.139900301580402,-0.0139900301580402,-3.31198262259165,-1.78847061619949,-2.80393755595979,-3.84108499728846,-1.76679011463112,-2.83397085393638,-3.95057470456321,-1.71736700330955
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,0.109994495899768,0.0109994495899768,-3.79818127222492,-2.05101788700146,-2.74001843801022,-3.77646487645946,-1.70357199956098,-2.75504531827409,-3.82898165722301,-1.68110897932517
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,-0.873714791240801,-0.0873714791240802,-3.46803866708922,-1.87274088022818,-2.99163564087662,-4.03380705882295,-1.94946422293028,-3.06573518939753,-4.30991301069812,-1.82155736809695
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,-0.00537426794854845,-0.000537426794854845,-3.66686342764081,-1.98010625092604,-2.7695279344002,-3.80623400302018,-1.73282186578023,-2.79148281748272,-3.88506169278269,-1.69790394218275
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,0.0186068753588575,0.00186068753588575,-3.70536605712528,-2.00089767084765,-2.7633939390426,-3.80003699827519,-1.72675087981002,-2.78390873190584,-3.87339654161646,-1.69442092219522
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,-0.052310249320092,-0.0052310249320092,-3.13959832909983,-1.69538309771391,-2.78153341254388,-3.81837652985905,-1.74469029522871,-2.80630684546945,-3.90790471389828,-1.70470897704062
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,0.175420864821577,0.0175420864821577,-2.86413794149919,-1.54663448840957,-2.72328341257434,-3.75963142774041,-1.68693539740827,-2.73438137782531,-3.79722294221173,-1.67153981343888
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,-0.255342826029321,-0.0255342826029321,-2.87111157959329,-1.55040025298038,-2.83346591913923,-3.87111098342223,-1.79582085485622,-2.87043164932793,-4.00689215871732,-1.73397113993853
"Bird Island","BI10","BI10.13",519,491,492,491.5,-0.054241125947172,-0.0054241125947172,-2.11988556722862,-1.14473820630346,-2.78202730010023,-3.81887644442595,-1.74517815577451,-2.806916683984,-3.90884477666484,-1.70498859130317
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,-0.143109140086888,-0.0143109140086888,-2.61106473270411,-1.40997495566022,-2.80475832585594,-3.84191811643453,-1.76759853527735,-2.83498431760402,-3.95213890707067,-1.71782972813736
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,-0.53696662167744,-0.053696662167744,-3.04281374311353,-1.64311942128131,-2.90550081059336,-3.9448193479111,-1.86618227327563,-2.95937831468832,-4.14462967141126,-1.77412695796539
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,-0.130687979495828,-0.0130687979495828,-1.3563213926739,-0.732413552043907,-2.80158119036974,-3.83869364929725,-1.76446873144224,-2.83106127973735,-3.9460843900977,-1.716038169377
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-0.164418635916,-0.0164418635916,-3.53636085674284,-1.90963486264113,-2.81020895624554,-3.84745290841465,-1.77296500407643,-2.84171460326808,-3.96252834065228,-1.72090086588389
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-0.239757479771321,-0.0239757479771321,-3.50431590044438,-1.89233058623996,-2.82947943524362,-3.86705091316452,-1.79190795732273,-2.8655092507254,-3.99928391220287,-1.73173458924793
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,-0.336906612679135,-0.0336906612679135,-3.54891974738168,-1.91641666358611,-2.8543286395794,-3.89239138798174,-1.81626589117706,-2.89619235189914,-4.04673405522115,-1.74565064857713
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,-0.0164490755791098,-0.00164490755791098,-3.45741576482618,-1.86700451300614,-2.7723606941949,-3.80909746256792,-1.73562392582189,-2.79498062989583,-3.89045021411741,-1.69951104567426
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,0.101692648789879,0.0101692648789879,-3.3534028831918,-1.81083755692357,-2.74214191857071,-3.77860337220445,-1.70568046493696,-2.75766733256467,-3.83301381836044,-1.6823208467689
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,-0.0304463446907288,-0.00304463446907288,-3.44283608662239,-1.85913148677609,-2.77594097319366,-3.81271798966178,-1.73916395672555,-2.79940145807467,-3.89726193526416,-1.70154098088518
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,-0.254549438164585,-0.0254549438164585,-3.25043047997647,-1.75523245918729,-2.83326298313169,-3.87090425315436,-1.79562171310901,-2.87018106963262,-4.00650481545728,-1.73385732380795
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,-0.632024600668993,-0.0632024600668993,-3.30570634270954,-1.78508142506315,-2.92981513098929,-3.96984525343544,-1.88978500854315,-2.98940095616199,-4.19122513786789,-1.7875767744561
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,-0.713828345588973,-0.0713828345588973,-3.37405288151421,-1.82198855601767,-2.95073922894164,-3.99144082011845,-1.91003763776483,-3.01523744596528,-4.23136298788992,-1.79911190404063
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,-0.168719072268806,-0.0168719072268806,-3.36640623843503,-1.81785936875492,-2.81130893952347,-3.84857032974044,-1.77404754930649,-2.84307283179524,-3.96462538552459,-1.7215202780659
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,-0.139729026558539,-0.0139729026558539,-3.29179073694596,-1.77756699795082,-2.80389374653104,-3.84104053109042,-1.76674696197167,-2.83391675928142,-3.95049121561966,-1.71734230294317
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,-0.123016894864308,-0.0123016894864308,-2.7654936397537,-1.493366565467,-2.79961904882735,-3.83670291146941,-1.7625351861853,-2.82863848234518,-3.94234575294215,-1.71493121174821
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,-0.154703889952451,-0.0154703889952451,-3.08948155837507,-1.66832004152254,-2.80772407861161,-3.84492919863866,-1.77051895858455,-2.83864634599851,-3.95779154273428,-1.71950114926274
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,-0.0690800652353838,-0.00690800652353838,-3.10825470005275,-1.67845753802849,-2.78582286495462,-3.8227193531363,-1.74892637677293,-2.81160334110449,-3.91607010742513,-1.70713657478384
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,0.0593281334347431,0.00593281334347431,-3.05452646204218,-1.64944428950277,-2.75297808835562,-3.78952502274354,-1.7164311539677,-2.7710475313571,-3.85359811512061,-1.68849694759358
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,0.0325285528449193,0.00325285528449193,-3.12109212742193,-1.68538974880784,-2.75983299518038,-3.79644165233843,-1.72322433802233,-2.77951177821179,-3.86662653670306,-1.69239701972052
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,-0.77502598489411,-0.077502598489411,-3.25148321140234,-1.75580093415727,-2.96639261254316,-4.00763221467294,-1.92515301041337,-3.03456580538744,-4.26141322680668,-1.8077183839682
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,-0.529401428524569,-0.0529401428524569,-3.53439922031727,-1.90857557897133,-2.90356575440842,-3.94283083597159,-1.86430067284524,-2.95698896153652,-4.14092353750055,-1.77305438557249
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,0.174188771682839,0.0174188771682839,-3.2112294539891,-1.73406390515412,-2.72359856241921,-3.75994810456914,-1.68724902026928,-2.73477051602242,-3.79782070744141,-1.67172032460344
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,0.45500218793664,0.045500218793664,-3.42974398563574,-1.8520617522433,-2.65177095313586,-3.68809664915095,-1.61544525712076,-2.64607979687792,-3.66190283127815,-1.63025676247769
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,0.152254179330304,0.0152254179330304,-3.20305996500177,-1.72965238110095,-2.72920908256567,-3.76558790694398,-1.69283025818735,-2.74169822907773,-3.80846453197685,-1.67493192617862
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,-0.568793201101797,-0.0568793201101797,-3.51380385845092,-1.8974540835635,-2.91364154383259,-3.95319009884819,-1.87409298881699,-2.96943026396736,-4.1602248182808,-1.77863570965392
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,0.502105919406674,0.0502105919406674,-3.26022072811987,-1.76051919318473,-2.63972256718281,-3.6761080417376,-1.60333709262803,-2.63120278753058,-3.63917077215564,-1.62323480290551
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,0.773939386639043,0.0773939386639043,-3.22787563753013,-1.74305284426627,-2.57019188615275,-3.60728006446671,-1.53310370783879,-2.54534825102726,-3.5083992921819,-1.58229720987261
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,0.507567335929203,0.0507567335929203,-2.97282181131011,-1.60532377810746,-2.63832562362739,-3.6747192142865,-1.60193203296827,-2.62947788077436,-3.63653642720009,-1.62241933434864
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,0.679989099341752,0.0679989099341752,-3.09544014504773,-1.67153767832578,-2.59422287661636,-3.63099926658937,-1.55744648664335,-2.57502104464015,-3.5535132685215,-1.59652882075879
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,0.806358562773968,0.0806358562773968,-2.99550555342084,-1.61757299884725,-2.56189957609231,-3.59911222282166,-1.52468692936297,-2.53510913893697,-3.49285331230023,-1.57736496557371
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,0.370943999353949,0.0370943999353949,-3.28703304935037,-1.7749978466492,-2.67327170195025,-3.70953624177183,-1.63700716212866,-2.67262831900638,-3.70251819703275,-1.64273844098001
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,-0.218405117242271,-0.0218405117242271,-3.08818478763326,-1.66761978532196,-2.82401784023341,-3.86149174743427,-1.78654393303254,-2.85876542625505,-3.98886295168125,-1.72866790082884
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,0.553086930241375,0.0553086930241375,-2.79031415582063,-1.50676964414314,-2.62668243478474,-3.6631532498408,-1.59021161972868,-2.61510119746425,-3.6145905680459,-1.6156118268826
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,0.47807396470968,0.047807396470968,-1.83536202485556,-0.991095493422004,-2.64586955928639,-3.68222224631067,-1.60951687226211,-2.63879292112518,-3.6507659703344,-1.62681987191597
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,0.817508046523161,0.0817508046523162,-2.91689598377817,-1.57512383124021,-2.55904771533319,-3.59630516936838,-1.52179026129801,-2.53158774118825,-3.48750939098911,-1.5756660913874
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,0.478785601595614,0.0478785601595614,-3.19657319937595,-1.72614952766301,-2.64568753388007,-3.68204112330236,-1.60933394445778,-2.63856816125429,-3.65042253632064,-1.62671378618793
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,0.547280927383212,0.0547280927383212,-2.94405057011672,-1.58978730786303,-2.62816751804877,-3.66462753151164,-1.59170750458591,-2.61693493666273,-3.61738867362621,-1.61648119969926
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,-0.127555037077859,-0.0127555037077859,-3.20138032964749,-1.72874537800964,-2.80077983348692,-3.83788055485619,-1.76367911211765,-2.83007178671457,-3.94455744747405,-1.71558612595508
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,0.423303952531079,0.0423303952531079,-2.8299513637472,-1.52817373642349,-2.65987885801468,-3.69617463903257,-1.62358307699678,-2.65609121061746,-3.67721151628804,-1.63497090494688
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,0.491824189930898,0.0491824189930898,-2.74361544514925,-1.4815523403806,-2.64235247018886,-3.67872333344686,-1.60598160693086,-2.63445011806564,-3.64413096599694,-1.62476927013433
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,0.404438034989949,0.040443803498995,-2.958167510958,-1.59741045591732,-2.66470445991075,-3.70098637512377,-1.62842254469772,-2.66204972861267,-3.68632705319131,-1.63777240403402
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,0.456140697560436,0.0456140697560436,-2.79349003485607,-1.50848461882228,-2.65147974046691,-3.68780666529688,-1.61515281563693,-2.64572021563485,-3.66135315439452,-1.63008727687517
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,0.32063138696164,0.032063138696164,-3.07731862427499,-1.6617520571085,-2.68614086864872,-3.72239671997425,-1.6498850173232,-2.68851880541776,-3.72685763558508,-1.65017997525043
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,0.227746196269069,0.0227746196269069,-3.24936888705824,-1.75465919901145,-2.70989942432701,-3.74619416062209,-1.67360468803193,-2.71785520419207,-3.77184774390785,-1.66386266447629
