"Location","Site","Section","sample","top","bottom","mp","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Marion Island","PB1","PB1.1B",39,46.4,47.6,47,47,0.6,446.3,898.8,672.9,672.7,226,0.03938,0.01373,74.24,25.76,1.29,0,0,0,0,4.173,1.8069,1.1934,0.3074,0.1485,0.0121,0.0101,83.2
"Marion Island","PB1","PB1.1B",40,47.8,49.1,48.4,48.4,0.6,476,922.7,713.7,708.7,223,0.03741,0.01229,58.05,41.95,2.1,0,0,0,0,3.9806,1.7495,1.2786,0.5364,0.2626,0.0201,0.0164,81.8
"Marion Island","PB1","PB1.1B",41,49.3,50.5,49.9,49.9,0.6,495.5,961,754.6,747.3,233,0.04402,0.01424,54.13,45.87,2.29,0,0,0,0,3.768,1.6956,1.5497,0.7109,0.3555,0.0313,0.0258,82.3
"Marion Island","PB1","PB1.1B",42,50.6,51.8,51.2,51.2,0.6,545.2,975.3,786,778.9,215,0.03961,0.0114,56.61,43.39,2.17,0,0,0,0,3.6744,1.6884,1.3229,0.5741,0.2925,0.0227,0.0181,79.7
"Marion Island","PB1","PB1.1B",43,52,53.1,52.6,52.6,0.6,592,998.4,821.3,812.8,203,0.04185,0.0109,59.61,40.39,2.02,0,0,0,0,3.1172,1.4589,1.4442,0.5833,0.3022,0.0244,0.019,77.8
"Marion Island","PB1","PB1.1B",44,53.3,54.5,53.9,53.9,0.6,621.1,1018.5,855.2,844.3,199,0.04125,0.01015,55.35,44.65,2.23,0,0,0,0,3.4327,1.6443,1.4306,0.6388,0.3379,0.0264,0.0204,77.5
"Marion Island","PB1","PB1.1B",45,54.7,55.8,55.2,55.2,0.6,654.6,1045.9,887.3,876.3,196,0.03743,0.00873,47.62,52.38,2.62,0,0,0,0,3.1172,1.5212,1.8913,0.9906,0.533,0.0371,0.0286,77.1
"Marion Island","PB1","PB1.1B",46,56,57.7,56.8,56.8,0.9,757.5,1072.6,921.1,918.8,158,0.03744,0.00698,44.04,55.96,2.8,0,0,0,0,4.8175,2.3991,1.1148,0.6238,0.3419,0.0234,0.0172,73.4
"Marion Island","PB1","PB1.1B",47,57.9,59,58.4,58.4,0.6,850.6,1111.5,957.2,961.4,130,0.03813,0.00553,53.46,46.54,2.33,0,0,0,0,3.2835,1.6713,1.6106,0.7496,0.419,0.0286,0.0201,70.4
"Marion Island","PB1","PB1.1B",48,59.2,60.3,59.7,59.7,0.6,909.6,1147.7,987.6,995.9,119,0.02007,0.00259,58.01,41.99,2.1,0,0,0,0,3.8869,2.027,1.5123,0.635,0.3629,0.0127,0.0089,70.1
"Marion Island","PB1","PB1.1B",49,60.5,61.5,61,61,0.5,949.9,1212.5,1056.6,1059.1,131,0.01802,0.00238,42.4,57.6,2.88,0,0,0,0,3.3799,1.7964,1.8334,1.0561,0.6141,0.019,0.0136,71.4
"Marion Island","PB1","PB1.1B",50,61.7,62.9,62.3,62.3,0.6,971.1,1388.4,1113.1,1130.8,209,0.01837,0.00357,47.14,52.86,2.64,0,0,0,0,3.768,2.0347,1.5664,0.828,0.4885,0.0152,0.0119,78.4
"Marion Island","PB1","PB1.1B",51,63.1,64.1,63.6,63.6,0.5,985.2,1578.3,1174.2,1202.6,297,0.01767,0.0045,49.2,50.8,2.54,0,0,0,0,3.2151,1.7667,1.7415,0.8847,0.5304,0.0156,0.0134,85.4
"Marion Island","PB1","PB1.1B",52,64.3,65.4,64.9,64.9,0.5,997.4,1772.2,1233.1,1274.3,387,0.01876,0.00586,47.24,52.76,2.64,0,0,0,0,3.7179,2.0876,1.8043,0.9519,0.5821,0.0179,0.0165,92.4
"Marion Island","PB1","PB1.1B",53,65.6,66.7,66.2,66.2,0.5,1047.3,1825.4,1305.5,1343.2,389,0.01919,0.00572,50.23,49.77,2.49,0,0,0,0,3.454,1.9688,1.5285,0.7608,0.4717,0.0146,0.0134,91.8
"Marion Island","PB1","PB1.1B",54,66.9,68.1,67.5,67.5,0.6,1078.8,1913.7,1381.3,1411.9,417,0.01919,0.00584,71.21,28.79,1.44,0,0,0,0,3.0897,1.7827,1.266,0.3645,0.2286,0.007,0.0065,93.1
"Marion Island","PB1","PB1.1B",55,68.3,69.4,68.8,68.8,0.5,1099.2,1994.4,1448.2,1480.6,448,0.01842,0.00571,56.24,43.76,2.19,0,0,0,0,3.454,2.0379,1.4777,0.6467,0.4139,0.0119,0.0113,95
"Marion Island","PB1","PB1.1B",56,69.5,70.6,70.1,70.1,0.5,1126.8,2098,1513.6,1549.4,486,0.01866,0.00599,64.39,35.61,1.78,0,0,0,0,3.297,1.9782,1.5272,0.5438,0.3535,0.0101,0.0099,97.1
"Marion Island","PB1","PB1.1B",57,70.8,72,71.4,71.4,0.6,1194.5,2147.1,1585,1620.1,476,0.01864,0.00564,51.7,48.3,2.41,0,0,0,0,3.4006,2.0676,1.5679,0.7572,0.4983,0.0141,0.0136,96
"Marion Island","PB1","PB1.1B",58,72.2,73.4,72.8,72.8,0.6,1245.9,2221.3,1673.7,1696.1,488,0.01864,0.00552,64.23,35.77,1.79,0,0,0,0,4.1237,2.5608,1.2595,0.4506,0.3023,0.0084,0.0081,96.7
"Marion Island","PB1","PB1.1B",59,73.6,74.8,74.2,74.2,0.6,1276.3,2316.3,1764.2,1772.2,520,0.01742,0.00525,70.1,29.9,1.5,0,0,0,0,3.4907,2.1939,1.1504,0.344,0.2334,0.006,0.0059,98
"Marion Island","PB1","PB1.1B",60,75,76.2,75.6,75.6,0.6,1341.5,2406.5,1843.4,1850.7,532,0.01673,0.00494,61.16,38.84,1.94,0,0,0,0,3.611,2.311,1.2792,0.4968,0.3428,0.0083,0.0082,98.5
"Marion Island","PB1","PB1.1B",61,76.4,77.6,77,77,0.6,1432.1,2445.8,1936,1932.4,507,0.01802,0.00487,70.42,29.58,1.48,0,0,0,0,3.4006,2.2036,1.3885,0.4108,0.2867,0.0074,0.0072,96.8
"Marion Island","PB1","PB1.1B",62,77.7,78.9,78.3,78.3,0.6,1482.1,2488.3,2025.3,2008.3,503,0.01643,0.00424,64.87,35.13,1.76,0,0,0,0,3.7018,2.4451,1.3982,0.4912,0.349,0.0081,0.0078,96.8
"Marion Island","PB1","PB1.1B",63,79.1,80.2,79.7,79.7,0.6,1526.9,2568.5,2113.8,2090.1,521,0.0171,0.00438,68.98,31.02,1.55,0,0,0,0,3.2589,2.177,1.201,0.3725,0.2675,0.0064,0.0062,97.4
"Marion Island","PB1","PB1.1B",64,80.4,81.5,81,81,0.5,1658,2607.4,2185.6,2167.2,475,0.01669,0.00377,73.01,26.99,1.35,0,0,0,0,2.7977,1.8913,1.3489,0.364,0.2643,0.0061,0.0058,95.2
"Marion Island","PB1","PB1.1B",65,81.7,82.8,82.3,82.3,0.5,1773.3,2634.7,2263.2,2244.6,431,0.01669,0.00332,63.9,36.1,1.81,0,0,0,0,3.0357,2.0871,1.5281,0.5517,0.4068,0.0092,0.0086,93.6
"Marion Island","PB1","PB1.1B",66,83,84.1,83.6,83.6,0.5,1846.4,2668,2345,2322.1,411,0.01669,0.00306,73.27,26.73,1.34,0,0,0,0,3.1998,2.2351,1.2263,0.3278,0.2454,0.0055,0.0051,93.2
"Marion Island","PB1","PB1.1B",67,84.3,85.4,84.9,84.9,0.5,1913.3,2723.1,2425.5,2399.5,405,0.01972,0.00346,44.69,55.31,2.77,0,0,0,0,2.2106,1.5518,1.6277,0.9003,0.677,0.0178,0.0165,92.7
