Kerguelen,KER1,CAT1.1A,CAT1.1A_2,A,2,2.1,2.1,1.5,0.095,1.5,3,2.2,1.5,3,2.2,1.5,3,2.2,2.2,0.75,-64,25,-37,-32,45,0.068,-0.07138,1.1476,7.888,2.9448,6.7404,1.7972,73.34,26.66,1.33,0.513,22.15,1.11,12.81,1.11,5.0699,0.3118,1.3295,0.5808,0.0648,0.0395,-0.0371,-93.8
Kerguelen,KER1,CAT1.1A,CAT1.1A_3,A,3,1.9,1.9,1.6,0.095,3.1,4.7,3.9,3.1,4.7,3.9,3.1,4.7,3.9,3.9,0.8,-62,96,-15,-7,79,0.064,-0.70916,1.1476,5.6898,2.6176,4.5422,1.47,67.64,32.36,1.62,0.42,30.69,1.53,17.74,1.54,4.5342,0.3083,1.0018,0.5773,0.0681,0.0369,-0.405,-1096.3
Kerguelen,KER1,CAT1.1A,CAT1.1A_4,A,4,2.1,2.1,1.5,0.095,4.8,6.3,5.5,4.8,6.3,5.5,4.8,6.3,5.5,5.5,0.75,-54,145,9,18,100,0.05926,0.33565,1.1476,6.9221,3.7143,5.7745,2.5667,55.55,44.45,2.22,0.402,21.33,1.07,12.33,1.07,5.1928,0.4258,1.112,0.7153,0.0944,0.0424,0.2457,579.6
Kerguelen,KER1,CAT1.1A,CAT1.1A_5,A,5,1.7,1.9,1.4,0.095,6.4,7.8,7.1,6.4,7.8,7.1,6.4,7.8,7.1,7.1,0.7,-44,156,39,45,100,0.06087,0.14127,1.1476,7.0015,4.5778,5.8539,3.4302,41.4,58.6,2.93,0.774,16.32,0.82,9.44,0.82,3.5608,0.3062,1.644,1.2856,0.1748,0.0783,0.1923,245.7
Kerguelen,KER1,CAT1.1A,CAT1.1A_6,A,6,1.9,1.8,1.3,0.095,7.9,9.2,8.5,7.9,9.2,8.5,7.9,9.2,8.5,8.5,0.65,-38,182,65,68,110,0.05833,0.09882,1.1476,5.0146,2.0885,3.867,0.9409,75.67,24.33,1.22,0.07,48.91,2.45,28.27,2.45,3.4927,0.3388,1.1072,0.598,0.0879,0.0349,0.0642,184.1
Kerguelen,KER1,CAT1.1A,CAT1.1A_7,A,7,2.1,2.1,1.4,0.095,9.3,10.6,9.9,9.3,10.6,9.9,9.3,10.6,9.9,9.9,0.675,-33,222,88,92,128,0.05357,0.0779,1.1476,5.7507,1.9526,4.6031,0.805,82.51,17.49,0.87,0.062,50.79,2.54,29.36,2.54,4.6735,0.5234,0.9849,0.4178,0.0677,0.0224,0.0362,161.6
Kerguelen,KER1,CAT1.1A,CAT1.1A_8,A,8,2.1,2,1.3,0.095,10.7,12,11.4,10.7,12,11.4,10.7,12,11.4,11.4,0.65,-2,231,125,120,117,0.05185,0.0533,1.1476,5.9105,2.4907,4.7629,1.3431,71.8,28.2,1.41,0.253,28.93,1.45,16.72,1.45,4.2887,0.5189,1.1106,0.5808,0.0993,0.0301,0.0361,119.9
Kerguelen,KER1,CAT1.1A,CAT1.1A_9,A,9,2.1,2.1,1.5,0.095,12.1,13.6,12.8,12.1,13.6,12.8,12.1,13.6,12.8,12.8,0.725,17,240,179,147,112,0.05172,0.04216,1.1476,5.955,2.0679,4.8074,0.9203,80.86,19.14,0.96,0.107,51.36,2.57,29.69,2.57,5.0197,0.6626,0.9577,0.412,0.075,0.0213,0.0212,99.7
Kerguelen,KER1,CAT1.1A,CAT1.1A_10,A,10,2.2,2.3,1.3,0.095,13.7,15,14.3,13.7,15,14.3,13.7,15,14.3,14.3,0.65,30,265,226,176,118,0.04167,0.02971,1.1476,7.1007,2.3353,5.9531,1.1877,80.05,19.95,1,0.22,41.02,2.05,23.71,2.05,5.1663,0.7491,1.1523,0.452,0.0881,0.0188,0.0171,90.8
Kerguelen,KER1,CAT1.1A,CAT1.1A_11,A,11,2.2,2.1,1.4,0.095,15.1,16.5,15.8,15.1,16.5,15.8,15.1,16.5,15.8,15.8,0.7,75,310,242,212,118,0.0359,0.02149,1.1476,7.0083,2.3063,5.8607,1.1587,80.23,19.77,0.99,0.107,60.37,3.02,34.9,3.02,5.0801,0.7773,1.1536,0.454,0.0922,0.0163,0.0131,80.2
Kerguelen,KER1,CAT1.1A,CAT1.1A_12,A,12,2.5,2.2,1.4,0.095,16.5,17.9,17.2,16.5,17.9,17.2,16.5,17.9,17.2,17.2,0.7,113,357,266,251,122,0.03571,0.01881,1.1476,8.0769,2.3865,6.9293,1.2389,82.12,17.88,0.89,0.053,78.54,3.93,45.4,3.93,5.9408,0.9891,1.1664,0.4017,0.087,0.0143,0.0107,74.3
Kerguelen,KER1,CAT1.1A,CAT1.1A_13,A,13,2.5,2.3,1.4,0.095,18,19.4,18.7,18,19.4,18.7,18,19.4,18.7,18.7,0.7,137,410,302,293,137,0.03488,0.01756,1.1476,7.5001,2.1617,6.3525,1.0141,84.04,15.96,0.8,0.034,86.82,4.34,50.19,4.34,6.3302,1.1268,1.0035,0.3415,0.0779,0.0119,0.0087,73.1
