"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","K","K_sd","K_ICP","K_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,6996.89090909091,0.00134967801660833,0.00047698399670631,959.6082071,355.1815587,4498.32494786563,-6974.58624524228,15971.2361409735
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,7135.69230769231,0.0009254243425199,0.00032615706020574,6631.161901,2065.435552,4060.75994870793,-7413.2077666042,15534.7276640201
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,7290.50833333333,0.00418125846748785,0.00269289902818202,5147.889503,1470.473436,7418.74867847027,-4069.91322054905,18907.4105774896
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,7450.61818181818,0.00097532353519084,0.00056367750733303,5505.035933,1603.539606,4112.22477160179,-7361.57246334167,15586.0220065452
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,7672.18333333333,0.00118340298807389,0.00063512882290397,6097.843222,1936.386236,4326.83289684935,-7146.38623995225,15800.0520336509
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,7821.06363636364,0.00114157317151975,0.00047276710394982,6175.999603,1855.683454,4283.69063371019,-7189.62751146348,15757.0087788839
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,8011.50909090909,0.00096892033083372,0.00034510153050504,5968.444872,1958.591437,4105.6206611833,-7368.19776127673,15579.4390836433
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,7881.69166666667,0.00125449123889381,0.000504229210705,2516.983872,857.2828993,4400.15160287346,-7072.91913423802,15873.2223399849
"Bird Island","BI10","BI10.13",519,491,492,491.5,8384.23636363636,0.00049588600192816,0.00032231721719709,790.4601626,305.8039749,3617.74447207578,-7858.20013376121,15093.6890779128
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,8490.03636363636,0.0007870628916867,0.00044278763174804,3163.380594,1060.826347,3918.05728797701,-7556.44757395339,15392.5621499074
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,8597.97,0.00181812535588744,0.00091147940473434,6266.517708,1913.941942,4981.47022658953,-6491.30915368226,16454.2496068613
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,8738.44,0.00114069074272907,0.00056874907189011,1326.826528,440.8838882,4282.78051795484,-7190.53980912351,15756.1008450332
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-30.6269230769231,0.00237576643088783,0.0005501778906073,5443.67845,181.2744924,5556.60777144903,-5917.43056046804,17030.6461033661
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-1.38846153846154,0.0028669843468963,0.00062831534972832,5975.780316,106.9664677,6063.23807339355,-5413.18375539598,17539.6599021831
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,27.85,0.00422504534667578,0.00145681466507321,5333.453521,102.4023076,7463.90940877191,-4025.30700323469,18953.1258207785
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,56.4453846153846,0.00324905057246883,0.00066026583492587,5207.184,104.6643984,6457.29195643897,-5021.80862621558,17936.3925390935
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,110.519230769231,0.00201390487758364,0.00063767603110958,5837.940234,81.73116327,5183.3924996969,-6289.65358862945,16656.4385880233
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,152.406666666667,0.002637489584682,0.00094133177737723,6956.874444,214.2717329,5826.54271500741,-5648.61701449433,17301.7024445092
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,210.763076923077,0.00324936307470982,0.00073513387586082,5864.826617,211.1337582,6457.6142637074,-5021.48880525214,17936.7173326669
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,281.104545454545,0.00593727119131278,0.00216613794818445,8871.994311,120.6591226,9229.85781658751,-2288.43442533642,20748.1500585114
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,321.895,0.00753708405477638,0.00271848822803511,7746.307975,230.8399776,10879.8661889558,-678.548937542526,22438.2813154542
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,363.2825,0.00288229152061386,0.00073037943321397,8706.157013,221.1363881,6079.02552289348,-5397.48975210715,17555.5407978941
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,382.52,0.00263885760818558,0.00093477317816532,6598.380417,137.9061507,5827.95366142875,-5647.21281977142,17303.1201426289
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,493.1425,0.00231829219822249,0.00054315791414622,4618.995032,122.8652679,5497.33023514523,-5976.50721768396,16971.1676879744
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,520.634166666667,0.00201655379488215,0.00053872805721135,3415.579205,69.67781578,5186.12452906113,-6286.92646847383,16659.1755265961
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,601.545833333333,0.0021973402769674,0.00054702018717695,4921.529077,148.6301781,5372.58334300382,-6100.88475835082,16846.0514443585
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,653.46,0.00168588005994824,0.00066643323478854,7273.786524,336.7763161,4845.0756203894,-6627.6309483745,16317.7821891533
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,692.363333333333,0.00150632677915916,0.00040685559422986,5415.67046,155.9713092,4659.88870049756,-6812.85754891588,16132.634949911
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,770.521818181818,0.00720038398310064,0.00111435471774113,8945.422022,111.8177753,10532.6018620275,-1016.33506527961,22081.5387893346
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,822.286923076923,0.00476616516087668,0.00161014350569047,8976.759109,182.2282099,8022.00732401985,-3474.84117685194,19518.8558248916
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,906.45,0.0024784851556787,0.00044584131180672,5721.295663,207.6830326,5662.54938485561,-5811.88866519414,17136.9874349054
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,961.955384615385,0.00138303611261697,0.00048351879744764,6594.697268,79.79583695,4532.7296829178,-6940.13620864128,16005.5955744769
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,977.5775,0.00144621908193427,0.00048700155505033,5009.073815,164.2976211,4597.8950724115,-6874.90010816762,16070.6902529906
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,1058.64692307692,0.00584063789992973,0.0036840966261841,7175.3422,244.679169,9130.19257231241,-2386.0757973611,20646.4609419859
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,1151.60416666667,0.00119151819632707,0.00046618870903668,6260.84885,155.2690515,4335.20272676325,-7137.99820473434,15808.4036582608
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,1233.23666666667,0.00089861770382191,0.00036791587847094,5656.960644,182.7198288,4033.11222859211,-7440.95215817713,15507.1766153613
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,1270.93,0.00096387569121502,0.00061493444209343,3648.143898,92.29804061,4100.41774164406,-7373.41751585484,15574.252999143
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,1396.85230769231,0.00062186861795626,0.00035623406358913,5049.87496,82.31296185,3747.67990137917,-7727.59030817392,15222.9501109323
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,1480.03461538462,0.00064019180501158,0.00028560242480244,3309.7982,88.37161193,3766.57799423754,-7708.60066814018,15241.7566566153
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,1611.23,0.00182793095754877,0.00041265979015977,5997.873908,169.1400442,4991.58348746322,-6481.20473838795,16464.3717133144
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,1669.44846153846,0.00242507656768731,0.00105401412422634,4295.763522,76.03501434,5607.46505633523,-5866.75864584524,17081.6887585157
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,1768.77461538462,0.00084331599408661,0.00039375964982674,1024.567593,13.93411927,3976.07537999972,-7498.19967100137,15450.3504310008
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,1865.00538461538,0.00103479014943759,0.00034290897994109,3756.973168,89.79165872,4173.55720217814,-7300.05295464558,15647.1673590019
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,1961.41923076923,0.00087491381191331,0.00028103280777376,3191.150345,68.60973241,4008.66460662323,-7465.48822410224,15482.8174373487
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,2158.50153846154,0.00072763869724771,0.00034248304404771,3125.582355,61.88653064,3856.76860816649,-7617.99602202433,15331.5332383573
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,2273.88416666667,0.00083220126245598,0.00035565536752424,2826.666898,28.26666898,3964.61191407442,-7509.7073029942,15438.931131143
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,2256.42833333333,0.0019718557190195,0.00080591865313529,5457.248831,229.2044509,5140.02401250293,-6332.94879726088,16612.9968222667
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,2363.54384615385,0.00109153178389015,0.0003168065426917,2756.113305,144.6959485,4232.07915436815,-7241.36881021322,15705.5271189495
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,2407.86357142857,0.00095677714652679,0.00033036731399437,2828.534907,102.3929636,4093.09647399164,-7380.76268611058,15566.9556340939
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,2535.41461538462,0.00141042923899974,0.0005528750435853,3423.57602,48.95713709,4560.98229227554,-6911.85051636017,16033.8151009112
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,2595.94769230769,0.00079228268209724,0.00028992709778644,2194.360902,30.94048872,3923.4408538153,-7551.04202479629,15397.9237324269
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,2697.92846153846,0.00128049141629846,0.00028432332700617,2525.307497,72.47632516,4426.96755827706,-7046.05514841124,15899.9902649654
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,2780.0925,0.00133859160019095,0.00058185407740212,5697.238235,74.63382088,4486.89068556783,-6986.03678255975,15959.8181536954
"Isla Hermite","HER42PB","HER42PB_1F",211,238.4,239.5,239,2819.29,0.00148337686619586,0.00062914563235502,5573.411793,145.4660478,4636.21871421392,-6836.54410753781,16108.9815359657
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,2859.43,0.00191259436834258,0.00107830021209063,4695.135297,117.847896,5078.90328581802,-6393.98110590625,16551.7876775423
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,2943.97461538462,0.00063382887552205,0.00030983805699519,1688.278234,102.8161445,3760.01542234536,-7715.19484260308,15235.2256872938
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,3049.39,0.00060716719817258,0.00028679717445824,4369.778556,96.13512824,3732.51721186544,-7742.82765025482,15207.8620739857
